,GSM398084,GSM398100,GSM398102,GSM398106,GSM398126,GSM398128,GSM398132,GSM398134,GSM398138,GSM398144,GSM398146,GSM398152,GSM398154,GSM398085,GSM398101,GSM398103,GSM398107,GSM398127,GSM398129,GSM398133,GSM398135,GSM398139,GSM398145,GSM398147,GSM398153,GSM398155
200064_at,11.0341598634688,10.9499453176368,10.774030790711,10.8125753696237,10.7756775660644,10.4107867889813,10.7983875096807,10.6029606710089,10.6724199187204,10.3716759736656,10.366501157809,10.6328930416918,10.8929892713677,11.2127950300857,10.9546119155437,10.6966947592908,10.6254356288806,10.5715632422083,10.503654774952,10.7756775660644,10.6990126088322,10.8051976266415,10.3109728800128,10.5603970250038,10.9300048642562,10.8365168181354
200638_s_at,10.5787873420792,10.4016651037854,10.4281886497769,10.3050827713295,10.6034048963542,10.8424697613226,10.2639021722183,10.2394674900822,10.4641727839671,10.7329891817707,10.649213074074,10.3120908892595,10.2485142823754,10.1599179769404,10.2832385844096,11.1440574037543,10.9558240347458,11.1202277162182,10.8925017066656,10.2941756972386,10.7277884322841,10.9208931319455,10.6984238672029,11.0067145910816,10.321019880268,10.2541494731714
200641_s_at,12.5594819495905,12.4793984802782,12.7716791206347,12.6378034793809,12.7610646823622,12.8626952090816,12.6140818479279,11.8641941895497,12.1526994391456,12.7864131662708,12.9558162485979,11.8832851421663,10.730885889597,12.639283102894,12.5129650180803,12.7326344888679,12.5285971960911,12.9580439402772,12.4815961051775,12.6478600680799,12.9472868162215,12.5996869972278,12.9457900605834,13.2375104459171,12.0448914468517,11.0003268896547
200695_at,10.6579591287531,9.42424979349018,10.3475106853239,9.73873985760238,10.3378446862556,10.3406620657318,9.76417838672964,9.94085451169543,10.0931072763372,10.582151785872,10.5975785770523,9.97497645578336,9.10831827364254,9.45597817550152,9.85980832083758,9.96982258374027,10.7399378222572,11.9318472361336,10.3536860028344,9.53348460487224,9.97351561299789,10.3912732996987,10.4878017406079,10.1444629669061,9.33092089678774,9.2110611639942
200779_at,11.6086197632795,11.5791816920937,11.6901514555295,11.9824401657978,11.6914337291465,11.6286526741632,11.0673117107055,11.0652532685425,11.0365975918889,11.7476734893777,11.8657452879658,11.5300650625757,9.30303072690262,11.5111422297254,12.0742857729552,12.6695015444841,12.7015503423008,12.220222195262,11.6243108436108,11.4514202671732,11.8347757137918,12.0488838444396,11.7666441453862,12.173865834258,11.1407903448103,10.3044151575689
200797_s_at,11.45303998939,11.4934434937452,11.7167363980361,11.5688170542182,11.6338550613415,11.5845316492714,11.5335914539564,11.5480714938503,11.4518310950238,11.5313083524332,11.5010129424935,11.470004151866,11.6159291740863,11.5432053066476,11.6035617299199,11.8874820558056,11.5276602933053,11.7851651377962,11.6026810348826,11.6048464286887,11.6183406420684,11.3849134547114,11.6518729028882,11.4280321933923,11.5571270631062,11.5761658896955
200951_s_at,11.0700038322843,11.1883192772954,11.0916632322017,10.8756907604858,11.3181518535142,11.3611444472238,10.8709441863991,10.7756775660644,11.0201520618716,11.0474278801724,11.0030538722359,11.1274657456597,10.4586291288779,10.9413049467005,11.0816358578297,12.288642877484,10.982319221006,11.9789952804251,11.1445603326045,10.9094506481275,10.8410976163674,10.8989557744635,10.962024522071,11.0394560756261,10.9785976070591,10.7121806770667
200953_s_at,12.3342074248821,11.7505684156447,12.3149759016317,12.0537844644313,12.4401848575217,12.2869923174737,11.7099647502332,11.9305450032566,12.0512985771512,12.3879446062835,12.6505647861765,11.9987472929564,11.5171025762998,11.4015477433168,11.4209269315287,11.4507974004404,11.4341738587863,12.0628027248076,11.7023780827398,11.7223603030693,11.9077522028617,11.8248026796544,11.9059072576516,12.360750996738,11.8000850281975,11.41947153302
201020_at,12.5501635454354,12.4343322886433,12.7044638278693,12.3860182977248,12.5763818790708,12.7334112322321,12.3350406502788,12.33545678932,12.4826872562848,12.4941410877415,12.5117836773723,12.6242876772451,12.5232966917842,12.4218232002934,12.4666286333482,12.1885300533124,12.3117257995067,12.5438443932319,12.4600810687172,12.4059714617163,12.4118332344012,12.4268858079018,12.4846862785853,12.597208233536,12.3652484434312,12.4243360517808
201107_s_at,10.67172987745,10.4554155287024,9.82703727041713,9.34873987527153,9.62303325926727,9.50216643333618,10.0262626661487,10.0013506841643,10.054911098177,9.34983564908129,9.44403757533422,10.2621488439769,10.1063769220958,11.0273048058845,10.0461750823749,9.75805527538463,9.68151442023004,9.46300534062556,9.426826109421,10.0498101451144,9.87119652570528,9.64486001003456,9.22518051112346,9.33804051267352,10.4219503691181,9.86682445982607
201125_s_at,9.46503656461278,9.50120735550124,9.79861609960127,9.52988687195396,9.6842876185205,9.39757147921656,9.47598017998169,9.4098411761931,9.40284019510279,9.49841515687438,9.52077972843851,9.35427807398518,9.37462828421211,9.33504532767943,9.44889010198598,9.9628718593116,9.49408435880511,9.53101017514408,9.63010868356762,9.45837228013975,9.38682457966985,9.28429798681913,9.32196382198861,9.35123464842259,9.5052230354523,9.22026698486983
201374_x_at,11.0948928819245,11.0369528518293,11.509649992483,11.0976496184205,11.32984350984,11.2617767572668,10.8273739633761,11.1857001492747,11.2898150117126,11.292542813567,11.4155101543047,11.0468077479135,10.9743678449015,10.7627134809461,11.8124102155442,10.6247866503804,10.9497600354795,11.2735271196901,11.0539539445188,11.1606994484521,11.3866601678292,10.8733813050368,11.2428121289612,11.4205252785668,11.1425487805604,10.9504446359035
201375_s_at,10.5626684242604,10.352295330607,10.6707183641951,10.6993007496086,10.5869508982947,10.5421728073744,10.4764422110476,10.5420113719978,10.3155514336093,10.6684795958703,10.6194630978596,10.4309849158707,10.7582463752066,10.3263791917192,10.6175629624461,10.8857450736905,10.7068913072931,10.9610282085181,10.6844400961418,10.6842569300475,10.5454654136369,10.5739700645105,10.6589686369715,10.6230112455121,10.4394932370902,10.4823059200328
201437_s_at,8.43179014733054,8.88485149084449,8.34864138925968,8.34370252871124,9.03153101046377,8.43444495177901,8.73285183853969,8.6281448912726,8.66417372806531,9.16516702247534,8.89912042515217,8.96513039943006,8.19041437665837,8.8205754857004,8.45614289450635,8.40939856123065,9.22286046393523,9.47227015718196,9.66587247072614,8.89125543042567,8.83703493486167,8.96721094048183,8.73285183853969,8.76815625323961,8.76186091611451,8.51447198240032
201452_at,11.7814758939557,11.5761658896955,12.2161944303986,12.1867524899337,12.3851433001901,12.1485817174407,11.6735390633126,11.8413325589888,11.6136943693719,12.1284832095275,12.0760484092204,12.0173768428325,11.6136943693719,11.3720093074692,11.6095181502658,11.7936706465524,11.9579161461846,12.805837849282,11.9659747522688,11.747219586672,11.7766914500605,11.8385771202349,11.6827973917363,11.9537422026378,11.9374267593704,11.1809914979486
201505_at,9.84724888369529,9.63312613283442,9.92130702712389,9.97679145794696,9.70946088286123,9.93508856155998,9.77499792094613,9.65771388913056,9.82250291074623,10.0190004031071,9.76182237062742,9.78612143924366,9.71406965886711,9.68256667180005,9.78661647276631,9.76890512833868,10.0679240254663,10.0700477577561,9.80028095513496,9.62937503850869,9.79979829059332,9.52004388158339,9.93344954359632,9.85417215773179,9.87803035420093,9.88372403447587
201648_at,11.8612499083346,10.6077319517508,11.974961925925,11.3502200398129,11.3813103497545,11.9150067773758,10.9536596901996,11.218322688379,11.3481714234739,11.8871943171756,11.8588660963825,11.622548723682,10.563466111279,10.9494549505703,11.4821249521563,11.1675437077812,11.4604098026221,11.605706689377,11.282944165623,10.3134061141129,11.5304820155659,11.3269169186991,11.4611979241761,11.907509397076,11.2885974446855,10.8696177569817
201656_at,10.7631868948159,10.9502759073211,11.1940940403228,11.0844311630079,11.0536166196892,11.1368147632606,11.1802063504772,11.0895341528066,11.257222620644,10.8228007344298,10.9588818183161,11.014665460332,11.2443092971693,11.0012855481016,11.2450403096471,11.0042791526603,10.6399531752814,11.1284808065658,11.0289985963703,11.2880437945117,10.888609545418,11.0379247897512,11.1589766884665,10.848646228102,11.1554340499777,11.2644914763108
201700_at,9.02980686408593,8.81161848359491,8.7381791958286,8.82770378183966,8.70333080863862,8.94427371786802,8.64316592443252,8.82989234123147,9.14457678471444,9.17128385061601,9.28041631939533,9.23097406247949,8.96143994076434,8.80129095370278,8.86977911560285,8.91890664180448,9.00206030030343,9.13055141201901,9.0241349996103,8.60616522901584,9.01865377533068,9.3197240739128,9.1674803885776,9.32030109039565,8.90968128786214,9.15690355135384
201746_at,12.8375214739203,12.4691784862887,12.9236017232876,12.7366710982512,12.8951812862882,12.5804073301786,12.398220056652,12.7864131662708,12.5401584174076,13.0710103603617,13.0817263196671,12.9472868162215,12.0378559214291,12.1662594686272,12.6625771278222,12.3475731482544,12.9769140604026,13.2870816978276,13.2375104459171,13.1426180395819,13.0387721220909,12.9743242777856,12.836687815926,13.2139549901563,12.473404782742,12.485658519599
201983_s_at,10.8633857087662,10.0839243905722,10.5808162216581,10.5279610702718,10.6982425980529,10.7102986443188,10.2830467243067,10.2385369974787,10.3621540491378,10.7199406375695,10.7706988458601,10.5515781283276,10.1589413576059,10.1576814182758,10.751083640956,10.5649522026001,11.6628840046392,10.9979528610665,10.7378064189025,10.4382086458701,10.661314790777,10.4882964097981,10.8402891072286,10.8555877716842,10.1832955491201,10.2952509057901
202023_at,9.38127992170155,9.702110066161,9.74038478924078,9.75838311370608,9.76276035590558,9.78343562733609,9.86026146289505,9.73673256861356,9.74653298939718,9.48226411364058,9.58171240608552,9.60983740992164,9.74638089529024,9.55887458498013,9.8089473226443,9.8456330481732,9.47043819346346,9.88546107079902,9.70897273349425,9.78206596108891,9.6249572253449,9.72239311799564,9.61845213708412,9.6749054208137,9.598818170592,9.71656190090197
202112_at,8.84482691384741,8.89850352836818,8.78699991023315,8.84897821544982,8.92552239629236,8.78188352027897,8.63193918742401,8.74780542871906,8.83127953956875,8.83996235297597,8.96356893973289,8.66966293867061,8.59658119787946,8.40085374083476,8.59629316952445,8.29883528718654,8.74114725785784,8.96676350000601,8.73331587808027,8.97362486521606,8.72083033012292,8.70177245324049,8.88193275035956,8.73310110623107,8.67916773509043,8.63422173635574
202186_x_at,9.92056800062545,9.67828430376174,9.61859596075013,9.49728796507782,9.88626706695866,9.26226272210964,9.82589425776646,9.71892985285216,9.93170904793701,9.50743479044675,9.82011521456688,9.83505305884636,9.96853174907217,9.99575291097667,9.94406168165339,9.68796470086759,10.0714668766528,10.2692809151593,10.0045586774685,10.2546048036082,9.85012502268105,9.79124983192914,10.2199043446132,9.82390449578666,10.0970428380803,10.0994198156857
202202_s_at,12.2199423385937,11.555303775065,12.1330169274004,11.9196584777141,12.0300951035694,11.7577490812924,11.5392183888313,11.5406572955874,11.8729478112645,12.0812811984429,12.2658752426521,11.7628693260511,10.5998775684272,11.3053854988327,11.3575141516981,12.1462909551331,11.7748048103425,11.658441912827,11.317231608916,11.1385512057983,11.6419334147707,11.6591150479366,11.5769895521175,12.2250654096623,11.5068781123039,10.7737147035576
202246_s_at,10.8645259709217,10.8015275212426,10.7611605085366,11.1926178086416,11.0736848422734,10.834686643393,10.9645445746245,10.8281396465387,10.5899516995169,11.2209819516962,11.208204512277,10.8302170185907,10.6241118692501,11.0216794186043,10.3183756913849,10.9433628063137,10.7482413115352,10.7257649945123,10.6687607691741,10.5334923323488,11.4316445726826,10.9912660349032,11.3012631424542,11.6227245904987,11.0496643886976,10.6087739369347
202273_at,10.8597167564991,10.5787873420792,10.6343322738779,10.9600697782183,10.7315216732625,10.8523430009901,10.8370007662603,10.9069291656957,10.9304734229765,10.7264429224276,10.8316332014883,10.7760372616914,10.7053450408329,10.6819748096019,10.7953684406709,10.7408734707685,10.5791416489581,10.831800560783,10.6354690337048,10.6887099471137,10.8039365963862,10.9309511848279,10.8354671076839,10.8200835838933,10.7828310378365,10.5663123095058
