,GSM398085,GSM398101,GSM398103,GSM398107,GSM398127,GSM398129,GSM398133,GSM398135,GSM398139,GSM398145,GSM398147,GSM398153,GSM398155,GSM398084,GSM398100,GSM398102,GSM398106,GSM398126,GSM398128,GSM398132,GSM398134,GSM398138,GSM398144,GSM398146,GSM398152,GSM398154
200059_s_at,10.8587333085001,11.3004413399142,12.0116496979187,12.0029877409977,12.1632419178349,12.039324599984,10.7694213360567,11.7956942463016,11.5887002595678,11.8739646443169,12.0060271923112,11.1719443076233,10.5907368264821,11.969136867336,11.351941141569,12.1179472920192,11.7349227492723,12.1405291459084,12.1007610057224,11.1533195168946,11.2964661152796,11.5863251276926,12.3112780670957,12.4759794711895,11.6497114047601,10.6768950876239
200711_s_at,11.7549911121581,11.8388715080329,12.7079249551776,12.4248238749353,11.8362771091957,11.9310937371512,11.5769895521175,12.002712691146,12.220222195262,11.970494397931,11.8480773016328,11.554055705015,11.5649080374689,11.9910117840946,12.0149836278585,12.024664070668,11.8119093534537,11.9215315615872,11.8596388898787,11.6778674863283,11.630153009022,11.4938591116272,11.5988674670728,11.7741275932642,11.6325881453821,11.2650546648319
200718_s_at,12.005765796098,12.4968549723004,13.0243850498025,13.3521566554427,12.7659064785372,12.6574629389998,11.3912566002619,12.6759444197812,12.9976867295839,12.87601281456,13.0594468832047,12.4179769706219,12.109010919634,12.7716791206347,12.2401870988851,12.8548842968359,12.7373998430622,12.5978048213814,12.8598239812451,11.9562714202438,12.3093247010685,12.339050228573,12.9236017232876,12.969352093125,12.7102974478197,11.4333768715802
200719_at,12.796292597788,12.5723994388346,12.7540749624684,12.6798378102956,12.5170357846006,12.7053979468598,12.6805465064577,12.7683465226897,12.8751073328741,12.7301074932657,12.6689306325909,12.7667797450934,12.8407020590321,12.7522832219646,12.6674005948016,12.6230245576521,12.6759444197812,12.4968549723004,12.5891763425703,12.7531514185998,12.842817398485,12.7784109693324,12.6941710179232,12.7734021693143,12.7490907747277,12.8307236012044
200951_s_at,10.699653920667,10.7518381600647,10.288261156341,10.0952589767777,10.4394932370902,10.2257033391001,10.352295330607,10.442749424978,10.267670638672,10.0552162712268,10.2560997044354,10.4841163652909,10.5059270828444,10.4365372029581,10.7750396327413,10.4598713948569,10.1997461661203,10.7745591767111,10.2706894013561,10.5585664154714,10.6073993699998,10.3237300359859,10.2031875120876,10.1951440752949,10.4238664255101,10.4304960865587
200952_s_at,11.516238166677,11.5849658823404,11.4446656308806,11.6816455500799,11.4938591116272,11.312045221765,11.5134486268525,11.6067137447567,11.5033000471091,11.6297440022164,11.7286768782926,11.448621293203,11.565394859794,11.5164911156451,11.3879691652918,11.496063471985,11.5515227045903,11.536701520406,11.4827268915787,11.3435620754939,11.5111422297254,11.5307186580101,11.6503838459957,11.5945690334997,11.6054541456851,11.6795948827709
200953_s_at,10.7627134809461,11.8124102155442,10.6247866503804,10.9497600354795,11.2735271196901,11.0539539445188,11.1606994484521,11.3866601678292,10.8733813050368,11.2428121289612,11.4205252785668,11.1425487805604,10.9504446359035,11.0948928819245,11.0369528518293,11.509649992483,11.0976496184205,11.32984350984,11.2617767572668,10.8273739633761,11.1857001492747,11.2898150117126,11.292542813567,11.4155101543047,11.0468077479135,10.9743678449015
201218_at,9.90230302693969,10.5904154162228,10.2874502824806,10.4418302162736,10.3704315449697,10.3289241679564,9.83646581008037,10.4296472320003,10.6969322331065,10.4976193752207,10.1283602385163,9.96484071695312,9.95944484611519,10.0313406148457,9.67750863055708,9.76090969727522,9.98639704257189,9.7804862796525,9.78740993099119,9.79625095277019,10.0115569084797,9.79526051901892,10.1129656241185,10.1396416132829,9.76980255882054,9.63089081468636
201219_at,10.5489984986789,10.2757596011363,10.3538391689777,10.114672934346,10.2244803808785,10.38549283061,10.3203880965784,10.3218159764762,10.5151244361163,10.4537877124796,10.3880406829003,10.5372732195119,10.4288340512046,10.4919796143551,10.7620640431458,10.2745129621407,10.3346997773032,10.2895876592502,10.09181070595,10.2008618879202,10.3384628472136,10.4734641325729,10.419039707254,10.2946390424772,10.5017828237473,10.3775243639847
201220_x_at,11.3467478357716,11.3924073629457,11.4318453734819,11.3888064584548,11.510255583631,11.2983339289601,11.3071442587158,11.0853348188503,11.5462116355273,11.2972198982682,11.2078465815081,11.1100021933289,11.085198655896,10.9772774747518,11.172988500365,11.0386112044206,11.1864367923484,11.2141156025211,10.917867499512,11.0774249763953,10.9650411040617,10.9060579389107,11.1913822007559,10.8719192386504,10.8808433913564,10.9060579389107
201381_x_at,11.2485629718462,11.5226865568896,11.6494535401036,11.9305450032566,11.8802707386677,11.5138802965213,11.5699266927161,11.0654153893023,12.2553026071927,11.6252243811935,11.478661187362,11.4746175668096,11.4065796668237,11.4274471301355,11.6035617299199,11.3733960370862,11.4308139731284,11.4456579225808,11.5664601693846,11.2519442590995,11.4084753643779,11.4494244960946,11.5545166314724,11.546413090458,11.4490094556995,11.2561290450554
201382_at,11.5113433703548,11.4598814593395,11.4520684648914,11.340852325101,11.4096139341681,11.401371526238,11.5607924965401,11.3556551404386,11.4032841774994,11.4042702366477,11.3836656360787,11.4145141200236,11.6593666031181,11.4496129807084,11.8136410827746,11.4954443712974,11.4524531956032,11.5388048199966,11.4386240543836,11.4507974004404,11.4065796668237,11.4860414138248,11.3970045598477,11.2030420272163,11.4488207396076,11.6256126292293
