,GSM215084,GSM215085,GSM215086,GSM215087,GSM215097,GSM215098,GSM215101,GSM215102,GSM215109,GSM215111,GSM215114,GSM215052,GSM215053,GSM215054,GSM215055,GSM215065,GSM215066,GSM215069,GSM215070,GSM215077,GSM215079,GSM215082
1552263_at,6.04539289324834,5.8406745475746,5.76692316547851,6.55459532366435,6.4352042336032,6.16392321695499,6.56592882911087,5.79660914038264,5.49990681481853,5.98732371604208,6.29917301872949,5.9275563585568,5.65931242250134,5.39684477179499,5.99047672037809,6.24041448200381,6.19879612539317,5.90761240599994,5.67540969565077,5.27785222957786,5.86138862695266,6.06251603215157
1552264_a_at,7.93521454818947,8.56926374714197,8.3422990283015,8.2980295690167,8.18649497227878,8.21840425999402,8.45867049166694,7.72250477392276,7.66403995040504,8.09733493946806,7.63640659940677,7.78095971519362,8.2965143434342,8.16085636797685,8.22154641942627,8.09927408740778,8.26200336872852,8.0398856861112,7.89806333794855,7.51090242645774,7.96867396837734,7.40720294895277
1552610_a_at,9.05530758720167,9.45546309881981,8.70453914027492,8.76631442175979,8.6291586221772,9.25212564600583,8.81689448976249,8.67069751596297,8.47211664677602,9.17038386483706,8.44535282087022,8.5176486139577,8.81818791559132,8.79466057251286,8.69081309708991,8.54854168846109,8.7845912656537,8.67918003511062,8.67418145225084,8.12749470123492,8.64736966316538,7.73499818441357
1552611_a_at,7.50593833219692,7.81338581130214,7.40512329476589,7.78756885507965,7.23707679822133,7.80667446769253,7.35688995332403,7.16216193065269,7.00151787204615,8.13059839054864,6.36747520461783,6.94607930849621,7.46629541277619,6.96427925825729,7.36451683765711,7.20733452205903,7.29074603592143,7.17618945168669,7.36416899191126,7.11619872932512,7.53697463970773,5.98539642912968
1552721_a_at,3.25858091971123,3.22254727451588,2.93583810836909,2.99230334300817,3.16653090418537,3.02359192516475,3.21400371058022,3.0606364163838,3.184240023087,3.09848910927134,2.96100820797022,2.99650895761508,2.77751453015395,2.83971239971147,3.07434224471949,2.83498158360642,2.8398613073762,2.85073298978816,2.98438851833931,3.06249295109004,3.01271406088974,2.86714888296533
1552798_a_at,6.85226456785219,6.70420814231946,6.15706949428978,7.27444918474844,7.08578057962647,7.39229997684104,7.40197349553876,6.33920356867806,6.07561660644178,6.87713459012161,6.05993783830159,5.16040294948956,5.39660131964146,5.41580444353809,5.60195592520221,6.17088980791513,5.76952104142459,5.83744695333268,5.13723676646579,5.15421121531316,5.36911918853906,4.97494595250153
1552939_at,2.84620669290937,2.81747195929446,2.87034011357612,3.01333932915377,2.93910939398466,3.03324046990041,2.72480781303319,2.73056856929863,2.90958661569985,2.66297211668511,2.90659174216526,2.66443547185905,2.76185088961335,2.74414581033922,2.85405525428933,2.72526192819657,2.9751195545073,2.99188945278007,2.7368869905334,2.81374044970913,2.81578219182617,2.79717912505408
1552982_a_at,4.38870763061861,3.98745184770859,4.36324822358715,4.13595448937553,4.36899277679389,4.12092259174981,4.14297948697445,4.38781834129548,4.2704301991421,4.0843112679417,4.18068996992593,4.06214602810504,4.21397963597763,4.08951306974676,4.19697833904063,4.13284757625573,3.90474225966434,4.013002253995,4.01868187698448,4.13730207958715,4.086731387968,3.9483340549665
1553088_a_at,6.13973961256706,5.99372590006309,6.0050841141443,5.68631473744766,6.13132025977655,5.95701505132822,5.87783784820719,6.13384483668072,6.71412201350403,6.25714096797085,5.83797022419011,6.26800073180459,6.28629155834676,6.31844784180297,5.96182235037017,6.09510358648256,6.12457920789896,5.9032886816836,6.50738764709154,6.39628774723638,6.40197091565826,6.29667560209598
1553096_s_at,7.63546563069839,7.43718978295395,7.65682144720639,6.65014497155844,7.55877413987364,7.12463684785486,7.04597029541092,7.23216461620027,7.32897118862289,7.21495452226567,6.83888011327001,7.63871680732935,7.57256918807052,7.68623446006892,7.52523818016233,7.57806823780925,7.30493216867086,6.93111927125816,7.60913010046667,7.83608044618604,7.39575651321971,7.08190594838943
1553118_at,6.86806045700874,6.26631539048086,6.49080945798645,7.2050411086095,6.37735123557123,6.74170266245799,6.90301578891889,6.80363026562801,7.16216193065269,6.33452961866406,7.10179392163003,6.20432354502174,6.3456682894942,6.21641348973799,6.45599384953737,6.06536377654757,6.37518049884268,6.19690615202336,6.06405281622204,6.34242045560786,5.7773018675652,6.43052819020551
1553297_a_at,5.68097809765727,5.18574357140995,5.4390735488216,5.49925301297096,5.49452380972227,5.5318310304638,5.32303818765316,5.56664088548137,5.51312498031612,5.3618622721772,5.82432422862253,5.53226573685411,5.35383706768742,5.30269818601777,5.16442328238505,5.63594234712968,5.41230769824838,5.38765024096246,5.09484547395059,5.20105079710657,5.38717098362508,5.47869717124279
1553530_a_at,10.0252092029802,10.3015564763454,10.0801933266938,10.1459558857989,10.2361217562179,10.1766339956973,10.2659151225128,9.75278373285062,9.81918973154129,9.83817197404175,9.71649156719249,9.80468293766372,10.0308304956301,10.0316974126634,10.0547316119352,10.227307287342,10.1152220784527,10.0532334499204,9.63836693896472,9.85451684684063,9.45278777262955,9.19751410139042
1553573_s_at,4.01222560946048,4.73926587019731,3.98822747725663,3.68747308653223,3.64225821260214,3.75712775786986,3.72620589044366,3.89872579577607,3.86903615674885,3.78395357594485,3.85928792453543,3.88608020313855,3.97064132239377,4.00350050846443,3.97041440096675,3.82549766531189,3.72009493208689,3.72180824452704,3.86933010395372,3.65936012552139,3.68961542808025,3.98951465332994
1553678_a_at,10.2147276419568,10.3441725996928,9.99905132618099,10.4581546143152,10.2292413636911,10.0461431621238,10.5704458815432,10.0787924331197,10.1625705113856,9.99410590964407,10.0494928487926,10.1459558857989,10.0604772776875,10.0461431621238,10.1547165903964,10.5132023686154,10.1689703574392,10.3621022156863,9.94934232521728,10.1782799723743,9.93611029296276,9.64602157295847
1553834_at,2.8632457950467,2.97358737499129,2.83453906248386,2.9343920891166,2.92204277220002,3.12317767941244,3.00666046481714,3.26261373194333,2.97415655860781,2.83680821142423,2.95453040660942,2.88826864460201,2.85884238748284,2.97382654751291,3.03840955337504,2.94902690026971,3.03160255122081,3.03984820227359,3.07514802124336,2.87168486209608,3.06671944120869,3.05315624500302
1553835_a_at,3.06858013998995,3.35475031937687,3.10191179079666,3.12140645744025,3.06004663985641,3.11811274910954,3.30424955624039,3.13077598782505,3.38170653520325,3.05542495146741,3.19483782537688,3.28183945601323,3.29114926718215,3.33897635615409,3.19465954859722,3.34794382589336,3.38311784028209,3.21160063986636,3.15808772926711,3.08174833440522,3.17028424665683,3.04913596041668
