,GSM215084,GSM215085,GSM215086,GSM215087,GSM215097,GSM215098,GSM215101,GSM215102,GSM215109,GSM215111,GSM215114,GSM215052,GSM215053,GSM215054,GSM215055,GSM215065,GSM215066,GSM215069,GSM215070,GSM215077,GSM215079,GSM215082
1552263_at,6.04539289324834,5.8406745475746,5.76692316547851,6.55459532366435,6.4352042336032,6.16392321695499,6.56592882911087,5.79660914038264,5.49990681481853,5.98732371604208,6.29917301872949,5.9275563585568,5.65931242250134,5.39684477179499,5.99047672037809,6.24041448200381,6.19879612539317,5.90761240599994,5.67540969565077,5.27785222957786,5.86138862695266,6.06251603215157
1553118_at,3.88304444747802,3.75494905745192,3.4055349953539,3.69588813374844,3.81400468804068,3.70769241483667,4.11199524183787,3.84405468028708,4.25695245300552,4.41566469768529,3.56644409064981,3.84621878113821,4.014272222534,3.81989969279062,3.67091816717338,3.5173165836567,3.8059328294655,3.97547202460215,4.13484175995361,4.2550554966889,3.96114739181563,3.67596656749901
1553530_a_at,3.25858091971123,3.22254727451588,2.93583810836909,2.99230334300817,3.16653090418537,3.02359192516475,3.21400371058022,3.0606364163838,3.184240023087,3.09848910927134,2.96100820797022,2.99650895761508,2.77751453015395,2.83971239971147,3.07434224471949,2.83498158360642,2.8398613073762,2.85073298978816,2.98438851833931,3.06249295109004,3.01271406088974,2.86714888296533
1554346_at,4.75200799815822,3.91279447288463,3.38504214061799,5.21572430825965,3.9831914214157,4.32577254423972,5.83396572541846,4.83933201070324,4.07806301088283,4.98499236235093,4.38797193721903,3.17332708807639,3.10583030164149,3.25338944484036,3.30303789776502,3.7552937130305,3.40640959142425,3.64669085061189,3.19760234936016,3.42895360648657,3.21821611418265,3.22058587421902
1554487_a_at,3.04630113894277,2.9127879904518,2.89854031518025,3.38176795525922,2.93837603955909,2.92374726581074,3.03091992558046,2.96746336322639,3.34794382589336,3.06997893281823,2.7766016163687,3.87237778926165,3.15381936216557,3.23669469239574,3.3462451713991,4.01183834807895,3.38851904289753,3.69845567378361,3.74432324073135,3.63902288686785,3.50838878870397,3.55150211131746
1554819_a_at,5.30157736967401,5.38564237457043,5.31678618931946,5.09635765134815,5.21742488536139,5.39552579355924,5.22519682154522,5.07235196792409,5.3020856539128,5.00394990247676,5.21070925063924,5.40974371404264,5.10261586809406,5.36376192693497,5.05272069300574,5.29208647362153,5.1696063499262,5.1290420336713,5.41279503034347,4.99146895506433,5.23520767807446,5.42855268632991
1554962_a_at,5.80678137886607,5.74401477541754,6.59980125788273,5.68255002459748,7.00316520659053,6.18008629663588,5.23783176532047,5.67363906983416,6.8200061904294,6.34520611854773,6.01455642049774,7.49185161412425,7.04301243818579,7.82195058851064,6.82276187677565,7.2773687100384,7.2292556705216,7.28648846605554,7.39422967506704,7.58997275934601,7.46371026692492,7.07806616397881
1555335_at,6.77973899343864,6.06280517674594,6.14143183554549,6.5852347860981,6.41812307908508,6.49144216016771,6.52390240596462,6.06405281622204,5.89461387321963,6.19793402844327,6.33725979848717,5.43108122329657,5.28146693469223,6.00143794508412,5.52057528064048,6.01847459814168,5.9639833164527,5.83558656779431,5.65401371754955,5.88035917486808,5.87283744565553,5.92670998683496
1555372_at,5.68097809765727,5.18574357140995,5.4390735488216,5.49925301297096,5.49452380972227,5.5318310304638,5.32303818765316,5.56664088548137,5.51312498031612,5.3618622721772,5.82432422862253,5.53226573685411,5.35383706768742,5.30269818601777,5.16442328238505,5.63594234712968,5.41230769824838,5.38765024096246,5.09484547395059,5.20105079710657,5.38717098362508,5.47869717124279
1557354_at,3.39526319517088,3.43846874227939,3.51518429689577,3.53219671956811,3.75733715247476,3.29196400519837,3.43512549580247,3.24071986271579,3.31821011065132,3.42746588725805,3.39549383781958,3.28851308263905,3.49368014265764,3.28554592569726,3.37149977196901,3.50291503686351,3.39360831613935,3.58753070208338,3.21000100448829,3.32503813028075,3.26040521548331,3.16370645062743
