,GSM215052,GSM215053,GSM215054,GSM215055,GSM215065,GSM215066,GSM215069,GSM215070,GSM215077,GSM215079,GSM215082,GSM215084,GSM215085,GSM215086,GSM215087,GSM215097,GSM215098,GSM215101,GSM215102,GSM215109,GSM215111,GSM215114
1552263_at,5.9275563585568,5.65931242250134,5.39684477179499,5.99047672037809,6.24041448200381,6.19879612539317,5.90761240599994,5.67540969565077,5.27785222957786,5.86138862695266,6.06251603215157,6.04539289324834,5.8406745475746,5.76692316547851,6.55459532366435,6.4352042336032,6.16392321695499,6.56592882911087,5.79660914038264,5.49990681481853,5.98732371604208,6.29917301872949
1552264_a_at,7.78095971519362,8.2965143434342,8.16085636797685,8.22154641942627,8.09927408740778,8.26200336872852,8.0398856861112,7.89806333794855,7.51090242645774,7.96867396837734,7.40720294895277,7.93521454818947,8.56926374714197,8.3422990283015,8.2980295690167,8.18649497227878,8.21840425999402,8.45867049166694,7.72250477392276,7.66403995040504,8.09733493946806,7.63640659940677
1552402_at,3.64614611656479,3.89943724468043,3.9977281840567,4.20452934339132,3.58727705605082,3.46138310313887,3.61171823666256,3.53328284518356,3.63483931214096,3.4882414429897,3.90176864192798,3.65504323514464,3.92071080183128,3.75867164285965,3.59140003422081,3.49136208843191,3.68580841007734,3.62879447846067,3.60035878680884,4.36287717086511,3.48583196310545,3.41882297405656
1552637_at,3.79080012966604,3.37132035282788,3.62371814283711,3.50336616252163,3.50580373171692,3.61573507993064,3.35988725685942,3.88200051367319,3.64925437976246,3.48442048900768,3.43102764132266,3.38965477842565,3.34173889406238,3.65866851135089,3.4524266556504,3.44999880637858,3.47969075193834,3.37741327614958,3.61120934690818,3.68609544596149,3.49997640620905,3.34443283572139
1552721_a_at,2.99650895761508,2.77751453015395,2.83971239971147,3.07434224471949,2.83498158360642,2.8398613073762,2.85073298978816,2.98438851833931,3.06249295109004,3.01271406088974,2.86714888296533,3.25858091971123,3.22254727451588,2.93583810836909,2.99230334300817,3.16653090418537,3.02359192516475,3.21400371058022,3.0606364163838,3.184240023087,3.09848910927134,2.96100820797022
1552939_at,2.66443547185905,2.76185088961335,2.74414581033922,2.85405525428933,2.72526192819657,2.9751195545073,2.99188945278007,2.7368869905334,2.81374044970913,2.81578219182617,2.79717912505408,2.84620669290937,2.81747195929446,2.87034011357612,3.01333932915377,2.93910939398466,3.03324046990041,2.72480781303319,2.73056856929863,2.90958661569985,2.66297211668511,2.90659174216526
1552982_a_at,4.06214602810504,4.21397963597763,4.08951306974676,4.19697833904063,4.13284757625573,3.90474225966434,4.013002253995,4.01868187698448,4.13730207958715,4.086731387968,3.9483340549665,4.38870763061861,3.98745184770859,4.36324822358715,4.13595448937553,4.36899277679389,4.12092259174981,4.14297948697445,4.38781834129548,4.2704301991421,4.0843112679417,4.18068996992593
1553491_at,4.17629275507717,3.71904570644405,3.97406994765594,3.87307627511335,3.6368853070493,3.77507465478471,3.68040094708518,3.62629145447772,3.67316794693337,3.81407478637103,3.83950637772363,3.85049539202169,3.90320549763271,4.03765834428021,4.03302435805117,3.70510868634927,3.80929116210326,3.66466524861242,3.7596856430787,3.41160599662939,3.90857552515694,3.81880469116405
1553573_s_at,3.88608020313855,3.97064132239377,4.00350050846443,3.97041440096675,3.82549766531189,3.72009493208689,3.72180824452704,3.86933010395372,3.65936012552139,3.68961542808025,3.98951465332994,4.01222560946048,4.73926587019731,3.98822747725663,3.68747308653223,3.64225821260214,3.75712775786986,3.72620589044366,3.89872579577607,3.86903615674885,3.78395357594485,3.85928792453543
1554346_at,4.84877539654633,4.68931231051213,5.50306197638043,4.69882099191675,4.66047567842835,4.83715265344779,4.48587968695464,4.66085878684757,4.72465307958833,4.83979330476609,4.69835185036335,4.8854903982282,4.94804272639231,4.77510524151816,4.34181157184887,5.03483420052171,4.58584484988235,4.74350155864101,4.83659813556524,4.46484952838419,4.77221382886474,4.60893048420788
1554810_at,3.45448957189389,3.72478111132097,3.84262324711118,3.46602989399581,3.67058160418042,3.48946160771339,3.62046588535231,3.9346341637319,3.37646183286141,3.55043445175543,4.03997132641618,3.37436222634219,3.32060870981868,3.57807981352966,4.03926925882095,3.27010188946347,3.30258224887519,3.39694924974297,3.22539319673455,3.70045953515248,3.29295747654623,3.64601868406468
1554828_at,3.50824726875776,3.21642831105071,3.35957463016427,3.72196363230991,3.18831482132785,3.47559504355834,3.30035553923849,3.49457333755747,3.41193384132046,3.47578385018689,3.30475794211866,3.71453671305104,3.42816296674652,3.66902360382211,3.05343906345506,3.47857477411722,3.5438069815182,3.3629751548602,3.26840703872411,3.37952524324472,3.65064987372832,3.56452638670738
1554834_a_at,5.01395300054776,4.99519871891325,5.01783935332188,5.56801848686724,5.38523155190619,5.24537503095706,5.27019525920908,5.59874955153894,5.00214433380322,4.91505696970827,4.99603776514604,4.57627646237093,4.93259243403131,4.5329164878347,5.05364063514333,4.64052869337953,5.28418728201598,4.59143568367174,4.35589458698462,3.94840278464331,4.91872886491724,4.74457527310917
1554914_at,3.78914535027745,4.04240557862786,3.83208172447756,3.80745227730707,3.83912739206786,3.54785164044988,3.8069216071417,3.72311600399843,3.68278167434089,3.96768525021341,3.79891445515061,3.99761654459033,3.67822901025517,3.74713760139534,3.65909891757341,3.72581516404108,4.05718072381771,3.799945239259,3.84556426476637,4.02898693514415,3.59920942636361,3.92592045807414
1554961_at,4.00447137601789,4.07779337306429,4.2618407930674,3.93043229585218,3.85115958480533,4.10493098004051,3.83618621530463,3.78367360649842,3.90354801824934,3.94520505722605,3.94492847779888,3.94966304350491,4.2863362144677,3.97875715426444,3.93941522766716,4.05664846092489,4.03487054377544,4.20053121219039,4.05937373629481,3.15406506269133,3.95912739315841,4.09152811900926
1554962_a_at,5.93727414734711,6.11319507959496,5.82823280944631,5.89953027011769,5.89509895680876,5.74216355045009,6.09370495692431,5.92687755613782,5.6274759735863,6.13172554841972,5.87010927134392,6.25881685660647,5.97569288883552,6.15722457946528,6.14924360761028,6.16324442968481,6.03153465797558,5.98437444552045,6.27978809546158,5.99357431535006,6.23470333589541,6.21087746047459
1554992_at,4.42691916021495,5.09660223263209,4.62183780648978,4.47622577175858,4.70751197112105,4.56345159290451,4.87951035236741,4.75511274955868,4.40013170804631,4.55125519455281,4.66303821716102,4.51217278536394,4.95879611380554,4.50092708451157,4.54586271066918,4.71127215722128,4.53778095489099,4.38915119356318,4.62249963217073,4.89793636685108,4.66720709838741,4.63107767138995
1555102_at,2.82676656615687,2.90473721354261,2.85665837988337,2.74327667911535,2.87625744487704,2.90382158882014,2.77956433282364,2.80874978294799,2.87508720555426,2.93920749902953,2.74313938814205,2.85051077151277,2.75107123805394,2.7767859078632,2.89187799072824,2.9790156063866,2.90899466729135,2.90333099964829,2.82658892803635,2.96329340961231,2.74188681818329,2.7969729494788
1555103_s_at,3.00369615817405,3.00710495797364,2.99491963548895,3.04125844001105,3.21973251610377,2.99104810462271,3.05577737074567,3.01774492988317,2.97950017415154,2.91542184996121,3.04195794118898,3.09000288181183,3.1295675626918,2.98841541212391,3.53540843494214,3.09666354645403,2.86761963854288,3.06096508105328,3.02980210170272,3.07187131076978,3.08215261959401,3.26365179861703
1555240_s_at,6.8696763205623,7.31005227611955,7.16176532955346,7.11595543144633,7.03820456244866,7.66610264931504,6.86091570741273,6.7599461852555,6.53353035527675,6.86746813622786,6.50569751591552,6.25780879670099,6.97000661177954,6.8251233726338,7.18260330743535,6.67045403940005,6.75005722441928,7.24873625548751,6.44848929073628,6.49676886173352,6.91111753765065,6.2008821286711
1555310_a_at,5.61018980509107,4.7539125863101,5.64814474933081,5.08956488301599,5.44607434579771,5.16442328238505,5.46574976914111,5.38453391357326,5.34704536478135,5.60113930205572,5.74637057930565,6.69248706540836,6.04009222302938,6.26987599294678,6.20207291624895,6.64422428720061,6.41572169950169,6.05068537957767,6.21255573946265,6.21279399719753,6.13015248496435,6.43799475535953
1555339_at,4.17342443132324,4.02390784960574,3.91064200932678,4.00752220099151,3.91093154455368,3.96274479527449,3.96871173599864,4.20383749591226,4.22808840126444,3.89584524888131,4.27237702162229,4.06392789717087,4.39882563976412,4.46369941736965,3.87034054949891,3.92274161635361,3.87717437860289,3.92849412473561,4.08058964258412,3.9614688572209,4.1904957590412,4.06156346490656
1555340_x_at,3.98172084974416,4.14864585744736,4.21671806437058,3.85681410862166,3.87237778926165,3.70159872861277,3.6313319355498,3.78068617898,3.8040582689387,3.80033507527329,4.04251939248752,4.27379766275195,4.16188736048864,3.91936459106765,3.67741223618988,3.85889591952015,4.00957576559475,4.05980653883738,3.6884785451275,3.9554331139216,3.87621485883003,4.15698751042233
1555355_a_at,5.95142224016966,6.36666682180771,6.24591817984413,6.52002935409349,6.53079989561711,6.57825770558492,6.53203437504112,5.98951701264994,5.44594296666435,6.02839616147815,5.50995675361015,6.00531630929082,6.20636466346491,5.41062490544228,6.41417648150694,5.81338650684093,6.832995179305,5.97390363548431,5.26216704021209,5.29818667423039,6.22197366968052,5.58095864058888
