,GSM215052,GSM215053,GSM215054,GSM215055,GSM215065,GSM215066,GSM215069,GSM215070,GSM215077,GSM215079,GSM215082,GSM215084,GSM215085,GSM215086,GSM215087,GSM215097,GSM215098,GSM215101,GSM215102,GSM215109,GSM215111,GSM215114
1552263_at,5.9275563585568,5.65931242250134,5.39684477179499,5.99047672037809,6.24041448200381,6.19879612539317,5.90761240599994,5.67540969565077,5.27785222957786,5.86138862695266,6.06251603215157,6.04539289324834,5.8406745475746,5.76692316547851,6.55459532366435,6.4352042336032,6.16392321695499,6.56592882911087,5.79660914038264,5.49990681481853,5.98732371604208,6.29917301872949
1553491_at,3.64614611656479,3.89943724468043,3.9977281840567,4.20452934339132,3.58727705605082,3.46138310313887,3.61171823666256,3.53328284518356,3.63483931214096,3.4882414429897,3.90176864192798,3.65504323514464,3.92071080183128,3.75867164285965,3.59140003422081,3.49136208843191,3.68580841007734,3.62879447846067,3.60035878680884,4.36287717086511,3.48583196310545,3.41882297405656
1554810_at,4.98906743409053,5.56707279206987,5.44036452565134,5.84191880912075,5.90100229020853,6.25207523574666,5.75640764788204,5.25843413913044,5.10225138136298,5.33860178711547,5.29957700015381,5.62483856789488,6.29219927565929,6.14489588970493,6.37310176972126,6.22033726363495,6.66773201750099,5.74873868615571,5.17832595238401,4.75225884132098,6.00298836713323,4.97728978095059
1554961_at,2.99650895761508,2.77751453015395,2.83971239971147,3.07434224471949,2.83498158360642,2.8398613073762,2.85073298978816,2.98438851833931,3.06249295109004,3.01271406088974,2.86714888296533,3.25858091971123,3.22254727451588,2.93583810836909,2.99230334300817,3.16653090418537,3.02359192516475,3.21400371058022,3.0606364163838,3.184240023087,3.09848910927134,2.96100820797022
1555240_s_at,3.87237778926165,3.15381936216557,3.23669469239574,3.3462451713991,4.01183834807895,3.38851904289753,3.69845567378361,3.74432324073135,3.63902288686785,3.50838878870397,3.55150211131746,3.04630113894277,2.9127879904518,2.89854031518025,3.38176795525922,2.93837603955909,2.92374726581074,3.03091992558046,2.96746336322639,3.34794382589336,3.06997893281823,2.7766016163687
1555339_at,5.40974371404264,5.10261586809406,5.36376192693497,5.05272069300574,5.29208647362153,5.1696063499262,5.1290420336713,5.41279503034347,4.99146895506433,5.23520767807446,5.42855268632991,5.30157736967401,5.38564237457043,5.31678618931946,5.09635765134815,5.21742488536139,5.39552579355924,5.22519682154522,5.07235196792409,5.3020856539128,5.00394990247676,5.21070925063924
1555355_a_at,4.69923335366894,4.4641380315472,5.28694653628928,4.76683707214677,4.91989595466911,4.80683951443433,4.72977690602785,4.55503880068384,4.66618812980278,4.77827071871439,4.93383632846801,4.11852921420829,5.15054514094737,5.85982294137166,4.50607876125776,4.86447192762687,4.66598159209272,4.11093290798831,4.03258105199484,4.65066624051007,4.55295704952287,5.26010812783432
1555766_a_at,9.60772985673215,9.20213362815925,8.72912394761832,9.02577750133666,9.29880903046597,8.93588427522324,9.46960048563324,9.42994286345045,8.9261173609092,9.27032216085175,9.0074919789537,8.31731095385519,7.27195958114166,7.37021200267086,8.66999985873197,7.87830295039288,7.54129060194399,8.86875023570672,8.60007304654335,8.46424689367493,6.86111783226832,8.49921598574846
1556128_a_at,4.94167677666807,4.24880103844978,4.10474011041952,5.21818130571629,4.80732354394308,4.78424806426098,5.26698030589363,4.64015167269283,4.52239474443826,4.54142916767913,4.8192971447461,5.57497770251774,4.44658779765241,3.8928056260825,5.23542864644748,4.18796870490893,5.05734076720773,5.49918802385049,4.59693717912122,4.53903895687362,4.6373506769524,4.87570800056329
1557432_at,5.08245393682479,5.01058055843806,3.96037040719178,4.13163481827358,4.32499376890063,4.58797094486019,4.76376995670516,4.8515685785947,3.98951465332994,4.54173815665873,4.79685741405045,4.5120738731059,4.36728729426984,3.93072394675557,4.15526552864974,3.9346341637319,4.00846364912573,4.13980837377326,4.50896691090056,3.77775295164082,3.87576119715813,4.56560162919643
1557993_at,9.24087325793936,10.1356566340274,9.6862699927462,10.0773404431762,10.2494146498218,9.93460166578565,10.5370736202695,10.2683936079873,9.83476719622453,9.85324068556731,9.61219481829638,7.918032945864,9.20293479198556,8.50440078376337,9.42033047299654,8.0862504135399,9.04532693906839,9.34726846099949,6.96189318648199,8.76646969500474,8.39878694344133,9.13964460918261
1559204_x_at,5.01395300054776,4.99519871891325,5.01783935332188,5.56801848686724,5.38523155190619,5.24537503095706,5.27019525920908,5.59874955153894,5.00214433380322,4.91505696970827,4.99603776514604,4.57627646237093,4.93259243403131,4.5329164878347,5.05364063514333,4.64052869337953,5.28418728201598,4.59143568367174,4.35589458698462,3.94840278464331,4.91872886491724,4.74457527310917
1560382_at,3.78914535027745,4.04240557862786,3.83208172447756,3.80745227730707,3.83912739206786,3.54785164044988,3.8069216071417,3.72311600399843,3.68278167434089,3.96768525021341,3.79891445515061,3.99761654459033,3.67822901025517,3.74713760139534,3.65909891757341,3.72581516404108,4.05718072381771,3.799945239259,3.84556426476637,4.02898693514415,3.59920942636361,3.92592045807414
1563263_at,6.0134926475573,5.93627330963668,5.93627330963668,6.20871870625809,5.87675199767547,6.13442532762644,6.36935266885178,6.10855736352431,6.22123787047566,6.08235735196266,6.48689409374099,6.97760514463634,6.48032536713086,5.98554813920835,7.16707951864176,6.12731733251686,6.53065791766434,6.38199143659449,6.84547257796274,5.68592557874379,6.8986596946906,7.21695454137212
1565483_at,4.42691916021495,5.09660223263209,4.62183780648978,4.47622577175858,4.70751197112105,4.56345159290451,4.87951035236741,4.75511274955868,4.40013170804631,4.55125519455281,4.66303821716102,4.51217278536394,4.95879611380554,4.50092708451157,4.54586271066918,4.71127215722128,4.53778095489099,4.38915119356318,4.62249963217073,4.89793636685108,4.66720709838741,4.63107767138995
1566739_at,4.05164543296505,3.71383189686126,3.67192456537316,3.52778084676746,4.89861313246888,3.62498460924069,3.81176398972088,3.46200922141642,3.28924226059384,3.26254994180375,3.46822500526872,3.47627777826086,3.3077604024564,3.60994925813027,5.07706176557627,3.69550237495149,3.54712266502117,3.92957450644968,3.38971922321684,3.30404137849056,3.46000123148951,3.59250029077105
1566740_at,6.8696763205623,7.31005227611955,7.16176532955346,7.11595543144633,7.03820456244866,7.66610264931504,6.86091570741273,6.7599461852555,6.53353035527675,6.86746813622786,6.50569751591552,6.25780879670099,6.97000661177954,6.8251233726338,7.18260330743535,6.67045403940005,6.75005722441928,7.24873625548751,6.44848929073628,6.49676886173352,6.91111753765065,6.2008821286711
1567457_at,5.61018980509107,4.7539125863101,5.64814474933081,5.08956488301599,5.44607434579771,5.16442328238505,5.46574976914111,5.38453391357326,5.34704536478135,5.60113930205572,5.74637057930565,6.69248706540836,6.04009222302938,6.26987599294678,6.20207291624895,6.64422428720061,6.41572169950169,6.05068537957767,6.21255573946265,6.21279399719753,6.13015248496435,6.43799475535953
1773_at,5.62499369241896,5.820099561369,6.18082542765266,5.74107894350307,6.13800093255124,6.12959179696897,5.89203576171467,5.87960884718909,6.46301957646402,5.37373126083416,5.44187910667927,5.49011731465176,5.26698030589363,4.89184225742332,5.33061601339864,5.35680623667247,5.26419212187623,4.53333665495966,5.34147647349643,5.50766216710412,4.78607916536513,5.06357987938753
1861_at,5.95142224016966,6.36666682180771,6.24591817984413,6.52002935409349,6.53079989561711,6.57825770558492,6.53203437504112,5.98951701264994,5.44594296666435,6.02839616147815,5.50995675361015,6.00531630929082,6.20636466346491,5.41062490544228,6.41417648150694,5.81338650684093,6.832995179305,5.97390363548431,5.26216704021209,5.29818667423039,6.22197366968052,5.58095864058888
