,GSM215084,GSM215085,GSM215086,GSM215087,GSM215097,GSM215098,GSM215101,GSM215102,GSM215109,GSM215111,GSM215114,GSM215052,GSM215053,GSM215054,GSM215055,GSM215065,GSM215066,GSM215069,GSM215070,GSM215077,GSM215079,GSM215082
1552263_at,6.04539289324834,5.8406745475746,5.76692316547851,6.55459532366435,6.4352042336032,6.16392321695499,6.56592882911087,5.79660914038264,5.49990681481853,5.98732371604208,6.29917301872949,5.9275563585568,5.65931242250134,5.39684477179499,5.99047672037809,6.24041448200381,6.19879612539317,5.90761240599994,5.67540969565077,5.27785222957786,5.86138862695266,6.06251603215157
1555540_at,3.96933467018975,4.16034978586332,5.05886426854378,4.25033021305455,4.72445798874727,4.59204010485456,3.80648712559804,4.5126718388199,5.04117351660427,5.11828589118739,4.34642728868039,5.5039563542685,5.34776689180487,4.75576880044489,4.9634309842269,4.93269575557271,5.04177051977842,5.14249039512497,5.51421610439192,6.24656917936543,5.3399936788718,4.61148317593305
1555982_at,5.62336679715409,5.81523416586094,6.06008005976328,6.10230840450402,5.53215443280782,6.2099735822706,5.96195590823458,5.53433969155465,5.33166331286607,5.9110232974165,5.26857520649272,5.84517422753656,5.6449541717029,5.45727619080859,5.56278853790488,5.54094870866941,5.87560546923495,5.57295070293679,5.43943972784431,5.26465278164704,5.80882303090499,5.01922176013505
1561486_at,6.13814974905449,5.15992559469446,5.36812415254225,5.48063555905438,5.30890253343537,5.32230654606201,5.11479418332082,5.60580448371866,5.52811837345498,5.57586826471796,5.13241737517038,5.08827223754442,4.23876274197793,4.71253891719563,4.53013120686118,5.08211337043492,5.10982131657129,4.83378051638857,4.66750217635503,4.59847875782856,5.01772627652781,4.55099615874688
200695_at,3.75752914358139,3.87699709236038,3.68216849548616,3.92519023802872,3.93850871790833,4.09455593997871,4.18582860603128,3.86968769317911,3.69272466085632,3.80067373500863,3.7905277161179,3.37851666391856,3.59740328511015,3.25733831353589,3.54960468318583,3.88697645629786,3.73832596636467,3.58191457426508,3.45733694304716,3.66422903018652,3.85494118397704,3.6066185864921
200711_s_at,3.89219071814467,3.75364321597997,3.83131754440638,3.58612849380821,3.80188805756286,3.77047532598706,4.0026650029314,3.82354926869676,3.97943463215616,3.73342272876937,3.717695626316,3.72614657710787,3.89359005950872,3.91312990149078,3.97852123490377,3.93078739994277,3.65884472408213,3.68609544596149,3.78267619658128,3.72945860573941,3.67323231152868,3.75511486627737
201108_s_at,3.13406728709869,3.28402201965004,3.1115821957093,3.10265085506477,3.16004374766081,3.1112345187168,3.18304846586944,3.21590293728978,3.21984259606692,3.10995388121524,3.30506898759822,3.37244121110876,3.19937442165442,3.18543295679988,2.88273803234087,2.99751720888466,3.14121628091838,3.11273195480043,3.16851698613304,3.01369589453107,3.05802356782272,3.22590964614921
201566_x_at,4.34634641755291,4.15176135014065,4.39523269977312,4.59796109269361,4.15105039776619,4.23211883023844,4.45085807414399,4.48732404624443,4.36100300308591,4.84887733193534,4.11120418703639,4.40779205279016,4.30869614624034,4.29584005218919,4.19346223109044,4.38897787147602,4.43902059408147,4.54823202662151,4.26560414818153,4.54007162637194,4.47973737640174,4.01585960733279
202248_at,3.81170052341253,3.77935082482983,3.78173162148536,3.61743398843598,3.62129388941794,3.56713161199746,3.70026389763946,3.73254181977002,3.94687042276569,3.89866031437642,3.80802441044705,3.59527744456869,3.97332773344047,3.77890327730275,4.2981338909177,3.49310719863058,3.62346070525759,3.73329082499632,3.955714261888,4.2663832363954,3.99385629411058,4.07760088957284
202526_at,5.07630823773168,5.48403320275311,5.29613300975186,5.12673674377828,5.10685178149782,4.86438956419357,4.91207323936062,5.22559278382535,5.40894633325786,5.57482804027433,5.48806820089609,5.0857499702607,4.98717479528245,4.725936400608,5.23738167734208,4.75607349162568,4.99904332850611,5.28770901587151,5.08380284493583,5.78553833836503,5.07307710482791,5.32465976048984
202884_s_at,4.33475028164301,4.51006050573276,4.44115573643308,4.65402424505614,4.18414328426638,4.52733462147138,4.3621496516194,4.66433735313803,4.28478455378581,4.3101370159223,4.58249972307561,4.06874146009099,4.75827399506368,4.46969090486488,4.68615079212486,4.49791517146114,4.80170611521768,4.63853925180017,4.37236929941947,4.31106717752729,4.51045725270604,4.67139844095687
203075_at,4.01851138170217,3.67400226548743,3.66602052910366,4.01398118507824,4.27586336201637,3.93387197380601,3.3629751548602,3.78360948447031,3.72170557804913,3.47602465026976,3.44720328950293,4.21128611819353,3.73296499985589,4.63511766734258,3.86567374824295,4.03808715746244,4.0738839199943,4.25853984591526,3.62679009145655,3.86415555793101,3.94555836833493,3.71335767067059
203085_s_at,5.20936338611954,5.68337833326681,4.97819126097128,4.70337477100149,4.960118898996,4.73393130086234,4.36440316841943,4.66203351981847,5.3915773358618,5.41459909671767,5.00316365723863,4.65814111185315,4.07992913920898,4.49402732982057,4.20043328952144,3.91368010178549,4.12715650529548,4.15974608417449,3.74480272735362,4.22582210445568,4.64220103398851,4.07654728850862
203651_at,9.57873162472883,9.62286687109495,9.65581767499378,9.5963478145216,9.53448759569087,9.41769647772281,9.56007007585266,9.9120010877902,9.74224592220742,9.61494099318954,9.71600820486089,9.45326506149528,9.51898288410337,9.5823520224894,9.69563894104765,9.37360311264953,9.39410899016758,9.50781150346847,9.5709670309058,9.35829044484863,9.40810768439012,9.91425591342574
204147_s_at,7.49472298625336,7.36606192174779,7.82626596956608,7.8903083245983,7.9508065630306,7.73719969961058,7.5799416821957,7.90584445918127,8.43442212621564,7.79637433198104,7.90921745408245,7.94775964029935,8.2470874929042,8.32760416370609,7.87869171272574,8.38184799132876,8.46424689367493,8.1810019113912,8.27177917683618,8.41727641698279,8.10948901440258,8.27723480229847
204832_s_at,6.62058725982341,8.00129874166615,8.13931894723806,7.49913346119102,8.26523962191999,7.59451895711104,7.90414710817563,7.56280665158266,8.0775144830923,6.64401875823514,6.77258047984034,8.37447706401919,9.54974135263943,9.59024978419546,8.45432641117878,8.89849085593111,9.80892120780423,9.30304245927122,9.3705885357222,8.63853303438934,9.11135170532947,8.5671006204456
205209_at,4.02898693514415,4.26123869807959,4.28539918285518,5.22580324610144,4.33468398281956,4.34222491247019,4.70941439272391,4.89914109920838,3.64238990211839,3.98957824441221,4.36870425969666,4.74025484074665,4.57827860763738,4.34427319374856,4.7690296260717,4.1887778708664,4.66863829331133,4.59168808892227,4.13816729112553,4.12619308856933,4.40843881588209,4.27361128989965
205290_s_at,8.58937768767852,8.53872661515344,8.21379802458318,8.78858260782444,8.43319962414464,8.02805669956793,8.44246679737528,8.46714658845708,8.75712396769229,8.81454320667584,9.11135170532947,8.74436362353431,8.86837962699754,8.5287461550937,8.82444328538391,9.059040136533,8.30738082941211,8.32633359460203,9.17087824296167,8.73137501227266,8.99567372520089,9.17038386483706
205296_at,10.3362469268843,9.83348378761853,9.88492139161662,9.72651853055498,9.8589455117669,9.61623345450278,9.71364557868517,9.91638610258234,10.6085466858443,10.071214178196,10.0905988265012,10.0276706056211,9.52459879562523,9.57385189656681,9.70588133510846,9.55896118997464,9.40356540308602,9.67427615587572,9.77410435661929,10.3001572062423,9.80160313883164,10.3630537643073
205396_at,6.73022065723623,6.3272672916098,5.4690670929615,6.97892513592003,6.18200787864544,6.4614819224167,6.73505074481911,5.56075739856178,6.95242743405107,5.6912028602698,6.01864427658094,8.0765677551423,7.36686082452725,7.83644449495246,7.6524077138431,8.99118928547344,8.39063016893898,8.60913260797155,8.35650574668786,8.7827059573513,7.49809852250254,7.94222506548363
206176_at,4.78245972223864,4.861611558895,4.90049018825719,4.37818061406702,4.56109955166679,4.77741084124361,4.75427088389758,5.35207888797292,4.5997995037874,4.74135065770942,4.89933563969205,4.80316538638505,5.2756625462776,5.28875126447031,5.12930643761164,4.52211592094813,4.78424806426098,4.74757765761685,4.79505166250126,4.25028351690941,4.80952564498166,4.98367733560439
206614_at,6.10249402733621,5.99795392982476,5.58007388205295,5.97674861137421,5.68821933928002,5.43764029653589,5.70219494836245,5.81066141128714,6.0798007363573,6.30974151704882,6.67342820624598,5.57097558608694,6.16343865608796,5.84380774724816,6.46347098741533,6.35711422204566,5.95109866584248,5.99515647036827,5.95465377639493,5.31262412557833,6.71023800747231,6.59778598242543
206943_at,6.2925791073072,6.34408241106374,6.39147024350245,6.15874026897973,6.79574760413295,6.42249164208846,6.38707977712291,6.55847306932234,6.27782996254605,6.53945788703376,6.60364692648828,6.45880541533606,6.08378988158282,6.42018130089953,6.24800230174258,6.32661403744308,6.17848036458232,6.06192851357688,6.39361676873625,5.679163515608,6.32049182092361,6.83365786325842
207113_s_at,11.5329320979347,10.9648882071377,10.6210470745363,10.6075198010521,11.2624936649083,11.1658120285512,10.573999150174,11.090442445965,10.4142461569449,11.0200762776504,10.7425619110496,9.28447867915225,9.53503060663739,9.47433161038787,9.33563219926384,9.27349914661962,9.58383448431228,9.05575725790949,9.57153426191591,9.80720486467936,9.19103082318975,9.87524558226499
207334_s_at,6.09944759862834,6.92360080729928,6.48100336520117,6.19850125843614,6.18169970648789,6.42131521927509,6.9232354630761,6.69479037835046,6.82466578599548,6.92182654988117,6.16838848562145,5.64067365615229,6.34154897348951,6.48631029398883,6.64382467791314,6.03891070354448,6.2693704767415,6.76881089528842,6.39480333595775,6.47624809402846,6.30095403958493,5.95565756646899
207614_s_at,6.36762389266439,7.10795749714695,6.99004625191655,7.14154101372614,7.10627499552924,7.21159979842757,7.06949134503162,6.2705921333928,5.72217680455141,6.71239673548674,6.53287560232031,5.83558656779431,6.15346315437971,6.38220771589783,6.32413709758192,6.763632763649,6.66757254525166,6.37039001974672,5.72890183897534,5.82184148820512,6.23842542796569,5.51153644146478
208015_at,5.91146962151682,6.1693023538008,6.36177964309008,5.96676458336657,6.14497051775574,6.6331303046821,5.95051388329261,5.40035604191442,5.61248752109169,5.37494044663171,5.6305355523005,6.14565797868885,6.20543124482252,6.08808806418134,6.15290997058975,6.32781056405263,6.42032058146527,5.65739306336426,5.65300764327935,5.87186586869947,5.63127777856071,5.42452949782431
208222_at,5.18828546383847,5.3943808589747,4.88233510508252,5.75929975808198,5.0190064761747,5.26322138953366,5.7851565621351,5.77528379366543,5.91191506800477,5.47979240421478,5.97135253808363,5.65242566412267,5.21260083443384,5.42727183656033,6.30523865546896,5.95793661352899,5.66396675327875,6.39113388559924,6.28308307858301,5.85431142701322,5.69039515680036,6.50825696948597
208223_s_at,7.34174216460787,6.65069838075175,6.53586471020784,7.78838528261161,6.99727050699161,6.29207077141516,7.64854895989009,6.73972725191374,7.45932485796214,8.04448447164917,8.93718487718942,5.37402514281246,6.68382473427274,7.92374252546886,7.40639363503157,6.84224775786103,7.01408500753068,7.47248185581818,7.51862821155342,7.30359537202782,7.00734860558297,7.35534166649776
208351_s_at,7.31325573505336,7.20159085014872,7.26137924278307,7.35837215817592,7.31921390757502,6.97242278573285,7.09744236985054,6.87784416684747,7.31005227611955,6.8974453440073,7.19619947731718,7.30398189656783,6.63421460313782,6.81312513614545,6.99506239496205,6.88190031010694,6.63956372770336,6.85136117764991,7.00444943285615,6.33057227535256,6.77441580511058,7.28553083519577
208446_s_at,7.62250998674351,7.64208453449199,7.41605865796246,7.46256697514602,7.58807280024876,7.719503428387,8.04819728375635,7.67098394729755,7.48994487568199,7.84772442101961,7.73719969961058,7.5850042405578,7.72852972325093,7.47384899933883,7.2965882454701,7.63563978600405,7.63663958980977,7.57675636962733,7.28461259475642,7.45918754614595,7.58351463221657,7.46899220035249
208944_at,5.24964910387837,5.34308210513263,4.91290558944909,5.94288381895308,4.97889207230253,5.02808001061235,5.44657140189777,4.5655243559871,4.82338407160797,4.8364222644062,5.35573045072093,4.91390984406352,4.35270644456713,3.88378304377714,5.1162146841306,5.05025074098731,4.44954557094323,4.9082629663974,4.60685378642206,4.34102153448681,4.45224278114295,4.76111761014252
209293_x_at,7.30962811607359,7.26588796656919,7.43279252685018,7.78475024825026,7.71663673814878,7.53753717118092,7.11787446365814,7.4443724483019,7.36216248233832,7.51050112890032,7.49913346119102,7.45918754614595,7.057590537292,7.39158234196553,7.40117151347003,7.6704907739129,7.52948593620844,7.25516957700998,7.18244421822435,7.56585733904674,7.34710620722478,7.34815438863248
209335_at,8.23692291859762,7.98408241157776,7.62493030120336,7.89287316545461,7.93331235758902,7.48977497594502,7.93587512354494,7.86439828357638,8.41841601684697,7.60793483044509,8.57141944816378,7.59149441922568,7.59167325081727,7.22814958251079,7.48511897151703,7.62250998674351,7.44119749421887,7.63592603749172,8.24506675300506,7.35960700037965,7.9261573883705,8.2857904313104
