,GSM215052,GSM215053,GSM215054,GSM215055,GSM215065,GSM215066,GSM215069,GSM215070,GSM215077,GSM215079,GSM215082,GSM215084,GSM215085,GSM215086,GSM215087,GSM215097,GSM215098,GSM215101,GSM215102,GSM215109,GSM215111,GSM215114
1552973_at,3.86815337300629,3.9113212545541,3.85842470758714,3.94643262679638,3.90284395227099,4.00011171511645,4.25820108843113,3.99910046001571,4.0489141668894,4.00475907191713,4.03273011686212,3.94732806310041,3.85562571200813,3.84054180425247,4.0402016704388,4.07473242857174,3.95595930802745,3.87078724139797,4.25129418781638,3.5381339046266,3.97204472064197,4.08466364565892
1553115_at,3.80596161709004,3.74372694071827,3.61980295358604,3.52493793619239,3.8625397510511,3.88552356409179,4.08904119707309,4.21510281481409,3.99023698799457,4.05945409050825,4.02163883495225,3.54182372794741,3.57807981352966,3.77973689592765,3.66346314948212,3.84143555379478,3.84661987619468,3.91099114293894,4.03951015501335,4.04160589158081,3.63700994738698,3.96756246935344
1555989_at,5.15797227579237,5.26192667657375,5.12661274120878,5.49316653510022,5.24766303178871,5.37280195502588,5.47014902072829,4.94516607362659,5.0897478906587,5.17556826947295,4.93923197401252,6.36134840005153,6.50112456776592,6.90358684292124,8.45006066343886,6.13384483668072,7.18956937356242,6.31157898552585,5.69526628739619,6.24216038085345,6.99660486271535,8.45716839688498
1556006_s_at,7.07214845326979,7.89723965953868,7.80204411520931,6.21739131351883,6.80679610142788,7.41980000201877,6.56036313502027,5.52572887712484,7.33499378022305,5.00273525107628,5.24786509077439,8.1537306185379,7.83059929435565,7.54217290816177,6.68912103259984,6.23186707115778,7.63933845437891,6.20711975419148,5.62483856789488,7.17046177704806,5.79443114569375,6.0414183778372
1560074_at,3.37244121110876,3.19937442165442,3.18543295679988,2.88273803234087,2.99751720888466,3.14121628091838,3.11273195480043,3.16851698613304,3.01369589453107,3.05802356782272,3.22590964614921,3.13406728709869,3.28402201965004,3.1115821957093,3.10265085506477,3.16004374766081,3.1112345187168,3.18304846586944,3.21590293728978,3.21984259606692,3.10995388121524,3.30506898759822
1562028_at,7.8627686504818,8.16513213252555,6.14815727542235,6.27680869305245,8.00321971255397,6.27245370104237,8.54677148615099,6.65347031857292,9.43436876441053,8.94038064335775,6.1204034440619,7.41750447350034,7.84369443268094,5.85886775859328,6.3946472687379,7.96103654469511,6.13412219710053,8.20419804588033,6.70402566383715,9.96762514326488,8.67099788413176,5.98607756931538
1567443_x_at,4.77591987693106,4.43088766346841,4.42087092552315,4.61012099564955,4.72850858050774,5.16280310859707,5.96325245897364,4.73883005824566,5.19127176041742,5.37359145570567,4.54959323754117,4.89637202684017,4.11263965374656,4.059863839713,4.59135144497376,5.00761305047106,4.76584443737675,4.98079248087812,4.59212983929636,4.40551306041904,5.72827823331416,4.65338734956685
201381_x_at,4.93879037283748,4.59996968371426,5.12181857545819,5.05776328583724,5.52415316555832,4.51217278536394,5.42466917044037,4.99169774142837,4.70249529521564,4.54924000363912,5.55488921524465,5.07684266801784,4.69578271401995,4.97830161299317,5.6335874864839,5.28875126447031,4.94464130281499,4.80567221035269,5.06739321272443,5.56690554348974,4.81918779957802,5.49246625007044
201390_s_at,5.86704170838346,5.68097809765727,5.56885578962861,5.24698915578585,4.95049706491233,5.25959145402344,5.12640065097015,5.68926515174647,5.34360430122628,5.28394144808729,5.39540298916062,5.32241974019816,5.20333378960117,5.42968299190905,5.11817744880585,5.51832239984972,5.14037829630764,5.16731252372982,5.21213221877388,5.61437281296472,5.13310596818804,5.05807447136061
201869_s_at,6.86076369635521,7.66196081146092,7.59555189954337,6.98264437865085,7.53455107495405,7.45644531207846,7.10049207976778,7.01408500753068,6.8293867953322,7.00960521897939,6.04794515694209,6.21852129411808,6.68067453113025,6.91080913913078,6.43949640203875,6.61041447421659,6.50671345765592,6.65835143223143,6.69216673953914,6.16384735005937,6.32894843948109,5.78938204688619
