,GSM215084,GSM215085,GSM215086,GSM215087,GSM215097,GSM215098,GSM215101,GSM215102,GSM215109,GSM215111,GSM215114,GSM215052,GSM215053,GSM215054,GSM215055,GSM215065,GSM215066,GSM215069,GSM215070,GSM215077,GSM215079,GSM215082
1552617_a_at,8.4507912267563,8.59942309715173,8.58769195133216,8.60007304654335,8.48141602259891,8.38134085019485,8.48870128848349,8.25437082449415,8.24384467561709,8.25922157246804,8.12820321335453,8.2182930179369,8.26159025709362,8.08684175335738,8.18835734136694,8.46685006126874,7.98526931553048,8.23193890899519,8.02267907986773,8.13332067705599,7.90180772663081,7.8817018795361
1553306_at,3.54447987768007,4.14183622597049,3.67868626052996,3.70152084013661,3.44296116410677,3.88058585054897,3.50591713962428,3.46405363577058,3.48102065729125,3.38442594610529,3.42578665456322,3.49757373541744,3.45831544728108,3.79345746034305,3.87047535972667,3.53921524175295,3.4550621074021,3.38545455455008,3.5439239935196,3.26425915458533,3.51289710408068,3.54106962370593
1553387_at,3.78621259802623,3.8977947731707,3.97280096133831,3.76475195479164,3.72083908526476,3.97070554870829,4.05210084765427,3.9417286765477,3.90585601997736,4.23334749282922,3.82128827043365,3.92156616578795,3.7538948580132,4.2704301991421,3.80315095566862,3.89014428754702,3.69169617630922,4.2738607468077,3.80990454460293,4.35339792862076,3.97875715426444,4.023116353776
1553869_at,3.47888317468602,3.2325603028555,3.43337178033577,3.3735038648549,3.2601527653026,3.44050671445711,3.40070308692269,3.52013934369261,3.62371814283711,3.44899506425208,3.33403176367234,3.43389903680599,3.190449407308,3.09007063238285,3.22467842379977,3.11210015396684,3.26972326987094,3.02072565561075,3.28342096230883,3.13832415209141,3.17915905256677,3.22961977903609
1554379_a_at,5.83992348829125,5.96195590823458,5.78365072451399,5.41756664256911,5.81976712794226,5.38902735442923,5.76749382454524,6.06658983175683,6.16324442968481,5.55127751062117,5.92274284239064,5.72907647144465,5.69001364918805,5.54265591439847,5.55816827490648,5.64578377690706,5.47589311500102,5.29471950790549,5.75882483564924,5.86182501518406,5.44939859392256,6.00354848422313
1554631_at,4.54015942562041,4.28033472337554,4.23959224741196,4.0970629641032,4.61676992353998,4.27420025858166,4.2389134123266,4.12318834835132,3.98751656253416,4.03533920316266,4.41110301770821,4.12023898259738,4.01208393521942,4.26390210653564,4.12610054130393,4.37461559768954,4.23565813460155,4.2550554966889,4.15845684463263,4.57724826771412,4.10313499643039,4.32643886142212
1554830_a_at,5.56189266521035,4.3561536404526,4.59572389796354,5.21379548987294,4.71716496376049,4.90565343143114,4.88962464253428,4.99915556350654,4.61896183914825,4.57142555208865,4.42187725588296,4.20494381804078,4.58054133441847,3.98817051254357,3.95821368476116,4.87644895639307,4.10327202392416,4.48281242851376,4.29044528921762,4.35776926465604,4.48388419457969,4.01811902224022
1555056_at,4.21856446933628,4.2609686699842,3.82363217760666,4.27155676260646,4.14789135101587,4.15088696627072,4.18043570826568,4.08965632362137,4.60349231759286,3.82416521307256,4.12619308856933,4.29195929374587,4.05627389660118,4.18545287309167,4.3324851454692,4.62089055278028,4.07035442845542,3.90042266624739,4.13140016791371,3.73748265165423,4.11271207497082,4.25496818219036
1555551_at,3.78291603087664,3.34731360588884,3.05876632369389,3.01539499370876,2.93236558904038,3.13179079421083,3.00923596879963,3.09985983086669,3.2966572069203,2.83680821142423,3.04630113894277,3.31074589541864,3.01044769008376,3.3264841008414,2.99684378334163,2.86249306209808,2.89784156034875,3.13536077400234,3.03780612126745,3.02999446335352,3.03857242143492,2.96301445674764
1555609_a_at,6.8986596946906,4.71955298013879,5.59636920107153,5.32186990531707,5.36017748270831,5.45538870198934,5.33945564678736,4.70817127537528,4.23074021866271,4.51652959546217,4.94530083728196,4.57237481953813,5.07003362681002,4.91626612777384,5.10773030731118,4.68283964903075,5.30091554036857,4.76743301036506,4.6073199935954,4.1805372518601,4.28741900636084,4.46571978199847
