,GSM215052,GSM215053,GSM215054,GSM215055,GSM215065,GSM215066,GSM215069,GSM215070,GSM215077,GSM215079,GSM215082,GSM215084,GSM215085,GSM215086,GSM215087,GSM215097,GSM215098,GSM215101,GSM215102,GSM215109,GSM215111,GSM215114
1552617_a_at,8.2182930179369,8.26159025709362,8.08684175335738,8.18835734136694,8.46685006126874,7.98526931553048,8.23193890899519,8.02267907986773,8.13332067705599,7.90180772663081,7.8817018795361,8.4507912267563,8.59942309715173,8.58769195133216,8.60007304654335,8.48141602259891,8.38134085019485,8.48870128848349,8.25437082449415,8.24384467561709,8.25922157246804,8.12820321335453
1553869_at,6.06361384969471,6.84865327184124,6.84240398791229,6.31157898552585,6.57363868187039,7.0706489606899,6.42217369805104,5.74860701740238,5.95761474023061,6.56985626174295,5.67349805234259,7.07668239465375,7.78262925889179,7.29678627896362,6.9423538799031,7.31288741269608,7.76298537371704,6.90159622706734,6.97485710557828,6.50256048292371,7.76504372461978,6.22686652895379
1555551_at,4.20728545392394,4.18368275361934,4.83397660775643,5.04659899429669,4.50254196778702,4.72861746152313,4.58205565110935,4.47855465639745,4.98694866442949,4.76849301522703,4.38478923034285,4.90877439607923,4.58610075088421,4.60811259236116,4.85529354956897,4.13853554674891,4.70388944930123,4.29008052451722,4.53158003681835,4.59369185544726,5.38914863777315,4.39288363768751
1570352_at,4.22422920120848,4.20223064684745,4.00817824999433,4.29847424740833,4.37777415981178,4.2239673799468,4.07888486895907,3.72634357340539,3.73155125162919,3.85043606732746,3.73787557619446,5.02071595856758,5.7094288557859,4.75200799815822,4.95654095445638,4.59951804285209,4.27866109897451,4.32204617570737,5.21475812101723,4.72322009137393,5.80779518949127,4.64791213675114
201108_s_at,4.47322649938735,4.4902566878819,4.39201446569474,4.68844054048,4.05320713491613,4.19058452840754,3.99687148788034,4.09282294281226,4.12894867714703,4.167917203487,4.21724029584045,4.40391512104674,4.72902875531015,4.67149240289894,4.34181157184887,4.76181428407694,4.41395235181823,3.76781468175214,4.84295778607777,4.13915941869223,4.4866092139958,4.50053560900512
201110_s_at,4.20494381804078,4.58054133441847,3.98817051254357,3.95821368476116,4.87644895639307,4.10327202392416,4.48281242851376,4.29044528921762,4.35776926465604,4.48388419457969,4.01811902224022,5.56189266521035,4.3561536404526,4.59572389796354,5.21379548987294,4.71716496376049,4.90565343143114,4.88962464253428,4.99915556350654,4.61896183914825,4.57142555208865,4.42187725588296
202627_s_at,6.14504514580656,5.8318772161038,5.70104793121499,5.98251373388311,6.27169327005301,5.9597516332014,5.76146133219211,6.02614684858866,6.46117676577742,5.78728445699703,5.34028380958207,5.04051069553279,5.23300634542434,5.47625078447692,5.74612044554292,5.37976323450932,5.14759871412433,5.72842375539627,5.53105427520339,5.8279516231062,5.6493777150239,5.63484979571032
202705_at,4.90744349386482,5.53881842595599,4.8349011124314,4.967142968727,7.90324354239861,5.52011871536357,6.01190938175593,6.87582910936482,5.25658025310208,6.09883955955807,6.6186493658858,10.9299332159584,8.87063555745272,7.83644449495246,9.48963682328227,8.97591538372623,9.41363110985198,11.6381209120906,10.556112865713,8.86680974224202,8.296295588948,9.15466718681281
202763_at,4.57237481953813,5.07003362681002,4.91626612777384,5.10773030731118,4.68283964903075,5.30091554036857,4.76743301036506,4.6073199935954,4.1805372518601,4.28741900636084,4.46571978199847,6.8986596946906,4.71955298013879,5.59636920107153,5.32186990531707,5.36017748270831,5.45538870198934,5.33945564678736,4.70817127537528,4.23074021866271,4.51652959546217,4.94530083728196
203725_at,5.13310596818804,6.06502063720327,5.61575960571693,5.6119835246673,6.11298126835401,5.79591077405948,5.53359187690984,5.87215081605302,5.23614459610929,5.75088768766862,4.82790982316172,7.79312262888151,7.09023995530635,6.8048386502309,6.93682423910817,7.22308712741007,6.94551785265318,7.16441995346344,6.69786044506839,5.98594463185018,6.99094478107117,6.02585914733504
204054_at,5.11772199453695,5.54242959562231,5.66502459821346,5.31922664003165,5.82373459250982,5.87186586869947,5.78380683989975,5.36219803717768,4.90907571573165,5.2926920608342,5.10157264142042,5.67017435535189,5.73076529363483,5.68688301634126,6.13830282954456,5.43445068778192,5.46770813512019,6.12867596004719,5.78164664134784,5.33166331286607,5.39303511993523,5.23040644261344
