,GSM240430,GSM240431,GSM240432,GSM240433,GSM240494,GSM240495,GSM240496,GSM240497,GSM240498,GSM240499,GSM239345,GSM239346,GSM239348,GSM239363,GSM239460,GSM239485,GSM239488,GSM239490,GSM239491,GSM239493,GSM239494,GSM239495,GSM239496,GSM239498,GSM239516,GSM239580,GSM240405,GSM240406,GSM240429
200059_s_at,11.9503027559034,11.7073586714006,11.9362376216184,11.6589013689539,12.3575062502215,11.8152221131913,11.8234384600466,11.645498495115,11.5494360036485,12.2141652450636,11.2162489427546,11.8083363124006,11.9744207300106,11.6239392026364,11.8532882623867,11.5059966029314,12.382015235756,11.5494360036485,11.5888902146096,11.8377178881202,11.7913435964898,11.4711506558125,11.8532882623867,11.8902271587025,11.8083363124006,11.8152221131913,11.7408912653053,11.7073586714006,11.5545007840707
200711_s_at,7.75751146614538,8.41089244611389,8.15428316091418,7.65434786956593,7.70358628362306,7.89479592453789,8.24809268658017,8.22430410310273,7.9868013865877,7.83415170082435,8.5352975087508,8.62079592374091,9.32086572392497,9.11186833179995,8.71967375986853,9.11876316962785,8.9213480832221,9.13801830452357,9.60954116726281,9.023660953025,9.02971458657705,9.44146427168342,9.57708817649861,8.09761449917467,8.15706429832038,8.30555676092269,7.9752922345132,9.05501902426425,7.95122048859204
200718_s_at,9.75601263328141,10.2682170779255,10.5506975542656,9.66122199030732,10.1722251599487,10.3950500817584,10.4194969587177,10.3950500817584,10.2783985527881,9.99196685385232,10.9614280775405,10.7928528907631,10.9816978805443,10.6124397985682,10.7201595995484,11.3062345649511,10.8946107375437,11.0148018936547,10.8801916014727,11.3519709214659,11.1737176692258,11.4006229542682,11.1443195525018,10.7358824162577,10.8768513557678,11.0876647359196,10.7821896004393,10.5207447608296,10.711295502983
200719_at,7.78493597109692,7.89414986935072,7.69553521074498,7.17281504090037,7.80964520690324,7.17229024044453,7.99805542116239,7.68817012825716,7.6404638256859,7.65929207510319,8.15800341290376,7.65359740707447,9.08347256914657,9.12856367114971,9.19165643386086,7.85388271476238,9.08021077127122,8.46001009165008,9.25297052203173,8.74338031729666,8.71594283384513,9.32086572392497,8.8233582186103,8.16179479915418,8.11261173137179,7.58092688057576,7.09144887810636,8.30418415706273,7.71091354238244
200951_s_at,5.32720391596213,5.26590915464216,5.61247883941227,5.7845814218802,5.37081726451322,5.47768390175615,5.3058000862873,5.31806488057473,5.3165147144103,5.57026761092018,5.81662058750051,5.8050009557117,7.60297825417188,5.23536804106758,6.00078765592644,6.58366872078952,5.43212733946437,6.6502516782018,6.16713681562734,5.69856363703362,5.94178712161851,5.8180330485042,7.51235164962083,5.60460527157905,5.58029573016839,5.76300516914305,6.21656592315403,8.22564536053058,5.73154245955989
200952_s_at,5.78132668092536,5.83385692063394,6.08734412950476,5.567289598086,6.24566467265581,5.83281765472749,5.83670601378369,5.53684740599247,5.70191669551289,5.81212123941094,6.98192624485433,6.2142814665396,6.56126900769533,5.63821765584207,6.22972462571548,5.91864844923493,5.71603935471584,7.42349233565307,5.86363224532292,6.97797233522671,6.53315807372117,6.29723093988107,6.66300607959193,6.20021296873492,6.38626034518955,5.72908717336966,5.87846539772833,8.51666964671605,5.77495158521767
200953_s_at,8.48029843790191,8.65867011228032,8.35277353256879,8.72339159637854,8.07417393825889,9.02766695102285,8.62330661171146,8.24296212862883,8.39657544816349,8.26128099640289,10.6933607300229,8.39319020644566,10.3155923223582,7.07068150551699,9.17368490902971,9.26007679814616,5.80774299343569,10.2256168085647,10.1182229342301,9.75601263328141,9.56982963262276,9.95280069773816,10.1992927942918,7.32208649110315,7.93755866347807,8.3261996281064,9.87701121088443,11.4821261465103,10.1862761690067
201218_at,7.88449992509617,7.488448442132,8.16134604874741,7.47575961890102,8.16844981123385,7.48213032517863,8.03387765040777,8.15496023102746,8.04584433777328,7.52202226760535,8.53468068996085,8.73901032736735,6.2584422470082,6.70300956894228,5.41332368612358,6.94352853189222,5.92114676750885,7.35618006613305,6.27625905858497,7.56808255787762,7.02126508097568,6.82690027982131,6.48584160201649,6.62587681615862,8.10561764605242,7.95626181976674,8.65921573827712,6.57691374545727,4.74868623850848
201219_at,7.25551107720608,6.8450670566177,6.80367992536587,6.92546830486381,6.63241873181843,6.59686168856822,6.90768127918046,7.22652699621712,6.9457850249724,6.52281727251895,6.57182298973241,6.99679959127974,6.35954869296445,6.05242460267452,5.5276171345707,6.399521638607,5.51961144080863,6.56850367463152,6.07409100835539,5.74407328099342,6.07650611953472,5.70843285736405,6.16177072490688,5.82041974696757,6.24479982375842,6.38034905372702,7.00336681278708,6.14564095008134,5.45039003815114
201220_x_at,9.9304326142982,9.62096462560496,9.61859985545225,9.88546146134888,9.88942206823373,9.83758142772216,9.78593644904359,9.53741567027931,9.90092620359271,9.5811829023897,10.0835073804233,9.52881911928594,8.6720325000896,9.09942782696005,8.80958574788035,9.27229215515548,8.5266630726349,9.12638101758519,8.5117734857948,8.94184390470301,9.24762954659176,9.23900135038331,8.74506552220435,9.52261618131797,9.73048233761753,9.50472307516477,10.2085576533985,9.50472307516477,7.29661811895167
