,GSM240430,GSM240431,GSM240432,GSM240433,GSM240494,GSM240495,GSM240496,GSM240497,GSM240498,GSM240499,GSM239345,GSM239346,GSM239348,GSM239363,GSM239460,GSM239485,GSM239488,GSM239490,GSM239491,GSM239493,GSM239494,GSM239495,GSM239496,GSM239498,GSM239516,GSM239580,GSM240405,GSM240406,GSM240429
200059_s_at,11.9503027559034,11.7073586714006,11.9362376216184,11.6589013689539,12.3575062502215,11.8152221131913,11.8234384600466,11.645498495115,11.5494360036485,12.2141652450636,11.2162489427546,11.8083363124006,11.9744207300106,11.6239392026364,11.8532882623867,11.5059966029314,12.382015235756,11.5494360036485,11.5888902146096,11.8377178881202,11.7913435964898,11.4711506558125,11.8532882623867,11.8902271587025,11.8083363124006,11.8152221131913,11.7408912653053,11.7073586714006,11.5545007840707
201195_s_at,5.20358449134413,5.31038904446236,5.0050822998202,5.95717811788741,4.99338481571898,5.17888047563199,5.00072346526378,5.09321265679832,5.35829537489295,5.11810801998629,4.96104337048119,5.16646983440182,5.27350328558281,5.10129037893925,5.10904502227889,5.49023548318779,5.0413214738542,5.18421427836592,5.19182547661121,4.97592818878076,5.20856744540591,5.0557282827884,5.31287506832686,5.30727846570133,5.05028506475025,5.12106669549495,5.11275206339395,5.06504208852372,5.12513668371141
201244_s_at,7.92514682932893,7.99157205703856,7.86193674914867,8.12443564043341,7.72118608981556,7.77989244478516,7.61332956733329,7.47412256102666,7.7804679730898,7.83973093003377,7.80446162133115,7.92122699773182,8.77684802639771,8.15565005826944,8.65979566437281,8.64326228912836,8.51521901944935,8.4011041081642,8.05301087576443,7.74335168143308,8.34317504633848,8.35054431727428,7.97229190443873,8.59760672959955,8.50249298749026,7.92311276982994,8.41836828587407,8.6089394367971,7.72873530970474
201254_x_at,10.41729350053,10.711295502983,10.625448699257,10.8219252977138,11.2855621344487,10.8637394741466,10.41729350053,10.5131535168835,10.2703217300286,10.8295462136573,8.80488365190853,10.1163447919336,8.26251214835847,9.3536004441036,9.61185196779755,6.57125282344881,9.81437599955969,7.57626653990507,8.24140891791218,8.92667396865424,8.79774244616397,9.01836188885029,8.04924633742194,9.53515091305582,9.94304066599541,9.73161220875795,8.56010180282866,8.55113624210599,8.90493988184952
201435_s_at,7.21830073009169,7.06880651193684,6.47801232299143,7.48027036556161,7.12339591675277,6.55749175773639,7.09144887810636,6.83475591723375,7.2809308584931,6.66208284430566,7.31477165635409,6.94638191030907,8.17131842032696,7.52893704873909,9.5147248707818,8.49649426103779,7.96920972268989,7.52640272507188,10.3533321375836,7.95710893287081,9.39844288964132,8.14146008399662,8.26761175761803,7.46213668810218,7.45424769114117,8.17615253207768,9.08959840387958,9.56225401207068,8.5535049131703
201436_at,10.3837472138692,10.2765999754092,10.1845470279269,10.2180296689689,10.4437137723658,10.227624095526,10.1347538932138,9.81816680071152,10.3259324273848,10.1463584934437,8.48685063083556,8.34220618494354,8.06603039781799,9.36491088358546,8.46690316273949,7.4735735781024,9.0243031937847,8.25090738103289,8.46181071435284,8.12779836861899,8.24573982647664,8.48181360985899,8.13571384085498,8.43792475336168,8.65602333563628,8.33294052870481,8.36773351763165,8.67656267990995,9.03910142025043
201452_at,4.06998627962099,4.52777679170411,4.81814495624272,3.96709947520814,4.20981166433456,4.30366933540653,4.84494778363972,5.44471528804579,4.59656493758806,4.46661192031557,5.94040414374228,5.81172158725144,7.07669482254495,5.29816130102523,5.45694412225191,5.3556122593115,6.22602268447642,5.68105123385538,6.13655412874612,5.33020235426431,4.79650907785161,6.07368163192585,5.83534948537915,4.12283950588656,5.04513493846382,5.30192268476091,5.68587755536887,4.27542888896281,4.80278459330572
201908_at,4.63253990018974,4.35440442460461,4.68167033388342,4.39926058427302,4.65042832232498,4.71830190257717,4.62077918484703,5.03975069949342,4.78389021219364,4.74397578519805,4.70892258737987,5.7470976654375,5.76722652132913,4.93401193962263,5.27508086325592,4.97454420435945,5.29098152171132,5.13386454351721,5.40671910953102,4.80799052704326,4.72935627832827,4.88506841211392,4.5781340606354,4.79225833663124,5.3211360241216,4.54709868990873,5.90769436850434,4.39668138051271,4.65093153427241
201971_s_at,8.18169671942869,7.99021032270698,8.02224177005476,7.97065841289768,8.32444740770325,8.33003341201411,8.35137274317163,8.56746357126918,8.47429679806849,8.37598464945663,7.91842947591211,8.74390924568099,8.37741112652767,7.85027289787561,8.23918331235328,7.76623041609676,7.65718613946313,8.39397978101469,7.47527830950897,8.41567000577989,8.64011357397789,7.59759394802942,7.86225107298715,7.6686125117474,8.15800341290376,9.08727489110288,8.76676496183205,8.47336983604926,8.09681190418813
201972_at,10.3382835181618,10.5410480653768,10.5156778732265,10.7650160361902,10.4109757374589,10.1810836545082,10.8026518806074,10.1794875385131,10.3731354764905,9.62785707591484,8.25614303394805,8.92525999199206,9.80826574788823,10.4437137723658,11.2561128850315,6.11231976872819,10.5113204305391,9.92368507855496,9.30413810244768,8.70125253839842,8.81812576593429,5.85455517379029,10.7231752200569,9.19492658003551,9.0786359310702,6.48660546914303,6.83208255991083,6.46544279330411,6.27217066633598
