,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615
1553249_at,4.21400180889651,4.12611332583949,4.2149681214787,4.2070631674081,4.29595374799074,4.27325152158621,4.32954613660275,4.14853997507993,4.19032529743786,4.21115491185089,4.06599548356765,4.22385499745898,3.97560067167427,4.12270060546566,4.20271110322787,4.104807225194,4.1875373242258,4.18910765786077,4.4113425594046,4.24097246971263,4.29657189808403,4.14720187678955,4.07612615129772,3.98473917240525,4.45423160568719,4.31814586949927,4.16671172009015,4.09414426982208,4.01799997754147,4.23985793955617,4.24949626297531,4.14007334602332,4.23816658868936,4.21376372261066,4.29370342253607,4.01997489184123,4.07452734060476,4.02391298253486,4.20564333692606,4.01940698986407,4.13551412266603,4.04728707446038,4.11316453909851,4.36047167220119,4.22820839415772,4.18196918139752,4.38837535332007,4.3004256287102,4.07335882094091,4.1474020644852,4.15484423759473,4.19809075420002,3.98742969304624,4.11279493097118,4.1875373242258,4.06320295926088,3.96312070926119,4.1849041810977,4.34253916665022,4.10845983180163,4.2621824313679,4.37017723001663,4.00953986291376,4.16028465922228,4.16246440035197,4.2974867627135,4.46177586373414,4.10680691979377,4.34366713690345,4.19726964078683,3.91466167132701,4.0108333110354,4.16977938489801,4.20174664193515,4.31972759994641,4.40094596273553,4.58880867090658,4.2525821839209,4.65521919651097,4.20945194502671,4.42660663865602,4.51164225129558,4.17984300040692,4.05500395936814,4.25377566552832,4.08691701160826,4.27422986793916,4.19118807374414,4.24965447890033,4.48709419118108,4.16151167184015,4.05810297777951,4.29175400879022,4.26932823494998
1553387_at,5.21394139989159,5.21944577101417,5.62388122547809,4.74161623348266,4.69735154364977,4.77834521555063,4.86578290985815,5.26106662512743,5.3656427750218,5.34690990619742,5.24985754604731,5.11570658113376,5.23905661543766,5.03397036494413,5.0903499051853,5.31167634555897,5.33089022286754,5.26856848930247,4.56363042026709,4.95768721134392,5.35774558109509,5.04133188034698,5.03730230881102,5.1251916489483,4.99141885236932,5.25416305949037,5.68868893071097,5.54130665413721,4.92943032567119,5.16713104822925,5.95790210636826,5.69428261360771,6.45784882626894,4.84199515033355,5.56090325025224,4.80873379368172,4.97894080458368,5.20962065192841,4.94286275553268,4.91541848981923,4.82974986162328,4.92294982436861,4.89351324493078,4.77509877789068,4.90704164260515,4.98257094677501,5.82185271318715,5.08839395120576,5.07205293614598,5.85395514724671,4.85640958974393,5.14997339679808,4.37942837365033,5.37017788941781,4.79172614968296,5.27537902446321,5.10502878887099,4.93661275326842,5.43430064565466,5.56418792409804,4.92580049111808,4.75909765627596,5.0637825811522,4.96970883303452,5.56892907717984,4.8648494720087,4.8413448648535,4.91485242222275,5.30358996317312,5.16452422126469,5.02627960459201,4.9859143186725,5.06474450312263,6.02088355548207,5.46563214727629,4.83427744878803,4.88159290971952,6.45384631490311,6.45370673392608,5.98711282846319,4.68598904738069,5.04369511480595,4.95282749873625,4.93886659591286,5.19787509505546,4.83029263428778,4.83773271878476,5.06347897148306,5.06327100795487,4.83812304964298,4.77312980081347,5.17280994372257,5.236550090623,5.24514804424897
1554631_at,6.56941389780994,6.66197509577079,6.74666272053924,6.32259357050627,6.30058648505698,6.33448095940392,6.49313192988676,6.77683721943812,6.71511661726986,6.67163276946547,6.87534327009893,6.64239080370549,6.72585990108993,6.57094467555732,6.25428867107717,6.43965376767193,6.70285498511599,6.45384631490311,6.62867450725498,6.82168106276179,6.43898722598222,6.52319885389688,6.75029877089589,6.61886227908615,6.36651308676897,6.23987679874196,6.37174964656312,5.86340226136389,6.58618466893562,6.35340940289609,6.41763348287103,6.4043525720252,6.88447052611532,6.45809483670865,6.00901355571608,6.41728240428063,6.13837410657145,6.56072927025359,6.38358794876773,6.48516749057899,6.69390308981188,6.34516487730253,6.86484307871943,6.64369027034652,6.27656090804884,6.40135038617744,6.55224124533792,6.55817163862735,6.82332809492087,6.38112026394721,6.38348124126157,6.16786868253974,6.74221909609057,6.49230443181604,6.8866226128352,6.58898762781451,6.95208557273335,6.87236766180204,6.53546122647649,6.55931384480865,6.55299846740581,6.45083761637497,6.70720603083415,6.58618466893562,6.58242968927143,6.55452978275389,6.75564682812356,6.67221225516062,6.89449179550971,6.44813205981363,6.69867545950359,6.35744555040184,6.33171779970515,6.14873214659359,6.43666864855963,6.66224496389887,6.48729951363423,6.16548658110665,6.46775523356867,6.48704878900931,6.49397745184262,6.21625034418344,6.69759209454622,6.2452239069614,6.3911391494446,6.56664199181775,6.35092762616183,6.3690034218481,6.51589768575129,6.6911204652125,6.3146195824166,6.2617953946701,6.52927150201602,6.46798335410698
1554768_a_at,5.0721351598685,5.28663252852972,4.84577232554936,5.30260991004084,5.8349868779971,5.10110636146633,5.83663613126851,4.97126469136678,4.80797866880417,4.80816434822687,4.86542579934581,4.69095617015078,5.22421963045067,6.69681298408995,5.79333358636246,5.51497963713983,5.35820560795288,4.69671629605682,5.63675190264473,5.75261276526847,4.61874592402445,5.73736229339555,5.29168795359355,5.91857424725294,6.08368219316687,5.46534410813234,4.61855968427875,4.57127822387466,6.03754611717129,5.74392791494097,4.42425264940603,4.49067417925915,4.33684918455648,6.20355947302566,4.68237207744864,4.65958104790651,5.47502223536178,6.74472324214009,5.46948283808157,6.01529513297862,6.54029019347276,6.48397994898409,5.81580301029073,5.7011032408019,6.18534063368853,5.95516880750034,6.18125529133485,4.98237734146351,5.27434476998305,5.38133461791337,5.99787628125814,6.22017530606796,9.31097689201474,6.10531084090337,6.50707695357598,5.69084389488274,4.97688751247229,5.62956335416607,5.26557452386822,4.31586344454244,9.10372052514091,7.46414753957693,4.97904135732083,6.97508822689141,5.24976174781809,6.28147078947707,9.5434287178194,5.41717723212769,5.92422059649794,6.90960501426372,9.97498211575267,7.24836078441428,7.02527909267422,4.5426797071063,6.16962518319313,6.90877563266875,7.1004463341831,4.48374809121981,4.49199226320459,6.51534535303713,6.79641834211892,5.90684701812324,5.76914456364351,6.45270588140826,7.11803877755175,5.73388874126955,7.61758467324347,5.36650754847887,5.81887880213745,8.14202236967758,5.58450988766569,4.77679769071162,7.69464944918407,4.91647067812389
1555003_at,4.09644777261988,3.98394644479169,4.40442761285368,3.75954456540917,3.83428652366527,3.87818561301079,3.82220462420966,4.18654174207889,4.29791563925182,4.51183351618892,4.02362027320307,4.32866576314646,4.13488695923439,4.067089226647,4.25996345582054,4.40751381854263,4.29279269815251,4.48532970746977,4.04010996685434,4.02146254862358,4.22476352687734,4.57914590067354,4.40002535477633,4.57292604346962,3.95300831911843,3.87471358676047,4.16542132672444,4.47778735560449,4.22727791812801,4.00060329281745,4.57163381067157,4.19145984278902,4.4808207314908,4.20271110322787,4.53553258719645,4.01791703276572,4.10348570107258,4.03720371692118,4.40222008417208,3.96372507835037,4.14234848160539,4.11978239220937,4.12935483457473,4.0425268779327,4.46875217264126,4.31081204175114,4.46708378486032,4.23554282144532,4.74046488239311,4.51671832219197,3.73036110085404,3.96749164628563,3.98447799053882,3.39337038094251,4.18839383393551,4.22717896234132,4.06389685103325,4.03488428263529,4.26185249192092,4.05878155384511,4.10734450912348,4.14234848160539,4.23924439007158,4.6382493728521,4.24680894759501,4.37453076041796,4.12586239034037,4.16105733770711,4.40547530669705,4.21848992750517,4.71350514059618,3.98853022915841,3.73672822595483,4.27938557804755,4.16445704317498,4.08815663112131,4.20231646392503,4.15234768542743,4.05252926132622,4.1479585444908,4.18713256180624,4.22448463531571,3.92798577296928,3.99912747233528,4.12186499253914,4.08008037625096,4.24853124900083,4.19496223995439,4.67865731640084,4.13162033614762,4.14486396516527,4.09827342014617,4.26578731537347,4.26831932884938
1555004_a_at,4.49829708844615,4.68641965674331,4.5915878050208,4.48952327477737,4.23941673605792,4.18589234890268,4.01880494038103,4.2265449098504,4.82479622425311,4.39985585796493,4.29649642159925,4.2637322186461,4.582026661845,5.06954275722748,4.7392808805081,4.63486010646053,4.49764394448223,4.61421121086728,4.59188848413126,4.89183443997078,4.64527840662888,4.66401834961471,4.7443247424388,4.72815005734925,4.32464733520573,4.47323211120562,4.9174221868374,4.69273168011524,5.07949929916021,4.92228094418951,4.92174039751526,4.85486938364105,4.86270313339696,4.86788680852649,5.1332967537118,4.42415448602514,4.79520130313575,4.83793756555249,4.44278389856134,5.11955195348885,5.11334241957161,4.64709284143281,4.67358190583894,5.13408141677227,4.80404056994426,5.00330889810783,4.70002632024232,4.55635226781314,4.36848660866692,4.28805490686964,4.37289702031788,4.11768016021109,4.94426136612869,4.4281644377582,4.48160815071253,4.45400142380729,4.44696838743376,4.62358978355769,4.87383276973486,4.23490299419793,4.92559142576724,5.14073758596643,4.61357264993528,4.57842504160803,4.8435788688354,4.60065391272702,5.43578827219092,4.70086423286166,4.30740544417776,5.1041514454648,4.65106237167942,4.47876791276797,4.63190423871767,4.91599116800204,4.93184396248364,5.05130150224666,4.7932705631071,4.99172968711952,4.88997159479534,5.03986149732281,5.38325718102328,5.05950542487109,4.23193577717159,5.11885512060159,4.5947147026343,4.65872248068713,5.57719555022587,4.61320078578948,4.51671832219197,4.84684244369678,5.2683718041812,4.37861380882114,4.88811708363381,4.58357212867804
1555540_at,4.80395895863252,4.80967418198275,4.77740960624287,4.95645279174755,4.70223204278431,4.61191483811187,4.70693371965552,4.90900387802857,4.67801590361519,4.60020666888438,4.77800705284064,4.8206389620504,4.79520130313575,4.93905381440146,4.97977544055407,4.95664787452166,4.66013800883171,4.89447090547107,4.79336129212285,4.8764097715145,5.17470706332672,5.12615241452781,5.0707028262765,5.21666738696437,4.62330438108911,4.82984364386108,5.01265892005816,4.82091748541339,4.77604010865732,5.08127465899582,5.00025474065868,5.27044754358521,5.6077068086931,4.98428011041285,5.07436093351723,4.94377708459179,4.87383276973486,4.67977871305093,4.75845849924489,4.75027618657543,4.93334932912707,4.95282749873625,4.82723197344462,4.67365834745492,4.96125824332726,4.90889560503505,4.88190532530284,4.950723116029,4.77369281184914,4.76439579631343,4.95139023774848,4.82148328215122,4.74608778219877,4.8199322974972,4.63844599243333,4.62358978355769,4.91009872877084,4.9572000141252,4.76661193593978,4.82842466567272,4.93745370123245,5.22723557737092,4.78525523053123,4.69012413236138,5.0005274284489,4.88505592492436,4.79794438274517,5.02097406455625,5.11191382291685,4.93727030467319,4.58002315647936,4.75774023179318,4.6209778488641,4.97814789288445,4.93623185059885,4.84663345070831,4.82854190236835,5.06232782874481,5.22974793748237,4.94452972497565,4.90481949690704,5.19933929676957,4.8644204495864,5.1796830433925,5.02405601143347,4.9998325002087,5.13814305184135,4.90472304039227,5.07802670612645,4.94961342192649,4.93512558301013,5.04190270627471,4.9349186067575,4.89136959300491
1555677_s_at,3.75752687953,3.68749563456431,3.76869398520992,3.65132872305534,3.73389394847821,3.63767104044695,3.78642406252544,3.79926470378184,3.75714638417015,3.62777771661599,3.74644699931358,4.07821725299162,3.74791435952968,4.32043410180997,3.98861512348025,3.81334425013021,3.83554392933863,3.85677741271046,3.88716992017295,3.81593590289278,3.90704008956029,3.85734140651722,3.90489851732139,3.87082734368328,3.70244014317354,3.6854428808804,3.78159845432078,3.84215720890203,4.14346501531998,4.00766423735794,3.95099435710591,3.86076474407246,3.80724869507494,4.33550135994461,4.00638815386325,3.80759074235097,3.99632090555799,4.03200989395429,3.7344750708496,4.34904188006918,3.56166780864377,3.60034796843723,4.10863976281897,4.61970419114077,4.76812352056599,3.95220508750405,3.84651790711314,3.84828362003748,3.83243889848295,3.54157698925632,3.90024200117651,3.80012486798362,3.66821544908893,3.63517050179541,3.6673198544611,3.87488783187806,3.83062191495166,3.77854359566604,3.98691267217925,4.08109852846969,4.29526339726409,4.66979996916362,3.95631989770412,3.83261281815572,3.83793711559779,3.74897750120249,5.04884248927268,4.07784046621577,3.64100018748062,3.85540554787638,3.89095279818222,3.76052388484707,3.83801308446677,3.83340963767837,3.90738273610037,4.34468694846205,4.21947761611759,3.78131752599412,3.60786124191588,3.72242214467106,4.03765275563861,3.78510915820547,3.732931433174,4.2303399305583,3.54196554001101,4.02864496385708,4.25137373274575,3.84343007132389,3.66219902053835,4.07245503118343,4.29183666937719,4.65106237167942,4.01352104672076,3.89752244429916
1555772_a_at,3.49303715367222,3.55905763810355,3.59923913757729,3.55768135948337,3.49007971973954,3.68156766055293,3.44867478193948,3.6959832041613,3.68965412376342,3.66851442794711,3.43119114720661,3.6453155001646,3.68856707758036,3.51037513431837,3.60211002411098,3.75932319678111,3.62531777419898,3.55262647736491,3.67438966165734,3.4762006086819,3.85102891172989,3.4744887795276,3.63069657173469,3.67866161735632,3.52842594144269,3.55192606777652,3.5867464935985,3.58663008196784,3.71234897233433,3.95764969404863,3.74906900157504,3.81167086897126,3.67268391346276,3.75631402151661,3.70626629574342,3.45280234055021,3.53578147631298,3.93676333886329,3.57285259981876,3.60766272473596,3.5834462058712,3.77232626086232,3.60937140365668,3.35531091454858,3.53356597208971,3.64542390892108,3.52720408103527,3.8859374732309,3.51553139428209,3.53190514437775,3.48217338317019,3.54943516181346,3.95652608343215,3.55020351015571,3.59471568527175,3.53647907295074,3.8472071490414,4.25314466476873,3.61757159342189,4.06961419374766,3.56698804290838,3.59183646166152,3.76147403686948,3.72157879596509,3.81973878635612,3.80236994606808,4.21034643438382,3.66136770073574,3.95220508750405,3.74522005248746,6.78502920357098,3.61354904014361,3.53305916257091,3.76467902673772,3.75613074413963,3.82583918306343,4.08350902808699,3.60076023784564,4.37914194121838,4.21632364024216,3.82453670257977,3.66355146539735,3.69649669312808,3.72664927480509,3.7556649571073,3.73047535518266,4.0930616333673,3.52941662213583,3.5313807280879,4.05557105007916,3.67846900251707,3.47792786717026,3.86944305709228,3.52867603371315
1556925_at,3.73572819809228,3.69501476663824,3.74055800202902,3.71226226884518,3.74015737735888,3.67612054670322,3.59370269951317,3.62051915960521,3.71290482842564,3.86149801072816,3.58931705826816,4.04712518132542,3.61454951622507,3.8010515980168,3.70559745834151,3.84493991744174,3.72188352994048,3.63859908615754,3.73828920870464,3.56166780864377,3.69691087568535,3.74569111815802,3.65493642220175,3.73655313530649,3.64071040479573,3.75249666825097,3.62007330067049,3.64512318201054,3.55093260884117,3.3009984093145,3.55977121512041,3.71823659547363,3.74971841197216,3.70234591074374,3.68788079415461,3.61091118891799,3.68797850616663,3.602529360347,3.61120449303441,3.61542209371088,3.48808580411711,3.62989119311045,3.66384659228681,3.48908784439441,3.59901050054104,3.63688643596017,3.61692791812662,3.69092499819168,3.77071470599675,3.63975683155202,3.58931705826816,3.59543401032762,3.65142192696682,3.73198918969024,3.75459018820142,3.87392241856257,3.88570007835275,3.73375370712921,3.86076474407246,3.80830029886672,3.68391015693414,3.77154833070573,3.81749344183193,3.79074341250663,3.66930400115971,3.72569014376174,3.5531923137635,3.75743037913703,3.5351147171992,3.56190445651155,3.60684051611456,3.59749820518649,3.75660141926976,3.6332510345614,3.786068829035,3.60802266793638,3.62954969744659,3.81241527152517,3.74938607787146,3.87204082710997,3.54521028807745,3.69330325768807,3.8330408784534,3.63912433249553,3.83651529654925,3.63040247742916,3.63944904873814,3.78269585289998,3.73094202766452,3.6228166357656,3.56444891133373,4.03786799623061,3.72188352994048,3.63645191150202
