,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675
1553249_at,4.3004256287102,4.07335882094091,4.1474020644852,4.15484423759473,4.19809075420002,3.98742969304624,4.11279493097118,4.1875373242258,4.06320295926088,3.96312070926119,4.1849041810977,4.34253916665022,4.10845983180163,4.2621824313679,4.37017723001663,4.00953986291376,4.16028465922228,4.16246440035197,4.2974867627135,4.46177586373414,4.10680691979377,4.34366713690345,4.19726964078683,3.91466167132701,4.0108333110354,4.16977938489801,4.20174664193515,4.31972759994641,4.40094596273553,4.58880867090658,4.2525821839209,4.65521919651097,4.20945194502671,4.42660663865602,4.51164225129558,4.17984300040692,4.05500395936814,4.25377566552832,4.08691701160826,4.27422986793916,4.19118807374414,4.24965447890033,4.48709419118108,4.16151167184015,4.05810297777951,4.29175400879022,4.26932823494998,4.21400180889651,4.12611332583949,4.2149681214787,4.2070631674081,4.29595374799074,4.27325152158621,4.32954613660275,4.14853997507993,4.19032529743786,4.21115491185089,4.06599548356765,4.22385499745898,3.97560067167427,4.12270060546566,4.20271110322787,4.104807225194,4.1875373242258,4.18910765786077,4.4113425594046,4.24097246971263,4.29657189808403,4.14720187678955,4.07612615129772,3.98473917240525,4.45423160568719,4.31814586949927,4.16671172009015,4.09414426982208,4.01799997754147,4.23985793955617,4.24949626297531,4.14007334602332,4.23816658868936,4.21376372261066,4.29370342253607,4.01997489184123,4.07452734060476,4.02391298253486,4.20564333692606,4.01940698986407,4.13551412266603,4.04728707446038,4.11316453909851,4.36047167220119,4.22820839415772,4.18196918139752,4.38837535332007
1555003_at,6.13711805514493,6.51651249464725,6.57720675216035,5.29071608468241,5.98688464673551,6.24467640489047,6.09511465862453,7.4972907028924,7.81113445578038,7.87188910005253,6.91702148009327,6.53342881630917,6.09425079555673,6.93198873745488,7.22764219988102,8.4299232829653,7.91959870681076,6.20929168868113,5.39720432855829,6.99756119415697,7.32576921140083,6.83689447782466,6.88940277846232,7.39997173712044,5.88403335702251,6.76924710065362,5.65584117693771,6.71001702713338,6.81842389398058,6.30377284464985,5.56744014552913,5.1879210590747,6.97547085844409,8.60762575711445,6.16844575398466,5.70477463132165,7.78683985554657,6.91089389396506,7.90842238724843,8.72532962643031,6.46192173284217,6.81333711343954,6.20439155995284,7.07432896550845,6.26910915917431,7.03932697978625,6.33032236407949,6.81683098956329,6.69888609356614,6.63346078441459,5.12310180739228,5.57446710055824,5.37044993836966,5.47626440994176,7.60533529905072,7.24987269575786,5.75205557627578,5.83036681804357,6.54167266157433,6.94134883137868,7.35360725033643,5.69197070148328,7.89692597253495,6.26922088651986,7.12736165166376,7.10581898185746,6.78804562075178,5.39865665472249,5.44232688569031,7.60667154461477,6.42153695417096,5.45549250841813,7.11985171292824,6.30243009548042,6.80411992269527,7.57395482513045,6.27623365248061,4.66034144398481,7.1519545542135,4.84032220146067,6.80371042708,5.91888407306092,5.71431313446538,7.71519473909772,7.05441765814001,7.21746504261259,7.48662202650437,6.84688020692706,7.35898317896597,6.74625609442419,7.41362757639925,6.85180891516427,7.22652151533125,7.594856133887
1555677_s_at,4.98237734146351,5.27434476998305,5.38133461791337,5.99787628125814,6.22017530606796,9.31097689201474,6.10531084090337,6.50707695357598,5.69084389488274,4.97688751247229,5.62956335416607,5.26557452386822,4.31586344454244,9.10372052514091,7.46414753957693,4.97904135732083,6.97508822689141,5.24976174781809,6.28147078947707,9.5434287178194,5.41717723212769,5.92422059649794,6.90960501426372,9.97498211575267,7.24836078441428,7.02527909267422,4.5426797071063,6.16962518319313,6.90877563266875,7.1004463341831,4.48374809121981,4.49199226320459,6.51534535303713,6.79641834211892,5.90684701812324,5.76914456364351,6.45270588140826,7.11803877755175,5.73388874126955,7.61758467324347,5.36650754847887,5.81887880213745,8.14202236967758,5.58450988766569,4.77679769071162,7.69464944918407,4.91647067812389,5.0721351598685,5.28663252852972,4.84577232554936,5.30260991004084,5.8349868779971,5.10110636146633,5.83663613126851,4.97126469136678,4.80797866880417,4.80816434822687,4.86542579934581,4.69095617015078,5.22421963045067,6.69681298408995,5.79333358636246,5.51497963713983,5.35820560795288,4.69671629605682,5.63675190264473,5.75261276526847,4.61874592402445,5.73736229339555,5.29168795359355,5.91857424725294,6.08368219316687,5.46534410813234,4.61855968427875,4.57127822387466,6.03754611717129,5.74392791494097,4.42425264940603,4.49067417925915,4.33684918455648,6.20355947302566,4.68237207744864,4.65958104790651,5.47502223536178,6.74472324214009,5.46948283808157,6.01529513297862,6.54029019347276,6.48397994898409,5.81580301029073,5.7011032408019,6.18534063368853,5.95516880750034,6.18125529133485
1565703_at,4.44150770700333,4.67554933262443,4.64666723116885,4.9862323413237,5.28573858153161,6.35744555040184,5.71224930962762,5.10250224689785,4.9120782549685,4.80920437452756,5.03339573762984,4.85585199320186,4.8739235399046,5.31332654875688,4.74809285832379,4.53449999140878,5.30174457097079,5.46745920603903,4.94855436235255,5.38154810884298,5.10450866170527,4.69575791534861,5.3188052880038,5.22470732046564,5.78523468414238,5.77708883729485,4.8163376990082,5.69654607007354,5.05184229958043,5.11521231505642,4.53749778525173,4.88169607302129,5.26606200956662,5.1070661921192,4.37141995366275,5.68167143208193,5.64219061389913,4.993553400877,4.56492923936925,5.0958046642591,5.11393983604825,5.27191292712605,5.33915305799998,4.31677210107501,4.72168001124945,6.11383649244581,4.62114014477341,5.26615764014954,4.935015598979,4.80725972823606,5.09199545202495,5.67790823756555,4.80995605671191,5.44102537771429,4.93250946543239,4.88790201396153,5.14354325745976,4.78817672491446,4.88333109254245,5.35495448025816,4.82849984280211,5.16816582000345,5.32420299835008,5.32587210803243,5.12236692601883,4.59092237238686,5.20933687740526,5.17265253323481,5.05830830110814,4.48934464151585,4.94472997760646,5.60368167908815,5.08753704697736,4.32060861282446,4.3936438544152,5.31677617621666,5.12654387116,3.86997994189924,4.86651739920477,4.82091748541339,5.27282968258335,4.10340643940572,4.44343650630795,5.06388352698658,5.13985429553831,5.37648817456419,4.82883465883925,4.8578166452347,5.49102199525842,4.39133997028762,4.66777699831257,4.66198655922908,4.91276629525954,5.44491634498285
200098_s_at,7.67439742961296,7.6610588520347,9.22100795048418,7.58746945490365,8.55769750742671,9.20860144952723,8.4744510804489,8.64607142408287,8.13730018900036,7.8790144350199,8.49976730799606,7.67988402227284,7.59024855923851,8.66959104807494,7.71262083664603,7.78560167890493,9.14918659878923,8.12974064961148,7.84254676623964,7.45308400683796,8.56659699535609,8.17145425094891,7.52421552593509,7.5200972956102,9.27224400600326,8.5799042869739,9.64980716145297,7.88478578068767,7.70295336437984,8.02155776196128,8.0062780249161,7.93066256566026,8.31530708044887,7.97827096449663,8.12573973697554,8.52282558613,8.65506018410656,8.31660389765337,7.76529503281932,8.60106193515585,7.6242627984328,7.89804696872344,8.74039211902726,7.89973630260299,7.51338925264097,7.51493109750027,7.49560894656835,7.84273700092355,8.12765420509124,8.0310326615281,8.32224754275943,8.79896832669772,9.12252827511477,8.40936617392805,8.46348644070574,7.80168733158279,8.51713048091417,8.80053545179985,8.18799201316467,7.86205516914148,8.28635286477492,8.67970763689406,8.21765166612789,7.50732718830662,8.09004580740017,7.98955039768585,7.34070081926174,8.1022723529196,8.66361246194028,8.18398094063481,7.74403862439467,8.30953848864128,7.87342528308138,8.61920971773973,7.77607672959454,7.90104883053123,8.37625439848186,8.45166409442257,8.17990006368024,8.38645020070986,8.44427336859286,7.74389058172759,9.07969538287183,7.76214089190654,8.11047383951417,7.59823639838853,7.4079830002225,7.92004275467468,7.74168504030496,8.89059342784524,7.58838507596115,7.94176336948571,7.42604214115095,8.99474800177794
200607_s_at,3.84828362003748,3.83243889848295,3.54157698925632,3.90024200117651,3.80012486798362,3.66821544908893,3.63517050179541,3.6673198544611,3.87488783187806,3.83062191495166,3.77854359566604,3.98691267217925,4.08109852846969,4.29526339726409,4.66979996916362,3.95631989770412,3.83261281815572,3.83793711559779,3.74897750120249,5.04884248927268,4.07784046621577,3.64100018748062,3.85540554787638,3.89095279818222,3.76052388484707,3.83801308446677,3.83340963767837,3.90738273610037,4.34468694846205,4.21947761611759,3.78131752599412,3.60786124191588,3.72242214467106,4.03765275563861,3.78510915820547,3.732931433174,4.2303399305583,3.54196554001101,4.02864496385708,4.25137373274575,3.84343007132389,3.66219902053835,4.07245503118343,4.29183666937719,4.65106237167942,4.01352104672076,3.89752244429916,3.75752687953,3.68749563456431,3.76869398520992,3.65132872305534,3.73389394847821,3.63767104044695,3.78642406252544,3.79926470378184,3.75714638417015,3.62777771661599,3.74644699931358,4.07821725299162,3.74791435952968,4.32043410180997,3.98861512348025,3.81334425013021,3.83554392933863,3.85677741271046,3.88716992017295,3.81593590289278,3.90704008956029,3.85734140651722,3.90489851732139,3.87082734368328,3.70244014317354,3.6854428808804,3.78159845432078,3.84215720890203,4.14346501531998,4.00766423735794,3.95099435710591,3.86076474407246,3.80724869507494,4.33550135994461,4.00638815386325,3.80759074235097,3.99632090555799,4.03200989395429,3.7344750708496,4.34904188006918,3.56166780864377,3.60034796843723,4.10863976281897,4.61970419114077,4.76812352056599,3.95220508750405,3.84651790711314
200641_s_at,5.36809018206209,5.3168722617965,5.54628820167465,6.28558542649828,5.93316902413417,7.08822964887349,5.82272233732192,6.20530573102219,5.27208723030833,5.22946621771559,5.84646285766066,5.60278034419965,6.52491871197529,6.17373896840689,5.57446710055824,5.96193599871151,5.90157069475629,6.07293645153023,6.2805252113397,6.21667825483995,6.265385888105,5.72377109331751,6.61842648238617,8.9431191733388,5.97112761962524,6.39662575960208,6.19663414482276,7.46317305922573,5.64977632372466,6.02533731955786,6.24053181231339,8.2077511685537,7.19530186080851,5.57867947876445,5.75498251088654,6.07914988321105,5.45323355650222,5.92250676758651,5.34181382230076,5.71442374964204,5.84540423834694,5.71442374964204,6.28198321035844,5.53371268776182,6.23712260277178,7.01279118701652,5.92533230305178,4.99552651742761,5.28255924357072,5.42160513171963,5.5107501724591,5.19060307563359,5.61027959376073,5.6610898810876,5.50024582746427,5.27103217187989,5.31149477591708,4.61504694400252,5.67214783165509,5.90719020959677,5.01838239138658,5.79445294655613,5.8500041312183,5.43759726368229,5.40417392564776,5.2362649316391,5.16667665907448,5.35763845101071,5.40388307712294,5.34896788385003,5.99026742967937,5.65642137585796,5.25612635957054,5.47343388748355,5.45600214878661,5.30015433366588,5.91447380295845,6.22765145077882,5.95448583256787,5.98723818666891,5.29987956744619,5.78608513427099,5.59168337827679,5.40289195767406,5.77074982930576,5.36911594881315,5.24810209245359,5.50630635737603,5.46598122567012,5.86181973331455,5.50877458625263,5.68839322799392,5.32634962349954,5.85072096210782
200719_at,4.79717850114913,4.86867984015365,4.65154682744103,7.7172033464238,7.76376801497587,7.37413562151706,8.21698477886966,3.98870795292339,5.13581841682775,4.85334175601543,5.41102690798548,4.74531779239993,5.33698314913167,6.81761685718011,7.19487691069289,5.31823389230396,6.1506272725604,4.59716581611428,4.92943032567119,7.85257593800526,5.45160124018096,4.7029901382358,5.78047104899851,6.17078767906789,7.0440495682202,6.53199330627711,4.23855158118893,4.68957948221876,6.69404994765341,6.05481565309878,4.52420770701255,4.50541616489496,4.70750511386511,7.2734741591577,5.0857298479271,5.67599568446395,6.4162272915606,6.80941083807926,6.33575097481418,7.16192495004383,4.85343037889959,4.47629743153118,5.697068590305,7.30269272527627,5.81235579659126,5.36042243756066,5.94867505191811,5.58300606077526,5.54028055472932,4.51989674616205,7.60383607445833,7.1833690344378,6.73504431096508,7.29362835281199,4.12500566443216,5.23278454022596,5.01708201686555,4.97885032496018,5.46062231595442,5.21905474396579,7.3008492634547,6.60303432765493,5.87354015953124,5.8199595679324,4.7693210405794,6.02604714161334,6.60942281018751,5.32932538149655,5.90900463837027,5.14592870283497,5.61067074654374,7.40718014922681,7.07166265329056,4.56482881273243,4.76048445208548,7.34932606404287,6.44875302091662,4.39218453882434,4.30273670057945,4.48719752707032,6.99338485728092,5.33168627956892,5.31184935330224,6.41221870046558,6.53075980573994,6.12327783595862,7.07922474640342,5.15506209433332,5.922885023502,5.93007478497024,6.90130232397554,6.60801062633292,6.73576387939327,6.14484889467443
200952_s_at,6.00461631850265,6.17508980290402,6.95849463319683,5.78493518188756,6.57503704021566,5.38909102849073,5.82605185940498,5.71635219081263,6.63646116056455,6.97573514133646,6.16094587036528,7.46844526134345,7.28422471579179,5.4269621025923,5.84165492145757,6.52072298611806,5.7598372737655,6.2474758932818,6.06350033198983,5.2813673279483,6.1592216371426,5.85670808054203,6.05272889938986,5.43779859793338,5.42622468975432,6.70720603083415,7.49607382422529,8.65434921781513,5.71663728144475,6.17816360016372,7.24412606492809,7.94209927290914,6.58595655001872,5.82301896485399,6.11851902274724,5.5841921185695,5.91511162828689,5.81139719257811,5.67355395288014,5.7888362375434,5.57808701123436,6.15875741938994,5.79333358636246,5.90800177007661,6.39331818147401,5.74234502179258,6.25677424625425,6.59455538865335,6.42233476145431,6.57272480016367,6.30075984820465,5.94888469371019,5.66954486830389,5.70477463132165,6.90158047036501,7.36735234454379,5.98810663229212,6.00819498628187,6.352202724213,6.00702164641383,5.85240187617297,5.65495075077652,5.81887880213745,5.96003178208186,6.85955716352706,5.5325090213645,6.12411131141752,5.86330431392372,5.89333420331035,6.26395806566585,5.6043504279336,5.59576874614665,7.66626258784203,7.4412125478512,7.72723249882062,5.85872142642571,5.88366598773675,7.90298480429723,7.86173572149486,8.77035295393172,5.77615274299535,6.34475101452818,5.81647223341917,5.96676191861939,5.64320065393848,5.9562511424979,5.75593418472809,5.80453212103093,5.91742616759957,6.08058820305145,5.26311621728756,5.67990808879608,5.79291727866283,6.71874736886375
201202_at,6.37484558092312,4.98082212504455,7.00374938762263,4.68237207744864,5.71533391433222,5.45074099676838,6.30871671301969,5.35105737135653,5.78551464508039,5.98723818666891,5.59078189982539,6.6034206730535,7.55122855114078,4.62087259896752,3.92299742051566,6.19787737094857,4.95398811119975,4.95566787579204,4.52497095969839,4.51998049220142,4.32963179847849,4.63277145557592,4.46124748535487,4.50251005407664,5.07942491199744,7.7448582229951,6.97829453284685,7.28231305518067,4.64414023057213,4.6209778488641,5.09521789179204,4.66708533811152,6.67703048229487,4.72012481786448,4.25029802922534,5.66508353162479,4.5714504381975,5.52646010719189,4.46591257659825,4.15630540285098,4.01049959590892,4.93745370123245,4.36738499761755,4.06654227503504,6.25564605268589,6.55996957455631,5.44491634498285,7.23149206138441,6.47293599282168,7.00970407963822,5.00994183598921,5.56312626781884,5.11191382291685,5.56643213093418,7.28784935917697,6.32400650467656,6.189184087577,6.63054863424467,6.54594004952086,4.94188945096029,4.28437242046556,4.68115189030708,5.51221675696794,5.0487297562163,4.91226776102756,4.2299793223338,4.20817482393277,4.76942030297865,4.34319443535614,4.74666618176792,4.96695632897502,4.8923728849218,7.46594412793467,5.82332746183066,7.15774591276704,4.4768964419982,4.38598127748442,4.64937688637606,6.56879601001119,5.4526951362461,4.22116083220154,4.67134138242105,5.50455497403634,5.09590176226192,5.31077265636558,5.43204748930768,4.33418071537182,5.07838414216977,4.812420438451,4.34821360634033,4.69896552737847,4.60880170455179,4.67632056890149,7.3089548287073
