,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615
1552263_at,6.64621889939388,7.23251004631866,6.91363624138279,8.78588195144862,7.69710687037108,8.56904725129834,8.43962967053658,8.51096988595194,7.01505268822114,7.91315008910031,7.71519473909772,7.76684429942346,7.73417877009489,6.56736540274857,7.57598710066166,7.80359285805671,7.58061235063273,7.77860312623431,7.71071641090801,7.14766607517686,8.65131172937974,7.56094757755179,7.66230233224565,7.55043995654365,8.2370997640344,7.51034029574048,6.16583068221837,6.35917311403337,7.02966813263357,7.07246021801797,6.75379636370437,7.15832845236782,5.90810614927898,7.11455982719542,7.24896073939835,8.07857956786551,7.20283225579391,7.67794471254546,7.49437427013887,7.41378476811637,8.16974753509679,7.52704608057459,8.30429764147286,6.99187930098438,7.05157532124805,7.22607263527626,8.05133001344368,5.50485388266542,6.59065071422241,5.86213931771814,7.21690265982627,7.95163239992424,7.06734405149041,7.87308930926123,7.49958764167132,6.96586073106914,7.60882922090601,7.98427861973797,7.35868794735155,6.66891170207132,6.27668300060109,6.06560844454035,6.8733089899503,7.61244776220979,7.46187039579941,6.82267399184995,5.7030487084722,7.5330892378065,6.79188917656836,6.10300695750391,6.70179902579181,7.51250302784625,6.58810212562582,6.34807714944846,4.66107399601768,7.05651947358195,6.18727440415561,6.30293049162819,5.67529880444558,6.88407945850463,6.81240574745917,6.17981334248046,7.90559671363469,6.37929234676341,7.68331465559749,7.65611741513019,7.72121315841013,6.97293841578176,7.65686557993827,6.83689447782466,6.09533938367995,6.68855069497477,5.99017459406091,6.88885483493222
1552264_a_at,7.8444603482431,8.59107982231492,8.11356988384226,9.03913654065586,8.11695699139171,8.90942848595473,8.56140564830632,8.72600459611242,8.44353726353175,7.87885024222045,8.4461370812182,7.83404090545029,8.55531841847775,9.09456716235796,8.60707295740692,8.40902538237692,8.44994231276133,7.84873187451338,8.92519474989148,9.19947962108679,8.27818455096062,8.69693682838222,8.65417712309896,8.34334484283005,8.43401486200835,7.8859653869056,8.40453618079787,7.9682688603607,9.14673833608143,9.0987297439451,7.27214697907043,7.82367444895267,6.57929856828448,9.56023258650814,8.98070960282261,8.45423473579416,8.4783962542327,8.80514101057243,8.62924539185769,9.36815445382533,9.57280907187591,9.27862052725403,9.93584810116914,9.25356454718315,9.2663544510081,9.18435985109778,8.53403201183882,7.4325573298765,7.49126420545884,7.15942308420456,7.41032961530508,7.84550221999226,7.38905423045755,7.75641856913295,8.24336196399398,8.56959881973285,7.56064990805256,8.57051933858111,8.40194801675461,6.57272480016367,9.20356959991603,9.13077921428019,7.28798123884503,8.66878684372044,8.18023645195641,8.31792249676342,9.92781938422236,8.03396727357633,7.71301878454044,7.90559671363469,8.20860896695638,7.82042405076052,6.83220702700573,7.62667947102983,6.42699468841943,9.38907452894308,8.62457980128661,7.4848647746605,6.88885483493222,7.6870932259874,9.38855810706356,8.58047954720993,8.1867431708459,8.27321592189877,8.81759709525024,9.44785423010667,9.34502569261077,8.15800902946133,8.63709066985138,8.68857776286387,8.79471856976005,7.61361875594303,7.26975638473149,7.81121406259438
1552610_a_at,9.4174552557892,10.1463143350535,9.83069444729878,5.89140849780201,8.082210410436,8.57848612124744,7.75525607419939,7.61772954055171,9.8891183428084,7.61178041555108,9.12558148458786,7.30150333461657,9.34502569261077,10.5102134838868,9.08188624435274,8.79453040241091,9.42399598426401,6.63474473708069,10.3079817900897,10.7536743365317,7.04256988817871,9.55803424842815,9.83589738871619,9.41082718158745,7.04555749211238,8.7949496475995,9.83983161957113,9.76491239145907,10.7725449706094,10.4045192659512,5.74523426910674,8.00241787748629,5.8770788910443,10.7021413155152,10.1699386971537,8.28919643838068,10.0759828299131,10.1690914342499,9.90851551992756,10.569043249862,10.3571186366133,10.402955782443,11.0103567789186,10.4854499460225,10.4311257384182,10.2439946642087,9.98688921549229,9.23786225894565,8.8738332347274,9.1752253967947,5.96102958077114,8.40530434960039,7.92471570822473,7.76262003578054,7.60361037969164,9.84774085465191,7.32114481869032,8.61817102222952,9.51348277385217,6.33942509009177,10.0626703289755,10.7421879487831,8.19594489862253,9.40369029185185,7.7016059210532,8.21368128387375,10.7643399174966,6.80411992269527,8.68178144816098,9.21781662831112,9.67422816134367,7.36082086647215,8.06866412131476,5.89621778844143,7.53488142585702,10.5483961276743,10.1095443644942,6.43596140933903,5.51784008652195,8.57123839459292,10.655040023567,9.76909951969923,8.35481326047413,10.3357727291894,9.84640329136476,9.60949805333732,10.756291429668,8.05096504376514,8.88854578421585,10.39297456557,9.99241840365798,8.91958795105402,8.95714120705552,8.92044789959522
1552611_a_at,6.82320070606563,7.10581898185746,6.8809817138088,9.01362875427416,8.66939535340822,8.77662987587397,8.37299659424574,5.44622578241465,6.96161721028824,6.38467584281094,6.51737078124581,7.23445043394868,6.77893555527834,8.43495635597724,6.94760343336518,6.74599346886207,6.94467270867514,6.99157625749815,7.56237491943867,8.49616039305335,6.37948760125462,7.31698410736625,7.08868896783882,6.67311569577972,8.19198747059299,7.81637479322509,6.24218139936915,6.16278977840449,8.37176263430329,8.46548580021531,6.56675773080368,6.29240075724745,6.24705043442146,8.95797363651423,7.60882922090601,6.35229299265262,7.62096720925195,7.62812747662551,7.33600818883612,8.39582338129644,6.49957533458967,6.95671361685084,9.03803150100813,8.69029940616462,8.32646536388945,8.09774831398863,6.80768244844756,6.47601184090882,7.12213915604637,6.57198605756057,8.47650407641058,8.4009847570845,8.15314779847749,8.61008465575313,5.40883018770023,7.38181857658425,5.99478503501676,6.94973072946004,6.62793343761354,6.29658711888229,8.20860896695638,8.76473172243113,6.40585904150783,7.27005053072837,6.05498667467158,5.34096468177749,9.34241994263276,6.32395656020917,6.39559478953803,7.03307942298707,7.04624848038455,8.17322192973274,7.42122708667876,6.11693481670669,5.57808701123436,8.69317530249668,7.99925217166442,6.08518374348829,6.15246324697173,6.28112346929986,8.55349762451393,7.28931142147148,6.16289586279786,7.7925038830618,7.26347130272386,7.24020305172459,8.87073591475562,5.85310324697953,6.09166156671056,8.17041003171691,8.87099170731711,6.16329623141446,6.57323305063004,6.34380589429871
1553088_a_at,7.10799300514443,7.48356415758485,7.48035067913857,7.54224189337325,7.2734741591577,7.13857820973265,7.2192285263478,7.15424230024692,7.23828652214926,7.41714465794928,7.33281021442084,7.27874690659321,7.59379636860523,7.56973887589132,7.30570018377152,7.46983164921072,7.36223273601228,7.71973307734321,7.30299896939932,7.32801093407396,7.7842558090825,7.55152030647146,7.77664428140175,7.58568386999659,7.14727168776287,7.01490052141696,8.33245640090088,8.03121922994194,7.29420464983184,7.27654542268863,8.84139843499597,8.06773731430195,8.96475326295677,7.30773223929399,8.75180141024232,7.32961857801788,7.18088164307174,7.26844338058826,7.42406792178921,7.28606831754385,7.4325573298765,7.26244734846064,7.6856877029327,7.40470030238058,7.77959213382697,7.52106936721515,7.32497372952901,7.67483389768963,7.82812112897992,8.04604686570146,7.59438750528414,7.12652478606354,7.23400149907876,7.33655399711008,7.64555575129607,7.55213901446314,7.22215491817973,7.54731060131548,7.24103344619708,7.87046142736761,7.98046893927924,8.10627146082989,7.47523100593621,7.48207260064155,7.73198298829489,7.6448147051877,7.69565995927372,7.62681514638766,7.86013955970509,7.92729906749703,7.81652789339019,7.08998233335751,7.30786868574985,8.45481671933773,8.48104102893799,7.45710827165505,7.60198850784562,8.29790198019252,8.83399321713192,7.9545936672393,7.60682796693906,8.33771063300712,7.15956709075089,7.5804667282598,7.21586814509062,7.70535232688382,7.65900421143193,7.73661496560436,7.3829282821949,7.90104883053123,7.9763092007129,7.70960526038174,7.23845357719125,7.23333900910899
1553096_s_at,7.15348035109213,7.71124591283982,7.71652688936115,7.42449295154799,7.42406792178921,7.72050477203556,7.23924742916836,8.12063973633892,7.6921813267919,8.06708167650852,7.71234039479524,7.54256164103244,7.95549678768631,8.44882817107522,7.85492842781388,8.00547806140784,8.05786740195421,8.58814392629965,7.45168712314367,7.41424035758166,8.19955393369541,8.32561591165695,8.08974303856333,7.83605841688277,7.43728097961693,6.84835734705431,8.5503994957674,8.42241177341791,7.56256036316242,7.36466473360873,9.62186187578576,8.96354140128598,8.91482334029463,7.4045502843982,8.66878684372044,7.67884340316311,7.58536496626671,7.71669333768282,7.6448147051877,7.39710277377253,7.68331465559749,7.07124719003607,8.14194925778483,7.83161062640549,8.01169012818534,8.20355535561131,8.68383107594713,7.5692207752991,7.85948661531083,8.45693609073463,7.60988636780187,7.45077008388347,7.46594412793467,7.61049831962713,8.47804423224827,7.78285723264848,8.37119095306893,8.52834930151588,7.8591207722297,8.81239000223108,8.45499408381249,8.21793978320957,7.87885024222045,7.98689064963937,8.69496873261103,7.79025892277311,7.77730121036939,8.01504210499033,8.19628647526886,7.8157208354267,8.91219676033226,7.20739154085543,7.36958378673894,9.08102059139494,8.63285137101849,7.43047091000439,7.6984947281505,9.17109948114264,9.34874124286799,8.70212489485083,8.00723257681511,8.35498414552108,7.81975498891985,8.02258371247322,7.80953434883974,7.39381492724986,8.44560372503992,7.55289724037605,7.83195856234522,8.40150682131387,8.28600201605711,8.01406317543057,8.24062169452067,7.72706852290878
1554828_at,4.36840927942995,4.39535253418942,4.29183666937719,4.32603806074025,4.33039687003315,4.50804393765573,4.38176517804647,4.2231502400168,4.16339395367225,4.47847704573795,4.49285087199027,4.71075211833328,4.42445088660059,4.53963769974304,4.54756057723178,4.48384988515688,4.37445209737232,4.62521942292846,4.61146971197931,4.44805729859365,4.50677893328723,4.62557239318173,4.46197665095171,4.52858589167496,4.14999745839433,4.28815873141168,4.5247761031508,4.57833470144307,4.42216256511038,4.60481041480466,5.21454779269695,4.6382493728521,4.59121316028652,4.44132903763436,4.40491355931098,4.64964386879582,4.47901677554473,4.470469770899,4.31886422829875,4.44770356940703,4.44351845323361,4.23829845895746,4.57360345765576,4.42462211422828,4.64353734164981,4.21930575847535,4.39152754484791,4.48484600123768,4.67856666570932,4.56298416868319,4.3982113908187,4.46138839659186,4.48699113489625,4.90918166953249,4.60852749419695,4.37042771088703,4.43024923019497,4.32135788530785,4.29305317536303,4.3274784698568,4.61725807166293,4.36692298395859,4.26236739418602,3.97151506826149,4.40586864028397,4.33684918455648,4.2749562813343,4.76284596476232,4.57939703844552,4.45861540324868,4.44841521527931,4.30099102905976,4.25416201749465,4.49847266178117,4.72649807017478,4.27175298959376,4.31349338360291,4.4425074343289,4.36074638797208,4.32926621965032,4.23517903268767,4.41682008900428,4.47496921791619,4.61838355272818,4.33614453513321,4.50037921833459,4.4750609743572,4.29895158580631,4.5026873113901,4.51556221688967,4.28861583581507,4.12862960844851,4.34659234283436,4.64022193976883
1555372_at,8.33563403995269,7.11722057273672,7.13085843081137,7.01324623654587,7.06426681681149,6.9218109007901,6.43238848238007,7.94912347997516,7.17047271993267,6.96913874987794,7.41944669774294,6.85272483159276,6.11436502743707,5.50503014038387,6.18001790378237,6.58103535512076,6.70760618979031,6.46643906996441,5.3911920394233,5.47493294123773,5.95731469591884,5.26181298980572,6.07600944044095,5.99990207609193,6.61178000309568,7.27831309354166,7.71504905338565,7.40125042929659,5.47175617902465,5.72026104530024,8.53000793827999,8.32491870128965,7.50471796437815,5.35432667810833,5.9012501173991,6.95262929628893,6.69599051806441,6.31416517619904,6.54181570937967,5.30769997290136,6.56033235661583,6.19437666729424,6.10330851949221,5.59221324089624,5.51651395074972,5.64932332435681,9.38976639190142,7.66345824935808,6.61596087786589,8.16270155315596,7.13398562385289,7.97978461440619,6.44685622878228,7.44697933835284,7.11195878599177,7.09086277887035,7.34946577300754,8.06908296501516,7.6549777602919,7.56878116858462,5.46189274983214,5.22861157707456,6.61742845354999,6.81375081437228,7.55865462187611,6.17100179658681,5.60977485100228,6.28112346929986,7.03837242893667,5.80174562760011,5.91578240007992,6.13925317118174,7.18101330413728,7.23738288781568,8.74472475569238,5.36293316987299,6.40049243118077,8.13440381220188,7.31220126486489,9.32974816244027,6.04599586815864,5.76618417326764,7.4532287689338,6.73136837609117,6.20861000625563,6.00361276521787,5.79353939227268,6.05036405092438,6.58113859431167,6.1603301488285,5.67395132339025,6.84220678368087,8.42385446590326,7.46652430202307
1557030_at,3.41199637191394,3.31099167536919,3.42363164718487,3.42975466271915,3.3938463611723,3.41697674826907,3.40222816840772,3.75553266185827,3.4348486016035,3.63069657173469,3.47687570840408,3.82833945237129,3.36678053945231,3.37832508905774,3.55285487755647,3.48071384095082,3.50048072573182,3.38791781787451,3.49219287145964,3.55082295429087,3.53626116729371,3.56063692780248,3.58377276856476,3.55031835406608,3.52247057358236,3.30491236703903,3.44390324093158,3.52628541738915,3.45636983712635,3.40877849111899,3.46710005353663,3.55905763810355,3.44706606612078,3.50500365029284,3.42277000303057,3.68360671470997,3.42755298987977,3.34867826440992,3.37765210591421,3.40571194912835,3.52536652794467,3.27700632735703,3.58717090877311,3.48423806393446,3.53696998917181,3.53972996850905,3.81459138737126,3.6550366558619,3.64759069828837,3.61204139189126,3.18786896887508,3.38657681425783,3.29928581188556,3.45694962289621,3.62884878017682,3.45383210600745,3.67289078001346,3.65431781359253,3.68866849410284,3.6565954320728,3.60712884104596,3.60178728420848,3.54231336247201,3.49151109566421,3.38407755731861,3.60926523270305,3.6959832041613,3.46455356517633,3.67054333610529,3.43442348360038,3.53972996850905,3.4224057322243,3.3808935396226,3.46651180355218,3.5559558346461,3.27177815625753,3.48202534192105,3.6097379938714,3.47242075305181,3.64639142195741,3.51218187189416,3.47716899862033,3.5313807280879,3.43555668412752,3.48143571813046,3.58489637850086,3.4263367728252,3.50904363730538,3.7330235036784,3.52930346500081,3.52830380651581,3.51289683896256,3.519851595327,3.56225850696297
1557354_at,3.99180354880906,4.1443602542175,4.01020100984846,3.74569111815802,3.84020834846203,3.96133638803665,3.72793323036401,3.87818561301079,3.77999637777209,3.80920792456492,3.97151506826149,3.8562166497473,3.85290803190118,4.05799515750378,3.73590259520855,3.8275576471082,3.68360671470997,3.70017333240485,3.71160025213554,3.88565859305313,3.83383802576132,3.75450406453487,3.85696149413533,3.96432038265929,4.06845210439466,3.71184236673372,3.76240562030577,3.81997117801861,3.79870255685308,3.84343007132389,3.75660141926976,3.73385139665827,3.65423368171812,4.23321355515732,3.72999799338468,3.95992875374132,4.02931908247511,4.0437078524539,3.78871950051323,3.87303730708369,3.84324400483165,4.08027665236217,3.79964264484024,3.82110937693707,3.91158024265602,3.9383920749142,3.95060052772868,3.82798881846591,3.90551591916869,3.94608290266829,3.64689629786364,3.70376762692348,3.92926147611743,3.95384402110946,3.99235496653726,4.0445494041999,3.79994594281524,3.89809933504315,3.8122348630144,4.33370662148349,4.0331561832782,3.74875435326767,3.76987557578169,3.661456114505,3.81973878635612,3.70275053380248,3.67591036621881,3.95419149956579,3.80545559477246,3.786068829035,3.69152546186856,3.95984364123489,3.68856707758036,3.69261199586659,3.80360273747175,3.96389660031104,3.96630026461064,3.65563913159752,3.9526387910515,3.65972602566672,3.7013862517266,3.77420522187386,4.06019872370313,3.83376092432214,4.09862839441237,3.76404096948243,4.07981851228895,3.82288559270108,3.72990319297429,3.88249068003786,3.79640500396002,3.62903677677665,3.84044595287427,3.84351979555111
