,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615
1552584_at,7.68909384102666,7.59068345001362,6.77123103335069,8.57896491750669,7.79265754429646,8.26924797542357,8.38594806840723,7.9286002676453,6.88152190329596,7.65579183412407,7.39054910587834,8.10610647120821,7.96326627388746,7.33843054366456,7.45402175601494,7.91394937593817,7.45123546662527,8.98265841351209,7.57958998748099,7.65163543167688,7.87133398936934,7.93302719581137,7.56237491943867,7.47788981817882,8.3336754598004,7.82270898093047,7.7535230429081,6.84063013733732,7.46235718858575,7.32832000313068,9.25333540122346,9.07261405950276,7.9520026703122,7.52982988053254,7.11055606032863,7.3981878088861,7.51113447566564,7.66825848312799,7.57944009353683,7.45848069417227,7.77529420041137,7.98081644760361,7.69513932760016,7.31368409415829,7.53218433409777,7.39805069891738,9.14079940342185,7.1378711898196,6.43808709103375,7.15319894428965,7.14454247476278,8.20563847446201,7.34523529337708,8.18263430465401,7.45045960720369,7.43536443590354,7.633492012418,7.66656087676646,7.55721772785546,6.53599568541348,7.56696040598989,7.04610567124272,7.12832529107467,7.92317236013135,8.49502100842438,6.90144354602264,6.2603695174005,6.89576686164435,7.13113969295976,6.65019806675919,6.61152064153062,7.81811875745623,6.8325820094607,7.1095498376332,6.64316995621183,7.43889066502258,6.8046644288482,8.02052557688107,7.3549236154164,8.56865580742447,7.37240450979363,7.00430646039068,7.60184975279822,7.47755557531772,7.68633244164828,7.10666757073432,8.61678524361318,7.1584697017304,7.55610517827269,8.17005969487939,6.38628443275856,6.51796618414332,6.10676448206235,6.66779107002145
1552609_s_at,4.76497984543067,4.48435006554968,4.48819242417529,4.59893453348876,4.57488728275775,4.62641591485967,4.71049704029099,4.28600542026219,4.65567099331369,4.72059250483529,4.80920437452756,4.84429545960833,4.90330049513258,4.66410348780126,4.90265762205222,4.69103916381195,4.83773271878476,4.8052591741682,4.64240913526621,4.69945598141593,4.68728968692635,4.77233622040955,4.69281517211489,4.5142320255654,4.60630365563448,4.52818248257337,4.88149206334893,4.58749349441146,4.69662491715522,4.86192916049877,5.44644682220835,4.75401602205024,4.96297426840263,4.5632676917324,4.81057332661291,4.90900387802857,4.68745618571546,4.80211510136296,4.54674416014047,4.70689120616878,4.62043901496708,4.76812352056599,4.8413448648535,4.64334351174523,4.91493266653957,4.6918666919573,4.83195028070165,4.41247968385914,4.79068860662832,4.43748819742189,4.76086731919708,4.79279344203259,4.91695262351195,4.82387175811365,4.7703716536582,4.44382213003253,4.57333230123168,4.55210660650669,4.70153850951036,4.6331295367724,5.10661528795489,5.13923448160303,4.79366670435478,4.62574644334417,4.92096768974476,4.56482881273243,4.8020336506546,4.98390452076979,4.70426798855168,4.59799414981834,4.83487771403998,4.54825442684694,4.52601285795424,4.78951584936258,4.87658918325463,4.61689147136603,4.88935776261426,4.8289376172511,5.16031185144244,4.6993520889386,4.80193655525924,5.03995648009992,4.70607788796343,4.86389151774651,4.82148328215122,4.72527313419133,4.4735727760035,4.59060321230922,4.54457009933144,4.71753438232157,4.81919670894163,4.76134295461946,4.61339283277385,4.5817408319183
1552610_a_at,9.4174552557892,10.1463143350535,9.83069444729878,5.89140849780201,8.082210410436,8.57848612124744,7.75525607419939,7.61772954055171,9.8891183428084,7.61178041555108,9.12558148458786,7.30150333461657,9.34502569261077,10.5102134838868,9.08188624435274,8.79453040241091,9.42399598426401,6.63474473708069,10.3079817900897,10.7536743365317,7.04256988817871,9.55803424842815,9.83589738871619,9.41082718158745,7.04555749211238,8.7949496475995,9.83983161957113,9.76491239145907,10.7725449706094,10.4045192659512,5.74523426910674,8.00241787748629,5.8770788910443,10.7021413155152,10.1699386971537,8.28919643838068,10.0759828299131,10.1690914342499,9.90851551992756,10.569043249862,10.3571186366133,10.402955782443,11.0103567789186,10.4854499460225,10.4311257384182,10.2439946642087,9.98688921549229,9.23786225894565,8.8738332347274,9.1752253967947,5.96102958077114,8.40530434960039,7.92471570822473,7.76262003578054,7.60361037969164,9.84774085465191,7.32114481869032,8.61817102222952,9.51348277385217,6.33942509009177,10.0626703289755,10.7421879487831,8.19594489862253,9.40369029185185,7.7016059210532,8.21368128387375,10.7643399174966,6.80411992269527,8.68178144816098,9.21781662831112,9.67422816134367,7.36082086647215,8.06866412131476,5.89621778844143,7.53488142585702,10.5483961276743,10.1095443644942,6.43596140933903,5.51784008652195,8.57123839459292,10.655040023567,9.76909951969923,8.35481326047413,10.3357727291894,9.84640329136476,9.60949805333732,10.756291429668,8.05096504376514,8.88854578421585,10.39297456557,9.99241840365798,8.91958795105402,8.95714120705552,8.92044789959522
1552611_a_at,6.82320070606563,7.10581898185746,6.8809817138088,9.01362875427416,8.66939535340822,8.77662987587397,8.37299659424574,5.44622578241465,6.96161721028824,6.38467584281094,6.51737078124581,7.23445043394868,6.77893555527834,8.43495635597724,6.94760343336518,6.74599346886207,6.94467270867514,6.99157625749815,7.56237491943867,8.49616039305335,6.37948760125462,7.31698410736625,7.08868896783882,6.67311569577972,8.19198747059299,7.81637479322509,6.24218139936915,6.16278977840449,8.37176263430329,8.46548580021531,6.56675773080368,6.29240075724745,6.24705043442146,8.95797363651423,7.60882922090601,6.35229299265262,7.62096720925195,7.62812747662551,7.33600818883612,8.39582338129644,6.49957533458967,6.95671361685084,9.03803150100813,8.69029940616462,8.32646536388945,8.09774831398863,6.80768244844756,6.47601184090882,7.12213915604637,6.57198605756057,8.47650407641058,8.4009847570845,8.15314779847749,8.61008465575313,5.40883018770023,7.38181857658425,5.99478503501676,6.94973072946004,6.62793343761354,6.29658711888229,8.20860896695638,8.76473172243113,6.40585904150783,7.27005053072837,6.05498667467158,5.34096468177749,9.34241994263276,6.32395656020917,6.39559478953803,7.03307942298707,7.04624848038455,8.17322192973274,7.42122708667876,6.11693481670669,5.57808701123436,8.69317530249668,7.99925217166442,6.08518374348829,6.15246324697173,6.28112346929986,8.55349762451393,7.28931142147148,6.16289586279786,7.7925038830618,7.26347130272386,7.24020305172459,8.87073591475562,5.85310324697953,6.09166156671056,8.17041003171691,8.87099170731711,6.16329623141446,6.57323305063004,6.34380589429871
1552637_at,4.10391829898428,4.09395685114613,4.10734450912348,4.3415866647258,4.03453700944187,4.32069899277826,4.49302845683659,3.87231983290257,4.03746706486593,4.10071686212981,4.21930575847535,3.82593582965583,4.09939535596621,4.31203888187439,4.32098415826519,4.13534644353977,4.37723357899047,4.20546377219424,4.14227264247316,4.14346501531998,4.36794704525543,4.24944505961341,4.45210811194901,4.00245100882248,4.07649706130022,4.03891047129107,4.3767958735093,4.2351278744298,4.24853124900083,4.31953784590055,4.08492381153889,4.17877400460102,4.18813031517381,4.20485954877009,4.45136497598009,3.98239161682367,3.95113073418501,4.28538808510547,4.11359469000602,4.35185805368018,4.21604746506602,4.17051258392909,4.11260696207619,4.34631077139889,3.99718992191418,4.33343937188077,4.10193721971548,4.12464465146437,4.20129009382967,4.21151363784805,4.2143391890964,4.09510289051244,4.16638439328037,3.99659650490592,4.37365612137557,4.29994254234837,3.82193554499266,3.87957405485032,3.77144980455953,4.52658044336139,4.23480929250623,4.29241826060632,3.93426483083596,4.13278101639813,4.24301152727435,4.37310576089292,4.48237922894864,4.13408168251356,4.37243092075462,4.23545762900271,4.5244055611102,4.00199642853254,3.89279839184439,4.13755728272352,4.25508505330008,4.12641037740223,4.50852286900699,4.29193328251648,4.24238583377007,4.35531076569658,3.8685125986078,4.51237722919518,3.98239161682367,4.3285774903048,4.17186248862055,4.30264856189522,4.14183039286994,4.42678532360488,4.20688897492716,4.15030422272555,4.26823654024067,4.10396452336025,4.12738338786266,3.9241985048411
1552646_at,5.90557532709868,6.04148723563325,6.23132707133261,5.96354844771374,6.10686913809908,6.06159788368317,5.86421935199763,5.70078128904934,6.0114240205534,6.16818628614295,5.84226481584769,5.80666133197907,6.01725847893876,6.10850596989792,6.17613422496688,5.96587985210302,6.20979474545736,6.69926224417618,6.12081121967891,6.1592216371426,6.50024191865322,6.47487396011343,6.15115385525673,6.3690034218481,5.84773932744705,6.40344338021922,6.67163276946547,6.85272483159276,6.29938078493775,6.32167908831348,7.02966813263357,6.57829849385863,6.73424643009022,6.29848434469492,6.95808995705466,6.06969951740237,5.73810463460706,6.14924888193928,5.9396929184498,5.97619741131299,6.12124685530598,6.07870365803936,6.23679967965886,6.03886448164724,6.10381752787801,6.23065135668206,6.3093055904548,5.82155177280531,6.56313034022332,6.12478975508216,6.24446139260525,6.12739979593452,6.14644822465734,5.66537501730742,5.81047680452331,6.04082272365305,5.98278920441578,5.86529382853494,5.76313854377412,5.99205643893688,6.32587761563789,6.25754239754824,6.32753858776594,6.08959521770547,6.1647191714403,6.18649133904486,6.54140727133584,6.24170065888403,6.1066384722348,6.29196191371705,6.41658259876947,6.34156471930784,6.38412993843367,6.83156086105794,6.74401776679053,6.15682904443277,6.18381222767258,6.63678402249984,7.14883936257643,6.44237157743132,6.23930772818195,6.82644402374044,5.93277102319302,5.89027659496339,5.9714318909527,6.13030758129281,6.11426282314005,6.30634803276952,6.37448239932866,6.12913374742419,6.58772593046892,6.42233476145431,6.07609683281119,5.95983167386019
1552792_at,3.90784353547409,4.31004746517279,4.10609866714842,4.14815070199575,4.1862619270701,4.36896638035353,4.74762052575844,4.58093071050444,4.18540344336037,4.08431164368178,3.98186588243049,3.6297710946202,3.95023819768582,4.83345183805057,4.0617285332203,3.74077045197739,3.95692719201749,3.57320863658269,4.45767579363061,4.81806875160387,3.84572393403432,3.92973295964017,4.07382405284751,3.90766311413,4.34631077139889,3.87204082710997,3.67490476051809,3.69044046458414,5.16826561492002,5.00253808416702,3.55808298735803,3.32595403437462,3.49812289487836,5.34754492692695,3.8974266969709,4.22280197267899,4.57220115925843,3.8260192967695,4.66699460669271,5.47107178392748,5.1224626978938,4.58983509684601,5.49781122724384,5.57410298750899,5.33980058765329,5.39402331087557,4.08960675699888,4.09557416244027,3.66282345841265,3.53267477111437,3.99199071441662,4.04522959219009,4.8831341603995,4.16160373560308,4.07840536625945,3.94617138251772,3.72651806242592,4.23968337205267,3.6667561556644,3.66083511190902,4.18607593295217,5.16913149675315,3.72819171535396,3.95129252111407,3.76934664474241,3.83718408104578,4.99934372598215,3.96116074590935,3.90253739482801,3.84971204441972,4.27754652147865,4.11557876488792,4.15734106036787,3.76715817882609,3.73555548768295,4.77091362504365,4.10627409553816,3.64763413301606,4.12336020987512,3.81214475374654,5.10450866170527,3.95535262683211,3.68679389895618,4.43369176182652,4.67097068251223,4.15531289700245,4.73185813593427,3.90883944157857,4.07903028841734,4.31423211816717,5.04252085431843,4.09889592029471,4.4016726597895,3.91931173383087
1552912_a_at,3.6673198544611,3.56806126816442,3.49885285532286,3.71538204822714,3.65092781009728,3.47008745430321,3.60337454653933,3.61080421077944,3.57584717647061,3.90651824062899,3.69132605515079,3.69784559077449,3.91965422976361,4.00060329281745,3.99069570085212,4.00281078279986,3.84084212410663,4.15734106036787,3.98602593944057,4.05526681129048,3.88216058796729,3.80313380019302,3.93985314489504,3.78548721064005,3.54579394239363,3.65092781009728,3.80553252423781,3.79560283134102,3.76658917088316,3.80794383936609,4.10880823728492,4.0138825005344,3.92909161795127,3.77763191405805,4.07848029054358,3.69334538901494,3.51926059725393,3.64238621173444,4.03323038713403,3.71704188313731,3.42668550037762,3.45445288657097,3.78169264332324,3.64183718244267,3.90993415293476,3.7686059457821,3.92487166437665,4.32379610932348,3.61823333800076,3.57573069294916,3.58206782613251,3.83785221774842,3.66695407011929,3.87634383540988,3.60216271575264,3.52377274265746,3.81525079905942,3.43630112186845,3.61305834965639,3.87922008494896,3.88651132063761,3.86880018248247,3.95945795740894,3.78707373460957,4.10225875444175,3.79428409734895,3.78863605100335,3.84746033868149,3.74715529908376,4.01368710060362,4.49088116994433,3.53843277235313,3.68679389895618,3.9924416778071,4.14824100572484,3.90533347539493,3.80855664459079,4.10488844374506,4.14321336093107,4.0108333110354,4.06348342019783,3.92355489727857,3.37674564493803,3.82100213873839,3.80840223918798,3.73921649161666,3.8239892770932,3.70789449546469,3.65690974619932,3.88241266427177,3.76519143232966,3.71625221307289,3.86337576811228,3.66114655327834
1552915_at,4.67599070889963,5.1827617912937,5.03721766999071,4.84091150370754,4.77185937823487,4.59328317888152,4.69347761015777,4.92677805316401,4.81458700444769,4.98071244095988,4.95711839397386,4.75617335173598,5.55161370960075,5.35706729963865,5.05156591725317,5.53038660857302,5.23429069420398,5.14938045946463,4.90356763200923,5.20004183078102,5.22531825043239,5.13656951497318,5.53574614040341,5.13544161998134,4.58084460336511,4.8344869106268,6.40274757916284,6.40274757916284,5.00409888209162,5.50203011249577,6.33631762069351,6.13670415385456,5.94743440297276,5.08773779442678,6.21890906755681,5.05568009336991,4.84908345088427,5.00439800016958,5.16433904069728,5.07550866770292,5.14274472825939,5.06034873676767,5.43168028404709,5.2635889591775,5.27227080796826,5.42323130579506,5.11153202870404,5.70048774836004,5.5239051804272,5.52929671250601,4.88505592492436,4.9015001061562,4.84908345088427,5.49968092340974,5.06686107365818,5.06908575753737,5.11381834153234,5.06063629329926,5.15649259647896,5.86171374281234,5.28599442694777,5.62020200592005,5.41698521442685,5.29608716530354,5.39043647970286,5.25734281477236,5.20532361319379,5.29899882798853,5.29081355722422,5.32420299835008,5.84295734704794,4.77732711758895,4.80639889119015,6.35908979896901,6.28088317169473,4.97048075951894,5.36678359794643,6.0086423150044,6.35769598367212,5.77306965967742,5.19342364728008,6.11680767113766,5.06917171939577,5.71355761009145,5.16685669922778,5.33370810585527,5.40021985600126,5.3954274377673,5.40897508293239,5.4480161847964,5.22269135298108,5.14838479706977,4.94332173261172,5.11267068404537
1552917_at,5.21596872017297,5.38638976738246,5.29371305888055,5.87698329505075,5.37738809699394,5.27727216098792,5.64459011682803,5.25357228520755,5.40892244956429,5.44204889035204,5.11720185635215,5.41006077057586,5.44613465197369,5.64846375794823,5.37365119060848,5.76533477550608,5.46717943919246,5.8022429927752,5.96061995421374,5.49436215783489,5.90838710481252,5.38086727699007,5.7234551806731,5.44058003825356,5.31967467885916,5.26159104555209,5.96846183140754,5.64932332435681,5.50218788617653,5.62100622287357,6.93962872800759,6.47341862038587,5.7772898841084,5.51388404490973,6.36978907236155,5.57442048074707,5.43697682345175,5.51378847043449,5.29314340479257,5.61570345175948,5.61120069843297,5.43798439985383,5.67550805643365,5.57492494545868,5.70905348471107,5.57296806574391,5.49051265088286,5.73107913039438,5.75300191437999,5.91925638381165,5.59652395633598,5.48907479663426,5.58526058418536,5.33905779031118,5.59692697942922,5.56604696224839,5.59536524460121,5.42001533139253,5.2531849780229,6.00735807053905,5.84632070419357,6.14345901924471,5.6772906207692,5.50950367497203,5.63840104443292,5.92635017291619,5.70191930348249,5.7466175561642,5.51185342816319,5.78556001310364,5.79568483338709,5.39379910031423,5.32509692953901,5.87587610897963,6.42178257480537,5.6622441837485,5.52854757432332,6.13168866527027,6.14937951255682,5.65383648560276,5.55379613278749,6.10715962960921,5.46860100174282,5.72724222788236,5.37779994060144,5.71565838734183,5.41678786891562,5.95790210636826,5.57522582109639,5.71690601698708,6.05004337688108,5.77829116673666,5.39942172652219,5.52325023229655
