,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615
1552584_at,7.68909384102666,7.59068345001362,6.77123103335069,8.57896491750669,7.79265754429646,8.26924797542357,8.38594806840723,7.9286002676453,6.88152190329596,7.65579183412407,7.39054910587834,8.10610647120821,7.96326627388746,7.33843054366456,7.45402175601494,7.91394937593817,7.45123546662527,8.98265841351209,7.57958998748099,7.65163543167688,7.87133398936934,7.93302719581137,7.56237491943867,7.47788981817882,8.3336754598004,7.82270898093047,7.7535230429081,6.84063013733732,7.46235718858575,7.32832000313068,9.25333540122346,9.07261405950276,7.9520026703122,7.52982988053254,7.11055606032863,7.3981878088861,7.51113447566564,7.66825848312799,7.57944009353683,7.45848069417227,7.77529420041137,7.98081644760361,7.69513932760016,7.31368409415829,7.53218433409777,7.39805069891738,9.14079940342185,7.1378711898196,6.43808709103375,7.15319894428965,7.14454247476278,8.20563847446201,7.34523529337708,8.18263430465401,7.45045960720369,7.43536443590354,7.633492012418,7.66656087676646,7.55721772785546,6.53599568541348,7.56696040598989,7.04610567124272,7.12832529107467,7.92317236013135,8.49502100842438,6.90144354602264,6.2603695174005,6.89576686164435,7.13113969295976,6.65019806675919,6.61152064153062,7.81811875745623,6.8325820094607,7.1095498376332,6.64316995621183,7.43889066502258,6.8046644288482,8.02052557688107,7.3549236154164,8.56865580742447,7.37240450979363,7.00430646039068,7.60184975279822,7.47755557531772,7.68633244164828,7.10666757073432,8.61678524361318,7.1584697017304,7.55610517827269,8.17005969487939,6.38628443275856,6.51796618414332,6.10676448206235,6.66779107002145
1552611_a_at,4.76497984543067,4.48435006554968,4.48819242417529,4.59893453348876,4.57488728275775,4.62641591485967,4.71049704029099,4.28600542026219,4.65567099331369,4.72059250483529,4.80920437452756,4.84429545960833,4.90330049513258,4.66410348780126,4.90265762205222,4.69103916381195,4.83773271878476,4.8052591741682,4.64240913526621,4.69945598141593,4.68728968692635,4.77233622040955,4.69281517211489,4.5142320255654,4.60630365563448,4.52818248257337,4.88149206334893,4.58749349441146,4.69662491715522,4.86192916049877,5.44644682220835,4.75401602205024,4.96297426840263,4.5632676917324,4.81057332661291,4.90900387802857,4.68745618571546,4.80211510136296,4.54674416014047,4.70689120616878,4.62043901496708,4.76812352056599,4.8413448648535,4.64334351174523,4.91493266653957,4.6918666919573,4.83195028070165,4.41247968385914,4.79068860662832,4.43748819742189,4.76086731919708,4.79279344203259,4.91695262351195,4.82387175811365,4.7703716536582,4.44382213003253,4.57333230123168,4.55210660650669,4.70153850951036,4.6331295367724,5.10661528795489,5.13923448160303,4.79366670435478,4.62574644334417,4.92096768974476,4.56482881273243,4.8020336506546,4.98390452076979,4.70426798855168,4.59799414981834,4.83487771403998,4.54825442684694,4.52601285795424,4.78951584936258,4.87658918325463,4.61689147136603,4.88935776261426,4.8289376172511,5.16031185144244,4.6993520889386,4.80193655525924,5.03995648009992,4.70607788796343,4.86389151774651,4.82148328215122,4.72527313419133,4.4735727760035,4.59060321230922,4.54457009933144,4.71753438232157,4.81919670894163,4.76134295461946,4.61339283277385,4.5817408319183
1552637_at,9.4174552557892,10.1463143350535,9.83069444729878,5.89140849780201,8.082210410436,8.57848612124744,7.75525607419939,7.61772954055171,9.8891183428084,7.61178041555108,9.12558148458786,7.30150333461657,9.34502569261077,10.5102134838868,9.08188624435274,8.79453040241091,9.42399598426401,6.63474473708069,10.3079817900897,10.7536743365317,7.04256988817871,9.55803424842815,9.83589738871619,9.41082718158745,7.04555749211238,8.7949496475995,9.83983161957113,9.76491239145907,10.7725449706094,10.4045192659512,5.74523426910674,8.00241787748629,5.8770788910443,10.7021413155152,10.1699386971537,8.28919643838068,10.0759828299131,10.1690914342499,9.90851551992756,10.569043249862,10.3571186366133,10.402955782443,11.0103567789186,10.4854499460225,10.4311257384182,10.2439946642087,9.98688921549229,9.23786225894565,8.8738332347274,9.1752253967947,5.96102958077114,8.40530434960039,7.92471570822473,7.76262003578054,7.60361037969164,9.84774085465191,7.32114481869032,8.61817102222952,9.51348277385217,6.33942509009177,10.0626703289755,10.7421879487831,8.19594489862253,9.40369029185185,7.7016059210532,8.21368128387375,10.7643399174966,6.80411992269527,8.68178144816098,9.21781662831112,9.67422816134367,7.36082086647215,8.06866412131476,5.89621778844143,7.53488142585702,10.5483961276743,10.1095443644942,6.43596140933903,5.51784008652195,8.57123839459292,10.655040023567,9.76909951969923,8.35481326047413,10.3357727291894,9.84640329136476,9.60949805333732,10.756291429668,8.05096504376514,8.88854578421585,10.39297456557,9.99241840365798,8.91958795105402,8.95714120705552,8.92044789959522
1554008_at,7.98511699349675,8.74392914813356,8.52173990592654,5.26118740350183,6.37606104366286,6.35986926100324,6.01165137727188,6.53799581726337,7.95681712475868,6.50597753814424,7.81908366853104,6.22225321643314,8.34721803843952,9.32617382715042,8.05003424782415,7.80433574987422,8.23604078671442,6.20715835351723,9.39026287068854,9.88677067977448,6.21940465865277,8.74783138873949,8.92456184561257,8.50869151774242,5.5052149560034,6.92139469154768,8.26578453155019,8.40038360094307,9.98024078599918,9.77370259583006,6.37404591518075,6.32921169568317,6.33277627821176,10.0648771068263,8.69987087318026,7.10725869543358,9.12048467738449,8.54984699347706,8.87570531498654,9.40699713701074,9.01446593329885,9.25117094129827,9.71616748106523,9.32426378949386,8.97030744769324,9.37955717449433,7.7763681622956,7.51987151718898,7.24383495739432,7.44826669793702,5.25734281477236,5.94441926989954,6.8453633047434,6.03431013930932,5.59168337827679,7.48600247183402,6.57734978508086,7.45910206578088,7.73692133379946,6.74101170658737,8.93104792103792,9.0980700154215,6.8877361294242,7.80923355987812,6.12870129968594,7.24201589123763,10.1649552249095,7.12439180270781,7.64789620080699,8.35988154762392,8.88357751876124,5.28292722616618,6.12086006457814,7.09448928300193,6.84821982925476,9.36140114096821,8.90643996185514,6.05088065250411,6.67311569577972,7.14170205310177,9.14148139974747,8.0620931033498,7.17388602556643,8.94930913986026,8.75080847301104,8.33440653777306,8.83565223024013,7.25276271447625,7.7952344569119,8.65525272080223,8.79669841777875,7.97186019227743,8.10874509883397,8.23842825919137
1555499_a_at,8.56995003656366,7.89442830506537,8.97964035935465,8.15834900545883,8.97007444743519,7.98674711016119,8.04146262246283,8.03629450342287,8.51208471321786,8.26670981877892,8.36745355447235,8.55494920348027,7.952856700348,8.93348244852399,9.02871229059769,8.36208297366214,8.31933760169529,8.61171712259081,8.52929904286919,8.52865538622315,8.96741999184643,8.57557479334917,8.72600459611242,8.59034743175737,8.47002137716443,9.21920498927965,8.16059431725908,8.8873508760496,8.50797179626232,8.12449513347722,8.78186649531393,8.14308247185946,8.63588794708039,8.20355535561131,8.79669841777875,8.25090817311216,8.33647882833972,8.05460728045506,8.54044413105735,8.07123326757322,7.89797978786518,8.08187465640474,7.39150510743105,7.75135643006769,8.22393382044306,7.88984117749864,7.76561639857599,6.36741463640484,7.2691422845074,8.45974267225274,7.66641879761363,8.06528206267446,7.16441335603194,7.06777738892314,7.54997339597829,7.83355772760073,7.72974834888438,7.61329655548216,8.34638864358086,6.21986768902293,7.33981463170213,7.76262003578054,8.56187597132381,7.59178518682034,7.88951036842776,7.71818076334607,6.80722131050673,7.54593001065188,6.95068603256826,6.94861964710129,6.5153998940303,8.23827191303077,7.87125244829238,7.6035348065712,8.0560964048563,7.7451922511314,7.36875566858509,8.43121597291479,7.62667947102983,7.5535050622257,7.63442509788994,7.98674711016119,7.28087206707794,8.59658512936116,8.50105617137251,8.05301157785858,7.75269217459684,8.03270782853786,8.01565694776547,7.07520311262962,7.21305647834909,7.45560604921748,8.0830624039063,7.86377185254439
1555513_at,3.90784353547409,4.31004746517279,4.10609866714842,4.14815070199575,4.1862619270701,4.36896638035353,4.74762052575844,4.58093071050444,4.18540344336037,4.08431164368178,3.98186588243049,3.6297710946202,3.95023819768582,4.83345183805057,4.0617285332203,3.74077045197739,3.95692719201749,3.57320863658269,4.45767579363061,4.81806875160387,3.84572393403432,3.92973295964017,4.07382405284751,3.90766311413,4.34631077139889,3.87204082710997,3.67490476051809,3.69044046458414,5.16826561492002,5.00253808416702,3.55808298735803,3.32595403437462,3.49812289487836,5.34754492692695,3.8974266969709,4.22280197267899,4.57220115925843,3.8260192967695,4.66699460669271,5.47107178392748,5.1224626978938,4.58983509684601,5.49781122724384,5.57410298750899,5.33980058765329,5.39402331087557,4.08960675699888,4.09557416244027,3.66282345841265,3.53267477111437,3.99199071441662,4.04522959219009,4.8831341603995,4.16160373560308,4.07840536625945,3.94617138251772,3.72651806242592,4.23968337205267,3.6667561556644,3.66083511190902,4.18607593295217,5.16913149675315,3.72819171535396,3.95129252111407,3.76934664474241,3.83718408104578,4.99934372598215,3.96116074590935,3.90253739482801,3.84971204441972,4.27754652147865,4.11557876488792,4.15734106036787,3.76715817882609,3.73555548768295,4.77091362504365,4.10627409553816,3.64763413301606,4.12336020987512,3.81214475374654,5.10450866170527,3.95535262683211,3.68679389895618,4.43369176182652,4.67097068251223,4.15531289700245,4.73185813593427,3.90883944157857,4.07903028841734,4.31423211816717,5.04252085431843,4.09889592029471,4.4016726597895,3.91931173383087
1556492_a_at,3.6673198544611,3.56806126816442,3.49885285532286,3.71538204822714,3.65092781009728,3.47008745430321,3.60337454653933,3.61080421077944,3.57584717647061,3.90651824062899,3.69132605515079,3.69784559077449,3.91965422976361,4.00060329281745,3.99069570085212,4.00281078279986,3.84084212410663,4.15734106036787,3.98602593944057,4.05526681129048,3.88216058796729,3.80313380019302,3.93985314489504,3.78548721064005,3.54579394239363,3.65092781009728,3.80553252423781,3.79560283134102,3.76658917088316,3.80794383936609,4.10880823728492,4.0138825005344,3.92909161795127,3.77763191405805,4.07848029054358,3.69334538901494,3.51926059725393,3.64238621173444,4.03323038713403,3.71704188313731,3.42668550037762,3.45445288657097,3.78169264332324,3.64183718244267,3.90993415293476,3.7686059457821,3.92487166437665,4.32379610932348,3.61823333800076,3.57573069294916,3.58206782613251,3.83785221774842,3.66695407011929,3.87634383540988,3.60216271575264,3.52377274265746,3.81525079905942,3.43630112186845,3.61305834965639,3.87922008494896,3.88651132063761,3.86880018248247,3.95945795740894,3.78707373460957,4.10225875444175,3.79428409734895,3.78863605100335,3.84746033868149,3.74715529908376,4.01368710060362,4.49088116994433,3.53843277235313,3.68679389895618,3.9924416778071,4.14824100572484,3.90533347539493,3.80855664459079,4.10488844374506,4.14321336093107,4.0108333110354,4.06348342019783,3.92355489727857,3.37674564493803,3.82100213873839,3.80840223918798,3.73921649161666,3.8239892770932,3.70789449546469,3.65690974619932,3.88241266427177,3.76519143232966,3.71625221307289,3.86337576811228,3.66114655327834
1557354_at,4.67599070889963,5.1827617912937,5.03721766999071,4.84091150370754,4.77185937823487,4.59328317888152,4.69347761015777,4.92677805316401,4.81458700444769,4.98071244095988,4.95711839397386,4.75617335173598,5.55161370960075,5.35706729963865,5.05156591725317,5.53038660857302,5.23429069420398,5.14938045946463,4.90356763200923,5.20004183078102,5.22531825043239,5.13656951497318,5.53574614040341,5.13544161998134,4.58084460336511,4.8344869106268,6.40274757916284,6.40274757916284,5.00409888209162,5.50203011249577,6.33631762069351,6.13670415385456,5.94743440297276,5.08773779442678,6.21890906755681,5.05568009336991,4.84908345088427,5.00439800016958,5.16433904069728,5.07550866770292,5.14274472825939,5.06034873676767,5.43168028404709,5.2635889591775,5.27227080796826,5.42323130579506,5.11153202870404,5.70048774836004,5.5239051804272,5.52929671250601,4.88505592492436,4.9015001061562,4.84908345088427,5.49968092340974,5.06686107365818,5.06908575753737,5.11381834153234,5.06063629329926,5.15649259647896,5.86171374281234,5.28599442694777,5.62020200592005,5.41698521442685,5.29608716530354,5.39043647970286,5.25734281477236,5.20532361319379,5.29899882798853,5.29081355722422,5.32420299835008,5.84295734704794,4.77732711758895,4.80639889119015,6.35908979896901,6.28088317169473,4.97048075951894,5.36678359794643,6.0086423150044,6.35769598367212,5.77306965967742,5.19342364728008,6.11680767113766,5.06917171939577,5.71355761009145,5.16685669922778,5.33370810585527,5.40021985600126,5.3954274377673,5.40897508293239,5.4480161847964,5.22269135298108,5.14838479706977,4.94332173261172,5.11267068404537
1557675_at,5.21596872017297,5.38638976738246,5.29371305888055,5.87698329505075,5.37738809699394,5.27727216098792,5.64459011682803,5.25357228520755,5.40892244956429,5.44204889035204,5.11720185635215,5.41006077057586,5.44613465197369,5.64846375794823,5.37365119060848,5.76533477550608,5.46717943919246,5.8022429927752,5.96061995421374,5.49436215783489,5.90838710481252,5.38086727699007,5.7234551806731,5.44058003825356,5.31967467885916,5.26159104555209,5.96846183140754,5.64932332435681,5.50218788617653,5.62100622287357,6.93962872800759,6.47341862038587,5.7772898841084,5.51388404490973,6.36978907236155,5.57442048074707,5.43697682345175,5.51378847043449,5.29314340479257,5.61570345175948,5.61120069843297,5.43798439985383,5.67550805643365,5.57492494545868,5.70905348471107,5.57296806574391,5.49051265088286,5.73107913039438,5.75300191437999,5.91925638381165,5.59652395633598,5.48907479663426,5.58526058418536,5.33905779031118,5.59692697942922,5.56604696224839,5.59536524460121,5.42001533139253,5.2531849780229,6.00735807053905,5.84632070419357,6.14345901924471,5.6772906207692,5.50950367497203,5.63840104443292,5.92635017291619,5.70191930348249,5.7466175561642,5.51185342816319,5.78556001310364,5.79568483338709,5.39379910031423,5.32509692953901,5.87587610897963,6.42178257480537,5.6622441837485,5.52854757432332,6.13168866527027,6.14937951255682,5.65383648560276,5.55379613278749,6.10715962960921,5.46860100174282,5.72724222788236,5.37779994060144,5.71565838734183,5.41678786891562,5.95790210636826,5.57522582109639,5.71690601698708,6.05004337688108,5.77829116673666,5.39942172652219,5.52325023229655
1561853_a_at,7.73566131829055,7.62252520181156,8.23779213668759,7.76100244224939,8.31457853478677,9.91433042897049,8.43619581267805,8.71852563892308,8.60424665623091,8.77636108676011,8.27681634875712,8.81417165650835,7.63031407201485,7.85787520428229,8.22056457182471,8.58018563742128,9.0179609982037,8.81439870344718,9.06811001267971,8.55602387158927,9.55383548990059,8.33696812573879,8.81822500505955,8.22881798070915,9.22166462809434,8.89709440049158,9.07811845374036,8.76583184889705,7.97696679547642,8.99542172299066,9.77521787589403,8.55981977913583,6.04954467921882,8.46131938788586,9.78907607938491,9.64427037879132,9.14468525517266,8.76825006664448,8.57367574298737,9.48313897023064,9.75915815110844,8.18279016395828,10.4693967402283,9.16452916154582,8.47336508628549,7.96293331152085,7.60833391152893,6.32552835634096,7.28449846632331,6.8987575587364,7.60988636780187,7.24484453947691,5.75769004151484,7.08956826044445,6.61719674699594,7.35790631542715,7.77153026312322,9.20453794687253,8.27175098370305,7.49805706277557,7.17822643041002,7.60418215596682,6.6866612477748,6.50467203948673,7.13000682255359,7.66040518408983,6.43736473948558,6.16856472467293,8.02685993773798,7.53977255728167,6.43808709103375,6.90023814897416,6.23999124736738,7.44234358524665,6.61634300010289,9.01738895881317,7.594856133887,8.21661371043302,6.62315427743744,7.34977716870502,6.74082805985212,7.33891680871481,9.60595222388364,7.71638038106926,8.67916766383747,8.39068446221101,8.28073289681726,7.86459674653035,7.78409891255357,7.3570890399069,7.40029781233309,8.0336497457215,5.91641927103247,6.28266162745095
