,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675
1552263_at,5.50485388266542,6.59065071422241,5.86213931771814,7.21690265982627,7.95163239992424,7.06734405149041,7.87308930926123,7.49958764167132,6.96586073106914,7.60882922090601,7.98427861973797,7.35868794735155,6.66891170207132,6.27668300060109,6.06560844454035,6.8733089899503,7.61244776220979,7.46187039579941,6.82267399184995,5.7030487084722,7.5330892378065,6.79188917656836,6.10300695750391,6.70179902579181,7.51250302784625,6.58810212562582,6.34807714944846,4.66107399601768,7.05651947358195,6.18727440415561,6.30293049162819,5.67529880444558,6.88407945850463,6.81240574745917,6.17981334248046,7.90559671363469,6.37929234676341,7.68331465559749,7.65611741513019,7.72121315841013,6.97293841578176,7.65686557993827,6.83689447782466,6.09533938367995,6.68855069497477,5.99017459406091,6.88885483493222,6.64621889939388,7.23251004631866,6.91363624138279,8.78588195144862,7.69710687037108,8.56904725129834,8.43962967053658,8.51096988595194,7.01505268822114,7.91315008910031,7.71519473909772,7.76684429942346,7.73417877009489,6.56736540274857,7.57598710066166,7.80359285805671,7.58061235063273,7.77860312623431,7.71071641090801,7.14766607517686,8.65131172937974,7.56094757755179,7.66230233224565,7.55043995654365,8.2370997640344,7.51034029574048,6.16583068221837,6.35917311403337,7.02966813263357,7.07246021801797,6.75379636370437,7.15832845236782,5.90810614927898,7.11455982719542,7.24896073939835,8.07857956786551,7.20283225579391,7.67794471254546,7.49437427013887,7.41378476811637,8.16974753509679,7.52704608057459,8.30429764147286,6.99187930098438,7.05157532124805,7.22607263527626,8.05133001344368
1552264_a_at,7.4325573298765,7.49126420545884,7.15942308420456,7.41032961530508,7.84550221999226,7.38905423045755,7.75641856913295,8.24336196399398,8.56959881973285,7.56064990805256,8.57051933858111,8.40194801675461,6.57272480016367,9.20356959991603,9.13077921428019,7.28798123884503,8.66878684372044,8.18023645195641,8.31792249676342,9.92781938422236,8.03396727357633,7.71301878454044,7.90559671363469,8.20860896695638,7.82042405076052,6.83220702700573,7.62667947102983,6.42699468841943,9.38907452894308,8.62457980128661,7.4848647746605,6.88885483493222,7.6870932259874,9.38855810706356,8.58047954720993,8.1867431708459,8.27321592189877,8.81759709525024,9.44785423010667,9.34502569261077,8.15800902946133,8.63709066985138,8.68857776286387,8.79471856976005,7.61361875594303,7.26975638473149,7.81121406259438,7.8444603482431,8.59107982231492,8.11356988384226,9.03913654065586,8.11695699139171,8.90942848595473,8.56140564830632,8.72600459611242,8.44353726353175,7.87885024222045,8.4461370812182,7.83404090545029,8.55531841847775,9.09456716235796,8.60707295740692,8.40902538237692,8.44994231276133,7.84873187451338,8.92519474989148,9.19947962108679,8.27818455096062,8.69693682838222,8.65417712309896,8.34334484283005,8.43401486200835,7.8859653869056,8.40453618079787,7.9682688603607,9.14673833608143,9.0987297439451,7.27214697907043,7.82367444895267,6.57929856828448,9.56023258650814,8.98070960282261,8.45423473579416,8.4783962542327,8.80514101057243,8.62924539185769,9.36815445382533,9.57280907187591,9.27862052725403,9.93584810116914,9.25356454718315,9.2663544510081,9.18435985109778,8.53403201183882
1552286_at,5.33159200091585,6.98549064252684,5.73353461978583,6.98091223200146,6.36086297986034,7.6253830986597,6.43030443397287,7.10020163538285,6.11176370992418,5.95218226241724,6.03126830240676,5.58582121807834,5.60682652599669,6.54480091433106,7.3487498765807,6.83315974991157,6.47656518611974,6.83341721122224,6.48599289005092,6.20909766621774,6.57198605756057,6.9142024617584,7.03879309236089,5.89718717554467,7.05426620875007,6.72550004316515,6.63605956081301,5.72846236324276,6.18555871992054,6.32146515227274,6.07303918664236,7.45924570853839,6.30693338142331,6.64995178358378,6.22236789671084,6.30999889469896,5.83452840387489,5.82004971228704,7.09935363416917,5.99185864551165,6.71001702713338,6.28865418901813,5.90082625298702,5.66660910934998,6.17290239680549,7.01686043877562,5.75486748213227,6.10361650685744,5.63865816110755,5.7234551806731,6.47941133373276,6.21714115993337,6.26831024813177,6.53451755179031,6.59065071422241,5.84196677971798,6.09940029185008,5.7360053887063,5.97461695184755,6.13765608758622,6.04861177659012,6.53036322906581,6.30093796322471,6.35060056105842,6.39604961114215,6.06261856071229,6.0470321075799,6.31318011044017,6.25044664776855,5.98853108433671,6.01295668918278,6.50239395190934,6.16806189167861,5.41417006874843,5.82104686073587,6.1886425934074,5.94002095965195,6.69883905016701,5.72561461848091,6.22388992256658,6.01453088488518,5.57930772518161,6.16393791822369,5.6940551796656,6.01462613557192,5.86150274428237,5.91171200162131,6.28536730793805,6.11072535505734,5.43759726368229,6.00435577930502,5.67648077058841,5.89393533428789,6.06316092620686
1552532_a_at,4.12743470513117,9.26328036830644,3.86729873463397,4.84219893447371,4.3457700880613,3.93721914063301,4.106368156372,4.06237223383893,4.34016631789011,4.23276318323826,4.2844576919264,4.12323080342393,4.13907087272609,4.05847962890325,4.12761702603321,4.14872580789303,4.08205906856095,3.92457254862202,4.88665201772419,4.13399371676822,7.11573770303122,4.20494849579242,6.01496003937531,4.53994625875621,4.28843439557426,4.3275628822283,3.96372507835037,3.99114169028721,5.84938291261386,5.24855540558123,3.89440233815438,4.03891047129107,3.93948056992882,4.37034759962187,4.3574618659114,4.11685024855151,4.17177403516783,4.24720510134892,5.01828166852026,3.88532849404106,4.58644881814063,4.5198337457069,4.11021992749704,4.47745889888612,4.23182847678745,5.38634093958347,4.28004288765649,4.26320204112991,3.91171610215119,3.91446106652209,4.06654227503504,4.0288285754763,4.18063532344884,4.0595613234879,3.91731945153569,4.03604518014527,3.88736217625638,3.86009031977754,4.29155509610369,4.11188162406785,3.85887207646107,3.94039959601057,3.96990960372645,4.13399371676822,4.05472252709183,4.09669708790899,3.76138377254364,3.99769647744469,4.12430378132738,4.21282263663534,4.18881663716371,4.24327997712022,4.28278152848254,4.01111459106052,4.0373823818201,4.08844131266798,4.22524567119416,3.89271269234013,4.03066992197769,6.31529007869587,4.13336648013772,4.06265101511566,4.06104826479886,4.10218875693341,4.13389657644081,4.00847916928583,4.21368399906969,4.37473128053332,3.92084404523043,3.93535824347548,4.3087718702389,4.16835444545515,4.11694610678713,3.94284119485027
1552664_at,6.97685881290982,7.03330600733787,7.11573770303122,7.61279410376438,7.28520434301368,7.67226672874587,7.30655921039941,7.32690330928174,7.97461305310385,7.04877770803647,7.09580046405723,6.84104174951234,5.72015983033857,5.32520006021319,6.19820654770492,6.56086455337819,7.16340844000172,7.01916218747531,7.22807956842653,7.41785076186401,6.56114034850456,6.93277303578601,6.5548811182782,6.01077021425535,7.59454768850582,7.76881065203975,6.97293841578176,6.75953564645276,7.03356747216564,7.54052190647872,7.05258106241462,6.32400650467656,6.81214294266699,6.79164447595058,6.93516618502351,7.00214118640628,7.56667788506133,7.29016844459573,7.62471232330042,7.13239463055888,7.5045985553699,7.53774290948418,6.33218560179371,7.94373904031406,5.46717943919246,6.08820134254389,6.50181168947392,7.27788131061756,7.35807488582722,7.35983524176297,8.01856662213022,7.97945220026692,8.1174737695883,7.87076585973438,8.17648766257011,7.51369139029327,7.27698263670158,7.25245718893842,6.7199808440546,7.2059064617663,6.66706194127809,6.53871770337319,6.97422222855683,7.49154142972678,7.15519798856707,7.40531091417641,7.70535232688382,7.65178646382339,7.52485750082258,7.21029331936861,7.07810987236621,7.94861466334578,8.06674802487275,6.90722337233528,7.17202085029479,7.51326084221658,7.75384894962485,6.47306644163622,6.86983942024282,6.16319028141835,7.36903480704373,6.77452997246167,7.00444337704797,7.56439162116002,6.8520810736332,7.55389818613537,7.11928430410037,7.60383607445833,7.25231819560631,6.58010430346001,7.2199706636803,6.81979124997191,6.9939408971628,6.81441318357913
1552734_at,4.31373421154768,3.95086108638951,3.92521709007233,4.32737670983593,4.0697091208499,4.4088278806992,3.8845617486718,4.20723137594326,3.8448550228395,3.78971419667809,4.19366510659529,3.73119649544085,3.87682077430897,4.09939535596621,4.23144546605794,3.830668522718,3.84430824310551,3.73538264796905,4.18774131725238,4.17957281266429,3.82640790090005,3.85221792623859,4.07817021213048,3.88820705656243,4.15753287549586,4.22810952766477,3.84981697508959,3.92687930285677,4.01707226503052,3.98565887580859,3.66666451218599,3.57466340956624,3.83728046235196,4.39895228537705,3.83428652366527,3.97316360489353,4.04686390658089,3.89217500970705,4.00350172795123,3.83526282137583,3.93712397152633,4.25222399523015,4.57016429919092,4.20800229287851,3.90253739482801,4.16047383708016,4.11379192997879,4.10309053230876,3.99327233677387,4.41049234337665,4.27334133049332,4.30849377027506,4.24219684926509,4.0944533650406,4.57035671477068,4.33107879198345,3.94851957200937,3.87114060653908,4.56729550098553,3.8946331632734,4.275571364542,4.15251574685153,3.8413888450829,3.93562327310178,3.89809933504315,4.13133749243094,4.12723912108795,3.64406872074221,4.07137545133737,3.93922802438521,3.92467484281516,4.56101508900946,4.41648521738358,3.86384195702505,3.81411454217205,4.13842704502707,3.94116857172492,3.85358349548702,3.74715529908376,3.71616585935339,4.02165229469604,3.7418712619939,3.86509128893074,4.22029967825185,4.09288152414219,4.51966957408851,4.18206855231431,4.29222542007736,4.1783188936766,4.41482662888084,4.27422986793916,4.03433452551121,4.19950216048912,4.11803341869683
1552973_at,5.26567295978037,5.34150418740689,4.7516043084122,4.63067846420219,4.3248125071546,4.83195028070165,4.52158539590696,4.86132605207064,4.87012780366072,5.15798405956312,5.04898914780306,4.80903511094064,4.94919742453685,5.00243364548799,4.8549196736092,4.88037681809913,4.70491224221644,5.02560631119287,4.88275050704349,4.67792702017059,4.8910292485739,4.92489003044986,5.09375375362948,5.03586777760359,4.39054764975489,4.61883670892742,5.09420957456653,5.014193994082,4.78138893163148,4.85830043470232,4.75874680772294,5.48261082273761,4.85614627341591,4.67126341704159,5.20311263850955,4.9998325002087,4.81889214260142,4.75516924202066,4.86389151774651,4.85851229136674,4.89210684937046,4.68613389786719,5.05014394598587,4.97688751247229,4.71672383987954,4.63207175148099,4.7516043084122,4.7856308405107,4.79377191561536,4.91828655084321,4.85614627341591,4.48484600123768,4.31214158520813,4.61780683099726,4.77813771798079,4.81908607645819,5.00642631428374,4.90130548007109,4.91664869523138,4.96180550923267,4.8692773154624,4.82580473697159,4.82366504309401,4.76412044084463,4.89314712580393,4.93395509541506,4.81420612855586,4.99311136877173,4.69772907431496,4.76194184957604,4.92232332273828,4.68932479176334,4.52194576053192,5.20633600469844,4.71492728160747,4.94023664137448,5.08228650830649,5.39615549741005,5.04944689239501,5.06499920291879,4.90747039098273,5.15675355026719,4.90246855616525,4.47373819996715,4.72434710963722,4.7650665674436,4.59301081709063,4.62167780050409,4.8648494720087,4.93366003716834,4.85074098185239,4.74883011742668,4.83354087157432,4.71817154780661
1553045_at,4.73032025866096,4.58392904506142,4.57506394328134,4.81014252930173,4.87185892377941,4.7536563331123,4.7791345198441,4.57958683834065,4.72140951235441,4.3826527022916,4.57201358243344,4.68384090310231,4.52449557409731,5.13788032998336,4.92668397787649,4.57541621960554,4.6382493728521,4.69103916381195,4.7750013786558,5.07127107839991,4.70909275702218,4.9521669581887,4.69896552737847,4.81879850159665,4.89055671204154,4.74378127746523,4.37777783814307,4.44575788238446,5.07612886844553,4.82854190236835,4.37357664594698,4.59461491979512,4.67052414625439,4.97218161940657,4.87705843385831,4.62025700789278,5.26047106322996,4.91159495634977,4.64974691644072,5.23409145393145,4.67162596911018,4.76205260498912,5.19787509505546,4.8825542275979,4.80770839475577,4.45699337434851,4.46101980841643,4.39870152196738,4.88102096897007,4.87205344121764,4.91031317244779,4.79172614968296,4.55445431485926,4.58730970195436,4.45925807840767,4.63330212701964,4.49967136123352,4.52487112201742,4.64808990581257,4.85790228864823,4.6696299223703,4.70174658877419,4.65260184280652,4.73482667809252,4.65685516892953,4.89907122611421,5.11749395578093,4.48319837339621,4.57220115925843,4.72606508825984,4.64500380637684,5.0201182835418,4.57100896183543,4.63638514982552,4.82965865962811,5.359799917111,5.08819825768964,4.61395706389371,4.66635225854887,4.73527016941329,5.23760191830385,5.0014921175259,4.73986268221383,4.81681108404074,4.7539275266589,5.04122488750685,5.09618176499473,4.78826590520578,4.72831992121685,5.18553154295773,5.03491531541239,5.12489151233748,4.81053367075007,4.48046022642778
1553721_at,3.69628415353447,3.64986185921396,3.93976054643499,3.66609223045389,4.00756608409025,4.2308703622945,4.05631931534678,4.03033291300158,3.67774676800473,3.71363037193599,3.6425150513656,3.69311890301911,4.10601174047203,3.7933769405602,3.80350800159179,3.68823474316782,3.7000470838221,3.75557783772627,4.012270611215,3.89511603016158,3.92364937864188,3.68196553384095,3.57170075660626,3.71567737057474,3.94486608619508,4.03433452551121,3.66626271057322,3.58576286110481,3.815598692608,3.69406694257796,3.66636580848784,3.67102468910312,3.46075153145821,3.60023853570694,3.72783959320326,4.27186640186672,3.91311748006326,4.10098818920472,3.98428765598776,3.74586713503885,3.80068118425471,3.65991804194418,3.7707868975229,3.77608196109074,3.91827277062891,3.71058480015812,3.78585569712309,3.68037923900344,3.71412560314624,3.74077045197739,4.02913944718793,4.13869836411601,4.25406771827708,4.1061905427198,4.46422838318472,3.66061762670913,3.87012040792821,3.77617476743173,3.95340201319198,3.87544435464822,3.62733785116101,3.6656109856939,3.68467041969802,3.91655769224962,3.63635615080923,3.94345005491056,3.9234564460113,3.79827085543939,3.58598332237223,3.67764359084529,3.76431899607656,4.17448417069174,3.73828920870464,3.68068683078207,3.85248943275045,3.88310761340643,4.02325854243861,3.63986058104919,3.5923486343075,3.58586786143529,4.03433452551121,3.74558799974266,3.93867535277323,3.78881461259208,3.86277030124896,3.82499101476749,4.18461757288978,3.8974266969709,3.93931893785471,3.94860984784699,3.97396701726487,3.90633510068211,3.73111315979609,3.59918316202234
1553722_s_at,4.35482803845679,3.74460838982512,4.22810952766477,4.42532624238753,4.41998084810106,4.64592670927632,4.70524245755635,4.45796187904449,4.23424883492828,4.40724908967688,4.40939964924122,4.34659234283436,4.29126236426033,4.55512682832698,4.37897539117299,4.14130376513848,4.40148984325621,4.38512793938825,4.24601320797967,4.44511577019658,4.42705506680944,4.31895649797084,4.33540991926975,4.43503578879092,4.36038931369742,4.29449969275932,4.2608613530215,4.41835162163342,4.31852093862562,4.30050836569614,4.14666500696878,4.44017475664449,4.20603084054064,4.43227271976236,4.52420770701255,4.94735246394973,4.15630540285098,4.38734535589684,4.39851593441113,4.28072631361304,4.23244642442185,4.04815576087997,4.19418628367841,4.09644777261988,4.14445762588495,4.26495176616185,4.09827342014617,4.47644729235088,4.37289702031788,4.34385868490058,5.05782605522252,4.99451804788815,4.48915334335202,4.67228194800436,4.90301952720303,4.25183382168232,4.47906967060437,4.40002535477633,4.58905436942593,4.48852283445563,4.46335020605201,4.446198860424,4.28160700248701,4.4769851773672,4.32145259544239,4.50243210506793,4.45611513802393,4.75644644147691,4.25350795228307,4.51513196154245,4.52704917927144,4.73237697975047,4.17042278447484,4.30378709773127,4.32135788530785,4.5260972584354,4.45347824068207,4.31922803063054,4.31442328999945,4.20203236940276,4.26271185852252,4.38176517804647,4.44896505170927,4.57071744743117,4.18607593295217,4.56335276844826,4.34886915792243,4.39065184828765,4.25098814300998,4.43547595022134,4.34179649352941,4.24916226073016,4.3780175450791,4.34640458533116
