,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675
1552286_at,6.46142544095499,6.79683229618293,6.37939684427837,6.31962231496511,6.28606579500009,6.25824410073481,6.49946973821759,7.11224833005646,7.64710697723727,6.87519711950834,7.32235259764712,7.22062781537239,5.11105920180214,8.46311155533457,8.20441432269186,6.63764996766219,7.48779346874194,6.83293964353098,7.35573461126969,8.84461570563672,7.04583656764181,6.84550010462697,6.96097268196757,7.43763577884511,6.50024191865322,6.04769163450785,6.34697567250153,5.93096838892018,8.26679932868225,7.71923876340665,6.07847971767451,5.90868167467661,6.68612358430608,8.34656336607828,7.42816441261166,7.18251168156071,7.64679899092284,7.82078024965179,8.3207441146669,8.18818466876639,7.2564198289095,7.58512593495411,7.92711455319679,8.0642933735111,7.20620090521171,6.91023727736934,7.27654542268863,7.04555749211238,7.45756077818594,7.07737309652748,6.91450464995097,6.55636008003942,7.17301940778703,6.91605945333873,7.29698617886126,7.3809204089626,6.89942639649949,7.18350286302427,6.80722131050673,7.37907444164186,8.29142710853082,7.47305904425333,7.05136135624852,7.40500620050454,6.49149520300096,8.01504210499033,8.24336196399398,6.78791547515091,7.58631730345116,7.48897830637901,7.24281775641623,6.74082805985212,6.53546122647649,7.16969499275326,6.88566353149725,7.94293631242497,7.92538901027701,6.0804738971847,6.39102997025237,5.74731027739575,8.38695401721015,7.66057759098765,7.20283225579391,7.60077307265488,7.75037226899751,7.72445078534169,8.46711349587865,8.25623051249796,8.17235109905157,8.87736252627823,8.21159119908045,8.40844956273298,8.26729451465095,7.42590323430519
1553045_at,5.33159200091585,6.98549064252684,5.73353461978583,6.98091223200146,6.36086297986034,7.6253830986597,6.43030443397287,7.10020163538285,6.11176370992418,5.95218226241724,6.03126830240676,5.58582121807834,5.60682652599669,6.54480091433106,7.3487498765807,6.83315974991157,6.47656518611974,6.83341721122224,6.48599289005092,6.20909766621774,6.57198605756057,6.9142024617584,7.03879309236089,5.89718717554467,7.05426620875007,6.72550004316515,6.63605956081301,5.72846236324276,6.18555871992054,6.32146515227274,6.07303918664236,7.45924570853839,6.30693338142331,6.64995178358378,6.22236789671084,6.30999889469896,5.83452840387489,5.82004971228704,7.09935363416917,5.99185864551165,6.71001702713338,6.28865418901813,5.90082625298702,5.66660910934998,6.17290239680549,7.01686043877562,5.75486748213227,6.10361650685744,5.63865816110755,5.7234551806731,6.47941133373276,6.21714115993337,6.26831024813177,6.53451755179031,6.59065071422241,5.84196677971798,6.09940029185008,5.7360053887063,5.97461695184755,6.13765608758622,6.04861177659012,6.53036322906581,6.30093796322471,6.35060056105842,6.39604961114215,6.06261856071229,6.0470321075799,6.31318011044017,6.25044664776855,5.98853108433671,6.01295668918278,6.50239395190934,6.16806189167861,5.41417006874843,5.82104686073587,6.1886425934074,5.94002095965195,6.69883905016701,5.72561461848091,6.22388992256658,6.01453088488518,5.57930772518161,6.16393791822369,5.6940551796656,6.01462613557192,5.86150274428237,5.91171200162131,6.28536730793805,6.11072535505734,5.43759726368229,6.00435577930502,5.67648077058841,5.89393533428789,6.06316092620686
1553721_at,4.12743470513117,9.26328036830644,3.86729873463397,4.84219893447371,4.3457700880613,3.93721914063301,4.106368156372,4.06237223383893,4.34016631789011,4.23276318323826,4.2844576919264,4.12323080342393,4.13907087272609,4.05847962890325,4.12761702603321,4.14872580789303,4.08205906856095,3.92457254862202,4.88665201772419,4.13399371676822,7.11573770303122,4.20494849579242,6.01496003937531,4.53994625875621,4.28843439557426,4.3275628822283,3.96372507835037,3.99114169028721,5.84938291261386,5.24855540558123,3.89440233815438,4.03891047129107,3.93948056992882,4.37034759962187,4.3574618659114,4.11685024855151,4.17177403516783,4.24720510134892,5.01828166852026,3.88532849404106,4.58644881814063,4.5198337457069,4.11021992749704,4.47745889888612,4.23182847678745,5.38634093958347,4.28004288765649,4.26320204112991,3.91171610215119,3.91446106652209,4.06654227503504,4.0288285754763,4.18063532344884,4.0595613234879,3.91731945153569,4.03604518014527,3.88736217625638,3.86009031977754,4.29155509610369,4.11188162406785,3.85887207646107,3.94039959601057,3.96990960372645,4.13399371676822,4.05472252709183,4.09669708790899,3.76138377254364,3.99769647744469,4.12430378132738,4.21282263663534,4.18881663716371,4.24327997712022,4.28278152848254,4.01111459106052,4.0373823818201,4.08844131266798,4.22524567119416,3.89271269234013,4.03066992197769,6.31529007869587,4.13336648013772,4.06265101511566,4.06104826479886,4.10218875693341,4.13389657644081,4.00847916928583,4.21368399906969,4.37473128053332,3.92084404523043,3.93535824347548,4.3087718702389,4.16835444545515,4.11694610678713,3.94284119485027
1554112_a_at,5.31087059817624,5.7732575926978,6.53507841368113,5.57999325519769,5.86062082141928,5.33954570440276,5.64339997196518,6.2873518547431,6.27837685999615,6.3210087704025,5.71114923202542,6.27450448988952,5.88659676348708,5.33544826844116,5.27509003729385,6.44213964928451,5.24873123230774,6.02427178293461,5.80896417100475,5.41140738566646,5.45102571790956,5.38086727699007,5.40182435773422,5.32165851036746,5.28663252852972,6.17508980290402,7.66215698312105,8.05003424782415,5.13944076166492,5.26784513725032,6.45438172469075,8.89370880466107,6.29804998528455,5.27093946650143,5.29222045079031,5.39982272663556,5.39421279083907,5.87934695908528,5.65933167739057,5.3436417905336,5.644647130029,5.68041490123093,5.1391880201387,5.577287369965,5.81982191565936,5.05656147092129,5.46441787400421,6.08002620779855,5.8095129364497,6.05387722322574,5.48760458380302,5.70412085003597,5.5438698220104,5.56481493799029,6.75299089310863,6.50870478540248,6.07218573234895,5.82094521572766,6.28600374686275,5.98571110571048,5.0707028262765,5.32782541751162,5.76090380863175,5.48013685048332,5.91752331752427,5.45253591779169,5.23389411546016,5.53908795834475,5.54871322595985,5.39670416059694,5.89857616831846,5.57266891684446,6.34096277315312,6.73446201478302,6.63448048894507,5.21647014200081,5.29779317730975,6.39213775836775,6.84194564822216,6.3729346563692,4.897857328,6.46091728855457,5.86093100444593,5.70977236047248,5.54879257723374,5.99056342762616,5.20328795037631,5.62122621358981,5.3574438154278,5.07622336454298,5.05364570084443,5.67999984626773,4.99011580046575,5.96364056310337
1555814_a_at,6.90023814897416,6.23864633961343,7.0850140825387,6.15209733432566,6.81574392314564,6.75630915852002,6.81549743965002,5.28832931366083,6.86676959547354,5.71004219682553,6.75475518518127,7.03932697978625,7.12183611217097,7.21253978551146,6.86691115163756,6.14813614461857,6.83498387662154,5.26057952000781,5.83951840343997,7.84128953515137,6.2322982949121,5.69654607007354,7.05530476534178,7.42720847133293,6.64316995621183,6.81307306106601,4.43340670737368,5.90540164566036,8.19917818536293,7.55865462187611,4.69336960086547,4.70918209128717,5.98332262280208,8.34741439108929,6.38628443275856,6.00461631850265,7.16767277543346,7.6948091973551,7.4474195989746,7.36827458748309,6.49971059585863,7.35207300365428,7.10740939459479,7.62954495224945,6.95221992915842,7.34963578643931,7.37708996217997,7.62616807245748,7.73645639991599,7.1289273457456,6.11550010568219,7.62700443198903,7.1439472137262,6.65121472669909,6.66422680544574,7.46609443140146,5.84835930149366,6.60238768957264,5.84039119740606,7.50978706138612,7.85114732488756,6.85482145570147,7.02484160157382,7.24034621974407,5.361737652971,7.25690186371048,8.21558852980304,5.29262798622779,6.50796753416257,7.24313237120865,7.58976559730237,6.97573514133646,7.90170689392663,6.96416331376555,7.68152342761857,8.12872616791742,7.94337240319775,4.55521331461884,5.38930523311538,4.22838866638951,8.04426088830889,7.0854434308467,6.70085918425379,7.79939392137252,7.95236764114531,7.64404247609127,7.98178738397265,7.52890051747122,8.05348564462753,7.67712172576066,7.55676922079443,7.69599619174115,7.70812814254443,7.49154142972678
1557354_at,5.26567295978037,5.34150418740689,4.7516043084122,4.63067846420219,4.3248125071546,4.83195028070165,4.52158539590696,4.86132605207064,4.87012780366072,5.15798405956312,5.04898914780306,4.80903511094064,4.94919742453685,5.00243364548799,4.8549196736092,4.88037681809913,4.70491224221644,5.02560631119287,4.88275050704349,4.67792702017059,4.8910292485739,4.92489003044986,5.09375375362948,5.03586777760359,4.39054764975489,4.61883670892742,5.09420957456653,5.014193994082,4.78138893163148,4.85830043470232,4.75874680772294,5.48261082273761,4.85614627341591,4.67126341704159,5.20311263850955,4.9998325002087,4.81889214260142,4.75516924202066,4.86389151774651,4.85851229136674,4.89210684937046,4.68613389786719,5.05014394598587,4.97688751247229,4.71672383987954,4.63207175148099,4.7516043084122,4.7856308405107,4.79377191561536,4.91828655084321,4.85614627341591,4.48484600123768,4.31214158520813,4.61780683099726,4.77813771798079,4.81908607645819,5.00642631428374,4.90130548007109,4.91664869523138,4.96180550923267,4.8692773154624,4.82580473697159,4.82366504309401,4.76412044084463,4.89314712580393,4.93395509541506,4.81420612855586,4.99311136877173,4.69772907431496,4.76194184957604,4.92232332273828,4.68932479176334,4.52194576053192,5.20633600469844,4.71492728160747,4.94023664137448,5.08228650830649,5.39615549741005,5.04944689239501,5.06499920291879,4.90747039098273,5.15675355026719,4.90246855616525,4.47373819996715,4.72434710963722,4.7650665674436,4.59301081709063,4.62167780050409,4.8648494720087,4.93366003716834,4.85074098185239,4.74883011742668,4.83354087157432,4.71817154780661
1557585_at,5.60682652599669,5.65419154818556,5.96956360871289,6.18659942624603,6.18594285206198,7.3168366010444,5.78781732437716,6.45681958284845,5.47896343746238,6.16393791822369,6.1625989820249,5.76099169022637,5.92563759031864,6.54480091433106,6.29026812043236,5.78698249023471,5.597406747587,5.15005931410371,5.77757351444845,6.14554661294595,6.58699056245018,6.27070605483821,5.63856553304227,4.96812737092586,6.05675641366481,6.04518826862869,4.71520238761726,5.12725318447661,5.93534479392049,5.63469399362108,5.61728053077501,6.17588994980935,5.78193965997678,6.13691050452973,4.95273102320536,6.29487098063972,6.12801761513882,6.16449227520841,5.99842050817077,6.09187316613634,6.66278716247469,6.18783949863156,6.2015917313619,5.37312128173772,6.07700923268861,5.99458105168481,5.50380595578746,6.26490775957753,6.14148057299494,6.28514926889428,6.48503217469756,6.88109902763079,6.45916541391551,6.39047539925757,6.96667577879488,6.10246213057064,6.87179441637233,6.41786017550469,6.23424989382169,6.52192427300356,6.43483821598457,6.45042644742565,6.45844806777173,6.20078067751641,6.6711914016644,6.34851265572847,6.52634618403243,6.52938766659354,6.24320002632004,6.06067045701722,6.55945353823177,6.56713534123455,6.25765394552587,5.45917857648105,6.53060869370616,6.17484666161015,6.6505614246309,6.57211850509336,5.88309774697996,5.45278722777082,6.2981617606016,5.28060766969105,6.93712088013068,6.34790963347982,5.9932914635989,6.4043525720252,6.52849503208129,6.36640793777183,6.57420234470454,6.46295242345477,5.82351565662272,6.1206046295979,6.3580689082486,5.6368536355608
1557586_s_at,3.69628415353447,3.64986185921396,3.93976054643499,3.66609223045389,4.00756608409025,4.2308703622945,4.05631931534678,4.03033291300158,3.67774676800473,3.71363037193599,3.6425150513656,3.69311890301911,4.10601174047203,3.7933769405602,3.80350800159179,3.68823474316782,3.7000470838221,3.75557783772627,4.012270611215,3.89511603016158,3.92364937864188,3.68196553384095,3.57170075660626,3.71567737057474,3.94486608619508,4.03433452551121,3.66626271057322,3.58576286110481,3.815598692608,3.69406694257796,3.66636580848784,3.67102468910312,3.46075153145821,3.60023853570694,3.72783959320326,4.27186640186672,3.91311748006326,4.10098818920472,3.98428765598776,3.74586713503885,3.80068118425471,3.65991804194418,3.7707868975229,3.77608196109074,3.91827277062891,3.71058480015812,3.78585569712309,3.68037923900344,3.71412560314624,3.74077045197739,4.02913944718793,4.13869836411601,4.25406771827708,4.1061905427198,4.46422838318472,3.66061762670913,3.87012040792821,3.77617476743173,3.95340201319198,3.87544435464822,3.62733785116101,3.6656109856939,3.68467041969802,3.91655769224962,3.63635615080923,3.94345005491056,3.9234564460113,3.79827085543939,3.58598332237223,3.67764359084529,3.76431899607656,4.17448417069174,3.73828920870464,3.68068683078207,3.85248943275045,3.88310761340643,4.02325854243861,3.63986058104919,3.5923486343075,3.58586786143529,4.03433452551121,3.74558799974266,3.93867535277323,3.78881461259208,3.86277030124896,3.82499101476749,4.18461757288978,3.8974266969709,3.93931893785471,3.94860984784699,3.97396701726487,3.90633510068211,3.73111315979609,3.59918316202234
1558924_s_at,5.51328532457006,6.62597381604986,6.45963448151654,7.04177052604714,6.94560255841585,7.78958372806068,6.84143602232165,6.85482145570147,6.93319587952567,6.75992534859106,6.40156462160422,7.52434475688876,5.67090465422808,6.953781246835,5.95476921790058,6.11707897435446,6.54762696001869,6.0471457021304,6.79819202470886,4.8465406568313,6.18513462003863,6.73320677628002,6.36628436421938,5.94223087806671,7.05734692104468,7.4572608451713,5.17715440998171,5.83452840387489,6.67298828971474,6.56361019813683,5.37272701735539,5.58427371921765,6.06423192938451,6.84468560699131,6.24554660413635,6.30560948543633,7.16894539019436,7.4972907028924,6.78598440152411,6.87626829302738,6.26867665562164,6.71673967888391,6.11779815880401,6.08937212611066,5.74438511111539,7.56714182064305,6.82822110822839,7.22277553332336,7.85930460638992,7.57172082728285,7.82137667631076,7.86762713366705,7.47492984235151,7.60328653262674,7.95184033690487,7.50355405869391,6.57223578458683,6.93907849427449,6.70372441825206,7.44248083187521,7.74710611910968,7.21746504261259,6.83701143629499,7.59778608050903,6.57771776514993,7.58400272584291,7.7228794195132,7.12114285064107,7.14681708226896,7.59271122243468,7.4825259242187,7.79623473786755,7.97813496971185,6.56164973816254,7.56094757755179,7.94130915089613,7.58292115412923,5.36446924067976,6.05118999218027,4.42405845636365,7.73066574936996,7.26603025863627,6.55599354697327,7.56219962803765,7.53371611105699,7.63427631878764,7.69615041978102,7.4782036747483,7.43226335313281,6.68140083998096,7.63191633415528,7.4782036747483,7.95270464351019,7.11182784972045
1560074_at,5.70078128904934,6.0664253574153,5.63806563204481,5.90293069296204,5.62611021674865,5.9173072804687,5.70575597426938,5.6374532175514,5.64505267705955,5.63881633555721,5.41507271470015,5.5107501724591,5.83889332301026,6.24853504857425,5.97380422102646,5.89773251221467,5.75951366448283,6.14575135105335,6.02416873424089,5.71056984300898,6.12360029786409,6.49935934020055,6.20245877952481,6.13106753567316,5.93266182115327,5.79698306789864,6.65450199113323,6.83429351054614,5.58116103303639,6.01043341611585,6.39772105000252,8.288523430609,5.96424993091028,5.81898538010021,5.80281828093973,5.67999984626773,5.40638766144246,5.65030367826711,6.01443150519738,6.1665204126424,6.25777205308901,6.01549537514423,5.80281828093973,6.08507246384504,6.09207276381565,5.84014280996918,5.78343145096957,5.35161560401462,5.92138735145753,7.01686043877562,6.1428246506207,5.6426955086553,6.02396117965688,5.76227825954032,5.43330728677727,5.76787647605778,5.5885517884111,5.67463364100989,5.77001903382718,7.61213326794347,6.08831862440452,5.84075050933213,6.68923305551454,6.03842580210116,5.94054117695307,5.50767301087161,6.58138846474258,6.27203482746061,5.83249286607888,6.08980435147966,6.03583016718041,5.63105222988185,5.76982747872217,6.18281653997563,6.57163470495327,6.2123077378331,6.15354194789225,8.41878020369912,6.07788114164531,6.58230039752154,5.88090717159604,6.52379940215379,5.75325411905521,6.39580984781293,5.52009495783032,5.81350842551403,6.09533938367995,5.87866226679443,5.91257745265702,5.85609565864313,5.79836735909836,6.13083811358053,5.82036022484863,5.75146506198092
