,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675
117_at,6.55584990657601,6.96052867157741,7.14505084009636,7.13887611878895,8.01440954560151,7.99739168100857,7.3326273901368,10.5453011422787,7.56393569588498,7.54401678110623,8.27554417120871,7.72943890254501,7.20389767652159,7.34386450990372,6.90944313496157,7.51587184219387,8.2803604534811,7.73692133379946,8.00999107388664,6.79577106783117,7.6856877029327,7.28784935917697,7.20139158028941,7.13000682255359,7.41472470641938,8.03501349363109,8.96614299617488,8.30007061960899,6.99202548969372,7.86308249926478,8.64738746713835,8.37509674339124,9.61041044951105,7.42632082576663,7.60533529905072,8.5122922330224,7.8456510016354,7.95338195033256,7.28650375117513,8.62987212752177,8.4495659155324,7.60286330439484,9.75426201054793,6.75365790547157,7.67036761920218,7.27439485650029,7.82778587401425,6.99652622158967,7.35265869883246,7.25151187317717,7.82745229451703,8.05266234090916,8.95607570720107,7.94293631242497,8.4368814276617,7.62175452056915,8.70900398535156,7.22916811386057,7.6921003516422,7.32682234579388,7.02541739144471,7.61279410376438,7.65422499910161,7.93965127972129,8.12269749586689,7.77340505835177,7.4825259242187,9.63622847434918,7.76166995286402,8.81927174602345,7.56487531922833,8.30628063986206,8.13076151253245,11.4925408261493,8.03768811962663,7.27455376987703,7.87155817981093,8.42000189487255,8.90279336259719,7.65163543167688,7.37845100645578,7.69599619174115,8.24000051384275,7.70881053091635,7.74036022075151,7.4412125478512,7.82203929249148,8.46291597629612,7.68863350988616,9.54127279116131,7.8874822835652,7.85222692597062,7.24396299285201,8.83099566771171
1552263_at,5.50485388266542,6.59065071422241,5.86213931771814,7.21690265982627,7.95163239992424,7.06734405149041,7.87308930926123,7.49958764167132,6.96586073106914,7.60882922090601,7.98427861973797,7.35868794735155,6.66891170207132,6.27668300060109,6.06560844454035,6.8733089899503,7.61244776220979,7.46187039579941,6.82267399184995,5.7030487084722,7.5330892378065,6.79188917656836,6.10300695750391,6.70179902579181,7.51250302784625,6.58810212562582,6.34807714944846,4.66107399601768,7.05651947358195,6.18727440415561,6.30293049162819,5.67529880444558,6.88407945850463,6.81240574745917,6.17981334248046,7.90559671363469,6.37929234676341,7.68331465559749,7.65611741513019,7.72121315841013,6.97293841578176,7.65686557993827,6.83689447782466,6.09533938367995,6.68855069497477,5.99017459406091,6.88885483493222,6.64621889939388,7.23251004631866,6.91363624138279,8.78588195144862,7.69710687037108,8.56904725129834,8.43962967053658,8.51096988595194,7.01505268822114,7.91315008910031,7.71519473909772,7.76684429942346,7.73417877009489,6.56736540274857,7.57598710066166,7.80359285805671,7.58061235063273,7.77860312623431,7.71071641090801,7.14766607517686,8.65131172937974,7.56094757755179,7.66230233224565,7.55043995654365,8.2370997640344,7.51034029574048,6.16583068221837,6.35917311403337,7.02966813263357,7.07246021801797,6.75379636370437,7.15832845236782,5.90810614927898,7.11455982719542,7.24896073939835,8.07857956786551,7.20283225579391,7.67794471254546,7.49437427013887,7.41378476811637,8.16974753509679,7.52704608057459,8.30429764147286,6.99187930098438,7.05157532124805,7.22607263527626,8.05133001344368
1552264_a_at,7.4325573298765,7.49126420545884,7.15942308420456,7.41032961530508,7.84550221999226,7.38905423045755,7.75641856913295,8.24336196399398,8.56959881973285,7.56064990805256,8.57051933858111,8.40194801675461,6.57272480016367,9.20356959991603,9.13077921428019,7.28798123884503,8.66878684372044,8.18023645195641,8.31792249676342,9.92781938422236,8.03396727357633,7.71301878454044,7.90559671363469,8.20860896695638,7.82042405076052,6.83220702700573,7.62667947102983,6.42699468841943,9.38907452894308,8.62457980128661,7.4848647746605,6.88885483493222,7.6870932259874,9.38855810706356,8.58047954720993,8.1867431708459,8.27321592189877,8.81759709525024,9.44785423010667,9.34502569261077,8.15800902946133,8.63709066985138,8.68857776286387,8.79471856976005,7.61361875594303,7.26975638473149,7.81121406259438,7.8444603482431,8.59107982231492,8.11356988384226,9.03913654065586,8.11695699139171,8.90942848595473,8.56140564830632,8.72600459611242,8.44353726353175,7.87885024222045,8.4461370812182,7.83404090545029,8.55531841847775,9.09456716235796,8.60707295740692,8.40902538237692,8.44994231276133,7.84873187451338,8.92519474989148,9.19947962108679,8.27818455096062,8.69693682838222,8.65417712309896,8.34334484283005,8.43401486200835,7.8859653869056,8.40453618079787,7.9682688603607,9.14673833608143,9.0987297439451,7.27214697907043,7.82367444895267,6.57929856828448,9.56023258650814,8.98070960282261,8.45423473579416,8.4783962542327,8.80514101057243,8.62924539185769,9.36815445382533,9.57280907187591,9.27862052725403,9.93584810116914,9.25356454718315,9.2663544510081,9.18435985109778,8.53403201183882
1552602_at,5.14205261189917,5.53412895993379,5.43057723518533,5.28508429095157,5.249360647906,5.33361843706442,5.00536254987164,5.36248433232742,5.37425732465263,5.31862073562821,5.18434822883932,5.26518683895526,5.49410619493469,5.41313613906737,5.54236975803721,5.76826897075309,5.79156158657743,5.52854757432332,5.45500781298064,5.58400794551134,5.69685326190511,5.50253394289231,5.57625829424283,5.69996146594975,5.20451033568899,5.01515772745263,6.68728787012794,6.2474758932818,5.42237043982019,5.78047104899851,6.71042188878078,7.48278070244023,5.68070118257832,5.32213959419286,6.1445485871487,5.16612990483807,5.37094417406099,5.19678207794106,5.31405404219013,5.40247410664377,5.41517514400519,5.21810699199313,5.54054510824951,5.47007447013465,5.70555707756028,5.43911709364386,5.41772706524116,5.32539090451935,5.53104273771882,5.22974793748237,5.24416989898291,5.23092538042012,5.27442861731747,5.08920306310626,5.02320425438809,5.36301257539325,5.39885175104611,5.30864877848501,5.18739125582575,5.43750405933551,5.34171126055202,5.3384834297672,5.47230794892854,5.42351511313864,5.49277048402757,5.1756117729805,5.33698314913167,5.64560323341098,5.27425433810362,5.51772854611712,5.28164555791785,5.23342144813402,5.06526861182951,6.08937212611066,5.42521483890266,5.4440630227938,5.47809635808379,6.15864400272591,6.18827952581993,6.32710574539033,5.53505133720768,6.68450186201211,5.23468584290266,5.44387230137272,5.40064307067305,5.3924868137827,5.24416989898291,5.29891246056517,5.22033642548172,5.5849197467945,5.57466420284897,5.58217907816781,5.35854314217084,5.87895169161283
1552631_a_at,5.74832562641541,6.12307476008535,5.82638589127356,6.15322270245505,6.24904728636675,6.32860375059713,5.57837109301866,5.92997831860709,6.04975017807487,5.96294118900194,6.20009074579421,6.53700812650462,5.78894471554716,6.56275899192561,6.50388591918852,6.32828799107157,6.1269148552872,5.99606060235527,6.40761555571056,6.31914668037092,6.22148927099332,6.04599586815864,5.85269481193493,5.49430813701143,5.56252270762888,5.70372388328538,6.36615758742639,6.74774664083469,6.46606103453053,6.67095592222806,6.57198605756057,6.38744551215107,5.89621778844143,6.58511464445835,6.26825841005968,6.22049013250093,6.00561369145843,5.72245275593235,6.18166532674691,5.80215003930496,6.6124949728231,6.52106879983128,6.17301392705528,6.08400384127229,6.05252058571226,6.33597603192091,6.40004909785761,6.07218573234895,6.44279400978115,7.25231819560631,6.12446561951859,6.02364270458221,5.74946797195147,6.09177284363497,5.64699818065727,7.13830179594066,6.47413721941155,6.41875654775095,6.87382345177994,5.89004703084274,6.46313065514281,6.38569533967191,6.17078767906789,6.08572626974457,6.02477071800191,6.79341647627164,6.29229385747648,6.78167753914741,6.33707185072697,6.57829849385863,6.47757263274658,5.72739849580096,6.30157748960443,6.76558253781586,7.05938749025093,6.52182149906778,6.80478591864385,6.66809870872168,6.30284186592759,6.85325857923487,6.66448184998026,6.70746658115321,7.23414725816531,6.24074039989158,5.94586828963222,6.16800463785625,6.37672439767225,6.53403118215647,6.76937744297634,6.51394994635077,6.4022158234709,6.47377234242947,6.18093447130173,5.45149991537576
1552690_a_at,5.7108523384085,6.18818660597704,5.86181973331455,6.01600237453021,5.93924264443403,5.97448604423238,6.34208290290369,6.12389013623801,6.12790667525312,5.65535418117918,5.80896417100475,6.02396117965688,5.38028323228262,6.41534290331052,6.27871766096894,5.79120540553285,5.67173165368103,5.93836423861504,6.19461841473329,7.7762332143123,5.93711294993768,5.86083094423614,5.85882910567179,5.9768015980595,6.23669130243906,5.80025976749412,6.19933715341386,6.08472837574705,6.09800871122255,5.80595026296369,6.1162423265978,6.00155738087477,6.26467507238872,6.0142183134716,6.15398746823659,5.80637511767209,5.79941416448863,6.02461613458294,6.09318674629019,5.97189260008601,5.91828838960956,6.22368270613234,6.17207999318697,5.81635559370637,5.89990888913353,5.60713628988441,5.67214783165509,5.78409816777114,6.05990499063004,5.86518980179494,6.28536730793805,6.02700801678953,5.98752683081087,6.1503138344471,5.44573086105041,6.04345862785647,5.85340390003488,5.98023198806195,6.13825648161063,5.99394348772918,6.01871793651615,5.96424993091028,5.85538876004886,5.90087392762434,5.99518003283956,6.18877208186744,6.38923615608244,6.19513519234216,6.06767368151186,5.90663020322743,5.96760919767099,6.11025729473255,6.05828360287137,5.99458105168481,6.08766864943938,5.98343330560865,6.14325880107147,6.41408660718666,5.84656159593884,6.04280179311674,6.04060407930892,5.92346485375975,5.95801667861597,5.68923469009751,6.04782835598323,6.00937226930907,6.1875096134779,6.06811940359094,5.88589655345256,6.15375342694782,6.00745399259508,6.01109325089638,5.98920898743996,5.9297862297429
1552721_a_at,4.22952814157274,4.07537694286,5.31862073562821,4.2047698531153,4.26451975134976,4.75791592457657,4.19809075420002,5.6192727398728,5.28340217740066,3.78103505783639,3.88106826530721,3.9854582970073,3.90094981313432,5.2061436344313,5.54525705293528,3.87731782761633,6.55570592646792,3.94710274485067,4.40738023901769,5.67248376321892,4.5430367684266,4.09234921711738,4.05408580363886,3.97729762657672,4.48699113489625,4.63554250468903,4.02549844233698,3.92084404523043,4.37357664594698,4.80546382083034,3.82509611086185,4.24991722448294,3.71130242299531,4.430069510475,4.31519258808423,4.57442307874656,4.72168001124945,4.64813805523252,4.13997229659025,4.78812714606845,3.94922199060326,4.11444702926453,5.37430729584138,4.56093508184195,3.91999557280985,4.30370233753736,4.95439718087182,4.78593403075568,4.69539304939113,5.0218125445827,3.7395616892719,4.93250946543239,4.30107762681899,4.56917748156096,4.07932712793708,4.38142321305678,4.58109448337751,4.16542132672444,4.08797059973918,4.91769295926749,4.90514004907278,4.31081204175114,4.0172792295205,4.52029005533395,4.01834603296107,4.64546370372098,6.44835308109484,3.8316386617336,3.94578675833741,4.37598763024155,4.77196467741908,4.17475962083225,4.30099102905976,3.82307476695856,3.94699489318507,5.67123263651268,5.1929625813901,3.79148259220876,3.85327018223858,3.66989716645932,4.95089962679991,3.64090179474014,4.03155414265828,5.62808309378038,4.64692259030701,4.66926108109821,6.01964423171603,4.63687614638892,6.25304351452562,4.89851086963401,4.96602835543141,4.16115599546342,5.28126789652167,3.94608290266829
1552803_a_at,4.66034144398481,4.62070232520264,4.38579083721391,4.66979996916362,4.50120269932519,4.8344869106268,4.78710357426333,4.37107504194292,4.94897400378588,4.72168001124945,4.42230822603904,4.5507325217822,4.33343937188077,4.34075887017627,4.71303103887413,4.62985056035189,4.66392635064689,4.74521550683523,4.49764394448223,4.47477086883575,4.92943032567119,4.77100623833631,4.64683686196114,4.68184164494738,4.62018313279627,4.90956336854378,4.65285896322128,4.61108649446407,4.45413838827286,4.48338014282541,4.50399812204194,4.81439516019477,4.56787011176984,4.67374423325472,4.53295594410738,4.40873027206184,4.51852809338496,4.55015481404665,4.69456821360321,4.61271264327087,4.67068655819656,4.70223204278431,4.64916155252317,4.29587167614282,4.31833818942481,4.28120843743583,4.52391619035543,4.40329587710998,4.62717137712269,4.57405628830783,4.52694211723667,4.58498941658467,4.73747839560978,4.49837698497435,4.48868794203907,4.57061661461975,4.48588090963139,4.5537704512252,4.66988242210206,4.58618653089417,4.6130022793574,4.71753438232157,4.57743678827193,4.67599070889963,4.88341242326368,4.72693065392099,4.40481163461172,4.62985056035189,4.76205260498912,4.59283374569203,4.76040496051409,4.74866502926186,4.44964466663916,4.60113826294142,4.57461282571665,4.660969777882,4.56222211296228,4.88928806335125,4.63440241579088,4.8982455108334,4.6331295367724,4.47783576613511,4.57578680644291,4.62043901496708,4.71455458476207,4.4175369932073,4.63411305839835,4.72434710963722,4.45996503802808,4.49894023155107,4.36166008962516,4.61041089246288,4.53792139330152,4.55083004070147
1552863_a_at,8.06692473889655,8.53952080591932,8.44353726353175,7.58248908296403,7.50700150016619,7.52158290770726,7.46886438764318,7.84240917586832,7.72881460077028,7.80310909276461,7.71155757018724,8.04635676435586,7.93035175027309,8.31751586685611,8.2369200262951,7.70667776841789,7.35558084254768,7.73066574936996,7.72928382855584,8.26779566913426,7.87765585695165,7.90710708593388,7.90023293740863,7.97008940269135,7.44922046769821,7.52952109476399,8.28141166420051,8.40592266077994,7.79835563290023,8.23225582569975,8.20920108457474,8.38978772147975,8.06003893387085,7.83257466656194,8.23675261197726,7.57762951997374,8.03349045090518,7.23223030132598,7.96795932483605,8.28246994994459,7.9003856923668,7.79140090829923,8.34369646067763,8.18126380442313,7.5465262775575,7.44263765288094,7.39805069891738,7.63318326427193,7.81038122667321,7.88998996729477,7.61034810215957,7.36150285675477,7.75641856913295,7.55228270200602,7.35055701186263,7.56393569588498,7.81495078226075,7.93965127972129,7.63781150298252,7.78136060446769,7.86425153454834,7.55865462187611,7.78877137347182,7.45640314868978,7.54416941813573,7.67825303614542,7.78909721361737,7.47724096542461,7.52434475688876,7.55583539247302,7.58679422634553,7.22156126103568,7.22011392765833,8.35532192150857,7.97052110072732,7.85249801649447,7.64288185670305,8.80080563998018,8.31643516406154,8.28555742954774,7.68725221213668,8.16692399876309,7.60551825965879,7.27800866317562,7.42030068112204,7.49792965478262,7.67183629233826,7.76423176587945,7.62906098612215,8.10689488804294,7.85177848543263,7.64235534839994,7.74551666287777,7.80782458328023
1552982_a_at,4.9087240789416,4.85442803955209,4.49421965276882,4.63893773384397,4.79260755716696,4.71484712312357,4.49067417925915,4.72743622076465,4.54589832614917,4.64683686196114,4.50862497817703,4.92434707904575,4.34149614783456,4.64231881689383,4.83242994636708,4.49993918727422,4.41291903864569,4.54941579680094,4.79434902038043,5.0253209604069,4.51324084548476,4.75617335173598,4.69206292012216,4.93905381440146,4.56952599149981,4.49985968505665,4.52858589167496,4.5142320255654,4.80222228230624,4.81467390076447,4.49143130196185,4.76449463976024,4.73527016941329,4.7029901382358,4.79682887404481,4.33287664959213,4.68004879656209,4.55143371621456,4.49000263823347,4.73680351666725,4.67775986624515,4.65183093235562,4.79939068158535,5.00844021889579,4.55580735415501,4.5817408319183,4.5394611919496,4.37504839057922,4.57656807642574,4.55952481588433,4.54474522195361,4.59188848413126,4.56997311067657,4.59511437573663,4.49751495609243,4.75644644147691,4.67837738145362,4.46989013820309,4.65486429168831,4.67811328117013,5.06136949680084,4.86679326052645,4.62087259896752,4.61217215037663,4.48664982933264,4.72408796523544,4.62574644334417,4.64983874368417,4.72606508825984,4.72320336816768,4.60685596544828,4.32445365766483,4.42713898574324,4.49866466041411,4.55153179634223,4.73966925060758,4.72231227091074,4.66586714415387,4.41529676341756,4.53048152553304,4.79377191561536,4.68940538645178,4.82129812829649,4.29399762190032,4.53642882963613,4.37383230109618,4.5044493068745,4.63750461072127,4.67365834745492,4.79387260497556,4.55238911809147,4.63363001574288,4.65260184280652,4.64098082989314
