,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675
1552263_at,6.02826073968057,7.15745941274977,8.25921282360107,7.8591207722297,8.97986617235167,8.84508538148039,7.98081644760361,11.6968586301726,8.42723118603132,8.49057828984405,9.07551023874091,8.26285001298488,6.34053677194367,7.31855206741016,6.84104174951234,8.19815146342124,9.07720274386133,8.60048420739383,8.64918304823116,6.23320980656861,8.21281807730522,7.80511049479644,7.17273979943188,7.16767277543346,8.26763679959051,8.99260928939781,9.90207068799931,8.64256326724933,7.57627516711237,8.34940752505632,9.49713334465238,9.5273191971106,10.6818159942259,7.94959745760415,8.14791008747038,9.49253393314494,8.24484732746729,8.64879393869615,7.63143814174693,9.32185288645588,8.96764537990809,8.10157898245387,10.4480367690499,6.3010480441599,8.2739198846961,7.92762379296157,8.69011703894173,7.78042510247276,7.77860312623431,7.61279410376438,8.59127609345483,8.97851788421196,9.9895465767662,8.98222481050732,9.47750690351917,8.35013727273114,9.72698651070198,8.24045609196412,8.37677725232832,6.49241317441606,7.12183611217097,8.34176377187517,8.50459491720569,8.57331077545322,8.79141328297372,8.13908418237939,7.79494949105993,10.5636845084004,7.84612856124993,9.60229766630013,8.19416131386233,9.31684961651081,9.01166606958638,12.2221600922653,8.7882347567703,7.58170152726139,8.34638864358086,9.48259877878368,9.89323527892919,8.26118162172034,7.40684610290863,8.18973673231659,8.92044789959522,8.2760791359683,8.55674838585711,7.95863548720515,8.35433759880941,9.04844391086616,7.88613349567513,10.0888219395803,8.31817678702005,8.17990006368024,7.71268581073105,10.1662544396929
1552631_a_at,6.46142544095499,6.79683229618293,6.37939684427837,6.31962231496511,6.28606579500009,6.25824410073481,6.49946973821759,7.11224833005646,7.64710697723727,6.87519711950834,7.32235259764712,7.22062781537239,5.11105920180214,8.46311155533457,8.20441432269186,6.63764996766219,7.48779346874194,6.83293964353098,7.35573461126969,8.84461570563672,7.04583656764181,6.84550010462697,6.96097268196757,7.43763577884511,6.50024191865322,6.04769163450785,6.34697567250153,5.93096838892018,8.26679932868225,7.71923876340665,6.07847971767451,5.90868167467661,6.68612358430608,8.34656336607828,7.42816441261166,7.18251168156071,7.64679899092284,7.82078024965179,8.3207441146669,8.18818466876639,7.2564198289095,7.58512593495411,7.92711455319679,8.0642933735111,7.20620090521171,6.91023727736934,7.27654542268863,7.04555749211238,7.45756077818594,7.07737309652748,6.91450464995097,6.55636008003942,7.17301940778703,6.91605945333873,7.29698617886126,7.3809204089626,6.89942639649949,7.18350286302427,6.80722131050673,7.37907444164186,8.29142710853082,7.47305904425333,7.05136135624852,7.40500620050454,6.49149520300096,8.01504210499033,8.24336196399398,6.78791547515091,7.58631730345116,7.48897830637901,7.24281775641623,6.74082805985212,6.53546122647649,7.16969499275326,6.88566353149725,7.94293631242497,7.92538901027701,6.0804738971847,6.39102997025237,5.74731027739575,8.38695401721015,7.66057759098765,7.20283225579391,7.60077307265488,7.75037226899751,7.72445078534169,8.46711349587865,8.25623051249796,8.17235109905157,8.87736252627823,8.21159119908045,8.40844956273298,8.26729451465095,7.42590323430519
1552982_a_at,5.14205261189917,5.53412895993379,5.43057723518533,5.28508429095157,5.249360647906,5.33361843706442,5.00536254987164,5.36248433232742,5.37425732465263,5.31862073562821,5.18434822883932,5.26518683895526,5.49410619493469,5.41313613906737,5.54236975803721,5.76826897075309,5.79156158657743,5.52854757432332,5.45500781298064,5.58400794551134,5.69685326190511,5.50253394289231,5.57625829424283,5.69996146594975,5.20451033568899,5.01515772745263,6.68728787012794,6.2474758932818,5.42237043982019,5.78047104899851,6.71042188878078,7.48278070244023,5.68070118257832,5.32213959419286,6.1445485871487,5.16612990483807,5.37094417406099,5.19678207794106,5.31405404219013,5.40247410664377,5.41517514400519,5.21810699199313,5.54054510824951,5.47007447013465,5.70555707756028,5.43911709364386,5.41772706524116,5.32539090451935,5.53104273771882,5.22974793748237,5.24416989898291,5.23092538042012,5.27442861731747,5.08920306310626,5.02320425438809,5.36301257539325,5.39885175104611,5.30864877848501,5.18739125582575,5.43750405933551,5.34171126055202,5.3384834297672,5.47230794892854,5.42351511313864,5.49277048402757,5.1756117729805,5.33698314913167,5.64560323341098,5.27425433810362,5.51772854611712,5.28164555791785,5.23342144813402,5.06526861182951,6.08937212611066,5.42521483890266,5.4440630227938,5.47809635808379,6.15864400272591,6.18827952581993,6.32710574539033,5.53505133720768,6.68450186201211,5.23468584290266,5.44387230137272,5.40064307067305,5.3924868137827,5.24416989898291,5.29891246056517,5.22033642548172,5.5849197467945,5.57466420284897,5.58217907816781,5.35854314217084,5.87895169161283
1554828_at,7.96173421451975,8.63807255083877,9.68320288473129,8.71190622843676,8.68008895811484,8.31973076582302,7.55973106410244,8.47220308133534,8.63459462995006,8.33206951896164,8.52157437767404,9.18553172394475,7.967448140646,8.47317947609893,8.46340113106873,8.70574151387594,7.91753419776842,8.20441432269186,8.56975485367408,7.76310091206691,8.13111411425911,8.15697865187827,7.60682796693906,6.7590983245794,8.4137578008663,8.61111709960271,9.3966307236294,9.23153002806284,7.84702992517269,9.33181325810183,9.49520307925981,9.11324839696489,8.802687057248,8.60030198850249,8.82933773802701,8.8349366362634,8.2851679747389,8.10554631970185,8.34098660323108,7.43000576972992,9.02539635540703,8.75404259185902,8.4073706131662,7.27578424093257,8.02685993773798,8.14097612600824,8.88011989938039,8.95519510991723,9.04372026852459,10.0938441102692,8.61171712259081,8.92215405099448,8.42723118603132,8.76727473996964,9.08509631999536,9.87354338324381,8.9665202654202,8.83274777198815,9.58869173131395,7.73752601168326,7.91835403218244,8.70324784763707,8.34098660323108,8.25398906410327,8.9756427781409,9.31001737136531,8.21281807730522,9.29602453782451,8.61111709960271,8.81161174910485,8.53095497899163,8.03556236178847,9.60110670992207,9.04144072856042,9.80133093756501,8.32792277063001,9.21428925852781,9.73444605289871,8.77354027394398,9.67544457613754,8.83544071476206,9.6995533224777,9.79784147363669,8.46820786454217,8.2892792206368,8.43962967053658,8.64236050426408,8.81868139047262,8.73273852702333,8.51208471321786,8.19483581376758,8.07596945457903,7.90104883053123,7.71456670596116
1554961_at,6.01359957598723,6.36029107621599,6.54068066392053,6.0472529951009,6.14970503488199,5.759608958776,6.28852422852041,6.44551295156134,6.56020967373551,6.08905609892032,6.03371981560103,6.18177908675113,6.49188471548067,6.30412656361034,6.32155617036614,6.02734646661237,6.31043041928018,6.71345109102565,6.33253280380667,8.00949711234446,6.25688826040088,6.31383758498869,6.31416517619904,6.7016784923436,6.23844307390405,5.89763362024328,8.47702067788791,6.73504431096508,6.12338942545076,5.82749306598898,6.62535403869801,6.90475476817039,7.96908211521898,6.60942281018751,7.58162590536255,5.9665776774057,6.24371043788808,6.67016187383656,6.58054064299668,6.80478591864385,6.67148884322066,6.10235641567534,6.36815442735517,5.82626580956367,5.98452695528054,5.83139647639272,6.19326283904089,6.31871519485807,6.36051777842178,6.20604211321357,6.60238768957264,6.43180263452583,5.9678160356524,6.0555090546683,6.31581372405382,6.36937495359129,6.30895084507138,5.89729571977742,5.93711294993768,6.17249805082218,6.35003680681364,6.52027070460967,6.76924710065362,6.58291221991751,6.91450464995097,6.58329918952583,6.50353077090243,7.0854434308467,6.14739900019687,6.48503217469756,6.488229871669,6.80232482799145,6.20769956606095,7.10195860229102,6.5551177379946,6.32055138692279,6.36029107621599,6.73587836475074,6.70739340684962,7.00062509467193,6.33508836883155,7.44663359138921,6.21636326766199,6.41903709134723,6.63370996610409,6.48537460403993,6.27623365248061,6.49386236620677,6.4364384350793,6.21264290853153,6.24030825332544,6.13443320980502,6.15854873556898,7.09395324004171
1554962_a_at,4.22952814157274,4.07537694286,5.31862073562821,4.2047698531153,4.26451975134976,4.75791592457657,4.19809075420002,5.6192727398728,5.28340217740066,3.78103505783639,3.88106826530721,3.9854582970073,3.90094981313432,5.2061436344313,5.54525705293528,3.87731782761633,6.55570592646792,3.94710274485067,4.40738023901769,5.67248376321892,4.5430367684266,4.09234921711738,4.05408580363886,3.97729762657672,4.48699113489625,4.63554250468903,4.02549844233698,3.92084404523043,4.37357664594698,4.80546382083034,3.82509611086185,4.24991722448294,3.71130242299531,4.430069510475,4.31519258808423,4.57442307874656,4.72168001124945,4.64813805523252,4.13997229659025,4.78812714606845,3.94922199060326,4.11444702926453,5.37430729584138,4.56093508184195,3.91999557280985,4.30370233753736,4.95439718087182,4.78593403075568,4.69539304939113,5.0218125445827,3.7395616892719,4.93250946543239,4.30107762681899,4.56917748156096,4.07932712793708,4.38142321305678,4.58109448337751,4.16542132672444,4.08797059973918,4.91769295926749,4.90514004907278,4.31081204175114,4.0172792295205,4.52029005533395,4.01834603296107,4.64546370372098,6.44835308109484,3.8316386617336,3.94578675833741,4.37598763024155,4.77196467741908,4.17475962083225,4.30099102905976,3.82307476695856,3.94699489318507,5.67123263651268,5.1929625813901,3.79148259220876,3.85327018223858,3.66989716645932,4.95089962679991,3.64090179474014,4.03155414265828,5.62808309378038,4.64692259030701,4.66926108109821,6.01964423171603,4.63687614638892,6.25304351452562,4.89851086963401,4.96602835543141,4.16115599546342,5.28126789652167,3.94608290266829
1555103_s_at,6.6073891904951,8.51598760593015,8.49731400913612,8.59286506484336,7.75384894962485,8.8663579799762,8.10034167469907,8.90215534649994,8.76354098669369,8.45827364545941,8.70840101608964,7.67243528839243,8.17732369961388,8.89727918238446,8.7983571055712,8.28333420893084,8.63496610472817,8.60295388009904,9.35149624003897,8.78145349047713,9.11238917379693,9.22144441530408,9.01989583996782,9.83951454659534,8.8822431019864,8.58665301970154,8.49865883258738,10.5242793536753,8.13608478846341,9.15080254054201,8.52246290727905,9.14918659878923,8.8555700334461,7.84841343873889,8.9549653626574,8.68287205392134,8.53095497899163,8.34554604816402,8.079401474671,8.26817481833212,9.01949690019055,8.12540345217751,8.96410697490733,7.59667555379142,7.24911372418444,9.75765300741211,8.67331898091932,7.74987760779789,8.08187465640474,7.7368422819133,8.20441432269186,8.12252394166296,7.65640847836939,8.14860429090066,8.10084237315967,8.1163394840893,8.13852651377089,8.01423211763635,7.74373933788967,8.38521132533392,8.30973184149835,8.45938933687982,8.26066482804363,7.9286002676453,8.09160346506613,8.20911277821896,8.08455457510872,8.00999107388664,8.3477985280945,8.35915939442419,8.35324875851153,8.23077368550833,7.76945518438086,7.57204145776572,7.75509220124356,8.1405190601266,7.94661135293249,7.54969643319755,7.80456485183055,8.35883867150945,8.14725103599501,7.80057064697997,8.01321071263147,8.32439234519394,8.35433759880941,8.2442314638131,7.8813712724281,8.20497660422063,8.13908418237939,8.12644063717842,7.76461353427643,8.13148192555986,8.36117121162465,7.95219129931537
1555146_at,8.06692473889655,8.53952080591932,8.44353726353175,7.58248908296403,7.50700150016619,7.52158290770726,7.46886438764318,7.84240917586832,7.72881460077028,7.80310909276461,7.71155757018724,8.04635676435586,7.93035175027309,8.31751586685611,8.2369200262951,7.70667776841789,7.35558084254768,7.73066574936996,7.72928382855584,8.26779566913426,7.87765585695165,7.90710708593388,7.90023293740863,7.97008940269135,7.44922046769821,7.52952109476399,8.28141166420051,8.40592266077994,7.79835563290023,8.23225582569975,8.20920108457474,8.38978772147975,8.06003893387085,7.83257466656194,8.23675261197726,7.57762951997374,8.03349045090518,7.23223030132598,7.96795932483605,8.28246994994459,7.9003856923668,7.79140090829923,8.34369646067763,8.18126380442313,7.5465262775575,7.44263765288094,7.39805069891738,7.63318326427193,7.81038122667321,7.88998996729477,7.61034810215957,7.36150285675477,7.75641856913295,7.55228270200602,7.35055701186263,7.56393569588498,7.81495078226075,7.93965127972129,7.63781150298252,7.78136060446769,7.86425153454834,7.55865462187611,7.78877137347182,7.45640314868978,7.54416941813573,7.67825303614542,7.78909721361737,7.47724096542461,7.52434475688876,7.55583539247302,7.58679422634553,7.22156126103568,7.22011392765833,8.35532192150857,7.97052110072732,7.85249801649447,7.64288185670305,8.80080563998018,8.31643516406154,8.28555742954774,7.68725221213668,8.16692399876309,7.60551825965879,7.27800866317562,7.42030068112204,7.49792965478262,7.67183629233826,7.76423176587945,7.62906098612215,8.10689488804294,7.85177848543263,7.64235534839994,7.74551666287777,7.80782458328023
1555340_x_at,6.50585022809905,6.23356690400473,6.36832753994964,6.13902560408332,6.25665883118336,6.2743889718721,5.56189358877212,5.96193599871151,6.30753951982441,5.68681119021896,6.10063524545811,6.1387211206391,6.73481172905966,6.54309357316435,6.61974935202104,5.85842266968395,6.21254166466653,6.11285103095446,6.18220824855731,7.01106056522106,5.8816797232259,6.23381758470775,5.97226075308489,6.4521407453583,5.89981487497396,5.87855504245107,5.81775021717279,5.95175688633543,6.51019221939791,6.51382704454469,5.99716340589923,6.59615170879414,6.03024688201696,6.00081409857074,6.62843359166323,6.22520636864708,6.30489624190595,6.54007934070712,6.4287740710953,6.30341870068017,6.55917501302559,6.37507900612774,6.42935355612394,6.75620675743917,6.18773706982054,6.25160534960195,6.3621781601876,6.17420018195476,6.1792499516877,6.36448119424577,5.92298714157581,6.23539408954116,6.01776469113988,6.13426325244882,6.14873214659359,6.10748815933298,5.96414024812715,6.1075849859544,5.49696075444951,6.10464320058564,6.50441986200525,6.42516937693835,6.13721911795452,6.1598720951097,6.05453698334767,6.33880680694522,6.42068239023283,6.03940660077873,6.35385698045472,6.32324516987456,6.24693058629259,5.87587610897963,6.11209297524512,6.01370531998455,5.94555025133995,6.31269717115941,6.53753785726339,5.84014280996918,6.00958634864598,6.4288923793022,6.60585475677193,6.03181353566491,6.20960501732836,6.15854873556898,6.36076092774282,6.48835156151388,6.42624623928753,6.30616514489191,6.08851314720305,6.14782010347207,6.32663577571777,6.32076810827767,6.27656090804884,6.74754480074918
1555540_at,8.21849198831013,8.89794150202662,8.52663305671211,7.91280739779342,7.94209927290914,7.92188234417774,7.27844320798183,8.03335309373077,8.49018827771758,8.87180310744213,8.69441965824242,9.4442988714905,9.31193137032709,7.18807877865765,6.73084661285608,8.95278903455137,8.32047804255216,9.0550807330444,8.88544254886727,7.48779346874194,8.22655378922352,9.16178901642164,9.1983967867487,9.22669658398254,7.74692578722236,7.24264428444719,8.32313362600223,9.37811264682785,8.1749720946212,8.05020717464076,7.86599345153111,7.4777161114297,8.15290267462858,8.37659232101633,8.72113373612023,8.71286074719531,8.42166673283385,8.58394874410702,8.57645633163207,8.67645123992397,9.45208333863052,9.4000304596013,8.77885941356785,9.4159712219575,9.09610707865424,8.71207793553092,7.88646309428447,9.24319110815476,8.8557699658798,8.90239692195933,8.26489701691584,8.39548962167793,8.53419814078028,8.07784687091723,8.91674275582621,8.87279561167067,8.87988112923817,8.8135914082278,8.75262241926865,8.94640830643477,8.36977178185201,8.40844956273298,9.07678767805406,9.26990980817494,9.29505305454308,8.62646106457666,8.49904027753144,9.29700310082031,8.41547436320075,8.93282200839368,9.08889983085699,8.64760330122486,8.1366322308657,8.61057066602866,8.69377002980262,8.14674333986142,8.33048341880924,8.06674802487275,8.73896315520327,8.74801420497035,8.16397218748718,9.28507212820529,8.45312323278823,9.29068554259274,8.40538503856928,8.90860155232684,8.78628844606409,9.23928846056837,9.06290365810943,8.65617056713706,8.70900398535156,8.25536205345064,9.03733872978171,8.42900659835147
