,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615
1552617_a_at,8.30111292349312,8.66121753925482,8.38884947918976,8.49397634795221,8.64292553539982,8.96354140128598,8.69571660241592,8.38023070673259,8.60900533864912,8.39665245531357,8.34165818097265,8.22152672979477,8.7371620378883,9.11324839696489,8.99785864074954,8.78333871503925,8.6401144584638,8.16341824701619,9.16578209304361,9.30121774336328,8.39802500996913,9.06669959838467,8.96475326295677,8.97584147730183,8.93282200839368,8.80534457153142,8.68028630588804,8.63006370639877,9.23510364175197,9.13741956830084,6.73042144891715,7.75335282271179,6.76506179509841,9.3512455828481,8.88357751876124,8.95163747079655,8.89931937796226,9.13607510706665,8.81684396378786,9.19341022229181,9.28837132798122,9.16862355803945,9.24075064524954,9.35023127019085,9.26103863558604,9.07191646006234,8.94962673137401,9.18601395625032,8.21864991134759,7.29565562884661,8.93240692482102,8.48854960128276,9.60535794210933,8.73192415959687,8.57837713602543,8.62107563067473,9.08393387527053,8.74534205589386,8.57916953020157,7.06610310559555,9.54026932901227,8.92975984540054,8.89623545498489,8.94596376645675,8.75240115838593,9.12687349763286,10.0205869153013,8.86789703186006,9.14079940342185,9.39512435017611,9.29091796257309,9.02806779539343,8.32404484152392,7.52687219895859,8.51924988217124,9.33181325810183,9.75730456365543,6.84024438585972,6.24759394230916,8.19446849937655,9.30578295973474,8.9359132247283,8.91219676033226,8.86285974098534,9.15812748738392,9.37705954767413,9.12025221929571,9.40134250840619,9.29455232816819,8.78688126229808,9.0175949595996,8.02602636782869,8.85947443229012,8.32826245652664
1553306_at,4.47634669770632,4.701442301351,4.6070371492611,4.41998084810106,4.8260597242623,4.92434707904575,4.58749349441146,4.87292646112063,4.71598681753442,4.70270813840048,4.81681108404074,4.66264593513819,4.75726573719363,4.39895228537705,4.57154176186364,4.49759603029381,4.81467390076447,5.02422524775235,4.5942559827042,4.54764660504151,4.77472912534913,4.62927830007122,4.83354087157432,4.68848735833246,4.67933655255273,5.10350136406159,4.89200341164631,4.74378127746523,4.62386230036678,4.75993689810432,5.41226235006421,4.88264646708544,5.09952013235915,4.37960738050041,5.32390272266866,4.93316341939581,4.65796265578307,4.94340041798645,4.64602357773298,4.49875658195118,4.73078324149114,4.64611576661461,4.61725807166293,4.57833470144307,4.52007446122497,4.60427125685077,4.48947783101954,4.62782617216398,4.44225294062104,4.65786598499051,4.78306564514358,4.85624003571902,5.50044874480052,4.80659584834216,4.68495006826776,4.45953042128547,4.68326882244825,4.49028196547028,4.09492219480124,4.83081900929757,4.56652745266286,4.35792345929424,4.66787554653919,4.4719119658589,4.70845228269356,4.89535941081683,4.59121316028652,4.81159329778557,4.4175369932073,4.70788608982946,4.77137490044232,4.77491097744963,4.86176953901749,5.13900927943959,5.12918550691585,4.52724455792645,4.61532984184554,4.98888308548348,5.55120473659869,4.73996103944903,4.69031180474713,5.08646896788787,4.61651552262927,4.3344476175253,4.39793850563009,4.46061566264123,4.45374190530504,4.38617072077632,4.66004380592881,4.48180897321953,4.75422636290496,4.4230340220177,4.42259651254663,4.79539090201352
1553387_at,5.21394139989159,5.21944577101417,5.62388122547809,4.74161623348266,4.69735154364977,4.77834521555063,4.86578290985815,5.26106662512743,5.3656427750218,5.34690990619742,5.24985754604731,5.11570658113376,5.23905661543766,5.03397036494413,5.0903499051853,5.31167634555897,5.33089022286754,5.26856848930247,4.56363042026709,4.95768721134392,5.35774558109509,5.04133188034698,5.03730230881102,5.1251916489483,4.99141885236932,5.25416305949037,5.68868893071097,5.54130665413721,4.92943032567119,5.16713104822925,5.95790210636826,5.69428261360771,6.45784882626894,4.84199515033355,5.56090325025224,4.80873379368172,4.97894080458368,5.20962065192841,4.94286275553268,4.91541848981923,4.82974986162328,4.92294982436861,4.89351324493078,4.77509877789068,4.90704164260515,4.98257094677501,5.82185271318715,5.08839395120576,5.07205293614598,5.85395514724671,4.85640958974393,5.14997339679808,4.37942837365033,5.37017788941781,4.79172614968296,5.27537902446321,5.10502878887099,4.93661275326842,5.43430064565466,5.56418792409804,4.92580049111808,4.75909765627596,5.0637825811522,4.96970883303452,5.56892907717984,4.8648494720087,4.8413448648535,4.91485242222275,5.30358996317312,5.16452422126469,5.02627960459201,4.9859143186725,5.06474450312263,6.02088355548207,5.46563214727629,4.83427744878803,4.88159290971952,6.45384631490311,6.45370673392608,5.98711282846319,4.68598904738069,5.04369511480595,4.95282749873625,4.93886659591286,5.19787509505546,4.83029263428778,4.83773271878476,5.06347897148306,5.06327100795487,4.83812304964298,4.77312980081347,5.17280994372257,5.236550090623,5.24514804424897
1553869_at,4.01936637386699,4.05223438191208,3.97169875560515,3.80680042591257,3.88080894633794,4.02051426951713,4.31413474521882,4.02522361690158,3.87827563641321,3.91100300701647,3.68058402881642,3.82698323274506,3.83437517290395,3.98447799053882,3.8946688132656,3.6631578699694,3.64856646136973,3.92131557112386,3.90337093388602,3.94887223340235,3.85851449374753,4.14086729771026,3.83130919428877,3.91105067357025,4.00935575598034,3.90244991089392,3.7874336372186,3.82936738072441,4.02744927106605,3.7617545001164,3.71682991287604,3.72128372553653,3.78274384383138,4.12621947515301,3.80096454459606,3.8413888450829,3.77212390028901,3.77449006986685,3.89121765564072,4.08549127981275,4.21964179401225,3.99298807960521,3.93685397606384,3.767337813313,3.7842005231268,3.7478176287008,3.90719897432491,4.0269812970568,3.97208705955264,3.90400380050644,4.19655114817728,4.07047429788703,4.06303764771666,4.21142955957023,3.84450138413678,4.11566583323206,4.03461748451669,3.96056660221313,3.9973368786188,3.97450196863814,3.89835700868811,4.3599334007349,3.97632825477072,3.53378500791875,3.96844273549086,4.14620940720634,4.05261744405937,3.99706092284676,4.03799421269972,3.92173984123843,3.85212340932077,4.06961419374766,4.05541495041109,3.88938513153285,3.86402154475409,3.82816227647972,4.34166763696566,3.87856656791444,3.79046206567691,3.89752244429916,3.88755642501991,3.81391707256209,3.76203521924304,3.93604432380877,3.73018112090902,4.07872655553533,3.74390613419466,4.18654174207889,3.92318767099707,3.94608290266829,4.04018952144401,3.79347887670806,3.77449006986685,3.86392534527657
1554379_a_at,6.62767165966594,6.52960313695244,6.37672439767225,6.47269075430903,5.97651320408467,6.32336010759594,6.3197262903509,5.88251637669527,6.34907135935924,6.43601786135316,6.37694110880972,6.36206085685336,6.63668040332314,6.71069217730037,6.7623164984463,6.82240332767604,6.57843732996657,6.82073626200136,6.75630915852002,6.61583855129744,6.92621535756615,6.92604301646494,6.86876789548076,6.76243121934767,6.40989934292882,6.01581499711935,7.53015025184843,7.36958378673894,6.57420234470454,6.63386291757242,7.9816320142818,7.36093826595364,7.81719457666628,6.42010436215244,7.63098725171804,6.50561713616422,6.33380768278205,6.40415583162816,6.49349077810707,6.66410773822315,6.81162002336203,6.47744867863922,6.96806648778546,6.87165352336761,6.83195941749703,6.65208511569811,6.90826081967948,6.81048319735146,6.95125089216094,6.57515755042056,6.26167789547076,6.35908979896901,6.21401926365753,6.14720867031025,6.42687741626421,6.61776216822802,6.45179314713995,6.3621781601876,6.42178257480537,6.7773686017051,7.17062046383236,6.88104037071979,6.91997434298631,6.69340994424224,7.06999621675593,7.17881969747381,6.99623859074867,7.06139588452375,6.86215112277163,7.01600290300626,7.10410581841678,6.24809240334436,5.98986084324362,7.85805058983693,7.29854816505626,6.58417959053131,6.75264812129835,7.89569500343251,8.19867175262113,6.71771767469021,6.61992160638547,7.58277458402207,6.13072924845488,6.77697702548303,6.07680596878121,6.70990152042408,6.74857276054045,7.24484453947691,6.45055678534804,7.3098692815125,7.07978864430919,7.05258106241462,6.78766863013534,6.84454278987381
1554631_at,6.56941389780994,6.66197509577079,6.74666272053924,6.32259357050627,6.30058648505698,6.33448095940392,6.49313192988676,6.77683721943812,6.71511661726986,6.67163276946547,6.87534327009893,6.64239080370549,6.72585990108993,6.57094467555732,6.25428867107717,6.43965376767193,6.70285498511599,6.45384631490311,6.62867450725498,6.82168106276179,6.43898722598222,6.52319885389688,6.75029877089589,6.61886227908615,6.36651308676897,6.23987679874196,6.37174964656312,5.86340226136389,6.58618466893562,6.35340940289609,6.41763348287103,6.4043525720252,6.88447052611532,6.45809483670865,6.00901355571608,6.41728240428063,6.13837410657145,6.56072927025359,6.38358794876773,6.48516749057899,6.69390308981188,6.34516487730253,6.86484307871943,6.64369027034652,6.27656090804884,6.40135038617744,6.55224124533792,6.55817163862735,6.82332809492087,6.38112026394721,6.38348124126157,6.16786868253974,6.74221909609057,6.49230443181604,6.8866226128352,6.58898762781451,6.95208557273335,6.87236766180204,6.53546122647649,6.55931384480865,6.55299846740581,6.45083761637497,6.70720603083415,6.58618466893562,6.58242968927143,6.55452978275389,6.75564682812356,6.67221225516062,6.89449179550971,6.44813205981363,6.69867545950359,6.35744555040184,6.33171779970515,6.14873214659359,6.43666864855963,6.66224496389887,6.48729951363423,6.16548658110665,6.46775523356867,6.48704878900931,6.49397745184262,6.21625034418344,6.69759209454622,6.2452239069614,6.3911391494446,6.56664199181775,6.35092762616183,6.3690034218481,6.51589768575129,6.6911204652125,6.3146195824166,6.2617953946701,6.52927150201602,6.46798335410698
1554830_a_at,5.27868916860868,5.07967400661219,4.56482881273243,4.61651552262927,4.65940422042229,4.70890308880049,5.09375375362948,4.82281554676855,5.17929853019419,4.72815005734925,5.25286670170743,5.25052682458372,5.12361011418082,6.10212835586172,4.94178966634602,5.29273014646322,4.87625021311702,4.58126808909952,6.05442808528964,5.86849457584921,5.09599324770016,5.30687743945475,4.89655018305814,4.9225838425324,4.79288506562933,4.72122234950682,4.88463919810157,4.85306330513586,6.03573309299418,5.73549476667481,4.35842085087046,4.9743461943919,5.19465045113161,5.98699640572853,4.64022193976883,5.16140516214794,5.20633600469844,5.74467271396751,4.97227287503278,5.3384834297672,6.39175483069317,6.4074914065256,4.78313966209195,6.79201882428003,5.77914035369866,5.37758838305738,6.99939254958888,5.09516678424458,5.34604289908169,4.29791563925182,5.53095430641678,4.87503667685208,5.62836982765461,5.40902771630048,5.95790210636826,5.9542110868562,5.55026260531421,5.12674131804585,5.73726179328981,4.9341450193335,6.53559015479755,7.56973887589132,6.06878565537868,5.96618544258198,5.75005616106863,6.27784302407339,7.29792000924483,5.62786766120417,6.30628757378191,4.73032025866096,5.4543352492595,5.45413191466228,4.93464434452912,5.15137906868684,5.24093706807924,7.38146837833131,5.84726930539333,5.56696295533332,4.47634669770632,6.83064378406683,8.88940478387322,6.62890795672299,4.92277774732057,5.2563066307668,5.55051162337464,6.78962491354027,6.30776252317766,6.75733696244911,6.88844097528745,5.63404165917663,8.35587019217828,6.54898692565128,5.44766592919382,6.56828641772687
1555056_at,5.98790683651211,6.14644822465734,6.29569309608612,6.12880485197924,5.95975010912101,6.20649248193356,6.02179607437489,6.33074585872482,5.88489180206517,6.02472036288774,6.07514244995479,5.98810663229212,6.19674955908048,6.06337472706158,6.17429947577387,5.86903480658841,6.04463000078337,6.17563303709839,6.2320980794822,6.40654455280441,6.24063580259139,6.55046888050884,6.21322320981241,6.1368095800885,6.20401705762984,5.51844244097447,7.18689825210331,6.44578224651143,6.08757488970728,6.05345342999154,7.31959672409049,6.56437480288187,7.276084969781,6.1611665638172,7.276084969781,6.11036250431563,5.71926892437462,5.94371025944005,5.99883601598012,5.97411072972351,6.03104342047068,6.09052102807823,6.27685543412025,6.24587129665106,6.41165908937672,6.2272785788919,6.65832884982963,6.33707185072697,6.54029019347276,6.44566827184201,6.04014781612864,6.18220824855731,6.01341248381118,5.99994795615172,6.17239520970767,5.98746569774742,5.96283509857184,6.04484303220309,6.00496469313592,5.97214875717345,6.6767140915477,6.61113374491687,6.37383142166671,6.11339292449004,6.2943030418332,6.13605744514585,6.33565380957123,6.19372983701346,6.19361523123364,6.28700604079525,6.4282080471381,6.00005719404652,5.57935504620958,7.17895521477029,7.15148342205304,5.94774740975891,6.29574657285078,6.36523844321157,7.83939513349218,6.46435702964179,5.99747657769176,6.8148315159221,6.14228589119212,5.95965104126365,6.15398746823659,5.96887089140811,5.88231107893438,6.26981691847069,6.23767796407878,6.63678402249984,6.29726281550038,6.35998605806575,6.44421831590281,6.36686513786171
1555551_at,3.224772628349,3.2425052088351,3.32484720674628,3.65027199701415,3.32200706328585,3.42095939396618,3.51511648945724,3.48530332295977,3.35751598144916,3.31852744852494,3.16909145823141,3.5814401278314,3.49812289487836,3.54894097462838,3.52854445279805,3.50750769413707,3.55262647736491,3.67581466668243,3.44017914762586,3.49610865503497,3.44167972774546,3.67490476051809,3.50524164363611,3.45266350203622,3.60905133701375,3.34842932770244,3.50208687493149,3.44040998412911,3.4655089698005,3.30511418673783,3.6228166357656,3.66155697679914,3.65423368171812,3.59336716212897,3.72615679283359,3.62158467753222,3.63849217359241,3.31783275113956,3.49355364810115,3.4402617679767,3.42808112633502,3.38152605423983,3.49369996537695,3.61172262223718,3.35751598144916,3.39431258964573,3.46889894380652,3.32124106356679,3.45893657616176,3.26685049282598,3.59262855090108,3.4213463294923,3.61940393705875,3.43029765480965,3.51431387911481,3.41770570693484,3.23108993220397,3.27282539863739,3.48014833682714,3.33862601475915,3.74129507941841,3.61887190944932,3.4580538243958,3.56537657225327,3.46845537597597,3.68659660222742,3.4315180799092,3.4261391725935,3.34138162537381,3.3938463611723,3.47823681939973,3.44754105226418,3.4558734398023,3.50551433888794,3.58501164965639,3.40937068408659,3.46889894380652,3.42372247649252,3.56497234392721,3.62062220974634,3.62019285686591,3.76575607492817,3.43423592452682,3.42410383767274,3.33862601475915,3.55129447967284,3.57511475883226,3.40613873339685,3.38407755731861,3.52390148469874,3.67519877806843,3.61520424533611,3.50190888817989,3.40425842014732
1555609_a_at,5.64219061389913,5.89950858379404,5.50616228713355,4.34987280197333,4.87705843385831,4.73878485809265,4.37338008227926,4.00708105190257,6.66197509577079,4.87195516176451,5.61371587984949,4.90347243195873,4.90018528912062,6.04389719741719,5.87313644319209,5.44542435256168,5.30518163974691,4.60890013568077,5.6368536355608,6.00435577930502,4.31232921918764,5.52685091516373,6.03158373434769,5.28692244912046,4.20485954877009,4.54746386641774,5.89558169984127,5.44146308189785,6.16278977840449,5.94607698101659,4.61568335635731,5.1012964385915,4.96499512412103,6.51737078124581,5.21435466071116,4.47552352219604,5.469990878264,5.7816363672375,5.99478503501676,6.37659692247969,5.90633105887389,6.1789021513353,6.12932224803206,6.55106181501239,6.51664947398469,6.03409794534959,6.10904418140732,5.26509746730591,5.16318383101058,5.19215772451614,4.41291903864569,5.01838239138658,4.92460559520775,5.19097474423337,4.43730768543907,6.78432802988536,6.06632750128722,5.59118557137066,6.05798507244728,4.77651603918821,6.50193607306683,6.38638435773443,5.19125159036765,6.94346054353065,5.13466334868972,4.87129742672981,6.58798490480986,4.95364790866622,5.37292552488611,5.81877223658514,5.95516880750034,4.740156551975,4.76593228994517,4.58254433406879,4.73194343494485,6.03158373434769,5.16904558260536,4.34054971126903,5.33585791912387,4.92771517501017,6.65158896121279,5.45511232798284,4.66605093099282,6.17155247998966,5.43498242735907,6.07435043740312,7.26990110756012,5.44750579080655,5.53908795834475,5.90092160226165,8.26173579344723,5.3424363391267,5.05762229451695,5.03511124196453
