,GSM494616,GSM494617,GSM494618,GSM494619,GSM494621,GSM494623,GSM494624,GSM494625,GSM494626,GSM494627,GSM494628,GSM494629,GSM494632,GSM494634,GSM494635,GSM494638,GSM494639,GSM494640,GSM494641,GSM494642,GSM494643,GSM494644,GSM494645,GSM494646,GSM494648,GSM494649,GSM494650,GSM494651,GSM494652,GSM494653,GSM494654,GSM494656,GSM494657,GSM494659,GSM494661,GSM494663,GSM494664,GSM494665,GSM494666,GSM494667,GSM494668,GSM494669,GSM494670,GSM494672,GSM494673,GSM494674,GSM494675,GSM494556,GSM494557,GSM494558,GSM494559,GSM494561,GSM494563,GSM494564,GSM494565,GSM494566,GSM494567,GSM494568,GSM494569,GSM494572,GSM494574,GSM494575,GSM494578,GSM494579,GSM494580,GSM494581,GSM494582,GSM494583,GSM494584,GSM494585,GSM494586,GSM494588,GSM494589,GSM494590,GSM494591,GSM494592,GSM494593,GSM494594,GSM494596,GSM494597,GSM494599,GSM494601,GSM494603,GSM494604,GSM494605,GSM494606,GSM494607,GSM494608,GSM494609,GSM494610,GSM494612,GSM494613,GSM494614,GSM494615
1552617_a_at,8.30111292349312,8.66121753925482,8.38884947918976,8.49397634795221,8.64292553539982,8.96354140128598,8.69571660241592,8.38023070673259,8.60900533864912,8.39665245531357,8.34165818097265,8.22152672979477,8.7371620378883,9.11324839696489,8.99785864074954,8.78333871503925,8.6401144584638,8.16341824701619,9.16578209304361,9.30121774336328,8.39802500996913,9.06669959838467,8.96475326295677,8.97584147730183,8.93282200839368,8.80534457153142,8.68028630588804,8.63006370639877,9.23510364175197,9.13741956830084,6.73042144891715,7.75335282271179,6.76506179509841,9.3512455828481,8.88357751876124,8.95163747079655,8.89931937796226,9.13607510706665,8.81684396378786,9.19341022229181,9.28837132798122,9.16862355803945,9.24075064524954,9.35023127019085,9.26103863558604,9.07191646006234,8.94962673137401,9.18601395625032,8.21864991134759,7.29565562884661,8.93240692482102,8.48854960128276,9.60535794210933,8.73192415959687,8.57837713602543,8.62107563067473,9.08393387527053,8.74534205589386,8.57916953020157,7.06610310559555,9.54026932901227,8.92975984540054,8.89623545498489,8.94596376645675,8.75240115838593,9.12687349763286,10.0205869153013,8.86789703186006,9.14079940342185,9.39512435017611,9.29091796257309,9.02806779539343,8.32404484152392,7.52687219895859,8.51924988217124,9.33181325810183,9.75730456365543,6.84024438585972,6.24759394230916,8.19446849937655,9.30578295973474,8.9359132247283,8.91219676033226,8.86285974098534,9.15812748738392,9.37705954767413,9.12025221929571,9.40134250840619,9.29455232816819,8.78688126229808,9.0175949595996,8.02602636782869,8.85947443229012,8.32826245652664
1553869_at,7.06734405149041,6.89779498176306,6.66962827161989,6.31640632240904,6.10371364603552,6.06728678866533,5.96294118900194,5.53412895993379,7.40621483099218,6.51503268948619,6.07960642115903,6.0934237530705,7.16598435073428,8.58318975377514,7.04163942637551,7.16852461173161,6.50786279186104,6.2205852768732,7.61019554542669,7.08573229718642,6.16800463785625,6.84587934555155,7.26570943711315,6.6798112534782,6.51714524926362,6.01638884180693,7.50047788429488,6.34172411491796,8.1186847685556,7.18658991634275,5.59240944046272,6.43105239278473,5.57636211491293,8.0307040820944,7.46681047557974,5.70448083210193,7.19827122426058,7.24281775641623,7.14471100740769,8.01014824892796,7.45910206578088,7.59890295046176,7.70812814254443,8.35047981505584,8.28441421589221,8.53116485721539,7.96709643144,6.8266973909178,6.64776059115438,6.38327082867298,6.23712260277178,6.35185670171022,5.67123263651268,6.22453449060477,5.70555707756028,7.90155135621779,6.25220742511885,6.30093796322471,7.40987665928308,5.77453204912623,8.38168368871672,9.84461701610279,6.73576387939327,7.73598353730558,6.84414619341016,5.73081783931967,8.58521462925649,6.70396482212283,6.72818370436715,7.74616980008287,8.13575938408068,6.41796449894715,5.73245454009523,5.84358181999927,6.50597753814424,8.09651794494179,7.85543400808122,5.60818526364611,5.82404939992818,7.00199923494364,7.80546380736532,7.64806401661737,5.88322110532888,7.15745941274977,7.71956091561313,7.03608086779866,8.02769975191537,6.56750877438372,6.79556228628747,7.46302400787819,8.47391998386868,7.11153418878538,6.92950167909685,6.94973072946004
1555551_at,6.81683098956329,6.69888609356614,6.63346078441459,5.12310180739228,5.57446710055824,5.37044993836966,5.47626440994176,7.60533529905072,7.24987269575786,5.75205557627578,5.83036681804357,6.54167266157433,6.94134883137868,7.35360725033643,5.69197070148328,7.89692597253495,6.26922088651986,7.12736165166376,7.10581898185746,6.78804562075178,5.39865665472249,5.44232688569031,7.60667154461477,6.42153695417096,5.45549250841813,7.11985171292824,6.30243009548042,6.80411992269527,7.57395482513045,6.27623365248061,4.66034144398481,7.1519545542135,4.84032220146067,6.80371042708,5.91888407306092,5.71431313446538,7.71519473909772,7.05441765814001,7.21746504261259,7.48662202650437,6.84688020692706,7.35898317896597,6.74625609442419,7.41362757639925,6.85180891516427,7.22652151533125,7.594856133887,6.13711805514493,6.51651249464725,6.57720675216035,5.29071608468241,5.98688464673551,6.24467640489047,6.09511465862453,7.4972907028924,7.81113445578038,7.87188910005253,6.91702148009327,6.53342881630917,6.09425079555673,6.93198873745488,7.22764219988102,8.4299232829653,7.91959870681076,6.20929168868113,5.39720432855829,6.99756119415697,7.32576921140083,6.83689447782466,6.88940277846232,7.39997173712044,5.88403335702251,6.76924710065362,5.65584117693771,6.71001702713338,6.81842389398058,6.30377284464985,5.56744014552913,5.1879210590747,6.97547085844409,8.60762575711445,6.16844575398466,5.70477463132165,7.78683985554657,6.91089389396506,7.90842238724843,8.72532962643031,6.46192173284217,6.81333711343954,6.20439155995284,7.07432896550845,6.26910915917431,7.03932697978625,6.33032236407949
1568765_at,5.2328809535127,5.32891116986207,4.88425520957413,4.78632443683055,4.7802651797018,4.84929017206103,4.82794393999495,4.56141683611821,5.10553807548485,4.78017619907409,4.9572000141252,4.9110105221393,5.194369432588,7.31220126486489,5.84274183756178,4.92589649559623,5.14450625485082,4.80826769875681,5.94188646048147,6.82986561990487,4.87075948242927,5.12568715252957,5.335753041074,5.23389411546016,4.76105784060527,4.66249844303686,5.09133744147609,5.04091660018658,7.19668421468623,5.89226569759639,4.91977087408295,4.9743461943919,4.68534231250782,7.11055606032863,5.22509985163417,4.66135781152999,5.64826080524742,5.92346485375975,5.26674450695968,6.54604805061031,5.5815594349997,5.63518916527477,5.86276984769559,6.90073712424135,6.45474752120962,6.64443785028347,5.32707525717086,4.8787434043648,5.78484414849068,4.8439136556044,4.70194055679977,4.90238502910145,5.53643567768239,4.84255768524526,4.4945990245255,5.65779640049017,4.977766612784,4.88720519321075,5.20683932963391,4.80005023268195,9.09367513256461,8.62142696265167,4.87428906340139,4.90880583719093,5.22624924414563,4.96687226497323,6.60609228878037,5.10139235009887,4.80285531314956,5.63500196248193,5.12938713239124,5.13975759111118,4.67748657515271,4.98370470504678,4.83832497648837,7.24599785650555,5.5665917681148,4.83268008279739,5.06676557194,4.89007676859156,7.33004272576176,5.15327184330472,4.8968135576623,5.65205285905163,6.26842297816822,5.44901438103421,6.95624978363928,5.34955948171348,4.94130238053458,5.55853670366133,7.59970728713896,5.54545571533491,5.07205293614598,5.90960577564473
201108_s_at,5.31763817484252,5.48476654265208,5.38793514922387,5.03957119329242,4.96125824332726,4.6396759301403,4.92193825390551,5.26969495089143,4.8692773154624,5.33790601722389,5.18106173959322,5.4440630227938,5.33635434394773,5.92138735145753,5.75758473196509,5.29252677014516,5.07967400661219,5.31058275783755,5.4924731641532,5.484380810948,5.361737652971,5.37094417406099,5.56460061110804,5.36494210318067,4.93577595719235,4.69273168011524,5.58027113082827,5.68137399957731,5.70403399107057,5.47766314536886,6.2210004103447,5.95836122578344,6.31996481721099,5.40190815961642,6.04529329595061,5.55527074010719,5.14795848668559,5.24828527226541,5.16367405871,5.31474001880992,5.45111006987512,5.34783637352749,5.46121133351218,6.0086423150044,5.86181973331455,5.94597418733144,5.66117837954096,5.40182435773422,5.52883900039888,5.40700134773664,4.90965428509971,5.19352155793488,4.84636434821899,5.02627960459201,5.30117129015181,5.17998976378234,5.41817833546965,4.95879779308319,5.47695553874881,5.43759726368229,6.45370673392608,5.84144443859359,5.68789115279916,4.97039385666072,5.40054697880857,5.61972516314197,6.07176362241236,5.51700179315159,5.17273469833227,5.70743329375247,5.27557450412073,4.85606061982179,4.98532620958669,5.97324337354577,6.09352801481521,5.33754567213513,5.74692936946719,6.25871893553859,6.11718202290376,5.13779461804404,5.57410298750899,5.92491166813226,5.07107772851763,5.51537862405712,5.21931206778411,5.68550089889904,5.89322779050882,6.32486807750819,5.4419448258054,6.18603601015263,5.99468332757602,6.05014884250433,5.72174104688607,5.63279870363885
201110_s_at,5.27868916860868,5.07967400661219,4.56482881273243,4.61651552262927,4.65940422042229,4.70890308880049,5.09375375362948,4.82281554676855,5.17929853019419,4.72815005734925,5.25286670170743,5.25052682458372,5.12361011418082,6.10212835586172,4.94178966634602,5.29273014646322,4.87625021311702,4.58126808909952,6.05442808528964,5.86849457584921,5.09599324770016,5.30687743945475,4.89655018305814,4.9225838425324,4.79288506562933,4.72122234950682,4.88463919810157,4.85306330513586,6.03573309299418,5.73549476667481,4.35842085087046,4.9743461943919,5.19465045113161,5.98699640572853,4.64022193976883,5.16140516214794,5.20633600469844,5.74467271396751,4.97227287503278,5.3384834297672,6.39175483069317,6.4074914065256,4.78313966209195,6.79201882428003,5.77914035369866,5.37758838305738,6.99939254958888,5.09516678424458,5.34604289908169,4.29791563925182,5.53095430641678,4.87503667685208,5.62836982765461,5.40902771630048,5.95790210636826,5.9542110868562,5.55026260531421,5.12674131804585,5.73726179328981,4.9341450193335,6.53559015479755,7.56973887589132,6.06878565537868,5.96618544258198,5.75005616106863,6.27784302407339,7.29792000924483,5.62786766120417,6.30628757378191,4.73032025866096,5.4543352492595,5.45413191466228,4.93464434452912,5.15137906868684,5.24093706807924,7.38146837833131,5.84726930539333,5.56696295533332,4.47634669770632,6.83064378406683,8.88940478387322,6.62890795672299,4.92277774732057,5.2563066307668,5.55051162337464,6.78962491354027,6.30776252317766,6.75733696244911,6.88844097528745,5.63404165917663,8.35587019217828,6.54898692565128,5.44766592919382,6.56828641772687
202284_s_at,7.91011463553694,8.3837532452338,7.67597197888328,5.36969478130567,7.00360786649727,7.12336915948886,6.56560255695694,6.25630726005834,9.05620331429158,5.60780775598507,7.4745121475186,4.81737109452228,7.7806848160692,9.71649025881924,7.92285815189204,7.14549880062541,8.04021503618492,5.03511124196453,8.29466351992796,9.2920850621574,4.981205154076,7.67516932946584,7.99129101571285,7.68080878833085,7.13644322552029,6.85011829072581,8.13295890412708,7.9520026703122,9.67028112174741,8.6251663403136,5.93701067195128,5.47164531857827,5.76182589872737,9.26899149282536,9.19394606839257,5.08067244267991,8.68547159544351,9.33521144772798,9.36205886244993,9.40545499494697,9.34113536429062,9.10287142252798,8.17346446673913,9.26103863558604,9.1545602177598,9.06383030845822,8.87842593127225,7.02571412152319,6.37052039502794,7.45230029369961,5.69422852552601,6.47589669509126,6.97287314565506,7.21618364414304,7.16894539019436,9.54916796194615,5.73010242224682,6.90462873208904,8.61036172419689,5.5043679968739,8.69793110355024,9.58441710002317,6.41842249450255,8.16397218748718,6.13913923212505,7.15942308420456,9.63939442550666,6.14912524434869,6.86851780434487,7.77650010485482,8.05627918750184,7.44937703567163,7.05143130950449,5.68330575488864,7.00795296838323,9.20833864672379,8.64994732098593,5.31243497840053,5.27322781703193,6.65769819268124,8.91997117100585,8.85800934845739,6.61608905292162,9.13285501448813,9.30870898829002,8.47954053071864,9.86883318172115,7.21459862873311,7.77084671334987,8.36263622948922,9.95509509137272,7.3450859043348,6.3959452939195,7.12293141281543
202705_at,4.41727383331947,4.49596534053421,4.86332443958103,4.55328017098436,4.8260597242623,5.0551930962172,5.035198479615,4.56613493481289,4.07461256366266,4.35007223351538,4.5374524670799,4.43424799414086,5.20301489582363,5.8992011917923,5.17341104726101,4.60103289479443,4.62726613307696,5.00349641479285,4.98973769361285,4.52186931045492,4.88505592492436,5.13341299272195,4.93905381440146,5.95099984101553,4.58562887555559,4.89691085123334,4.8344869106268,4.62413300829524,4.68164913228655,5.748849942854,4.68027515496963,4.44470757447024,4.63151808219993,4.55775486184606,4.9014019258976,4.51754130523592,4.52341951534049,4.61348517613481,4.42379184134008,4.87921802770034,4.67228194800436,4.77110576595466,5.04170692770654,4.91570570419569,5.52634371393895,4.42276423279572,4.14567874528608,6.91928068586751,4.49957140473907,4.73482667809252,4.61542145284717,4.57183857702303,11.702050747818,9.67558255350218,5.17090428162115,4.56293923718887,4.91385636205371,4.41390912680315,4.74521550683523,4.74835270452677,12.3139967097518,4.79004847224431,4.69975044918871,4.60143106536886,4.91139954361814,5.53135062334361,9.87502150397655,5.21666738696437,9.88677067977448,4.61093670108062,10.3695979984282,6.65794331318696,6.41123928632166,4.9533724939901,4.95167605596201,4.50551355406556,5.06545949253389,4.98841979798882,5.15346033833574,4.45423160568719,4.64611576661461,5.16198976670858,4.69103916381195,4.75708227479842,4.71854510390594,4.54980664140384,5.041111908376,4.55015481404665,4.5233204220825,10.2359569869429,4.71672383987954,5.55360217773701,5.81827884010074,4.32639772549203
202763_at,5.64219061389913,5.89950858379404,5.50616228713355,4.34987280197333,4.87705843385831,4.73878485809265,4.37338008227926,4.00708105190257,6.66197509577079,4.87195516176451,5.61371587984949,4.90347243195873,4.90018528912062,6.04389719741719,5.87313644319209,5.44542435256168,5.30518163974691,4.60890013568077,5.6368536355608,6.00435577930502,4.31232921918764,5.52685091516373,6.03158373434769,5.28692244912046,4.20485954877009,4.54746386641774,5.89558169984127,5.44146308189785,6.16278977840449,5.94607698101659,4.61568335635731,5.1012964385915,4.96499512412103,6.51737078124581,5.21435466071116,4.47552352219604,5.469990878264,5.7816363672375,5.99478503501676,6.37659692247969,5.90633105887389,6.1789021513353,6.12932224803206,6.55106181501239,6.51664947398469,6.03409794534959,6.10904418140732,5.26509746730591,5.16318383101058,5.19215772451614,4.41291903864569,5.01838239138658,4.92460559520775,5.19097474423337,4.43730768543907,6.78432802988536,6.06632750128722,5.59118557137066,6.05798507244728,4.77651603918821,6.50193607306683,6.38638435773443,5.19125159036765,6.94346054353065,5.13466334868972,4.87129742672981,6.58798490480986,4.95364790866622,5.37292552488611,5.81877223658514,5.95516880750034,4.740156551975,4.76593228994517,4.58254433406879,4.73194343494485,6.03158373434769,5.16904558260536,4.34054971126903,5.33585791912387,4.92771517501017,6.65158896121279,5.45511232798284,4.66605093099282,6.17155247998966,5.43498242735907,6.07435043740312,7.26990110756012,5.44750579080655,5.53908795834475,5.90092160226165,8.26173579344723,5.3424363391267,5.05762229451695,5.03511124196453
203725_at,6.68088124018177,6.74679983828766,6.74679983828766,6.97573514133646,6.68088124018177,7.77498950770275,7.00016839794734,7.31959672409049,7.10709537980449,7.25120102502073,7.08694922823927,7.33173294216708,7.13177301626782,7.430642141145,7.3309243811532,6.81252408434659,7.14426399843769,7.18416599286833,7.47572062067231,6.88634886546642,7.23669822844727,7.0740564874466,6.90182034376856,7.02829800100491,6.97660853739236,6.57503704021566,8.22775415870118,7.46317305922573,6.95998282306735,7.32576921140083,8.23294561775662,7.65146989924364,8.12101204162315,7.32114481869032,7.79218951904519,7.35839061534895,6.81586392621779,7.16427666294383,6.81612825729538,7.44571649941945,7.52225992983053,6.98293592959545,8.79379533393385,7.62763327940266,8.19217728349131,7.44952597536561,7.13000682255359,6.81560668866783,6.89382251774581,6.04787729297208,7.78285723264848,6.82552432925007,6.73615920053451,7.19976499825413,7.17506026880427,6.87249533077761,8.20965851681272,6.93186290842421,7.3932236213762,7.73304431827238,7.49590424810682,8.83837875025878,7.02711747494404,6.92646187732216,7.2150371921799,7.04312010932713,9.4614600677581,6.86869825860145,8.01218648793781,7.46688520999245,7.97358515421111,7.2316485569584,6.48143024785846,7.60730738981885,7.52375241265112,7.23392989816603,7.07825386467764,7.76499378861621,8.21297873736904,7.06746026212465,7.33767159161515,7.13816323645495,6.86576839189088,6.49773068473287,6.97253113761522,7.12645515568379,7.22201371789698,7.65100294265139,7.43856482523242,7.00586717458587,8.17872204558877,8.38114628083682,7.13870263332593,8.20243164121934
