,GSM185811,GSM185813,GSM185815,GSM185817,GSM185819,GSM185821,GSM185823,GSM185825,GSM185827,GSM185837,GSM185841,GSM185843,GSM185845,GSM185847,GSM185849,GSM185851,GSM185853,GSM185855,GSM185859,GSM185861,GSM185863,GSM185812,GSM185814,GSM185816,GSM185818,GSM185820,GSM185822,GSM185824,GSM185826,GSM185828,GSM185838,GSM185842,GSM185844,GSM185846,GSM185848,GSM185850,GSM185852,GSM185854,GSM185856,GSM185860,GSM185862,GSM185864
200098_s_at,9.13620601276707,9.1034907102105,9.01498603223383,8.99178068724468,8.9532811761661,9.02104990197268,8.8334913038712,8.64172280192967,8.41988065803497,9.13704173210886,9.11694081565335,9.63537916252973,9.19628304752596,9.35649709709656,8.94858536585833,9.19628304752596,9.09076201771317,8.88704355833209,8.97438293044894,8.9128761261688,8.96459144176184,8.86121037758254,8.9457767980176,8.40605697049162,8.91438289046316,8.91675494512929,8.675953859024,9.37575424758838,9.0535700454873,8.55034936845471,8.81722929696915,8.89372222259932,9.29871967276563,9.6250599788813,9.2900500507404,8.49042757589857,9.40316023346654,8.89680373487941,9.16498014544471,8.63925668199127,8.03854683077646,8.51964680894484
200607_s_at,5.79995563393625,5.34840764726397,6.36485325752828,6.03741785708168,5.82595202303714,5.91081439125167,5.83386721241348,6.60580470595713,6.31844955577576,6.80807162596614,6.39511735176946,6.13424812466722,6.75377888496188,6.60098615870962,6.52825040050324,6.45614884284263,6.75332906824274,6.78510623667884,6.56458966198375,6.84986339304318,6.99682280716584,6.19572641563978,5.78513224693356,6.44398983715634,6.71396749984873,5.61911938525887,6.42047333702035,5.92721603399678,5.79995563393625,6.18108404295116,7.02545890484087,6.20793446793396,6.1118742671586,6.66185975982912,7.5862771507258,7.73898063433616,6.06062509162593,6.06193660757326,7.09357053782904,6.11405474321424,7.45099762193259,7.05875272282858
200608_s_at,7.40867613145268,7.31955507329691,7.19097882431539,7.31172800217464,6.94798210970274,6.93825392337487,7.31402445496782,7.39488397036472,6.52231680977564,7.27608684574344,6.74134713658184,6.52368698315117,7.5246487600433,7.49978763875044,7.44987269235952,7.70782065769814,7.69856101877509,6.84479167183469,7.40467990472444,6.65436208176236,6.5158824351088,7.27397638251714,7.16534452150566,7.3760289511698,7.27157457239914,7.576523712064,7.3585298540013,7.3562453838355,7.40712031662933,6.4774793434483,7.15837299672228,6.08168479361361,6.39110051606467,7.74678043227649,6.57799097112669,7.81220661481641,6.83222471660025,6.39011267942316,6.59654962562578,7.54285979525226,6.35735246611664,6.72593988360116
200638_s_at,8.48056021644778,8.22516205571882,9.37192645876812,8.36268171375618,8.10779267425778,7.66449253256817,8.82907402313089,9.42908157786386,8.69861772747325,9.0368559340767,9.06788670838496,7.83735062267745,9.09426441989986,9.30540907474137,9.31753405794133,9.21873067720768,9.33159338749539,9.25443121858675,9.26051822763392,9.17735995535113,9.33367955197207,9.21978175765212,9.11694081565335,9.95418355712523,9.42908157786386,8.00365840613505,9.59750894811985,8.6495100817953,9.32384625638453,8.97277325966416,11.2411853288525,8.86184863455954,7.64357500531689,9.55413370129069,7.94497443297963,9.59193803682884,8.84829675325117,8.334395953831,8.48262088011325,9.50241098078078,9.90311551762561,9.88284577145384
200639_s_at,9.03207919006972,8.98835841373141,9.04288228145859,8.72452977662287,8.9292860606313,9.12553721869941,9.08326904152501,8.96459144176184,8.91205961863121,8.68579807740861,9.03299679195913,8.37179488009848,8.77263333686952,9.08051663481368,9.04478254494829,9.02782493112179,8.81421654257366,8.67105889471853,9.05929751566527,8.34612799669907,8.47451562812345,9.05264932981987,9.2944931450424,9.49729990312892,9.15279239872714,9.3658344815386,9.07495921098834,9.25147710256729,9.18855007762305,9.08326904152501,10.5600312737029,8.72662922194112,8.45027533567532,9.07767995303836,8.72230976383397,9.20185008071916,9.15806852318689,9.47397473211361,9.60480730302174,9.79570186676247,8.7420434567566,8.95081842992222
200640_at,9.301054385642,9.62799174670543,10.0833850790261,9.43139920700964,9.51401578683916,8.72452977662287,9.78188854942183,10.4500852120499,9.94818798739983,10.2362952110497,10.1476820759439,9.37192645876812,9.98153375688201,10.1524720814836,10.2418018019344,10.2844236647316,10.1872418787495,10.3514492336083,10.1524720814836,9.57378596590224,9.74794892213744,10.0725311247474,10.1048930668513,10.6757038520583,10.5028333966788,9.66572108900693,10.1204252799273,9.46217501688421,9.89952790379366,9.82916637860133,12.0853919140717,9.76075564418306,9.10620777541427,10.5539605438938,9.81445212575419,10.5973245096064,10.3398881207364,10.4739893311015,10.6106206490903,11.0363976975302,10.0935209177276,10.7481480546122
200641_s_at,6.77491920373402,6.23613681624153,8.26365363810514,7.07831797456152,6.75110903812106,5.10857705969109,6.6961315295272,8.84829675325117,7.87756293895857,8.05710275413023,8.46832428902457,7.54185957519381,7.8039247404745,8.23235943939785,8.46292534730198,8.38258692073879,8.51138529465839,8.72662922194112,8.16882084942912,8.85066001187439,9.05929751566527,8.24414507477235,7.39141028094365,8.99494008968685,8.62698496174564,6.06431468158291,8.43233716155487,6.15871559498065,7.60151638809773,8.28470114325156,10.7905142793656,8.25506145852655,7.44852059456719,8.61565948244314,8.8775929282124,8.74390046763729,7.8971910292251,7.39266115471619,9.27166086390434,7.97089395158884,10.0955950630658,9.47671755418182
200693_at,9.63086612664677,9.57086985347002,9.91401656039997,9.8424679108096,9.56675474353734,9.41428458731496,9.74605345579698,9.89649144564792,9.77727981025433,9.859111832685,9.8307602433235,9.06270604245522,9.65322581823264,10.0030269171511,9.82564101984066,10.0976447516187,9.99703217309708,9.98559459018171,10.0647312594258,9.73666842592816,10.0310337923453,9.78719190874739,9.95945391785247,10.3964106104602,10.1500542947863,9.40569479748289,10.012339688631,9.50517064417939,9.96316297713358,9.86448164651904,10.3064856596525,9.59884799395611,8.90164455013139,9.8915161260802,8.71272576593361,9.93428974873351,9.73065375934526,8.9532811761661,8.83996104243492,9.81750263666742,10.1048930668513,10.0666663217927
200711_s_at,8.91141952727584,8.9007203676069,8.51041997357826,8.9532811761661,8.53970059776984,9.24339234135083,9.01007836487071,8.64051552657121,8.82263608111557,8.91205961863121,8.43585125561566,8.25657381391726,8.89222342114338,8.69221940582878,8.69999687789918,8.84466243928958,8.79058086901981,8.57337315862814,8.75599968565082,8.85126737879014,9.03496326138138,8.52969496735305,8.52362892337541,8.92146236952593,8.47108931057328,8.8641025047584,9.00933100791215,9.14782361052615,8.72579317337814,8.0688277685189,8.675953859024,8.45588484200058,7.42087499716718,8.45134692884668,7.03835315740677,8.86121037758254,8.80385657438693,8.20972079796681,7.71775426056747,9.25769977548657,8.37280789862408,9.34377662781323
200718_s_at,10.5539605438938,10.5872522570236,10.4621340597637,10.9931531562131,10.5973245096064,11.0458180725884,10.72517841925,10.5372665575767,10.5304102402414,10.6564611213581,10.4562300427345,10.267649263583,10.6106206490903,10.8073558383232,10.5304102402414,10.4997365861798,10.6598809376665,10.7905142793656,10.4997365861798,10.3872123480519,10.2651837587172,10.6307080874887,10.8367590518288,10.8470106737023,10.4339255866685,11.0828218454674,10.9062917321814,11.1539581215729,10.6070952034126,10.5600312737029,11.0667452762831,10.4808624337975,9.74966749935641,10.3278924279167,9.31549817395764,10.5908804598999,10.6038367332687,9.32384625638453,10.4808624337975,11.0322109361175,10.2625754888425,10.4840377924115
