,GSM185811,GSM185813,GSM185815,GSM185817,GSM185819,GSM185821,GSM185823,GSM185825,GSM185827,GSM185837,GSM185841,GSM185843,GSM185845,GSM185847,GSM185849,GSM185851,GSM185853,GSM185855,GSM185859,GSM185861,GSM185863,GSM185812,GSM185814,GSM185816,GSM185818,GSM185820,GSM185822,GSM185824,GSM185826,GSM185828,GSM185838,GSM185842,GSM185844,GSM185846,GSM185848,GSM185850,GSM185852,GSM185854,GSM185856,GSM185860,GSM185862,GSM185864
200607_s_at,4.81423268514428,4.5206428299358,5.01731925892143,4.94239590501495,4.80677803829172,4.85712649083365,4.86835599858677,5.70101931505455,5.04187797310165,5.22433376112104,5.30806588301336,4.91303482256709,5.48537236516094,5.01972389277995,5.04292773757543,5.06915253573725,5.25309126562281,5.28285515721289,5.33347834087139,5.53984948270825,5.76514748072996,5.00765658989905,4.87068401799749,5.05161224985109,5.46092173416397,4.71746836424304,5.19021594870888,4.94161793055862,5.05436356794196,5.22803491207415,5.52232949057352,4.54164558806201,4.7583065873514,5.27523618245881,5.12560137074957,5.51134268390633,5.25160796979353,4.89924376393188,5.233734376703,4.8679330734906,5.21588111232988,5.41989746172265
200639_s_at,5.79995563393625,5.34840764726397,6.36485325752828,6.03741785708168,5.82595202303714,5.91081439125167,5.83386721241348,6.60580470595713,6.31844955577576,6.80807162596614,6.39511735176946,6.13424812466722,6.75377888496188,6.60098615870962,6.52825040050324,6.45614884284263,6.75332906824274,6.78510623667884,6.56458966198375,6.84986339304318,6.99682280716584,6.19572641563978,5.78513224693356,6.44398983715634,6.71396749984873,5.61911938525887,6.42047333702035,5.92721603399678,5.79995563393625,6.18108404295116,7.02545890484087,6.20793446793396,6.1118742671586,6.66185975982912,7.5862771507258,7.73898063433616,6.06062509162593,6.06193660757326,7.09357053782904,6.11405474321424,7.45099762193259,7.05875272282858
200718_s_at,6.77491920373402,6.23613681624153,8.26365363810514,7.07831797456152,6.75110903812106,5.10857705969109,6.6961315295272,8.84829675325117,7.87756293895857,8.05710275413023,8.46832428902457,7.54185957519381,7.8039247404745,8.23235943939785,8.46292534730198,8.38258692073879,8.51138529465839,8.72662922194112,8.16882084942912,8.85066001187439,9.05929751566527,8.24414507477235,7.39141028094365,8.99494008968685,8.62698496174564,6.06431468158291,8.43233716155487,6.15871559498065,7.60151638809773,8.28470114325156,10.7905142793656,8.25506145852655,7.44852059456719,8.61565948244314,8.8775929282124,8.74390046763729,7.8971910292251,7.39266115471619,9.27166086390434,7.97089395158884,10.0955950630658,9.47671755418182
200951_s_at,9.63086612664677,9.57086985347002,9.91401656039997,9.8424679108096,9.56675474353734,9.41428458731496,9.74605345579698,9.89649144564792,9.77727981025433,9.859111832685,9.8307602433235,9.06270604245522,9.65322581823264,10.0030269171511,9.82564101984066,10.0976447516187,9.99703217309708,9.98559459018171,10.0647312594258,9.73666842592816,10.0310337923453,9.78719190874739,9.95945391785247,10.3964106104602,10.1500542947863,9.40569479748289,10.012339688631,9.50517064417939,9.96316297713358,9.86448164651904,10.3064856596525,9.59884799395611,8.90164455013139,9.8915161260802,8.71272576593361,9.93428974873351,9.73065375934526,8.9532811761661,8.83996104243492,9.81750263666742,10.1048930668513,10.0666663217927
201456_s_at,8.57918882332715,8.23235943939785,9.12646506461638,9.04860272616531,8.80242155003782,8.16444238459993,8.7854546726309,9.27753386835362,8.84683923818194,9.23711917602376,8.52687253473,7.71329494726756,8.70753465414111,9.13334171986586,8.82692261757133,9.11128528100078,9.36334990790309,9.3900898579409,9.16215688406831,9.4467195805058,9.47671755418182,9.33491684444324,9.11589903625881,9.44308256827936,9.16589987294471,8.66911210229074,9.31455192955571,9.23282472075835,8.85953286996324,9.13251042731711,9.37061402316444,8.52592310073354,6.37329865274974,8.79826326407174,6.53607392164332,8.97753702344507,9.13154306349826,6.03444617208265,7.73085797560091,9.47275537298602,8.99829108672258,9.58937970719136
201555_at,8.67947725212433,8.675953859024,8.89222342114338,8.623549459404,8.38310665443746,7.64064635253585,8.07478812965538,8.60466400533628,8.44449411002706,8.20882529454824,8.63022293636273,7.03654508843666,8.10779267425778,8.46892473469249,8.13828878115821,8.14695499369406,8.45277009051705,8.69376023766097,8.70445825720086,8.24991794215483,7.82704126480386,8.34070980265481,8.49933961397504,7.88018905885906,7.32323523535156,7.19172836825175,6.88000972443373,6.97404381707059,8.42601302309587,6.01771030879241,6.54567137306841,8.35414265168301,5.67349470870761,7.55287072868902,5.44184576296822,6.35712780385046,8.01827471169147,6.68953901050523,6.94986118283412,7.08414052239313,5.67372979718047,6.28922833192662
201589_at,7.6361428747022,7.61920926878513,8.15802987577053,7.94189357838349,7.55488242078036,7.10239214209971,7.68956709950956,8.42410756610282,7.91710426923262,8.15453498931288,7.51709235027786,7.3556191315219,8.13183697711206,8.4270170330966,8.08916939224728,8.29461362947506,8.14695499369406,8.58188167660671,8.60531751081256,8.43585125561566,8.35507397796784,8.63317024790396,8.23631627136888,8.5885648044256,8.2812093461725,7.32623849634504,8.91356282523082,7.22673654219952,8.27286056854225,8.11174571544892,7.93541991419828,7.59825548718704,7.17800199453607,8.22516205571882,7.1106369989257,8.59527173413395,7.58731212539989,7.6441658343282,7.22111684384784,8.12070563363508,7.8174988792969,8.21967584324508
201700_at,7.42775069834705,7.34213991134154,7.10210824015925,7.65560188987038,6.67883826555631,7.00233202129547,7.49123908399063,7.35906288698449,6.35779755652238,7.57619893381692,7.06719036419073,5.80037537223777,7.22032992054792,7.45099762193259,7.03364043985074,7.2749289796078,8.10062427763548,7.53639597828379,7.51116905885423,7.3033152397711,7.33863005879795,7.69060695932435,7.48997784590053,7.65906010740645,8.15112275780306,7.27583389880605,7.82534027118948,7.32175253173661,7.71370144314677,9.93428974873351,8.49399993763507,6.4083673227133,8.19668554322651,7.5489335620541,7.85137960573108,8.00634734185789,7.41746611643636,6.87622535006147,7.40029239375682,7.46110089493393,7.54680982889542,8.92363190472177
201746_at,7.91710426923262,8.04361995055428,7.84067687761849,7.9771316497437,7.83915450740787,7.67073964585306,7.91319111873515,7.76894207810431,7.49950732000122,7.88691773599433,8.04850619837869,7.74532385533929,7.96070260905668,7.89902909313022,8.334395953831,7.90969049442345,7.96979551098242,8.06539450950608,7.84549071956506,7.49094953067933,7.64582266522802,7.9587297608085,8.23235943939785,7.74227809872692,7.87713751245629,8.27380333919063,7.93392930026721,7.88279001595537,8.18352999570691,8.12790143684855,8.6224174694855,8.21589672844029,8.08962029940885,8.53143483310404,9.08229925054312,7.97798099713351,8.0418652620624,8.27859619747016,8.10717324779187,8.6567810574498,8.01284618708371,8.34361248249179
201755_at,5.99458037869337,6.17991229106021,6.65247557212996,6.14672610558072,5.80874553297418,5.63161699899755,6.24453667046692,6.82886523943906,5.90414901881365,6.56752655663436,6.63504637618411,5.70852545478261,6.63387194690297,6.74589850421836,6.38384544913655,6.61049882507866,6.63249740779058,6.53262795127514,6.61230357011668,6.34011165607868,6.58447749525215,6.77088551956873,6.19668086754468,6.74307140082783,7.14746588799767,5.37191569355313,7.06534103295308,5.87923611840792,6.03934822620497,6.67123557886137,7.65101341339078,5.95378216876347,6.37453202470922,6.83037388837312,6.0461227029913,7.98047358769418,6.73853910438213,6.42749259742167,6.53154837474659,6.37659478685979,6.65854840188837,6.96694191429318
