,GSM185812,GSM185814,GSM185816,GSM185818,GSM185820,GSM185822,GSM185824,GSM185826,GSM185828,GSM185838,GSM185842,GSM185844,GSM185846,GSM185848,GSM185850,GSM185852,GSM185854,GSM185856,GSM185860,GSM185862,GSM185864,GSM185811,GSM185813,GSM185815,GSM185817,GSM185819,GSM185821,GSM185823,GSM185825,GSM185827,GSM185837,GSM185841,GSM185843,GSM185845,GSM185847,GSM185849,GSM185851,GSM185853,GSM185855,GSM185859,GSM185861,GSM185863
1598_g_at,9.84707672702376,9.82365361891218,9.42679559776013,9.40569479748289,10.2008662066592,8.53256495217091,9.2999576591167,9.63537916252973,9.87741868729897,9.14687686795988,10.3514492336083,9.71855977625832,10.1027348288302,10.0187065123821,8.68822619458374,10.0030269171511,10.7948104473823,10.4082211623354,9.46817171742777,8.68761914615254,8.73073211510811,10.7761003443653,10.8804752359773,10.5872522570236,10.9773631103701,10.7405137926214,11.0101442007068,10.7438909024203,10.2844236647316,10.5372665575767,10.8653488434274,10.6449191140282,10.7905142793656,10.705250286204,10.5183699265816,10.5468072231542,10.4058478871395,10.5732811889853,10.5973245096064,10.3843376124726,10.5872522570236,10.4939953472679
1861_at,5.73801370088529,6.13448722054143,5.98260626764349,6.22198115310911,6.43845101981668,6.52958342877603,6.13286574684204,6.28776943445623,5.84616677901945,5.6586491351738,5.4783282621037,5.56151351744941,5.66932471922204,5.72614513318258,5.66549307044596,5.74096520212398,5.57940564683577,5.37062403397164,6.06930809341241,7.15067774169276,6.33022499891686,6.13589901135324,6.19167032737622,6.03118654298258,5.98260626764349,6.58271277389289,6.04591454898678,6.13508653540246,6.07207551093452,5.85781621819847,5.89741204909658,5.75356262879993,5.15896659697044,6.1693363585762,5.81939639196478,5.95698013108881,5.84294505339356,5.8888501106642,5.74958465399554,6.17855988415804,6.53901137003186,6.62748469311134
200081_s_at,11.4530242920283,10.9621914267954,11.2859739833818,11.9661719015084,10.6527252572447,11.8449781044042,11.4344556961148,11.173267654359,11.2411853288525,11.1490097212141,11.7327010273533,11.2859739833818,11.9349513588886,11.2411853288525,12.3173700557856,11.8304405127197,10.7559348803301,11.8959171888843,11.8361406102553,11.1539581215729,11.4959478343195,11.3741023473877,11.2474129266091,11.4846028895982,11.6121717350763,11.3616259363441,10.5942757519436,11.2678944457611,11.5208833074712,11.4344556961148,11.416278070192,11.4530242920283,10.9671578978906,11.4909987632443,11.6606712855024,11.3510776180597,11.4220877079439,11.636206111962,11.5739701093222,11.6121717350763,11.3854880853873,11.7536128655501
201244_s_at,8.14042039827314,7.9900939049837,7.87491908119997,8.03591180063665,7.7833875016381,7.94348249173522,8.28081206851789,7.95097810532156,7.48344817784507,7.90126490651759,7.74105034021396,7.05960067211448,8.13711365751093,7.13309342338549,8.2673989191731,8.6376805260583,7.59268258320991,6.58402399436637,7.57354976910506,8.59588864489639,7.79993555079092,8.23718855407342,8.37592128757421,8.20972079796681,8.27859619747016,8.176621664278,7.63916708185153,8.16395300581044,8.12547769430898,8.10478045879536,8.12570260118338,8.08792403629834,8.3287934160083,8.2167794794342,8.24233301163196,8.34519692990413,8.36507135340412,7.99923296257909,8.1914674090368,8.32289177733405,8.13314008286834,8.16656577970487
201254_x_at,12.1178964510523,11.9842109516089,12.019435948357,12.5202016248528,11.9129691920462,12.5632434985117,12.4408128756968,12.0794063959802,12.0130424029394,11.9487764308064,12.2419574552753,12.2869138169844,12.4326715999821,12.5529286732327,12.6305125018708,12.2917219992154,11.9605124862831,12.6499641609737,12.5632434985117,11.7611453614378,12.163836522405,12.2619727795949,12.4481246913934,12.1950050046661,12.3113439703814,12.0794063959802,12.3173700557856,12.4408128756968,12.216065612675,12.1570229574304,12.141901277576,12.216065612675,12.3641853366719,12.3240003121958,12.5039064065905,12.1237796991118,12.1818115330946,12.4237209460503,12.2286557260852,12.4621229133658,12.2286557260852,12.4408128756968
201435_s_at,7.36218298380491,7.22220808540056,7.16961307150665,7.58098422512399,6.68021665727652,7.87491908119997,6.64861235706284,7.08339609911959,6.44996362081806,7.75127188792713,6.33838272457749,5.82902573095076,7.45267642030608,6.07976063956314,6.67566726252819,7.14428338133231,5.6966893913188,5.47935333470472,7.22418743615935,7.75059712831905,7.16203413206324,6.63431777371906,6.5616281636759,7.1512417842422,6.89611861592932,6.30878181910857,5.98696309655103,6.99266784659262,7.20148340571712,6.41480060018411,6.67147009055061,6.75070279584289,5.8242468045009,7.01041214645156,7.22619230578194,7.09425894496008,7.04593629245639,7.09854175675673,7.05494267411347,7.31402445496782,7.06719036419073,6.89936578862362
201436_at,3.77277036039656,3.69832139980198,3.52621586014773,3.56536076633247,3.86312467718801,4.09081561501786,4.10194378354314,4.01646897810551,3.42362851851925,3.70852811571853,3.75195949488689,3.21216890563254,3.54974091073112,3.08248600390056,3.80427720233133,3.6652548807576,3.4269801663846,2.94717052460753,4.61627147507679,3.55334144011844,3.82188919602781,4.64606429327097,4.20964004692943,3.75592362566244,3.96226534190591,3.96103001469704,3.72848657835812,4.50577693417679,3.93557130046608,3.62050907647411,3.56536076633247,3.56150700541307,3.42739166932219,4.02077760736737,4.0958198109953,4.08093479824558,3.97139702544718,3.60392199729457,3.55609873288395,4.34472374089789,3.68385960760858,3.67578964794551
201437_s_at,5.16522131640766,5.34238632978478,4.9504181115599,4.64944237816812,5.80082282596834,6.20166607463467,5.81344876983488,5.6330536622317,4.52598226795886,5.23246062824854,4.53133318896157,4.22272201896991,5.04244461541335,3.91740400010439,5.14148727761795,4.78939347623883,4.2679009952319,3.91960165821744,5.21098802589511,5.0892848571362,4.67371120052912,5.35919832873101,5.30806588301336,4.72389662718353,5.08620188205214,4.93667310139528,5.49434428622293,5.26829746910276,5.04393452528112,3.96134421808649,4.79455956515688,4.88750367731199,4.59093380212385,5.28263107753389,5.43044558607252,5.0797908693804,5.28014149756492,4.9203904308405,4.72142071700094,4.98639186519755,4.66357528513421,4.54769369551793
201469_s_at,6.71116396890557,6.49604860746966,7.09280062291353,6.46298578052502,5.65913472032971,6.34457293868068,6.0207832680152,6.49837016774608,6.75569585453261,6.31661202064071,5.86882412597168,6.14472408014079,7.17151923907292,7.03302598602467,6.52018325699261,6.79231148636129,6.03627608001665,5.44884352338264,6.77911248976499,7.4851962064215,7.81220661481641,5.53595939104165,5.97697931920009,6.42878712251259,5.67460542152492,6.20814310758209,5.38276403152564,5.9324907439467,6.58271277389289,6.14144430237838,6.52847517442443,6.43192921529446,6.77330885865506,6.31275199656252,6.07040721559957,6.50180118018186,6.40491449994786,6.3817504969518,6.27393927722665,6.40880876546861,6.27746656555497,6.30503501963687
201648_at,9.21873067720768,8.97349624666742,8.35560928707946,8.78176872893253,8.12654146286205,8.66451798512475,8.75892503277432,8.8474912252682,8.20498972760093,8.66591636134537,8.96707611727954,8.41527979202973,9.13803387995616,7.05661915067784,8.58368724645528,8.63486149722148,8.52969496735305,7.75746672820009,8.97753702344507,7.76953561953428,8.43433815047046,9.29115122684324,9.38462788003588,9.31004680905309,9.39590113984521,8.91916617226706,8.21735203666742,9.47275537298602,9.23084834183583,8.99829108672258,9.27273709217174,9.27457671256035,8.78916074791446,9.21978175765212,9.28199461430811,9.14967623795755,9.22437739266867,9.15892948760111,9.0687322813354,9.24339234135083,8.78328848253163,8.9629338803803
