,GSM185812,GSM185814,GSM185816,GSM185818,GSM185820,GSM185822,GSM185824,GSM185826,GSM185828,GSM185838,GSM185842,GSM185844,GSM185846,GSM185848,GSM185850,GSM185852,GSM185854,GSM185856,GSM185860,GSM185862,GSM185864,GSM185811,GSM185813,GSM185815,GSM185817,GSM185819,GSM185821,GSM185823,GSM185825,GSM185827,GSM185837,GSM185841,GSM185843,GSM185845,GSM185847,GSM185849,GSM185851,GSM185853,GSM185855,GSM185859,GSM185861,GSM185863
1861_at,7.99473254954956,7.79548834508217,7.1432011704313,7.22083659025156,7.91003283479684,6.03562203711598,6.96430069766859,7.57522275129027,7.79647858248094,6.22946869728186,8.17056457679552,5.58120581123858,7.36464477608129,6.2597846540277,6.3429917610424,7.53304962743635,7.83565927655411,7.15307375935248,7.42207177459427,6.40259188871486,6.72420449469268,8.84534074822224,8.87566870419386,8.78982533413327,8.97679718815291,8.9048560888431,8.79389084757079,8.59461509848649,8.40508965411394,8.43433815047046,8.71902139029528,8.38416569503407,8.10739056959919,8.64714998683242,8.01329330887209,8.2466426770453,8.37500152809549,8.45183424983342,8.16744086874314,8.66269761440075,8.63146880486388,8.74390046763729
200081_s_at,5.73801370088529,6.13448722054143,5.98260626764349,6.22198115310911,6.43845101981668,6.52958342877603,6.13286574684204,6.28776943445623,5.84616677901945,5.6586491351738,5.4783282621037,5.56151351744941,5.66932471922204,5.72614513318258,5.66549307044596,5.74096520212398,5.57940564683577,5.37062403397164,6.06930809341241,7.15067774169276,6.33022499891686,6.13589901135324,6.19167032737622,6.03118654298258,5.98260626764349,6.58271277389289,6.04591454898678,6.13508653540246,6.07207551093452,5.85781621819847,5.89741204909658,5.75356262879993,5.15896659697044,6.1693363585762,5.81939639196478,5.95698013108881,5.84294505339356,5.8888501106642,5.74958465399554,6.17855988415804,6.53901137003186,6.62748469311134
201437_s_at,4.6644488146666,4.83359802595334,4.68738524729712,4.87838438166587,4.76102868090596,4.72971452628022,4.68500603340474,4.69550932138785,4.73622070536419,4.63810805312508,4.88325302724328,4.59728534466778,4.6216934427069,5.16707648973727,4.76166293920143,4.61112365782257,4.81048325588163,4.5633198749669,4.75480058626984,4.92130985140978,4.81137742278533,4.62619047492921,4.77120648254503,4.49646125707321,4.76991381299937,4.86680104097205,4.71887423028779,4.81802577301681,4.68117253817271,4.94189235681501,4.58432831651075,4.64398177547957,4.66234006606011,4.67389183980803,4.60066085179889,4.67128578128971,4.61789103482783,4.68198981767287,4.80429085732206,4.7633081993197,4.66470719120957,4.7639890177525
201469_s_at,8.14042039827314,7.9900939049837,7.87491908119997,8.03591180063665,7.7833875016381,7.94348249173522,8.28081206851789,7.95097810532156,7.48344817784507,7.90126490651759,7.74105034021396,7.05960067211448,8.13711365751093,7.13309342338549,8.2673989191731,8.6376805260583,7.59268258320991,6.58402399436637,7.57354976910506,8.59588864489639,7.79993555079092,8.23718855407342,8.37592128757421,8.20972079796681,8.27859619747016,8.176621664278,7.63916708185153,8.16395300581044,8.12547769430898,8.10478045879536,8.12570260118338,8.08792403629834,8.3287934160083,8.2167794794342,8.24233301163196,8.34519692990413,8.36507135340412,7.99923296257909,8.1914674090368,8.32289177733405,8.13314008286834,8.16656577970487
201983_s_at,5.16522131640766,5.34238632978478,4.9504181115599,4.64944237816812,5.80082282596834,6.20166607463467,5.81344876983488,5.6330536622317,4.52598226795886,5.23246062824854,4.53133318896157,4.22272201896991,5.04244461541335,3.91740400010439,5.14148727761795,4.78939347623883,4.2679009952319,3.91960165821744,5.21098802589511,5.0892848571362,4.67371120052912,5.35919832873101,5.30806588301336,4.72389662718353,5.08620188205214,4.93667310139528,5.49434428622293,5.26829746910276,5.04393452528112,3.96134421808649,4.79455956515688,4.88750367731199,4.59093380212385,5.28263107753389,5.43044558607252,5.0797908693804,5.28014149756492,4.9203904308405,4.72142071700094,4.98639186519755,4.66357528513421,4.54769369551793
201984_s_at,6.71116396890557,6.49604860746966,7.09280062291353,6.46298578052502,5.65913472032971,6.34457293868068,6.0207832680152,6.49837016774608,6.75569585453261,6.31661202064071,5.86882412597168,6.14472408014079,7.17151923907292,7.03302598602467,6.52018325699261,6.79231148636129,6.03627608001665,5.44884352338264,6.77911248976499,7.4851962064215,7.81220661481641,5.53595939104165,5.97697931920009,6.42878712251259,5.67460542152492,6.20814310758209,5.38276403152564,5.9324907439467,6.58271277389289,6.14144430237838,6.52847517442443,6.43192921529446,6.77330885865506,6.31275199656252,6.07040721559957,6.50180118018186,6.40491449994786,6.3817504969518,6.27393927722665,6.40880876546861,6.27746656555497,6.30503501963687
202273_at,9.21873067720768,8.97349624666742,8.35560928707946,8.78176872893253,8.12654146286205,8.66451798512475,8.75892503277432,8.8474912252682,8.20498972760093,8.66591636134537,8.96707611727954,8.41527979202973,9.13803387995616,7.05661915067784,8.58368724645528,8.63486149722148,8.52969496735305,7.75746672820009,8.97753702344507,7.76953561953428,8.43433815047046,9.29115122684324,9.38462788003588,9.31004680905309,9.39590113984521,8.91916617226706,8.21735203666742,9.47275537298602,9.23084834183583,8.99829108672258,9.27273709217174,9.27457671256035,8.78916074791446,9.21978175765212,9.28199461430811,9.14967623795755,9.22437739266867,9.15892948760111,9.0687322813354,9.24339234135083,8.78328848253163,8.9629338803803
202288_at,8.15952721230467,8.45183424983342,8.1735111789879,8.07894174837602,8.30991420100141,7.94609845146235,8.18589861998154,7.81118588924835,8.30373545261953,8.28566484659487,8.35606938431569,8.50374257870273,8.07396967452687,8.47211377564754,7.6850459241339,8.00003276895158,8.49138927641156,8.47666612552921,8.6788947743189,7.93951787340753,7.73290078449066,7.84816623106431,7.93694375329123,7.96742677896199,8.15593465396029,8.18589861998154,8.08135800059701,7.94107201169137,8.04436490970929,8.13545857490049,7.8328494216584,8.1963042229527,8.47108931057328,7.99655941803325,7.78201002082383,8.07780373029119,7.94690309887131,7.87600430929438,7.83048927261493,7.9690642150007,7.78951917322306,7.72019336007685
202424_at,8.9629338803803,8.99758794417057,8.56240566176128,8.16264887878808,9.02023759425156,10.3872123480519,8.25853701662002,8.06832163513329,9.51156059884095,9.1290474302775,7.14715972194364,10.0045729622142,9.39240105458469,9.86448164651904,10.2894053993641,8.94341318702875,9.32954780907878,6.50795449761191,8.55811939285483,9.2424271889731,11.2178633776212,7.79376500027965,7.96049426488269,7.79763815315208,7.67276945801201,8.20525015267748,7.63486992493904,8.17300990465837,8.21537501620482,8.44394588122928,7.98443792449823,8.03191217250652,7.5819646666632,8.6188032358321,8.56969779527734,7.95725741337042,8.41007187085775,8.36755442759416,6.25658924372059,8.23199706873417,8.14311626742961,8.12405193736105
202743_at,8.37179488009848,8.57147579970673,7.5622953379774,7.29410432094949,7.78296261464043,7.11394520494834,7.8733953941641,7.73505690891682,7.06379433332225,7.15067774169276,8.3765699335843,7.88321052663827,7.80215157437581,7.39542297635944,7.27127004642971,6.93970847351207,8.29033336663356,7.15941624826135,8.12114870121492,6.99138533180755,7.25925324004398,7.68814470341476,8.21496696887462,8.52077913612636,7.98089485222256,8.21411256814124,7.53319065957385,8.05869987606434,7.62912250125477,8.35658506791227,8.29273129434579,8.6697390178122,8.73995590030665,7.99301627499626,7.93614432663731,8.19909601062836,8.06930783048456,7.88727610065341,7.8174988792969,7.70004428273164,7.79293321863306,7.67687443593134
