,GSM185812,GSM185814,GSM185816,GSM185818,GSM185820,GSM185822,GSM185824,GSM185826,GSM185828,GSM185838,GSM185842,GSM185844,GSM185846,GSM185848,GSM185850,GSM185852,GSM185854,GSM185856,GSM185860,GSM185862,GSM185864,GSM185811,GSM185813,GSM185815,GSM185817,GSM185819,GSM185821,GSM185823,GSM185825,GSM185827,GSM185837,GSM185841,GSM185843,GSM185845,GSM185847,GSM185849,GSM185851,GSM185853,GSM185855,GSM185859,GSM185861,GSM185863
200796_s_at,5.14428355048833,4.36071980175657,4.88346146679246,4.91488757758634,4.17628315907737,4.79097504235825,4.34520038036346,4.90806398074367,5.22493467340198,4.62591471159489,5.16196045056566,4.35276085044927,3.95562235480524,4.34058660383233,4.34229042631605,4.19572253074109,4.29511419529561,4.24425781923674,4.70491059826592,5.24008452918269,5.77565682848706,4.26121405668963,4.15720018009244,5.71555650269161,4.72920307015752,4.7013506633324,4.63888613396937,4.41436423992945,7.08923608310051,5.11253006226479,4.18786743742527,5.17303597087219,4.53361383024355,4.59198791893966,4.14666690245184,5.00612723737744,5.04351495020181,4.22628850001713,4.50310179534307,6.15828615705177,6.06884102083845,7.00219704892309
200953_s_at,6.78764912566493,7.10944634850304,7.88128702117932,6.94576372572323,8.29857627462529,8.31642456823862,8.27380333919063,8.73923974511337,8.80100273913078,7.03518509973185,8.7501084575186,8.17846100390469,7.47502097725772,6.34777923481336,8.73270674462717,6.46317253677324,7.45047467317654,8.5616826401881,7.85166354015395,7.46954881481145,7.11221307356566,7.00771121677807,6.94133335163708,6.64686205926566,7.3549359449801,6.99361749316052,6.92482012399472,6.74605502750074,8.5616826401881,6.77824986619449,6.28125045354567,7.96499226770566,8.12611495316334,6.83502652837301,6.69297921030544,6.58973418206727,6.41044664617417,8.98597098469894,6.96430069766859,6.6719010243541,6.70291746184413,7.34695556684011
201648_at,8.34070980265481,8.49933961397504,7.88018905885906,7.32323523535156,7.19172836825175,6.88000972443373,6.97404381707059,8.42601302309587,6.01771030879241,6.54567137306841,8.35414265168301,5.67349470870761,7.55287072868902,5.44184576296822,6.35712780385046,8.01827471169147,6.68953901050523,6.94986118283412,7.08414052239313,5.67372979718047,6.28922833192662,8.67947725212433,8.675953859024,8.89222342114338,8.623549459404,8.38310665443746,7.64064635253585,8.07478812965538,8.60466400533628,8.44449411002706,8.20882529454824,8.63022293636273,7.03654508843666,8.10779267425778,8.46892473469249,8.13828878115821,8.14695499369406,8.45277009051705,8.69376023766097,8.70445825720086,8.24991794215483,7.82704126480386
201700_at,8.14042039827314,7.9900939049837,7.87491908119997,8.03591180063665,7.7833875016381,7.94348249173522,8.28081206851789,7.95097810532156,7.48344817784507,7.90126490651759,7.74105034021396,7.05960067211448,8.13711365751093,7.13309342338549,8.2673989191731,8.6376805260583,7.59268258320991,6.58402399436637,7.57354976910506,8.59588864489639,7.79993555079092,8.23718855407342,8.37592128757421,8.20972079796681,8.27859619747016,8.176621664278,7.63916708185153,8.16395300581044,8.12547769430898,8.10478045879536,8.12570260118338,8.08792403629834,8.3287934160083,8.2167794794342,8.24233301163196,8.34519692990413,8.36507135340412,7.99923296257909,8.1914674090368,8.32289177733405,8.13314008286834,8.16656577970487
201887_at,9.32491261942688,9.05186851505344,8.88054352456098,9.57378596590224,9.18648389664987,8.5246874236467,9.42847293895813,9.49495689439308,8.98086395424905,9.36698375710777,9.49374852699986,9.09527056216529,9.64742177372698,9.46462816993482,9.49144706309755,9.66895600220322,9.84559265008775,8.81559859239107,9.94322528331908,8.63647226740691,9.2900500507404,9.51828228285278,9.68900435150082,9.7652805275943,9.32079543806748,9.44531907065917,9.43293089592762,9.47397473211361,9.53306259090313,9.50395443733293,10.0348074090001,9.54999327629686,9.83917583115279,9.38132131495155,9.61927646089222,9.88791091951562,9.38349105313867,9.82732074550022,10.0895575712607,9.55968851329064,9.49144706309755,9.41428458731496
202221_s_at,5.83969786419561,5.16633470860334,5.2319658956571,6.04408010416602,4.6091305161081,5.05585600366664,4.93884157297569,5.56070820291381,5.37480721564538,4.81499204258111,7.7419744008005,4.74884895597371,5.85250586274692,4.57558804686895,4.72691049524324,6.13614754998292,5.02021160976722,4.95281118481907,5.00134860316775,4.63718202042662,4.88814301300213,6.98013613410377,6.86917762177336,8.56383459198862,7.92166016952436,7.53095593215354,5.70169816990606,7.40624308847872,7.94189357838349,7.95328426877731,7.97015893534727,8.73636770702759,7.1263047637706,8.91601722802142,8.74947384764586,8.73575434571893,9.76879075025655,8.37805041137567,8.61457988890514,8.37341300575341,8.26036425940581,8.03505124764807
202284_s_at,8.8641025047584,9.66737737385528,8.66591636134537,8.46572098187202,8.88780065749362,9.06620397459312,8.90002338621208,9.01601624409565,9.08801833763392,8.69019858942662,8.7786663841251,9.8215670432124,8.78982533413327,9.1952583811202,8.34109980959391,8.9063863935098,9.27634277926259,8.54810225513844,9.39131904885942,9.87741868729897,10.126518540587,8.25123675000733,8.46002328804108,8.27286056854225,8.46467718120725,8.5246874236467,8.54753966295715,8.51204613279277,8.79685966276895,8.94098077925992,8.28977644615255,8.54879965188188,8.55371177986095,8.39207129093047,8.42239799872509,8.45078557368048,8.39048118001955,8.48056021644778,8.63986670152801,8.79460958471431,8.86698849795414,8.98835841373141
202288_at,9.21873067720768,8.97349624666742,8.35560928707946,8.78176872893253,8.12654146286205,8.66451798512475,8.75892503277432,8.8474912252682,8.20498972760093,8.66591636134537,8.96707611727954,8.41527979202973,9.13803387995616,7.05661915067784,8.58368724645528,8.63486149722148,8.52969496735305,7.75746672820009,8.97753702344507,7.76953561953428,8.43433815047046,9.29115122684324,9.38462788003588,9.31004680905309,9.39590113984521,8.91916617226706,8.21735203666742,9.47275537298602,9.23084834183583,8.99829108672258,9.27273709217174,9.27457671256035,8.78916074791446,9.21978175765212,9.28199461430811,9.14967623795755,9.22437739266867,9.15892948760111,9.0687322813354,9.24339234135083,8.78328848253163,8.9629338803803
202431_s_at,9.06436997839015,8.60193987261904,9.7559809194893,8.61624207436848,9.14687686795988,8.74594751569384,9.31648225005287,8.96917054325887,8.59527173413395,8.76789415744628,8.89839878358499,7.62021228538892,9.33057356297475,9.25857577707495,8.70753465414111,9.62642551671206,9.11589903625881,7.34725028758909,8.73459244610655,8.70691874805057,8.4012923198773,9.1715404985739,9.14176907403749,9.42786430005241,9.17963731070536,9.6970228982506,9.50864754359196,9.08504779170462,9.28810219930538,9.35649709709656,9.27536776402404,8.93335479713934,8.87013846624701,9.13620601276707,8.91916617226706,9.38582696515424,9.07865580216049,8.82263608111557,9.15160070564165,9.22987989982522,9.75432821135429,9.7275321375149
202743_at,6.31661202064071,6.11321723205342,7.00718240388054,5.56291596810523,5.10435166539281,6.84795707019878,5.18009967372708,5.49154454855149,5.98321472031419,6.15897709439713,4.91674962014745,5.69746973408975,6.48932759304414,5.92373460731498,6.10284534761919,5.51177005193123,5.4548919470546,5.74682750458534,5.97827877892188,6.05833894258515,7.20443733650353,4.86377059310371,4.93624501154025,5.39454546645058,5.17753917827474,5.06218774980013,5.17885323973297,5.13881339387507,6.20951908033111,5.18296473109325,5.50970099525195,5.60734363767893,4.94161793055862,5.39987982102011,5.34065623548376,5.79791409508603,5.50313482500843,5.65560808877546,6.19183685331447,5.68224170546365,5.85452748902654,5.56783129977747
203035_s_at,8.9629338803803,8.99758794417057,8.56240566176128,8.16264887878808,9.02023759425156,10.3872123480519,8.25853701662002,8.06832163513329,9.51156059884095,9.1290474302775,7.14715972194364,10.0045729622142,9.39240105458469,9.86448164651904,10.2894053993641,8.94341318702875,9.32954780907878,6.50795449761191,8.55811939285483,9.2424271889731,11.2178633776212,7.79376500027965,7.96049426488269,7.79763815315208,7.67276945801201,8.20525015267748,7.63486992493904,8.17300990465837,8.21537501620482,8.44394588122928,7.98443792449823,8.03191217250652,7.5819646666632,8.6188032358321,8.56969779527734,7.95725741337042,8.41007187085775,8.36755442759416,6.25658924372059,8.23199706873417,8.14311626742961,8.12405193736105
