,GSM185812,GSM185814,GSM185816,GSM185818,GSM185820,GSM185822,GSM185824,GSM185826,GSM185828,GSM185838,GSM185842,GSM185844,GSM185846,GSM185848,GSM185850,GSM185852,GSM185854,GSM185856,GSM185860,GSM185862,GSM185864,GSM185811,GSM185813,GSM185815,GSM185817,GSM185819,GSM185821,GSM185823,GSM185825,GSM185827,GSM185837,GSM185841,GSM185843,GSM185845,GSM185847,GSM185849,GSM185851,GSM185853,GSM185855,GSM185859,GSM185861,GSM185863
200059_s_at,10.8945802286798,11.0101442007068,11.0407707681984,10.8414787822818,9.68139428327192,11.2064540778157,9.80912830150145,10.7203275739089,10.3040925394653,10.9096896471265,10.8414787822818,8.95412773893321,10.6210410141604,9.28317020943269,10.3140414798351,10.8073558383232,9.57226185292714,9.55253470647392,10.6564611213581,10.122645167795,10.4224484209967,10.8183786859855,10.9568824542758,11.0155077927337,10.8843418322828,10.5058639948541,10.5206774851591,10.9931531562131,11.1490097212141,10.9395181521299,11.3231059757396,10.9431388556139,10.4562300427345,10.9096896471265,11.3510776180597,11.2748977954886,11.0155077927337,10.9931531562131,11.2748977954886,11.1896028922686,11.103947658583,10.9671578978906
200951_s_at,9.33491684444324,9.11589903625881,9.44308256827936,9.16589987294471,8.66911210229074,9.31455192955571,9.23282472075835,8.85953286996324,9.13251042731711,9.37061402316444,8.52592310073354,6.37329865274974,8.79826326407174,6.53607392164332,8.97753702344507,9.13154306349826,6.03444617208265,7.73085797560091,9.47275537298602,8.99829108672258,9.58937970719136,8.57918882332715,8.23235943939785,9.12646506461638,9.04860272616531,8.80242155003782,8.16444238459993,8.7854546726309,9.27753386835362,8.84683923818194,9.23711917602376,8.52687253473,7.71329494726756,8.70753465414111,9.13334171986586,8.82692261757133,9.11128528100078,9.36334990790309,9.3900898579409,9.16215688406831,9.4467195805058,9.47671755418182
201218_at,8.34070980265481,8.49933961397504,7.88018905885906,7.32323523535156,7.19172836825175,6.88000972443373,6.97404381707059,8.42601302309587,6.01771030879241,6.54567137306841,8.35414265168301,5.67349470870761,7.55287072868902,5.44184576296822,6.35712780385046,8.01827471169147,6.68953901050523,6.94986118283412,7.08414052239313,5.67372979718047,6.28922833192662,8.67947725212433,8.675953859024,8.89222342114338,8.623549459404,8.38310665443746,7.64064635253585,8.07478812965538,8.60466400533628,8.44449411002706,8.20882529454824,8.63022293636273,7.03654508843666,8.10779267425778,8.46892473469249,8.13828878115821,8.14695499369406,8.45277009051705,8.69376023766097,8.70445825720086,8.24991794215483,7.82704126480386
201219_at,7.80071021606845,7.1512417842422,7.66844767269601,7.77714531770073,6.39875419218183,8.05421641447838,7.56631482763742,7.87600430929438,7.83946964127608,7.90556174626454,5.78806578489681,6.3000732568557,7.50815533582755,6.10572822137423,8.19271637787854,7.7413646801348,6.82331398077481,5.78553594423696,7.54185957519381,7.87081188765836,7.64035117767713,7.83735062267745,7.85000499998902,7.91513411077096,7.89633197385539,7.41941660977374,7.40784316668173,7.74068992596288,7.68778015555992,7.34370189527931,7.66376057922108,7.01931067284196,7.08487598479029,8.01223039771034,8.2132728998708,7.91475771306634,7.68739522604759,7.69891938564128,7.68351818233997,7.55053455939883,7.46201004248518,7.63189366627137
201533_at,4.09491841792478,3.79880923277662,5.08999863513526,4.48805490675476,3.93405291045628,4.54409456105497,4.30650897254173,4.10584752897504,4.72668288831131,3.96008679926303,3.57992355496832,3.63129675114851,3.95439639115382,3.44034072253208,4.40073091145273,3.98713496324722,3.34328069538255,3.55609873288395,4.5159193460156,5.07684797795608,4.5390096937608,4.10387685865282,3.91645660781103,4.26668314994181,4.0060844012916,3.82577055861456,3.82977712369991,3.89728863633133,4.08042287786284,3.89964047860074,3.68185607411327,3.65613040868836,3.63792283004454,3.82788426315915,3.95131290610855,3.69456890430813,3.75865425913228,3.73771521458751,3.95562235480524,4.26180042986291,3.93495264461192,4.05642072829345
201700_at,9.61194013564282,9.40879249999269,9.72159525230599,9.75125833516095,8.92430431581312,9.90891638160407,8.98684466697091,9.37329728888239,10.3247889481426,10.0792614710802,9.51550601186295,9.40661633019496,9.51275328390274,9.59611471023453,10.0230507058505,9.38132131495155,9.67224821452398,9.45551426705471,9.34746615975223,9.53030205432019,10.2598204006726,9.1598958070736,9.03930832440093,9.49495689439308,9.18963562811278,9.21665913029261,8.83114514680466,9.17544121892867,9.21367404319489,9.48880540984498,9.58656667346734,9.19248202672942,8.88420844108683,9.28199461430811,9.26846518712805,9.49020134181277,9.30327587369269,9.47161330562494,9.67537541246397,9.40998305558442,9.54999327629686,9.67831041325487
201868_s_at,7.10920201915432,6.95116389236746,7.1395794809362,5.45628371532481,7.36045084544991,5.848105037066,6.63229092013902,6.37923923192699,5.52757453849097,5.65071777459444,6.44540101617905,6.22604800149132,5.88189308465917,4.92389202579212,6.42710807635286,5.94222401645171,4.66103627862265,3.83762623400912,6.15343667921611,5.55444413418582,7.05517847185249,7.13681255403441,7.1730297714922,7.91621828384302,6.83289861804934,7.17571934168908,6.87906336623286,7.99811232185396,7.8946748551714,6.25740041496628,6.8529482339462,6.83616088292097,5.40188882243978,7.18571955358752,7.22532070408192,7.4261010505304,7.94609845146235,6.08427216529116,7.00464548754943,7.56075455632548,6.17373951280115,7.49655921759365
201907_x_at,9.70179409082343,9.36820885977883,9.07334052607373,8.60595860061417,9.32173254384861,9.55555250713225,9.74457316191615,9.41769102964481,9.39590113984521,9.23084834183583,9.27379330037743,9.24643655231567,9.49729990312892,9.47397473211361,9.84559265008775,9.28002272075801,8.55034936845471,8.4301250176978,8.79322632979483,8.31090755904497,9.31648225005287,9.21042112584432,9.44935633073614,8.71144478919597,9.10534422285356,8.75343371215786,9.41891981318302,8.93951677270951,9.28530845286055,9.57965013468455,8.86487670646041,9.22211315454257,9.30540907474137,9.43033725509158,8.87087947889413,9.19628304752596,9.77054749492261,9.15160070564165,8.60967614701014,8.7811629950276,8.67039387047184,8.46953290051613
201908_at,6.01545334828771,6.458965794006,6.29026563970186,7.04427125079469,6.25546154065593,6.8852424166492,6.32279361754398,6.5616281636759,7.56921203912003,7.34062099599885,5.81939639196478,6.0304130475893,6.12105733261795,6.02343932863006,6.99856485678696,6.80274223529412,6.16429786011425,6.78148674744175,6.20983912482289,7.34663810822805,7.44751540698112,6.23048167458131,6.20549766092351,5.99473603074476,6.09105035209868,6.37022099268108,6.07059682535094,6.07509877336924,6.0329300435054,5.9978972269519,6.72249219795927,5.89294343037477,6.00745103357158,6.01748378092009,6.20530562370561,5.8923746502593,5.93574699131417,6.37477331197083,6.32937604502444,6.10239061428148,6.62056384581768,6.15130004217952
202035_s_at,9.06436997839015,8.60193987261904,9.7559809194893,8.61624207436848,9.14687686795988,8.74594751569384,9.31648225005287,8.96917054325887,8.59527173413395,8.76789415744628,8.89839878358499,7.62021228538892,9.33057356297475,9.25857577707495,8.70753465414111,9.62642551671206,9.11589903625881,7.34725028758909,8.73459244610655,8.70691874805057,8.4012923198773,9.1715404985739,9.14176907403749,9.42786430005241,9.17963731070536,9.6970228982506,9.50864754359196,9.08504779170462,9.28810219930538,9.35649709709656,9.27536776402404,8.93335479713934,8.87013846624701,9.13620601276707,8.91916617226706,9.38582696515424,9.07865580216049,8.82263608111557,9.15160070564165,9.22987989982522,9.75432821135429,9.7275321375149
202037_s_at,4.99404101583125,4.51671430068119,5.46406357340487,4.89631563293012,4.29862541411226,4.89592327706157,4.30071346641786,4.58639570256841,4.09718525647151,4.04480567863802,4.07521247725321,4.09938980443787,4.26180042986291,3.93590946039508,4.08643940519,4.12007556781831,3.98981686984708,3.83430410375685,4.7259800007915,4.54409456105497,5.44754772813752,4.09668889627902,4.05906734639504,4.63841152306847,4.03809454671834,4.18649025604767,3.98237644587405,4.03546302934316,4.80993459198638,4.11756498904951,4.48447858021846,4.49446761149113,4.3154341921835,4.09174645197377,4.09851825405825,4.17806347870571,4.15244429920594,4.38626864075688,4.47648897350155,4.54463024778453,4.62186668196903,4.72486017680245
