,GSM185811,GSM185813,GSM185815,GSM185817,GSM185819,GSM185821,GSM185823,GSM185825,GSM185827,GSM185837,GSM185841,GSM185843,GSM185845,GSM185847,GSM185849,GSM185851,GSM185853,GSM185855,GSM185859,GSM185861,GSM185863,GSM185812,GSM185814,GSM185816,GSM185818,GSM185820,GSM185822,GSM185824,GSM185826,GSM185828,GSM185838,GSM185842,GSM185844,GSM185846,GSM185848,GSM185850,GSM185852,GSM185854,GSM185856,GSM185860,GSM185862,GSM185864
200059_s_at,10.8183786859855,10.9568824542758,11.0155077927337,10.8843418322828,10.5058639948541,10.5206774851591,10.9931531562131,11.1490097212141,10.9395181521299,11.3231059757396,10.9431388556139,10.4562300427345,10.9096896471265,11.3510776180597,11.2748977954886,11.0155077927337,10.9931531562131,11.2748977954886,11.1896028922686,11.103947658583,10.9671578978906,10.8945802286798,11.0101442007068,11.0407707681984,10.8414787822818,9.68139428327192,11.2064540778157,9.80912830150145,10.7203275739089,10.3040925394653,10.9096896471265,10.8414787822818,8.95412773893321,10.6210410141604,9.28317020943269,10.3140414798351,10.8073558383232,9.57226185292714,9.55253470647392,10.6564611213581,10.122645167795,10.4224484209967
201195_s_at,4.62619047492921,4.77120648254503,4.49646125707321,4.76991381299937,4.86680104097205,4.71887423028779,4.81802577301681,4.68117253817271,4.94189235681501,4.58432831651075,4.64398177547957,4.66234006606011,4.67389183980803,4.60066085179889,4.67128578128971,4.61789103482783,4.68198981767287,4.80429085732206,4.7633081993197,4.66470719120957,4.7639890177525,4.6644488146666,4.83359802595334,4.68738524729712,4.87838438166587,4.76102868090596,4.72971452628022,4.68500603340474,4.69550932138785,4.73622070536419,4.63810805312508,4.88325302724328,4.59728534466778,4.6216934427069,5.16707648973727,4.76166293920143,4.61112365782257,4.81048325588163,4.5633198749669,4.75480058626984,4.92130985140978,4.81137742278533
201244_s_at,8.07974855294954,7.90090366856682,8.29951076028886,8.13965445856567,8.53830091754167,8.06049870308056,7.83654988910239,8.22284783020643,8.48320442845712,7.81940084940091,7.90624139349198,8.44063283374099,7.87943646852858,7.65268430372096,8.017009776292,7.98249605190126,7.97447424917216,8.15015392320024,8.31878366584616,8.38364197203583,8.22686144028988,8.12790143684855,8.49399993763507,8.37230508727548,8.42498634102195,8.48056021644778,8.0662719545984,8.14042039827314,8.26795167930793,8.60724425596126,8.41527979202973,7.84466546184986,8.72230976383397,7.76067898451304,9.63818684297493,8.2187586703493,8.01625445320365,8.33196191631302,7.90701370406503,8.61565948244314,8.39309556716663,8.28029766946085
201254_x_at,8.58368724645528,8.7025907464317,9.14687686795988,8.63201614178352,8.67330153894783,8.20551057775403,8.74594751569384,9.74966749935641,8.34070980265481,8.51041997357826,9.09607780832778,8.32733645990101,8.88846599564109,8.91601722802142,8.79058086901981,8.76994547519182,8.74126088899851,9.31864918705975,8.9292860606313,8.96018478673329,8.96187151562456,9.20648617770238,8.76233733199555,8.74947384764586,8.77335548662507,7.85839751658283,9.00003690960272,8.22471653266862,8.54688312031824,7.66570667989302,8.19271637787854,8.91438289046316,7.35828000490559,8.10189941245583,6.78510623667884,8.28870592499979,7.9737200781938,8.57918882332715,7.09933686320207,9.03299679195913,8.41884964726348,7.72212473757277
201435_s_at,6.01008407980778,6.32450981254579,6.43239234489124,5.97977590068009,6.16344006750058,6.47994988992835,6.31275199656252,6.39335159674266,6.65657044382223,5.82697712479211,6.25546154065593,6.37351794258569,5.87859050771613,5.70101931505455,5.83633646688948,5.82225477490145,5.74096520212398,6.23217967792593,6.32565858381,6.53334095014395,6.3904759952555,6.82003761754299,6.48651559866648,7.56330388466194,7.34046991653752,6.98973418320159,7.42995993916375,7.63189366627137,6.56997189979044,6.75713401900942,7.29951090364741,6.90617091319681,6.94849735609596,6.70911331586979,7.39902335334361,6.5095745725143,6.0940949473881,6.56072920785914,7.11405463359022,7.12328008282893,8.25566793693072,7.95955931705017
201436_at,8.23718855407342,8.37592128757421,8.20972079796681,8.27859619747016,8.176621664278,7.63916708185153,8.16395300581044,8.12547769430898,8.10478045879536,8.12570260118338,8.08792403629834,8.3287934160083,8.2167794794342,8.24233301163196,8.34519692990413,8.36507135340412,7.99923296257909,8.1914674090368,8.32289177733405,8.13314008286834,8.16656577970487,8.14042039827314,7.9900939049837,7.87491908119997,8.03591180063665,7.7833875016381,7.94348249173522,8.28081206851789,7.95097810532156,7.48344817784507,7.90126490651759,7.74105034021396,7.05960067211448,8.13711365751093,7.13309342338549,8.2673989191731,8.6376805260583,7.59268258320991,6.58402399436637,7.57354976910506,8.59588864489639,7.79993555079092
201452_at,5.35919832873101,5.30806588301336,4.72389662718353,5.08620188205214,4.93667310139528,5.49434428622293,5.26829746910276,5.04393452528112,3.96134421808649,4.79455956515688,4.88750367731199,4.59093380212385,5.28263107753389,5.43044558607252,5.0797908693804,5.28014149756492,4.9203904308405,4.72142071700094,4.98639186519755,4.66357528513421,4.54769369551793,5.16522131640766,5.34238632978478,4.9504181115599,4.64944237816812,5.80082282596834,6.20166607463467,5.81344876983488,5.6330536622317,4.52598226795886,5.23246062824854,4.53133318896157,4.22272201896991,5.04244461541335,3.91740400010439,5.14148727761795,4.78939347623883,4.2679009952319,3.91960165821744,5.21098802589511,5.0892848571362,4.67371120052912
201628_s_at,4.16532803387668,4.53512498576593,4.77196130828136,4.2204967824772,4.4978948577881,4.58216949786755,4.34440245001856,4.55990158053748,4.86582489283721,4.04627637207786,4.62763856822766,4.29809200017065,4.10664690331124,4.21998276580203,4.40370036566085,4.29862541411226,4.05930312213447,4.18930890873313,4.58360116237568,4.44829907149533,4.75427252779767,4.43584764956306,4.37705096516227,4.62024616075519,4.53807431302158,4.33929804804035,5.07395843426642,4.48197600201504,4.23939900162709,5.27480690800888,4.30177954061554,4.87043398057567,4.33929804804035,4.12867912364754,4.21699331015033,4.33803519798665,4.33336513307644,4.33898613797382,4.5174456245229,4.35750272415789,4.66564866199095,4.7481730252017
201971_s_at,8.82263608111557,8.79322632979483,8.88704355833209,8.90986750730178,8.60650650127852,8.41298147952841,8.94858536585833,8.96525600114195,8.93335479713934,9.22767203858366,8.47451562812345,7.94041067414531,8.79971445697036,8.90412944184959,8.69054655791347,8.63022293636273,8.72579317337814,9.14438171186426,9.13154306349826,9.09898365069973,9.02104990197268,8.56535541919521,8.47007333232112,8.53447999638001,8.81921425274259,7.54058529527582,9.07044729367941,8.47910571059739,8.44219223947535,9.03299679195913,8.50160084617736,8.57029253917857,7.23559128611795,8.45625401162452,7.4617082599191,9.14485358252281,8.5849492053372,7.78235738875525,7.67341530101603,9.27536776402404,8.29273129434579,8.45976962461675
201972_at,10.5151267307258,9.64876409185986,10.9195247464917,9.94485965893315,10.9195247464917,9.55413370129069,11.0407707681984,11.2814311680234,10.6709164096657,9.79376626559609,10.7481480546122,9.78889592285447,10.4997365861798,9.46594129801467,11.3677434241992,11.173267654359,9.70179409082343,9.98961030909319,10.6341180479189,10.3591055408476,10.7720075135874,10.2894053993641,9.76075564418306,9.50864754359196,9.58250337951949,9.1598958070736,9.33590556908144,11.3677434241992,10.0792614710802,7.59642086448222,9.63537916252973,9.91554683101976,9.07967803888521,9.18453240981347,7.31799326010286,9.63537916252973,10.1758269373764,9.7380785345535,8.27286056854225,9.81077774560294,8.83199793819048,8.63393707854913
