,GSM185811,GSM185813,GSM185815,GSM185817,GSM185819,GSM185821,GSM185823,GSM185825,GSM185827,GSM185837,GSM185841,GSM185843,GSM185845,GSM185847,GSM185849,GSM185851,GSM185853,GSM185855,GSM185859,GSM185861,GSM185863,GSM185812,GSM185814,GSM185816,GSM185818,GSM185820,GSM185822,GSM185824,GSM185826,GSM185828,GSM185838,GSM185842,GSM185844,GSM185846,GSM185848,GSM185850,GSM185852,GSM185854,GSM185856,GSM185860,GSM185862,GSM185864
200779_at,7.0051585403983,7.74606695023197,7.54106909439007,7.05304861517589,7.85000499998902,6.97454334068024,7.35738836957924,7.79091678081885,7.05201554305665,7.04745544291311,8.13880818234942,8.36210827051881,6.86518132876251,6.90513621550463,7.14690618554667,7.68351818233997,7.94944246434163,7.58793718416083,7.16342207383807,7.12149587750693,7.37274075400013,7.91581659551403,7.97531022099162,7.94453148499839,7.74165001541826,7.80719442910855,7.99123531522548,7.08851694587294,8.12917343305439,7.79614788528103,6.90436611476868,7.85661213192915,7.11355417515992,7.33863005879795,6.79771207561343,7.62301771444437,7.66728600747014,8.70070748075225,6.96513533544375,8.06273737438475,9.6970228982506,8.38697869492296
200783_s_at,10.2625754888425,10.7020490340135,10.2625754888425,10.1288630715375,10.3247889481426,10.2103326275463,10.5304102402414,9.93792470346322,10.3140414798351,10.0876257955576,10.1380821775269,10.5058639948541,10.3964106104602,10.0935209177276,10.2052825638869,10.3964106104602,9.89952790379366,9.86826222008481,10.2625754888425,9.90690506959952,10.122645167795,9.61927646089222,9.86448164651904,9.67537541246397,9.89816838884793,9.86650700829808,10.1048930668513,9.87912116778132,9.6970228982506,9.64140823327304,9.61031694922758,10.4673336428318,10.2306568869998,10.0833850790261,9.98961030909319,9.88284577145384,9.79570186676247,9.79927659023722,10.4997365861798,9.40569479748289,9.28917977701055,9.51401578683916
200799_at,6.43526268137448,6.66709021180778,6.28533167577499,6.32450981254579,6.40014695649669,6.65942399395209,6.45085036520573,6.42478778949658,6.06762529277881,6.68612150417154,6.24224563578904,6.26124755251345,6.2922155692982,6.51135312039162,6.42534598845971,6.4358151079054,6.30230479868668,6.43168920471926,6.37372149700707,6.53070643173518,6.42947272846976,6.45526887707532,6.55401039851546,6.74985422455387,6.8754877134188,6.48981294398544,6.92088032489453,6.40127073423991,6.68930621339669,7.8256631039176,6.64839491570209,6.61745804813716,7.33163405606592,6.60271225433996,7.33163405606592,6.95063333473623,5.87515126425901,6.53239146807016,6.68440268785687,6.90263745233576,6.89793873545632,7.16044482859375
200833_s_at,6.97966908669914,6.8030845320456,8.17207842870585,7.47473592782244,8.41458521520865,7.77423877825951,8.89761249272555,7.21066138137363,6.87164970308444,6.83457166787995,8.55997582360953,7.41724968486342,7.84394199140487,8.15112275780306,7.56367897314997,9.29765826323756,7.49123908399063,6.23003994233101,6.88164925438671,7.37001135857042,7.42873046426321,7.79873903937721,5.67655829037452,9.61031694922758,7.53608128713899,7.16132909828321,8.51842742440302,7.15632213769923,7.07575828774748,8.15851204253295,7.32175253173661,6.94798210970274,7.5819646666632,7.54934928546972,6.77078412674736,9.20648617770238,7.47818598865817,8.09412840631611,7.28556357783237,6.35187984004803,9.11694081565335,8.96835034814481
200859_x_at,8.00328744484863,8.27144738938878,9.00250183715171,8.9610055576799,9.51275328390274,8.48004373869337,9.52517967303616,8.48760967837688,8.8784566392954,7.98611120156782,9.51401578683916,8.08135800059701,8.68822619458374,8.83697354757167,8.28470114325156,9.87203266830273,7.97304136913293,7.95725741337042,8.60908623415725,8.77263333686952,8.90844788643351,8.75225203132251,7.70857728944587,10.5410019468163,8.75663821056046,8.60193987261904,8.79685966276895,8.14373339507334,8.29708253684216,9.54843510453812,8.48713088658898,7.79433679938168,7.44987269235952,7.58510699920242,7.42440225247909,8.81648861056532,8.02357681657781,7.56042359182841,7.55421126283405,8.50987422320205,10.7438909024203,9.95804603516074
201044_x_at,9.53179376210292,9.50517064417939,9.62228520385241,9.74966749935641,9.70516944188949,9.54133054486258,9.67537541246397,9.82732074550022,9.36939285815401,9.38132131495155,9.19157607007222,9.08278414603406,9.45287130774994,9.45408817849815,9.79376626559609,9.90117339180237,9.59479367852715,9.56359602924036,9.78889592285447,9.78024277812585,9.77543799721333,9.28199461430811,9.21178451743526,10.8367590518288,9.26451005249523,8.78680053926292,8.98919697703325,8.89072560965354,9.39334282915227,8.72294737512622,8.81131120767914,9.32601101251102,8.28285827521544,9.43293089592762,7.54619911538267,9.30878276371418,9.04860272616531,8.84240073202837,8.38204229401869,10.3997889445278,8.61516130416194,9.09719637610115
201460_at,8.57207208370229,8.70387159182976,8.82692261757133,8.76233733199555,9.28917977701055,7.83260324301818,8.63393707854913,8.7501084575186,8.96707611727954,8.90246477555186,8.98919697703325,8.67160179290536,8.97586609609472,8.01202394612381,8.99419059255012,8.73779847177959,8.89524337845172,7.90932058490977,8.43433815047046,8.47159344043972,8.51333701191916,8.8784566392954,8.77731109489851,7.8895922932765,7.91552931755537,8.11931885470808,7.9737200781938,7.85104610303202,8.95081842992222,8.74594751569384,8.09213374113951,8.44219223947535,6.86015404659245,8.03342683289556,6.13926536679289,8.17529541537363,7.64229347008628,8.08792403629834,6.19935898867717,7.83698017941742,8.63705891460578,8.78057892232603
201465_s_at,6.53965205781635,5.95698013108881,8.35606938431569,6.04085985647639,6.79936973028852,6.132087643363,6.55624532414137,9.11304479113916,7.27891320279269,7.09099841089598,7.41778678851294,5.96614367348659,7.35796187313288,6.84858658160034,7.34213991134154,7.73345688853244,6.99631488606342,8.39309556716663,7.36107553182763,7.46920452090142,8.54567273914642,8.22686144028988,5.9457256273191,6.56391294947555,5.7820928678204,5.681792940184,5.92551037292972,6.01771030879241,6.08247317039987,5.66203345563158,6.26253761187621,6.86567361654014,6.02766736217131,5.75056840588285,6.32159856664,5.99223967999631,6.9694885078317,5.8886342346036,6.13488823579773,5.43705245126457,6.87363502166012,6.62748469311134
201466_s_at,8.23718855407342,8.37592128757421,8.20972079796681,8.27859619747016,8.176621664278,7.63916708185153,8.16395300581044,8.12547769430898,8.10478045879536,8.12570260118338,8.08792403629834,8.3287934160083,8.2167794794342,8.24233301163196,8.34519692990413,8.36507135340412,7.99923296257909,8.1914674090368,8.32289177733405,8.13314008286834,8.16656577970487,8.14042039827314,7.9900939049837,7.87491908119997,8.03591180063665,7.7833875016381,7.94348249173522,8.28081206851789,7.95097810532156,7.48344817784507,7.90126490651759,7.74105034021396,7.05960067211448,8.13711365751093,7.13309342338549,8.2673989191731,8.6376805260583,7.59268258320991,6.58402399436637,7.57354976910506,8.59588864489639,7.79993555079092
201537_s_at,3.1384897824619,3.42142519297544,3.85084548240902,3.5464382434779,3.55100724413443,2.96415522599028,3.58124830440318,4.3262292769658,3.76917146590836,3.6551716135567,3.71497885902316,3.76551830798643,3.98421762875976,3.82916818351051,3.83696778218851,4.23091688704533,3.6656107921992,3.661218664386,3.94456250805551,4.0865452663742,4.08719774064357,3.78309552586916,3.9858709329032,3.86706443949826,3.97873226197298,3.07551908507119,4.06361811224869,3.28963417224509,3.79507834734906,3.89357475356141,3.82664720669785,3.59377689872929,3.67369566552456,3.77184826106912,4.64696501726467,4.02359755148738,3.88660735169577,3.77039843282948,4.16807047861537,3.90520799035292,3.83623093065234,4.35007667756373
