,GSM185812,GSM185814,GSM185816,GSM185818,GSM185820,GSM185822,GSM185824,GSM185826,GSM185828,GSM185838,GSM185842,GSM185844,GSM185846,GSM185848,GSM185850,GSM185852,GSM185854,GSM185856,GSM185860,GSM185862,GSM185864,GSM185811,GSM185813,GSM185815,GSM185817,GSM185819,GSM185821,GSM185823,GSM185825,GSM185827,GSM185837,GSM185841,GSM185843,GSM185845,GSM185847,GSM185849,GSM185851,GSM185853,GSM185855,GSM185859,GSM185861,GSM185863
200951_s_at,5.42009423475607,5.74268152139705,5.50441354795688,5.29640564665539,5.46521716346653,5.24193485768031,5.08949035823032,5.49620002970692,5.37434557861383,4.99094421268275,5.1944593802945,5.41914526924493,5.52690859257017,5.17718877610993,5.16540391859435,5.37846997000715,5.31650220526836,5.9353503742985,5.26187435849245,5.34213040226692,5.25967161581235,5.11127176252208,4.98455825800273,5.03347643337813,4.94307535535543,5.3071195807252,4.85180502990321,5.12967202830442,5.36671151044438,5.64624522344765,5.15896659697044,5.08355050284464,5.13900935964421,5.2731975684664,5.24122463737033,5.02683946234446,5.15804258714875,5.75589409946612,5.27060830232826,5.14224950300627,5.51212907730894,5.55700614239378
200952_s_at,4.74862034659937,4.63487775542527,4.73309145461355,4.81568570046672,4.84107103120219,4.68830911249168,4.52923355897754,4.49350620681378,4.46431315900462,5.16263731312492,4.39834112948492,5.01059960807174,4.73823849688796,4.94530733100503,4.8620932955007,4.69855644952541,5.00092993950241,5.22576781800353,4.44851843628097,4.63841152306847,4.55509846110734,4.70813510582553,4.53844477396342,4.83942067757001,4.73622070536419,4.66357528513421,4.45322994709654,4.88288290122045,4.92525762149492,4.66357528513421,4.84465474069648,4.90304127252517,4.63603145580208,4.84621289220376,4.7575945950576,4.85863899938581,4.50809362136703,4.88314413443722,4.66403655857086,4.55695073921584,4.69076542776293,4.55458012240413
200953_s_at,8.34070980265481,8.49933961397504,7.88018905885906,7.32323523535156,7.19172836825175,6.88000972443373,6.97404381707059,8.42601302309587,6.01771030879241,6.54567137306841,8.35414265168301,5.67349470870761,7.55287072868902,5.44184576296822,6.35712780385046,8.01827471169147,6.68953901050523,6.94986118283412,7.08414052239313,5.67372979718047,6.28922833192662,8.67947725212433,8.675953859024,8.89222342114338,8.623549459404,8.38310665443746,7.64064635253585,8.07478812965538,8.60466400533628,8.44449411002706,8.20882529454824,8.63022293636273,7.03654508843666,8.10779267425778,8.46892473469249,8.13828878115821,8.14695499369406,8.45277009051705,8.69376023766097,8.70445825720086,8.24991794215483,7.82704126480386
201107_s_at,4.63110272053593,4.48561767560184,4.48344021262679,4.3782284888726,4.22446183962612,4.33179352814493,4.36340175403427,4.38102389872581,4.36045286301228,4.46755894566163,4.20249237944382,4.87815368974716,4.48495325921555,4.5628406802121,4.82403354839007,4.30177954061554,4.51645998955905,4.30149934900579,4.45597372795311,4.7940469099374,4.55360376189264,4.36416360682188,4.2150897574736,4.19756236961184,4.45175823130132,4.48830214178146,4.28922242952717,4.34367178229339,4.55890439619861,4.2761767752991,4.36154530340707,4.62236049363816,4.76418379714688,4.35328626202795,4.21378271020037,4.36071980175657,4.32092354189671,4.41139238441828,4.2994142184476,4.54438360297731,4.55509846110734,4.83704141144136
201108_s_at,8.59291601257748,7.93573758633635,7.72826635959915,6.66270127775174,8.24324886129039,6.57781023215852,6.43450967357764,7.74165001541826,6.53837614573181,7.60989588556142,6.61286510096527,7.82198170698593,8.08792403629834,6.62748469311134,8.5880706158525,6.80828226221207,7.57016689263641,6.96209263289058,7.57049328206609,7.8025060835112,7.20087733391139,6.32020181014238,6.27635582333489,6.85794606719323,6.09278542298518,6.8890144965463,6.40331639926098,6.80747397975307,7.97755796603138,6.9707160611982,6.756156388592,7.66449253256817,7.04819246018424,7.02239278714861,7.03495459449359,8.27859619747016,8.3174249680966,6.9556025811055,6.92691279814933,7.20260610935505,6.92108993288539,7.68640882242211
201109_s_at,8.15851204253295,7.02032119283974,6.83011205207926,4.95172194675717,6.2570028457118,5.75320802301326,4.70088679194893,6.97559771115402,5.64188978552867,6.08375620080235,6.00853562136549,5.62142750869138,6.53633927884899,4.70463852815432,7.71604063840421,5.78933056768594,5.57112801256213,5.56505523921506,6.75829967808018,7.12989717583446,6.0053991646657,5.60585441648972,5.86041538685327,6.47209868580714,5.09334529006369,6.29529937091912,5.04206275023376,7.1669564260315,8.08013792893216,6.83222471660025,5.60512420254437,7.61920926878513,6.18932867346999,6.74432296524542,6.6372953247051,8.18309867147451,8.44449411002706,5.77484796842982,5.86262428653924,7.25494516220666,6.83756682605136,7.62301771444437
201110_s_at,8.44219223947535,7.65006600974917,7.09800009051093,4.99812052121655,7.04819246018424,6.57402017432453,5.59128985473238,7.89020052445628,5.94291379599175,6.51234823315362,6.55960127799668,6.73279066263919,7.31640356739857,4.8922756648097,8.60355166960966,6.63031685992157,6.23451939971506,5.56878176996229,7.45448938829712,6.75521229852437,6.12236890809069,6.35712780385046,7.12989717583446,6.85012680384741,5.41248891144246,7.56075455632548,5.21011634270912,8.26172356600093,8.02185836490965,6.95031010068115,6.37494444892845,8.1789707882553,7.10160581977415,7.77353910832327,7.24839419840306,8.55700678512022,8.75663821056046,6.55848910616573,5.72808259660555,7.38655454047255,7.03463331668801,7.15547392174822
201700_at,9.06436997839015,8.60193987261904,9.7559809194893,8.61624207436848,9.14687686795988,8.74594751569384,9.31648225005287,8.96917054325887,8.59527173413395,8.76789415744628,8.89839878358499,7.62021228538892,9.33057356297475,9.25857577707495,8.70753465414111,9.62642551671206,9.11589903625881,7.34725028758909,8.73459244610655,8.70691874805057,8.4012923198773,9.1715404985739,9.14176907403749,9.42786430005241,9.17963731070536,9.6970228982506,9.50864754359196,9.08504779170462,9.28810219930538,9.35649709709656,9.27536776402404,8.93335479713934,8.87013846624701,9.13620601276707,8.91916617226706,9.38582696515424,9.07865580216049,8.82263608111557,9.15160070564165,9.22987989982522,9.75432821135429,9.7275321375149
201746_at,6.84642403319987,7.03463331668801,6.86730703667617,7.46433078501618,6.3048095475507,6.82974512235537,6.16473254806071,6.91573365345338,5.26771579601371,5.61179194236723,6.89637414856628,7.92971053543626,5.7845230379259,6.8703513376627,5.49620002970692,6.37643874549019,6.46720516268133,5.88316366069538,7.32401055860983,5.889471687721,7.38249462199325,6.50795449761191,6.92404481833715,6.10572822137423,6.20128992705283,6.08887663018857,6.33790361042637,6.56048580461438,5.99125689427306,5.75849058994211,6.01086377920542,6.31956877297103,5.99325476812656,6.04690366444809,6.17793148263497,6.15199988849626,5.82072610871059,6.18486479656833,5.89580112730058,6.51296987490287,5.96456036214242,6.17141331520082
201890_at,5.08823383218794,5.30205953407784,7.29741437325587,4.97386215550398,4.75719036667914,7.95990922092373,5.05255858382533,5.72463957957669,7.71574358973484,5.34483777879855,3.69894589560858,5.9218253321076,4.61316366990678,4.23987527008161,6.90807458211742,4.20121201575794,3.67971377726007,4.52329834966444,5.84727252975463,7.34191283280273,6.90003861286358,4.42641030010422,4.19985887961307,4.01079284787376,4.00316893896166,4.1181143051385,4.30121302536263,3.93313628262122,4.03835391035065,3.89858924570205,4.02450041922549,4.41859458447148,3.70193728872999,3.85308949589086,3.71212047314146,3.91138304660819,3.99383696636436,4.19899691410632,3.94520572897619,4.03809454671834,4.34792149874031,4.25555105715629
