,TCGA.04.1343,TCGA.04.1349,TCGA.04.1517,TCGA.09.1659,TCGA.09.2048,TCGA.10.0928,TCGA.10.0938,TCGA.13.0727,TCGA.13.0730,TCGA.13.0757,TCGA.13.0758,TCGA.13.1496,TCGA.20.0987,TCGA.24.0975,TCGA.24.0982,TCGA.24.1548,TCGA.24.1558,TCGA.24.1565,TCGA.24.1567,TCGA.24.1923,TCGA.24.1928,TCGA.24.2029,TCGA.24.2033,TCGA.24.2288,TCGA.25.1317,TCGA.25.1322,TCGA.25.1323,TCGA.25.1329,TCGA.25.1623,TCGA.25.1627,TCGA.25.1631,TCGA.25.1870,TCGA.25.2392,TCGA.25.2396,TCGA.25.2397,TCGA.25.2399,TCGA.25.2401,TCGA.29.1701,TCGA.29.2432,TCGA.30.1856,TCGA.36.1571,TCGA.57.1585,TCGA.61.1724,TCGA.61.1901,TCGA.61.1918,TCGA.61.2016,TCGA.61.2109,TCGA.04.1332,TCGA.04.1336,TCGA.04.1338,TCGA.04.1348,TCGA.04.1350,TCGA.04.1361,TCGA.04.1364,TCGA.04.1367,TCGA.04.1371,TCGA.04.1525,TCGA.04.1530,TCGA.04.1644,TCGA.04.1646,TCGA.04.1649,TCGA.04.1651,TCGA.09.1666,TCGA.09.2051,TCGA.10.0926,TCGA.10.0931,TCGA.10.0935,TCGA.13.0764,TCGA.13.0791,TCGA.13.0792,TCGA.13.0805,TCGA.13.0883,TCGA.13.0884,TCGA.13.0886,TCGA.13.0890,TCGA.13.0891,TCGA.13.0899,TCGA.13.0900,TCGA.13.0903,TCGA.13.0906,TCGA.13.0908,TCGA.13.0910,TCGA.13.0911,TCGA.13.1494,TCGA.13.1817,TCGA.20.0990,TCGA.23.2078,TCGA.23.2079,TCGA.23.2081,TCGA.24.0979,TCGA.24.1105,TCGA.24.1466,TCGA.24.1545,TCGA.24.1546,TCGA.24.1549,TCGA.24.1551,TCGA.24.1553,TCGA.24.1555,TCGA.24.1557,TCGA.24.1562,TCGA.24.1564,TCGA.24.1603,TCGA.24.1604,TCGA.24.1616,TCGA.24.1852,TCGA.24.1924,TCGA.24.1930,TCGA.24.2020,TCGA.24.2023,TCGA.24.2026,TCGA.24.2027,TCGA.24.2254,TCGA.24.2260,TCGA.24.2280,TCGA.24.2289,TCGA.24.2297,TCGA.24.2298,TCGA.25.1313,TCGA.25.1314,TCGA.25.1315,TCGA.25.1318,TCGA.25.1319,TCGA.25.1320,TCGA.25.1321,TCGA.25.1625,TCGA.25.1630,TCGA.25.1632,TCGA.25.1633,TCGA.25.1634,TCGA.25.1635,TCGA.25.1871,TCGA.25.1878,TCGA.25.2391,TCGA.25.2398,TCGA.25.2400,TCGA.25.2409,TCGA.29.1697,TCGA.29.1699,TCGA.29.1704,TCGA.29.1768,TCGA.30.1714,TCGA.30.1718,TCGA.30.1853,TCGA.30.1860,TCGA.30.1861,TCGA.30.1880,TCGA.31.1944,TCGA.36.1569,TCGA.57.1993,TCGA.59.2348,TCGA.59.2351,TCGA.61.1725,TCGA.61.1728,TCGA.61.1733,TCGA.61.1736,TCGA.61.1737,TCGA.61.1741,TCGA.61.1906,TCGA.61.1907,TCGA.61.1917,TCGA.61.2009,TCGA.61.2092,TCGA.61.2094
4,3.94579033333333,3.497507,3.24191766666667,3.58955833333333,3.49098,3.52771166666667,4.34253333333333,4.748275,3.362341,3.50762466666667,5.04348766666667,4.598576,3.509968,4.44786833333333,5.955744,3.31591333333333,3.26820666666667,3.299967,2.91046733333333,5.026565,3.56272166666667,4.28139933333333,3.62807266666667,3.83589266666667,3.740472,3.87262033333333,3.95883133333333,3.68176266666667,3.94812,3.645246,3.28106566666667,3.58922933333333,4.23279866666667,5.379104,3.215194,3.38756333333333,4.29838333333333,3.418088,4.28867233333333,4.59486366666667,3.62164166666667,4.53166866666667,3.84551,4.397365,3.90540366666667,3.83642433333333,3.199887,4.943449,3.37637,4.273421,3.48565033333333,3.06459166666667,4.52664366666667,3.616376,4.13658533333333,4.25173633333333,4.031022,4.38514,3.53105866666667,3.11871066666667,3.91223366666667,3.39146466666667,4.19068733333333,3.505267,3.559895,3.38533933333333,3.30153966666667,3.45154266666667,3.849254,3.18694333333333,3.89197866666667,4.35359833333333,5.09591266666667,3.86614033333333,4.228319,4.55399533333333,3.40239566666667,3.817109,3.439767,3.53568833333333,3.70082333333333,3.74714766666667,4.253086,4.417886,3.56253266666667,4.26256966666667,4.142415,4.22744766666667,3.72392666666667,5.16332366666667,4.19115,3.99407433333333,3.651159,5.03734766666667,4.712699,4.726233,6.030318,3.23995,3.62659133333333,3.984252,4.20169033333333,4.43954866666667,3.640959,3.40269133333333,4.645574,3.85142266666667,3.591687,3.92285133333333,3.13433633333333,4.31224,3.78138433333333,4.66519933333333,3.489939,6.31457733333333,4.05757633333333,3.59181066666667,5.815383,4.230818,3.22114333333333,3.44165233333333,3.71477866666667,3.376983,5.38778633333333,3.443391,3.64599833333333,4.540487,3.140195,4.16673833333333,3.38019966666667,3.89874833333333,4.39835933333333,3.452444,3.16281366666667,4.654573,3.38870266666667,4.58414866666667,3.74546,3.97387233333333,3.52522066666667,4.20564266666667,3.56183066666667,4.47452633333333,3.633464,3.80754833333333,3.89328366666667,3.660517,3.75992066666667,5.89678366666667,3.685308,5.13872933333333,3.94270933333333,3.49601766666667,3.37653633333333,6.03761766666667,3.74390433333333,3.96186366666667,3.66836833333333,3.44193133333333,3.06877833333333,5.086782,4.20217533333333,3.32004033333333,3.68462533333333
457,3.94579033333333,3.497507,3.24191766666667,3.58955833333333,3.49098,3.52771166666667,4.34253333333333,4.748275,3.362341,3.50762466666667,5.04348766666667,4.598576,3.509968,4.44786833333333,5.955744,3.31591333333333,3.26820666666667,3.299967,2.91046733333333,5.026565,3.56272166666667,4.28139933333333,3.62807266666667,3.83589266666667,3.740472,3.87262033333333,3.95883133333333,3.68176266666667,3.94812,3.645246,3.28106566666667,3.58922933333333,4.23279866666667,5.379104,3.215194,3.38756333333333,4.29838333333333,3.418088,4.28867233333333,4.59486366666667,3.62164166666667,4.53166866666667,3.84551,4.397365,3.90540366666667,3.83642433333333,3.199887,4.943449,3.37637,4.273421,3.48565033333333,3.06459166666667,4.52664366666667,3.616376,4.13658533333333,4.25173633333333,4.031022,4.38514,3.53105866666667,3.11871066666667,3.91223366666667,3.39146466666667,4.19068733333333,3.505267,3.559895,3.38533933333333,3.30153966666667,3.45154266666667,3.849254,3.18694333333333,3.89197866666667,4.35359833333333,5.09591266666667,3.86614033333333,4.228319,4.55399533333333,3.40239566666667,3.817109,3.439767,3.53568833333333,3.70082333333333,3.74714766666667,4.253086,4.417886,3.56253266666667,4.26256966666667,4.142415,4.22744766666667,3.72392666666667,5.16332366666667,4.19115,3.99407433333333,3.651159,5.03734766666667,4.712699,4.726233,6.030318,3.23995,3.62659133333333,3.984252,4.20169033333333,4.43954866666667,3.640959,3.40269133333333,4.645574,3.85142266666667,3.591687,3.92285133333333,3.13433633333333,4.31224,3.78138433333333,4.66519933333333,3.489939,6.31457733333333,4.05757633333333,3.59181066666667,5.815383,4.230818,3.22114333333333,3.44165233333333,3.71477866666667,3.376983,5.38778633333333,3.443391,3.64599833333333,4.540487,3.140195,4.16673833333333,3.38019966666667,3.89874833333333,4.39835933333333,3.452444,3.16281366666667,4.654573,3.38870266666667,4.58414866666667,3.74546,3.97387233333333,3.52522066666667,4.20564266666667,3.56183066666667,4.47452633333333,3.633464,3.80754833333333,3.89328366666667,3.660517,3.75992066666667,5.89678366666667,3.685308,5.13872933333333,3.94270933333333,3.49601766666667,3.37653633333333,6.03761766666667,3.74390433333333,3.96186366666667,3.66836833333333,3.44193133333333,3.06877833333333,5.086782,4.20217533333333,3.32004033333333,3.68462533333333
721,3.94579033333333,3.497507,3.24191766666667,3.58955833333333,3.49098,3.52771166666667,4.34253333333333,4.748275,3.362341,3.50762466666667,5.04348766666667,4.598576,3.509968,4.44786833333333,5.955744,3.31591333333333,3.26820666666667,3.299967,2.91046733333333,5.026565,3.56272166666667,4.28139933333333,3.62807266666667,3.83589266666667,3.740472,3.87262033333333,3.95883133333333,3.68176266666667,3.94812,3.645246,3.28106566666667,3.58922933333333,4.23279866666667,5.379104,3.215194,3.38756333333333,4.29838333333333,3.418088,4.28867233333333,4.59486366666667,3.62164166666667,4.53166866666667,3.84551,4.397365,3.90540366666667,3.83642433333333,3.199887,4.943449,3.37637,4.273421,3.48565033333333,3.06459166666667,4.52664366666667,3.616376,4.13658533333333,4.25173633333333,4.031022,4.38514,3.53105866666667,3.11871066666667,3.91223366666667,3.39146466666667,4.19068733333333,3.505267,3.559895,3.38533933333333,3.30153966666667,3.45154266666667,3.849254,3.18694333333333,3.89197866666667,4.35359833333333,5.09591266666667,3.86614033333333,4.228319,4.55399533333333,3.40239566666667,3.817109,3.439767,3.53568833333333,3.70082333333333,3.74714766666667,4.253086,4.417886,3.56253266666667,4.26256966666667,4.142415,4.22744766666667,3.72392666666667,5.16332366666667,4.19115,3.99407433333333,3.651159,5.03734766666667,4.712699,4.726233,6.030318,3.23995,3.62659133333333,3.984252,4.20169033333333,4.43954866666667,3.640959,3.40269133333333,4.645574,3.85142266666667,3.591687,3.92285133333333,3.13433633333333,4.31224,3.78138433333333,4.66519933333333,3.489939,6.31457733333333,4.05757633333333,3.59181066666667,5.815383,4.230818,3.22114333333333,3.44165233333333,3.71477866666667,3.376983,5.38778633333333,3.443391,3.64599833333333,4.540487,3.140195,4.16673833333333,3.38019966666667,3.89874833333333,4.39835933333333,3.452444,3.16281366666667,4.654573,3.38870266666667,4.58414866666667,3.74546,3.97387233333333,3.52522066666667,4.20564266666667,3.56183066666667,4.47452633333333,3.633464,3.80754833333333,3.89328366666667,3.660517,3.75992066666667,5.89678366666667,3.685308,5.13872933333333,3.94270933333333,3.49601766666667,3.37653633333333,6.03761766666667,3.74390433333333,3.96186366666667,3.66836833333333,3.44193133333333,3.06877833333333,5.086782,4.20217533333333,3.32004033333333,3.68462533333333
836,5.163251,4.572017,5.10910133333333,5.04914333333333,5.23579766666667,4.677393,5.07885866666667,4.840588,4.74609133333333,5.53542866666667,5.22237166666667,5.484647,5.92793133333333,4.78543666666667,4.93537333333333,5.11768666666667,4.93536366666667,4.93413366666667,5.440221,4.81312433333333,5.21886366666667,5.331055,5.224568,4.895522,5.08442733333333,5.16675233333333,5.455978,4.88462,4.936299,5.39421966666667,4.79563766666667,4.752905,4.87801133333333,5.030903,5.19140233333333,5.311701,4.90326233333333,5.13619966666667,4.93454633333333,5.72672366666667,4.709544,4.69329133333333,5.07219533333333,4.88493033333333,5.02952333333333,4.837434,5.05636566666667,4.913576,5.06132,4.94826133333333,5.26211166666667,5.26287366666667,4.948863,5.03840333333333,4.69552933333333,5.19766,4.93195733333333,4.58267566666667,5.15307666666667,4.796149,5.22508466666667,4.22664966666667,5.04783433333333,4.894204,4.91255333333333,5.40043033333333,5.42319733333333,4.77188033333333,4.82868,5.30260033333333,5.07381766666667,5.610364,4.65253166666667,4.86703266666667,5.21695466666667,4.721159,4.726098,5.022176,5.08137266666667,5.28058466666667,4.948751,5.64003866666667,5.395198,4.75289266666667,5.39720033333333,5.333576,4.739434,4.90886633333333,5.10345066666667,5.18380833333333,5.578488,4.74013533333333,4.922636,4.64464433333333,5.47206233333333,4.79882933333333,4.9434,4.47655566666667,4.74427266666667,5.11107233333333,5.45478733333333,5.09420266666667,4.82060066666667,5.02342966666667,4.84574166666667,5.30378866666667,5.21796033333333,5.37903933333333,6.290538,5.599321,5.30494333333333,4.67614133333333,4.553319,4.385404,5.41512166666667,4.900141,5.09449066666667,5.83798233333333,5.91388566666667,5.21474366666667,5.287646,4.97552333333333,5.10700766666667,5.78203666666667,5.151337,4.96526566666667,4.684898,5.337687,5.04245533333333,4.471507,5.052691,5.67777166666667,4.97195333333333,4.66174,4.96613266666667,4.878168,4.920002,5.45055966666667,5.302123,5.09285433333333,5.621445,5.001581,4.95112133333333,5.1972,4.77819233333333,5.00513433333333,4.95428066666667,4.99070066666667,5.112651,5.171244,5.33595066666667,4.538131,4.726176,5.16759333333333,5.032615,5.34571233333333,4.834267,5.42353266666667,4.73601233333333,5.46378233333333,5.380488,4.809817,4.915612
1328,6.340043,5.712313,4.470145,5.08155,8.427274,5.750586,6.983338,4.967515,5.732507,6.37871,6.173477,5.308046,6.672913,6.168545,5.073731,5.003653,4.790138,7.796796,6.394485,6.202291,5.620683,6.26109,5.61174,5.915944,6.043032,5.724604,5.777335,5.765894,6.639461,4.93169,5.349983,6.168469,6.100349,5.474833,5.313828,5.701054,6.404518,6.165919,6.134219,5.604471,6.153702,5.872673,6.441269,6.021527,5.445611,5.314647,4.288473,7.047972,5.856686,7.607424,5.43217,5.340869,5.745647,5.837399,4.953526,5.721443,7.184723,7.340814,8.390632,5.008957,4.521838,5.413459,4.463378,6.187933,6.077697,5.325142,4.958515,5.44244,6.174869,6.222486,6.337152,4.700843,5.055705,6.70266,6.387046,4.431824,5.473194,6.318943,5.654594,5.05222,5.967769,5.906322,5.876584,7.444371,6.080243,4.370257,6.215831,5.709491,5.888973,6.885247,5.442523,5.779448,5.819838,6.476375,5.521975,5.826625,5.701623,5.008543,5.412634,5.8886,7.147222,5.770788,5.230909,4.667666,5.575359,6.214875,6.162844,5.236071,5.066298,5.522796,6.046239,6.268013,6.469681,6.664953,6.449802,7.047286,6.633863,5.973834,5.438462,6.036873,6.111811,6.378519,6.033831,5.616812,6.306984,5.52778,6.713631,7.117487,4.079195,5.761506,5.564597,5.567425,5.919906,5.982541,5.053363,5.954075,7.984816,5.591622,6.175175,6.145476,5.687081,5.771562,4.380951,5.874132,6.38068,4.758647,4.882838,4.909817,6.467144,5.721298,6.000315,5.676375,5.758906,6.036451,5.912605,6.935696,5.629257,6.154057,5.636286,5.193884,6.568352,5.217257,5.428954
1669,5.8020765,6.5516445,6.4452305,6.4705855,4.640411,6.7519365,5.622754,6.7011885,7.4383695,6.0307635,6.1893535,6.625452,5.2135295,5.42314,5.9281445,6.7744665,6.4848285,5.9111615,6.006597,6.968454,6.7511425,6.487793,5.7502265,6.975018,6.7051655,6.936025,6.547542,6.5329,6.1442875,6.7035075,6.6778415,6.1418085,7.6475245,7.304518,6.190875,7.048383,6.351718,6.696003,7.470556,6.1759585,5.5887005,5.838589,6.810508,6.122737,6.605306,6.9251465,7.0613885,6.662556,7.021168,6.024548,6.4965945,6.513869,6.362277,5.730141,6.5333325,5.610981,5.889841,5.7180245,4.5558665,6.747313,6.4467635,6.734535,7.125053,6.6263095,5.656936,6.6192285,6.1469445,6.810484,6.03197,6.106887,6.4103135,5.7640885,6.5600375,6.5096865,5.621962,6.620395,6.3635645,6.5460295,5.8303235,6.8500695,6.839951,6.6610125,6.2795795,5.475267,6.101177,6.0693665,5.9684575,6.3465395,6.150339,6.2997575,5.9328395,5.9754585,7.012316,5.298342,6.019373,5.5600535,6.535561,6.871608,7.179162,6.5304375,6.343584,6.8321965,6.9332645,5.062139,6.5920955,6.4848505,7.112942,5.2932915,6.0430715,6.0154715,7.0201735,6.216973,5.7997955,6.2411645,6.5723065,6.8806385,7.018205,7.480129,7.4107715,6.427159,6.077921,6.845169,6.314667,6.7649095,6.160168,6.3104135,6.4749225,6.711728,5.504593,6.2646985,5.78207,6.59132,6.808844,6.606524,7.2756545,6.8905175,6.5577895,7.512427,6.833581,6.193837,6.073545,6.325655,6.605446,7.076799,5.144944,6.546503,5.499508,6.1194985,6.645307,6.497729,6.781975,6.3436665,4.8053415,6.701513,5.7049365,5.959016,6.586601,6.0589785,7.426925,6.3645855,5.8159235,5.781169,7.0613905
1796,3.357195,3.395411,3.011845,2.989242,2.971811,2.917405,3.149128,2.85609,3.504156,2.949889,2.998318,3.31044,3.389084,2.83826,2.955815,2.846819,2.907609,2.986886,2.996325,2.923393,2.931024,2.870879,2.909137,2.915654,2.964931,3.192158,2.760697,3.151373,2.659832,2.883174,2.976849,3.07599,2.715006,2.941083,3.259154,3.048086,3.072565,2.999306,2.756089,3.009367,3.049389,2.907237,3.084832,3.099888,2.776894,3.041999,2.948284,2.856361,3.143375,2.985228,2.976605,3.079013,2.985325,3.021183,3.276185,3.433822,3.057558,3.104924,2.840946,2.954259,3.463934,2.911401,2.785674,2.725554,3.030712,2.974665,3.203206,3.061625,3.137644,2.85965,2.94397,3.088528,3.109701,2.831038,2.943433,2.89969,2.877307,3.016225,3.416716,3.023785,3.006405,3.052343,3.125576,3.113116,2.926183,3.124136,3.294734,2.92001,2.900469,2.85739,3.266451,3.147606,3.01208,3.017278,3.070516,2.828658,2.679402,2.981463,2.872966,3.055636,2.963651,2.878379,2.95892,2.953506,2.903362,2.957904,3.124959,3.241053,3.252151,3.010443,3.182919,3.141426,3.158892,2.960993,2.945779,2.874666,3.073609,3.178243,3.221766,3.010188,3.374669,3.315829,2.890282,3.084438,3.006278,3.036884,2.980483,2.851053,3.174046,2.693386,2.90655,3.28687,3.014649,2.77948,2.910608,2.891217,3.113753,2.77823,2.908467,2.802536,2.972891,2.863475,3.122016,3.217335,2.857185,3.237038,3.219038,2.908689,2.857685,2.865064,2.831477,3.30624,3.154446,2.913914,2.961883,3.34727,2.74557,2.958114,3.132379,2.978442,2.941587,3.116672,3.100739
1797,4.706055,6.133196,4.198623,4.029527,3.695904,4.33867,4.617367,4.676778,4.043923,4.822352,5.312398,4.25915,6.489182,4.866985,4.957348,3.689103,3.870941,4.578296,5.189011,4.845978,4.531784,5.877211,4.453527,4.595054,4.794478,4.130633,4.220825,4.037748,4.200955,3.199155,4.811035,4.299268,5.269592,4.393288,4.931068,4.426937,4.884266,4.346472,5.706473,4.316834,3.892987,3.849496,5.475691,5.645391,4.222,4.4859,4.415018,4.409501,4.591379,4.356188,4.865599,4.368541,5.130945,4.328883,4.873344,3.993789,4.275719,4.8991,4.245278,5.042317,5.031798,5.149456,4.161188,5.320515,4.482231,4.451087,5.673386,5.412646,5.798893,5.020716,5.355785,4.760071,5.591301,4.925338,4.65994,4.560643,4.267023,4.263049,5.923185,4.421975,3.870249,4.259754,4.356342,4.383044,4.121879,3.900081,4.849088,5.20405,4.848109,5.513997,4.805385,4.932601,4.283224,3.901635,4.584344,5.248273,4.654183,4.889534,4.242038,4.178997,4.300508,4.191295,4.732149,6.810026,4.874636,5.019344,4.92915,5.602812,6.486318,5.776463,4.261614,5.371105,4.414202,4.002014,4.171897,4.295204,5.774142,4.269742,4.070559,3.645296,5.736289,3.6801,4.269943,3.928983,4.486077,4.643518,3.856691,4.042673,4.366823,4.164795,3.677873,4.820191,5.731244,4.175814,5.181335,4.564018,4.086624,4.411931,4.760136,5.903556,4.527474,6.670271,3.524214,4.108834,3.740571,5.672775,4.090277,3.914057,3.488419,4.216787,5.747223,5.472703,4.524917,4.082075,4.870805,5.29165,3.91864,4.545626,5.686132,4.771873,3.732828,5.733421,5.032953
1912,2.877537,2.81463,2.783274,2.785853,2.807032,2.81832,2.775044,2.712374,3.029329,2.737668,2.812161,2.628252,2.866881,3.038814,2.883548,2.775806,2.638201,2.698329,2.708928,2.686635,2.973401,2.858515,2.881097,2.787626,2.75098,2.842881,2.903296,2.990004,2.738661,2.78925,2.718068,2.990838,2.78384,2.816568,2.914297,2.827822,2.780898,2.781304,2.760137,2.822699,2.768223,2.76351,2.940171,3.05736,2.621233,2.808973,3.039946,2.781779,2.792527,2.762153,2.758537,2.913055,2.909604,2.834379,2.969527,2.900441,2.70137,2.914614,2.849997,3.022763,2.799965,2.849961,2.888788,2.734005,2.780448,2.870528,2.937241,2.921527,3.015583,2.91044,3.579235,3.015005,2.81125,3.188838,2.839192,3.04514,2.78257,2.767626,2.989712,2.668656,2.794638,2.820116,2.667381,2.685325,2.845289,2.827091,2.708078,3.022116,3.175829,2.634196,2.729217,2.886787,2.884506,3.010387,2.841828,2.709318,2.742008,3.141171,2.806919,2.947746,2.687401,2.84982,2.903571,3.105761,2.77115,2.845979,3.069509,2.896762,3.000646,3.211318,2.944409,2.885919,2.736947,2.742966,2.708858,2.496156,2.635458,2.738912,2.889247,2.913468,2.942189,2.826087,2.710936,3.006148,2.823249,2.890307,2.982433,2.907035,3.086954,2.630486,2.7668,2.851758,2.767778,2.736803,2.881994,2.892072,2.630905,2.816199,2.907837,2.735393,2.964487,2.834551,2.760068,2.691234,2.776235,3.071651,2.897631,2.704891,2.870953,2.823681,2.702575,2.791489,2.96806,2.881943,2.723814,2.63881,2.714851,2.824062,2.930122,2.663784,2.998424,3.112348,2.829474
1978,3.370609,3.217024,3.099726,3.077895,3.221339,3.423404,3.290458,3.388403,3.935924,3.398505,3.734398,3.062605,3.171659,3.213412,3.13831,2.739277,2.888905,2.793444,3.322439,3.131107,3.276721,3.150735,3.607174,3.620534,2.895919,3.16413,3.262153,3.19173,2.848135,2.830926,3.235065,3.331576,3.58291,3.079763,3.442584,2.988603,2.967325,3.122206,3.718203,3.385378,3.050948,2.807349,3.295175,2.924486,3.103646,3.25205,3.225203,3.316587,3.088796,3.147347,2.968804,3.281517,3.195866,3.114753,3.58118,3.384343,3.19985,3.349346,3.352622,3.309887,3.370895,3.481718,2.928942,3.304436,3.780139,3.420701,3.880617,3.263418,3.106392,2.998006,3.02391,3.610995,3.172955,3.325196,3.214148,3.446549,3.360371,3.00265,3.415169,3.45288,3.122715,3.063056,3.243606,2.923445,3.296033,3.060355,3.300297,3.095183,3.091446,2.935755,3.594294,3.389634,3.008023,3.056646,2.990451,2.919417,3.015728,3.553615,3.086963,2.841937,3.108146,2.867854,3.282136,3.318847,3.567132,3.251094,3.093042,3.186945,3.642116,3.339411,3.306882,3.273698,3.332676,3.016921,2.994569,2.912178,3.079956,3.141327,3.28245,3.418043,3.383259,3.341913,2.861573,3.243862,2.897203,2.807905,2.869183,3.111861,2.803665,3.150378,3.782621,3.409733,2.995113,3.177448,3.53543,2.989163,3.430307,3.227155,3.054243,3.216782,3.312812,3.034118,3.353483,2.933557,3.217256,3.430421,3.087449,2.933191,3.208441,2.9608,2.992247,3.057054,3.406893,3.252086,3.273639,3.205682,3.519391,3.076535,3.566411,3.504644,3.369418,3.086048,2.99359
