,TCGA.04.1332,TCGA.04.1336,TCGA.04.1338,TCGA.04.1348,TCGA.04.1350,TCGA.04.1361,TCGA.04.1364,TCGA.04.1367,TCGA.04.1371,TCGA.04.1525,TCGA.04.1530,TCGA.04.1644,TCGA.04.1646,TCGA.04.1649,TCGA.04.1651,TCGA.09.1666,TCGA.09.2051,TCGA.10.0926,TCGA.10.0931,TCGA.10.0935,TCGA.13.0764,TCGA.13.0791,TCGA.13.0792,TCGA.13.0805,TCGA.13.0883,TCGA.13.0884,TCGA.13.0886,TCGA.13.0890,TCGA.13.0891,TCGA.13.0899,TCGA.13.0900,TCGA.13.0903,TCGA.13.0906,TCGA.13.0908,TCGA.13.0910,TCGA.13.0911,TCGA.13.1494,TCGA.13.1817,TCGA.20.0990,TCGA.23.2078,TCGA.23.2079,TCGA.23.2081,TCGA.24.0979,TCGA.24.1105,TCGA.24.1466,TCGA.24.1545,TCGA.24.1546,TCGA.24.1549,TCGA.24.1551,TCGA.24.1553,TCGA.24.1555,TCGA.24.1557,TCGA.24.1562,TCGA.24.1564,TCGA.24.1603,TCGA.24.1604,TCGA.24.1616,TCGA.24.1852,TCGA.24.1924,TCGA.24.1930,TCGA.24.2020,TCGA.24.2023,TCGA.24.2026,TCGA.24.2027,TCGA.24.2254,TCGA.24.2260,TCGA.24.2280,TCGA.24.2289,TCGA.24.2297,TCGA.24.2298,TCGA.25.1313,TCGA.25.1314,TCGA.25.1315,TCGA.25.1318,TCGA.25.1319,TCGA.25.1320,TCGA.25.1321,TCGA.25.1625,TCGA.25.1630,TCGA.25.1632,TCGA.25.1633,TCGA.25.1634,TCGA.25.1635,TCGA.25.1871,TCGA.25.1878,TCGA.25.2391,TCGA.25.2398,TCGA.25.2400,TCGA.25.2409,TCGA.29.1697,TCGA.29.1699,TCGA.29.1704,TCGA.29.1768,TCGA.30.1714,TCGA.30.1718,TCGA.30.1853,TCGA.30.1860,TCGA.30.1861,TCGA.30.1880,TCGA.31.1944,TCGA.36.1569,TCGA.57.1993,TCGA.59.2348,TCGA.59.2351,TCGA.61.1725,TCGA.61.1728,TCGA.61.1733,TCGA.61.1736,TCGA.61.1737,TCGA.61.1741,TCGA.61.1906,TCGA.61.1907,TCGA.61.1917,TCGA.61.2009,TCGA.61.2092,TCGA.61.2094,TCGA.04.1343,TCGA.04.1349,TCGA.04.1517,TCGA.09.1659,TCGA.09.2048,TCGA.10.0928,TCGA.10.0938,TCGA.13.0727,TCGA.13.0730,TCGA.13.0757,TCGA.13.0758,TCGA.13.1496,TCGA.20.0987,TCGA.24.0975,TCGA.24.0982,TCGA.24.1548,TCGA.24.1558,TCGA.24.1565,TCGA.24.1567,TCGA.24.1923,TCGA.24.1928,TCGA.24.2029,TCGA.24.2033,TCGA.24.2288,TCGA.25.1317,TCGA.25.1322,TCGA.25.1323,TCGA.25.1329,TCGA.25.1623,TCGA.25.1627,TCGA.25.1631,TCGA.25.1870,TCGA.25.2392,TCGA.25.2396,TCGA.25.2397,TCGA.25.2399,TCGA.25.2401,TCGA.29.1701,TCGA.29.2432,TCGA.30.1856,TCGA.36.1571,TCGA.57.1585,TCGA.61.1724,TCGA.61.1901,TCGA.61.1918,TCGA.61.2016,TCGA.61.2109
4,4.943449,3.37637,4.273421,3.48565033333333,3.06459166666667,4.52664366666667,3.616376,4.13658533333333,4.25173633333333,4.031022,4.38514,3.53105866666667,3.11871066666667,3.91223366666667,3.39146466666667,4.19068733333333,3.505267,3.559895,3.38533933333333,3.30153966666667,3.45154266666667,3.849254,3.18694333333333,3.89197866666667,4.35359833333333,5.09591266666667,3.86614033333333,4.228319,4.55399533333333,3.40239566666667,3.817109,3.439767,3.53568833333333,3.70082333333333,3.74714766666667,4.253086,4.417886,3.56253266666667,4.26256966666667,4.142415,4.22744766666667,3.72392666666667,5.16332366666667,4.19115,3.99407433333333,3.651159,5.03734766666667,4.712699,4.726233,6.030318,3.23995,3.62659133333333,3.984252,4.20169033333333,4.43954866666667,3.640959,3.40269133333333,4.645574,3.85142266666667,3.591687,3.92285133333333,3.13433633333333,4.31224,3.78138433333333,4.66519933333333,3.489939,6.31457733333333,4.05757633333333,3.59181066666667,5.815383,4.230818,3.22114333333333,3.44165233333333,3.71477866666667,3.376983,5.38778633333333,3.443391,3.64599833333333,4.540487,3.140195,4.16673833333333,3.38019966666667,3.89874833333333,4.39835933333333,3.452444,3.16281366666667,4.654573,3.38870266666667,4.58414866666667,3.74546,3.97387233333333,3.52522066666667,4.20564266666667,3.56183066666667,4.47452633333333,3.633464,3.80754833333333,3.89328366666667,3.660517,3.75992066666667,5.89678366666667,3.685308,5.13872933333333,3.94270933333333,3.49601766666667,3.37653633333333,6.03761766666667,3.74390433333333,3.96186366666667,3.66836833333333,3.44193133333333,3.06877833333333,5.086782,4.20217533333333,3.32004033333333,3.68462533333333,3.94579033333333,3.497507,3.24191766666667,3.58955833333333,3.49098,3.52771166666667,4.34253333333333,4.748275,3.362341,3.50762466666667,5.04348766666667,4.598576,3.509968,4.44786833333333,5.955744,3.31591333333333,3.26820666666667,3.299967,2.91046733333333,5.026565,3.56272166666667,4.28139933333333,3.62807266666667,3.83589266666667,3.740472,3.87262033333333,3.95883133333333,3.68176266666667,3.94812,3.645246,3.28106566666667,3.58922933333333,4.23279866666667,5.379104,3.215194,3.38756333333333,4.29838333333333,3.418088,4.28867233333333,4.59486366666667,3.62164166666667,4.53166866666667,3.84551,4.397365,3.90540366666667,3.83642433333333,3.199887
99,3.3220635,3.308127,3.3752685,3.686554,3.4190745,3.2223445,3.6443045,3.161303,4.7312215,3.4733265,3.35077,3.615095,3.369415,3.7054365,3.1051215,3.3373375,3.227841,3.197277,3.617988,3.2703535,3.9172005,3.6142175,3.3789585,3.5101005,3.3917145,3.360043,3.2857865,3.2553695,3.492591,3.4214265,3.3390675,3.717393,3.2508885,2.8982925,3.88204,3.3354555,3.0290425,3.2236485,3.8502395,3.097742,3.6529705,3.5487945,3.250982,3.555323,3.5561675,3.353835,2.9871565,3.7563345,3.43731,3.5068225,3.859615,3.424742,3.5380565,3.249438,3.8747385,3.388165,3.990595,3.75508,4.151212,3.2708955,3.5018135,3.762375,4.037912,3.277969,3.2411885,3.9085595,3.1870165,3.7468075,3.598534,3.181936,3.812177,3.206567,3.9018735,3.45335,3.308572,3.185659,3.881205,3.2569745,3.3385495,3.141763,3.7641075,3.5097675,3.390521,3.7240515,3.788135,3.208261,3.1879715,4.097673,3.2114525,3.5223725,3.610555,3.2547455,3.5184195,3.625291,3.7445585,3.263729,3.480196,3.8158915,3.056144,3.578573,3.230898,3.529108,3.410809,3.8179975,3.2482795,3.5867165,3.2513795,3.4604705,3.7602255,3.5184025,4.4293995,4.0663625,4.0206795,3.2588965,3.0532625,3.65813,3.2193125,3.1015755,3.3970195,3.7589145,3.4923895,2.9613415,4.1190805,3.4962625,3.2817185,3.987444,3.767911,3.435202,3.2790295,3.3312785,3.415098,4.0822095,4.493903,3.174237,3.846793,3.190103,3.2705625,3.4071795,3.341092,3.5951735,3.2102705,3.364307,5.110317,3.194628,4.115173,3.9052315,3.297666,3.6040225,3.228946,3.3347465,3.324328,3.791081,3.156815,3.332284,3.2684885,4.106343,3.825447,3.260905,3.46856,3.368171,3.476222,3.095864,3.71843
324,3.3220635,3.308127,3.3752685,3.686554,3.4190745,3.2223445,3.6443045,3.161303,4.7312215,3.4733265,3.35077,3.615095,3.369415,3.7054365,3.1051215,3.3373375,3.227841,3.197277,3.617988,3.2703535,3.9172005,3.6142175,3.3789585,3.5101005,3.3917145,3.360043,3.2857865,3.2553695,3.492591,3.4214265,3.3390675,3.717393,3.2508885,2.8982925,3.88204,3.3354555,3.0290425,3.2236485,3.8502395,3.097742,3.6529705,3.5487945,3.250982,3.555323,3.5561675,3.353835,2.9871565,3.7563345,3.43731,3.5068225,3.859615,3.424742,3.5380565,3.249438,3.8747385,3.388165,3.990595,3.75508,4.151212,3.2708955,3.5018135,3.762375,4.037912,3.277969,3.2411885,3.9085595,3.1870165,3.7468075,3.598534,3.181936,3.812177,3.206567,3.9018735,3.45335,3.308572,3.185659,3.881205,3.2569745,3.3385495,3.141763,3.7641075,3.5097675,3.390521,3.7240515,3.788135,3.208261,3.1879715,4.097673,3.2114525,3.5223725,3.610555,3.2547455,3.5184195,3.625291,3.7445585,3.263729,3.480196,3.8158915,3.056144,3.578573,3.230898,3.529108,3.410809,3.8179975,3.2482795,3.5867165,3.2513795,3.4604705,3.7602255,3.5184025,4.4293995,4.0663625,4.0206795,3.2588965,3.0532625,3.65813,3.2193125,3.1015755,3.3970195,3.7589145,3.4923895,2.9613415,4.1190805,3.4962625,3.2817185,3.987444,3.767911,3.435202,3.2790295,3.3312785,3.415098,4.0822095,4.493903,3.174237,3.846793,3.190103,3.2705625,3.4071795,3.341092,3.5951735,3.2102705,3.364307,5.110317,3.194628,4.115173,3.9052315,3.297666,3.6040225,3.228946,3.3347465,3.324328,3.791081,3.156815,3.332284,3.2684885,4.106343,3.825447,3.260905,3.46856,3.368171,3.476222,3.095864,3.71843
522,3.3220635,3.308127,3.3752685,3.686554,3.4190745,3.2223445,3.6443045,3.161303,4.7312215,3.4733265,3.35077,3.615095,3.369415,3.7054365,3.1051215,3.3373375,3.227841,3.197277,3.617988,3.2703535,3.9172005,3.6142175,3.3789585,3.5101005,3.3917145,3.360043,3.2857865,3.2553695,3.492591,3.4214265,3.3390675,3.717393,3.2508885,2.8982925,3.88204,3.3354555,3.0290425,3.2236485,3.8502395,3.097742,3.6529705,3.5487945,3.250982,3.555323,3.5561675,3.353835,2.9871565,3.7563345,3.43731,3.5068225,3.859615,3.424742,3.5380565,3.249438,3.8747385,3.388165,3.990595,3.75508,4.151212,3.2708955,3.5018135,3.762375,4.037912,3.277969,3.2411885,3.9085595,3.1870165,3.7468075,3.598534,3.181936,3.812177,3.206567,3.9018735,3.45335,3.308572,3.185659,3.881205,3.2569745,3.3385495,3.141763,3.7641075,3.5097675,3.390521,3.7240515,3.788135,3.208261,3.1879715,4.097673,3.2114525,3.5223725,3.610555,3.2547455,3.5184195,3.625291,3.7445585,3.263729,3.480196,3.8158915,3.056144,3.578573,3.230898,3.529108,3.410809,3.8179975,3.2482795,3.5867165,3.2513795,3.4604705,3.7602255,3.5184025,4.4293995,4.0663625,4.0206795,3.2588965,3.0532625,3.65813,3.2193125,3.1015755,3.3970195,3.7589145,3.4923895,2.9613415,4.1190805,3.4962625,3.2817185,3.987444,3.767911,3.435202,3.2790295,3.3312785,3.415098,4.0822095,4.493903,3.174237,3.846793,3.190103,3.2705625,3.4071795,3.341092,3.5951735,3.2102705,3.364307,5.110317,3.194628,4.115173,3.9052315,3.297666,3.6040225,3.228946,3.3347465,3.324328,3.791081,3.156815,3.332284,3.2684885,4.106343,3.825447,3.260905,3.46856,3.368171,3.476222,3.095864,3.71843
629,3.3220635,3.308127,3.3752685,3.686554,3.4190745,3.2223445,3.6443045,3.161303,4.7312215,3.4733265,3.35077,3.615095,3.369415,3.7054365,3.1051215,3.3373375,3.227841,3.197277,3.617988,3.2703535,3.9172005,3.6142175,3.3789585,3.5101005,3.3917145,3.360043,3.2857865,3.2553695,3.492591,3.4214265,3.3390675,3.717393,3.2508885,2.8982925,3.88204,3.3354555,3.0290425,3.2236485,3.8502395,3.097742,3.6529705,3.5487945,3.250982,3.555323,3.5561675,3.353835,2.9871565,3.7563345,3.43731,3.5068225,3.859615,3.424742,3.5380565,3.249438,3.8747385,3.388165,3.990595,3.75508,4.151212,3.2708955,3.5018135,3.762375,4.037912,3.277969,3.2411885,3.9085595,3.1870165,3.7468075,3.598534,3.181936,3.812177,3.206567,3.9018735,3.45335,3.308572,3.185659,3.881205,3.2569745,3.3385495,3.141763,3.7641075,3.5097675,3.390521,3.7240515,3.788135,3.208261,3.1879715,4.097673,3.2114525,3.5223725,3.610555,3.2547455,3.5184195,3.625291,3.7445585,3.263729,3.480196,3.8158915,3.056144,3.578573,3.230898,3.529108,3.410809,3.8179975,3.2482795,3.5867165,3.2513795,3.4604705,3.7602255,3.5184025,4.4293995,4.0663625,4.0206795,3.2588965,3.0532625,3.65813,3.2193125,3.1015755,3.3970195,3.7589145,3.4923895,2.9613415,4.1190805,3.4962625,3.2817185,3.987444,3.767911,3.435202,3.2790295,3.3312785,3.415098,4.0822095,4.493903,3.174237,3.846793,3.190103,3.2705625,3.4071795,3.341092,3.5951735,3.2102705,3.364307,5.110317,3.194628,4.115173,3.9052315,3.297666,3.6040225,3.228946,3.3347465,3.324328,3.791081,3.156815,3.332284,3.2684885,4.106343,3.825447,3.260905,3.46856,3.368171,3.476222,3.095864,3.71843
651,3.3220635,3.308127,3.3752685,3.686554,3.4190745,3.2223445,3.6443045,3.161303,4.7312215,3.4733265,3.35077,3.615095,3.369415,3.7054365,3.1051215,3.3373375,3.227841,3.197277,3.617988,3.2703535,3.9172005,3.6142175,3.3789585,3.5101005,3.3917145,3.360043,3.2857865,3.2553695,3.492591,3.4214265,3.3390675,3.717393,3.2508885,2.8982925,3.88204,3.3354555,3.0290425,3.2236485,3.8502395,3.097742,3.6529705,3.5487945,3.250982,3.555323,3.5561675,3.353835,2.9871565,3.7563345,3.43731,3.5068225,3.859615,3.424742,3.5380565,3.249438,3.8747385,3.388165,3.990595,3.75508,4.151212,3.2708955,3.5018135,3.762375,4.037912,3.277969,3.2411885,3.9085595,3.1870165,3.7468075,3.598534,3.181936,3.812177,3.206567,3.9018735,3.45335,3.308572,3.185659,3.881205,3.2569745,3.3385495,3.141763,3.7641075,3.5097675,3.390521,3.7240515,3.788135,3.208261,3.1879715,4.097673,3.2114525,3.5223725,3.610555,3.2547455,3.5184195,3.625291,3.7445585,3.263729,3.480196,3.8158915,3.056144,3.578573,3.230898,3.529108,3.410809,3.8179975,3.2482795,3.5867165,3.2513795,3.4604705,3.7602255,3.5184025,4.4293995,4.0663625,4.0206795,3.2588965,3.0532625,3.65813,3.2193125,3.1015755,3.3970195,3.7589145,3.4923895,2.9613415,4.1190805,3.4962625,3.2817185,3.987444,3.767911,3.435202,3.2790295,3.3312785,3.415098,4.0822095,4.493903,3.174237,3.846793,3.190103,3.2705625,3.4071795,3.341092,3.5951735,3.2102705,3.364307,5.110317,3.194628,4.115173,3.9052315,3.297666,3.6040225,3.228946,3.3347465,3.324328,3.791081,3.156815,3.332284,3.2684885,4.106343,3.825447,3.260905,3.46856,3.368171,3.476222,3.095864,3.71843
731,3.613366,3.970333,4.145979,3.718949,3.933802,3.845237,3.879035,4.180063,3.945269,4.218329,3.924749,3.960499,4.064681,4.588427,3.763805,3.327938,3.747444,3.747696,4.078902,4.276223,3.929525,3.958938,3.559561,3.819537,3.938708,3.995257,3.645924,5.22954,4.083218,3.890937,4.133523,4.247201,4.35548,3.830558,3.987617,4.065947,3.789718,3.590862,3.806815,3.621284,3.738717,3.745813,3.954592,4.004057,3.790202,3.493807,3.488947,3.712497,3.948142,3.653133,4.341764,3.732796,4.112647,3.631344,3.764392,3.919157,3.751329,3.876608,3.665451,4.077723,3.889806,3.98223,4.089079,3.933088,3.821871,4.007871,3.651297,3.39351,3.749774,3.692551,4.04816,4.064335,4.003753,4.034082,4.009293,3.802069,4.093988,3.710297,3.827571,3.787214,3.691207,3.996844,3.55979,4.017106,3.894998,3.669181,3.671359,4.038835,3.638026,3.541055,3.774431,3.67649,3.772916,4.095417,3.879047,3.808459,3.700248,3.442353,3.668443,3.996885,3.794686,3.772787,3.74988,3.635279,3.909558,3.979667,4.160392,3.855016,4.328161,3.565785,4.266349,3.985117,4.249246,3.821747,6.199282,3.808656,4.423081,3.835061,3.984405,3.614488,4.025592,3.719925,3.719224,3.989883,3.581656,3.949612,3.647356,3.776005,3.955426,4.047693,4.345203,3.576786,3.696514,3.702946,3.576599,3.795872,3.894972,4.056319,3.912419,3.689132,4.337183,3.610324,3.987361,3.903256,3.732851,3.744423,3.831489,4.134144,3.651316,3.802582,3.956324,3.599525,3.528693,3.671722,3.608734,4.13104,3.593705,3.812971,3.620364,4.198446,3.867266,3.922264,3.544808
776,6.592881,6.509925,7.506927,6.295097,4.878607,6.250779,4.713689,6.506932,4.682631,6.088233,5.740452,6.165665,5.487553,7.660027,5.808164,6.847237,7.151712,4.785396,7.798458,4.665368,5.761516,5.878378,6.262352,6.833774,7.070244,5.763608,7.121023,6.52988,5.60875,5.776219,6.334508,5.790468,4.44117,7.232223,6.566672,6.645875,5.997377,8.035935,5.727553,6.723389,6.8604,7.660506,5.325591,4.815666,6.534175,7.329468,9.066531,5.083767,6.506456,7.33745,5.818476,6.381415,7.406337,7.954184,7.489395,7.07856,5.001454,5.816277,7.931406,8.006785,5.557253,5.978657,6.234438,6.254033,6.849408,6.122313,6.765182,7.658539,5.789485,6.179905,9.400236,6.569925,5.412564,6.259085,6.651676,6.39702,6.946084,7.262442,7.554628,9.924254,6.416981,6.08626,7.455164,5.138335,7.450016,6.28202,6.062787,6.005396,7.002753,5.339798,8.032492,6.726014,8.795967,6.563279,7.298794,5.246923,6.903762,6.118834,7.73033,6.007003,6.994122,5.990881,6.656175,6.679628,7.417365,5.869202,6.777239,7.041663,6.402806,6.165123,6.676332,7.462652,6.752958,7.452379,7.637015,6.895507,5.892988,6.959876,6.084499,6.915132,6.062338,5.066411,4.285929,6.387712,6.044958,6.753676,6.641464,6.26337,7.003809,6.35036,5.640052,5.707239,5.276724,7.641999,6.478561,7.312145,7.383078,7.986622,6.989958,7.052928,8.777181,7.06068,6.219555,6.980419,7.576598,8.052665,7.786883,7.418948,9.096012,6.5957,6.923187,6.682168,8.026557,7.252688,8.957437,7.581398,5.828971,7.222617,5.455688,7.896293,7.098288,7.961764,6.351151
917,4.14590066666667,4.626527,4.20550966666667,4.70293333333333,4.20719266666667,4.45443266666667,4.603254,4.403714,4.77736866666667,4.41294333333333,4.980195,4.92683666666667,5.00934933333333,3.88565233333333,4.390723,5.20425833333333,4.52540033333333,4.92940633333333,4.38974266666667,4.32182166666667,4.34420533333333,4.00612133333333,3.92703866666667,4.20370833333333,3.74049,4.907241,4.144816,4.83695933333333,4.411014,4.41209933333333,4.72626066666667,3.938206,4.88045666666667,4.01943266666667,4.92453466666667,5.00205133333333,4.81127433333333,4.233158,4.420611,4.58270066666667,4.60342366666667,4.54798566666667,4.43474133333333,4.460567,4.41506566666667,4.823493,3.818258,4.694895,4.89678933333333,3.88641166666667,4.616558,5.27124733333333,4.493462,3.855676,5.10233466666667,3.74476833333333,4.62210633333333,4.75100266666667,4.42122833333333,4.335032,4.81044666666667,3.93998566666667,5.033351,5.32877533333333,4.47604233333333,4.74871166666667,4.588343,4.042669,4.29798433333333,4.29173233333333,3.75792866666667,3.94526366666667,4.75796933333333,3.88276833333333,4.57556733333333,4.484578,4.45140733333333,4.15757733333333,4.62818833333333,4.731046,4.835685,4.879458,4.621371,5.33064533333333,4.27198133333333,4.968998,4.527255,4.82943866666667,4.298178,5.57486966666667,4.17995933333333,4.56869433333333,3.78632466666667,4.392216,4.006151,4.49390466666667,5.121532,3.93555733333333,4.40027733333333,4.550611,3.93567233333333,4.50067566666667,4.903856,4.55288866666667,4.35797666666667,4.74797966666667,4.41747833333333,4.77561566666667,4.372292,4.80694966666667,4.36710233333333,4.57239433333333,4.406351,4.36225433333333,4.14076033333333,4.80682866666667,3.79932733333333,4.02655866666667,4.47859633333333,4.722069,4.91851833333333,4.77402066666667,4.26429,4.431629,4.200644,5.37456433333333,4.07375266666667,4.57235133333333,3.910587,3.95383033333333,4.40140966666667,5.31020533333333,5.05541166666667,4.301477,4.916954,4.50505,4.31512066666667,4.048983,4.32906333333333,4.480988,4.27609233333333,4.645281,4.13352133333333,4.217663,4.491414,4.66459566666667,4.222027,4.16394366666667,4.634001,4.75324666666667,4.03350333333333,4.876319,4.738061,4.701791,4.66619733333333,4.30420566666667,4.72408133333333,4.40781233333333,4.997177,4.39175533333333,4.208658,4.60748333333333,5.43341433333333
1087,9.123664,8.841044,8.475719,9.601655,9.584055,8.986432,9.751161,8.890669,10.345375,8.786498,9.643849,10.346313,10.404982,8.077018,9.384335,9.51809,9.146048,9.799745,9.051836,8.603866,9.466623,9.550945,8.901405,9.38315,7.758287,9.852149,8.960309,9.592438,8.947274,9.122722,9.10938,7.808161,9.631758,8.604381,9.311626,9.773325,9.086673,9.031424,9.464405,9.205919,9.240097,8.974812,8.503555,9.27136,8.127714,9.149076,8.530212,9.089958,9.435448,8.649494,9.368549,9.865388,9.280448,8.65003,10.139644,8.500057,9.804685,9.487944,9.212445,8.933532,10.697937,8.629471,8.637382,9.971071,8.962375,9.321725,9.305724,8.78606,8.686094,7.316773,8.054842,8.782099,9.995496,8.523405,9.302477,8.929186,9.077255,8.747185,9.673867,9.723114,9.562211,10.209118,9.548246,10.120551,9.4037,9.764504,9.635477,11.055594,8.889511,9.839232,9.043596,9.335401,8.9518,9.24752,9.194077,9.917208,10.376592,9.038702,9.814235,9.628117,9.018357,8.98562,9.293435,9.687524,9.954841,9.632951,9.547472,9.216074,8.808552,10.08784,9.906213,10.05973,10.061587,9.952822,9.85227,9.32465,8.809154,8.912238,9.404281,8.47321,10.238428,9.72305,8.601031,9.283727,9.301992,9.697144,8.109392,8.888432,7.470047,9.188306,8.159564,10.227227,10.20158,9.296301,10.400327,8.992746,9.341915,9.640519,9.537426,8.741827,9.539589,9.26159,9.460551,8.878779,9.115891,9.723406,9.188598,9.620444,9.214163,9.286606,8.161251,9.36769,9.08633,9.875038,9.265738,9.752944,9.470187,9.136294,8.910113,9.989352,9.186318,9.522625,9.689239
