,TCGA.04.1332,TCGA.04.1336,TCGA.04.1338,TCGA.04.1348,TCGA.04.1350,TCGA.04.1361,TCGA.04.1364,TCGA.04.1367,TCGA.04.1371,TCGA.04.1525,TCGA.04.1530,TCGA.04.1644,TCGA.04.1646,TCGA.04.1649,TCGA.04.1651,TCGA.09.1666,TCGA.09.2051,TCGA.10.0926,TCGA.10.0931,TCGA.10.0935,TCGA.13.0764,TCGA.13.0791,TCGA.13.0792,TCGA.13.0805,TCGA.13.0883,TCGA.13.0884,TCGA.13.0886,TCGA.13.0890,TCGA.13.0891,TCGA.13.0899,TCGA.13.0900,TCGA.13.0903,TCGA.13.0906,TCGA.13.0908,TCGA.13.0910,TCGA.13.0911,TCGA.13.1494,TCGA.13.1817,TCGA.20.0990,TCGA.23.2078,TCGA.23.2079,TCGA.23.2081,TCGA.24.0979,TCGA.24.1105,TCGA.24.1466,TCGA.24.1545,TCGA.24.1546,TCGA.24.1549,TCGA.24.1551,TCGA.24.1553,TCGA.24.1555,TCGA.24.1557,TCGA.24.1562,TCGA.24.1564,TCGA.24.1603,TCGA.24.1604,TCGA.24.1616,TCGA.24.1852,TCGA.24.1924,TCGA.24.1930,TCGA.24.2020,TCGA.24.2023,TCGA.24.2026,TCGA.24.2027,TCGA.24.2254,TCGA.24.2260,TCGA.24.2280,TCGA.24.2289,TCGA.24.2297,TCGA.24.2298,TCGA.25.1313,TCGA.25.1314,TCGA.25.1315,TCGA.25.1318,TCGA.25.1319,TCGA.25.1320,TCGA.25.1321,TCGA.25.1625,TCGA.25.1630,TCGA.25.1632,TCGA.25.1633,TCGA.25.1634,TCGA.25.1635,TCGA.25.1871,TCGA.25.1878,TCGA.25.2391,TCGA.25.2398,TCGA.25.2400,TCGA.25.2409,TCGA.29.1697,TCGA.29.1699,TCGA.29.1704,TCGA.29.1768,TCGA.30.1714,TCGA.30.1718,TCGA.30.1853,TCGA.30.1860,TCGA.30.1861,TCGA.30.1880,TCGA.31.1944,TCGA.36.1569,TCGA.57.1993,TCGA.59.2348,TCGA.59.2351,TCGA.61.1725,TCGA.61.1728,TCGA.61.1733,TCGA.61.1736,TCGA.61.1737,TCGA.61.1741,TCGA.61.1906,TCGA.61.1907,TCGA.61.1917,TCGA.61.2009,TCGA.61.2092,TCGA.61.2094,TCGA.04.1343,TCGA.04.1349,TCGA.04.1517,TCGA.09.1659,TCGA.09.2048,TCGA.10.0928,TCGA.10.0938,TCGA.13.0727,TCGA.13.0730,TCGA.13.0757,TCGA.13.0758,TCGA.13.1496,TCGA.20.0987,TCGA.24.0975,TCGA.24.0982,TCGA.24.1548,TCGA.24.1558,TCGA.24.1565,TCGA.24.1567,TCGA.24.1923,TCGA.24.1928,TCGA.24.2029,TCGA.24.2033,TCGA.24.2288,TCGA.25.1317,TCGA.25.1322,TCGA.25.1323,TCGA.25.1329,TCGA.25.1623,TCGA.25.1627,TCGA.25.1631,TCGA.25.1870,TCGA.25.2392,TCGA.25.2396,TCGA.25.2397,TCGA.25.2399,TCGA.25.2401,TCGA.29.1701,TCGA.29.2432,TCGA.30.1856,TCGA.36.1571,TCGA.57.1585,TCGA.61.1724,TCGA.61.1901,TCGA.61.1918,TCGA.61.2016,TCGA.61.2109
637,4.14590066666667,4.626527,4.20550966666667,4.70293333333333,4.20719266666667,4.45443266666667,4.603254,4.403714,4.77736866666667,4.41294333333333,4.980195,4.92683666666667,5.00934933333333,3.88565233333333,4.390723,5.20425833333333,4.52540033333333,4.92940633333333,4.38974266666667,4.32182166666667,4.34420533333333,4.00612133333333,3.92703866666667,4.20370833333333,3.74049,4.907241,4.144816,4.83695933333333,4.411014,4.41209933333333,4.72626066666667,3.938206,4.88045666666667,4.01943266666667,4.92453466666667,5.00205133333333,4.81127433333333,4.233158,4.420611,4.58270066666667,4.60342366666667,4.54798566666667,4.43474133333333,4.460567,4.41506566666667,4.823493,3.818258,4.694895,4.89678933333333,3.88641166666667,4.616558,5.27124733333333,4.493462,3.855676,5.10233466666667,3.74476833333333,4.62210633333333,4.75100266666667,4.42122833333333,4.335032,4.81044666666667,3.93998566666667,5.033351,5.32877533333333,4.47604233333333,4.74871166666667,4.588343,4.042669,4.29798433333333,4.29173233333333,3.75792866666667,3.94526366666667,4.75796933333333,3.88276833333333,4.57556733333333,4.484578,4.45140733333333,4.15757733333333,4.62818833333333,4.731046,4.835685,4.879458,4.621371,5.33064533333333,4.27198133333333,4.968998,4.527255,4.82943866666667,4.298178,5.57486966666667,4.17995933333333,4.56869433333333,3.78632466666667,4.392216,4.006151,4.49390466666667,5.121532,3.93555733333333,4.40027733333333,4.550611,3.93567233333333,4.50067566666667,4.903856,4.55288866666667,4.35797666666667,4.74797966666667,4.41747833333333,4.77561566666667,4.372292,4.80694966666667,4.36710233333333,4.57239433333333,4.406351,4.36225433333333,4.14076033333333,4.80682866666667,3.79932733333333,4.02655866666667,4.47859633333333,4.722069,4.91851833333333,4.77402066666667,4.26429,4.431629,4.200644,5.37456433333333,4.07375266666667,4.57235133333333,3.910587,3.95383033333333,4.40140966666667,5.31020533333333,5.05541166666667,4.301477,4.916954,4.50505,4.31512066666667,4.048983,4.32906333333333,4.480988,4.27609233333333,4.645281,4.13352133333333,4.217663,4.491414,4.66459566666667,4.222027,4.16394366666667,4.634001,4.75324666666667,4.03350333333333,4.876319,4.738061,4.701791,4.66619733333333,4.30420566666667,4.72408133333333,4.40781233333333,4.997177,4.39175533333333,4.208658,4.60748333333333,5.43341433333333
651,9.123664,8.841044,8.475719,9.601655,9.584055,8.986432,9.751161,8.890669,10.345375,8.786498,9.643849,10.346313,10.404982,8.077018,9.384335,9.51809,9.146048,9.799745,9.051836,8.603866,9.466623,9.550945,8.901405,9.38315,7.758287,9.852149,8.960309,9.592438,8.947274,9.122722,9.10938,7.808161,9.631758,8.604381,9.311626,9.773325,9.086673,9.031424,9.464405,9.205919,9.240097,8.974812,8.503555,9.27136,8.127714,9.149076,8.530212,9.089958,9.435448,8.649494,9.368549,9.865388,9.280448,8.65003,10.139644,8.500057,9.804685,9.487944,9.212445,8.933532,10.697937,8.629471,8.637382,9.971071,8.962375,9.321725,9.305724,8.78606,8.686094,7.316773,8.054842,8.782099,9.995496,8.523405,9.302477,8.929186,9.077255,8.747185,9.673867,9.723114,9.562211,10.209118,9.548246,10.120551,9.4037,9.764504,9.635477,11.055594,8.889511,9.839232,9.043596,9.335401,8.9518,9.24752,9.194077,9.917208,10.376592,9.038702,9.814235,9.628117,9.018357,8.98562,9.293435,9.687524,9.954841,9.632951,9.547472,9.216074,8.808552,10.08784,9.906213,10.05973,10.061587,9.952822,9.85227,9.32465,8.809154,8.912238,9.404281,8.47321,10.238428,9.72305,8.601031,9.283727,9.301992,9.697144,8.109392,8.888432,7.470047,9.188306,8.159564,10.227227,10.20158,9.296301,10.400327,8.992746,9.341915,9.640519,9.537426,8.741827,9.539589,9.26159,9.460551,8.878779,9.115891,9.723406,9.188598,9.620444,9.214163,9.286606,8.161251,9.36769,9.08633,9.875038,9.265738,9.752944,9.470187,9.136294,8.910113,9.989352,9.186318,9.522625,9.689239
671,2.704642,2.728228,3.089982,2.86542,3.093891,3.021133,3.081557,2.884831,3.434168,2.998383,2.94577,3.241189,3.022763,2.843345,2.954813,3.014685,3.010066,3.319618,2.893395,3.329933,3.38651,2.773052,3.433636,3.518727,3.60791,3.183245,3.056706,3.115622,3.173745,2.890673,2.8934,2.971492,3.041364,2.735424,3.010142,3.257856,2.684197,2.838225,3.264106,3.056054,3.019425,3.192207,3.18567,2.990098,2.858628,2.980978,2.966605,2.902297,2.910917,3.181577,3.05696,2.987039,2.941192,2.748451,3.084361,2.805369,2.843223,2.858198,3.049436,3.137036,3.393463,3.020777,3.212665,2.651412,2.879123,2.880748,3.463237,3.289396,2.810154,2.783732,3.217234,3.370655,3.315924,2.882371,3.070437,2.74339,2.950376,2.866809,2.95675,3.029735,3.315119,3.088076,3.038138,3.213487,2.989648,3.185894,3.041256,3.109528,3.331782,2.765137,3.195834,2.7684,2.986969,2.925588,2.997163,3.558065,2.89361,2.707889,3.210454,3.177441,2.945602,3.074075,2.871589,3.157327,3.134117,2.958149,3.16877,2.978604,2.979551,3.07827,3.220484,3.393065,2.974133,3.01186,3.234854,3.080793,2.971434,3.085084,3.089492,2.986236,3.08879,3.333831,3.385716,2.727575,3.384113,3.179273,3.137094,2.982512,2.825412,3.315127,2.987038,2.744836,2.970712,2.880628,3.191081,2.950311,2.773596,2.860336,3.366196,3.167363,2.848128,2.846853,3.171318,2.927066,3.289511,2.844124,2.761949,2.90121,3.121541,2.959317,3.382834,3.022302,3.123315,2.878473,3.166748,3.093065,2.999449,2.695413,2.810084,3.009584,3.027303,3.125092,3.088117
721,7.047972,5.856686,7.607424,5.43217,5.340869,5.745647,5.837399,4.953526,5.721443,7.184723,7.340814,8.390632,5.008957,4.521838,5.413459,4.463378,6.187933,6.077697,5.325142,4.958515,5.44244,6.174869,6.222486,6.337152,4.700843,5.055705,6.70266,6.387046,4.431824,5.473194,6.318943,5.654594,5.05222,5.967769,5.906322,5.876584,7.444371,6.080243,4.370257,6.215831,5.709491,5.888973,6.885247,5.442523,5.779448,5.819838,6.476375,5.521975,5.826625,5.701623,5.008543,5.412634,5.8886,7.147222,5.770788,5.230909,4.667666,5.575359,6.214875,6.162844,5.236071,5.066298,5.522796,6.046239,6.268013,6.469681,6.664953,6.449802,7.047286,6.633863,5.973834,5.438462,6.036873,6.111811,6.378519,6.033831,5.616812,6.306984,5.52778,6.713631,7.117487,4.079195,5.761506,5.564597,5.567425,5.919906,5.982541,5.053363,5.954075,7.984816,5.591622,6.175175,6.145476,5.687081,5.771562,4.380951,5.874132,6.38068,4.758647,4.882838,4.909817,6.467144,5.721298,6.000315,5.676375,5.758906,6.036451,5.912605,6.935696,5.629257,6.154057,5.636286,5.193884,6.568352,5.217257,5.428954,6.340043,5.712313,4.470145,5.08155,8.427274,5.750586,6.983338,4.967515,5.732507,6.37871,6.173477,5.308046,6.672913,6.168545,5.073731,5.003653,4.790138,7.796796,6.394485,6.202291,5.620683,6.26109,5.61174,5.915944,6.043032,5.724604,5.777335,5.765894,6.639461,4.93169,5.349983,6.168469,6.100349,5.474833,5.313828,5.701054,6.404518,6.165919,6.134219,5.604471,6.153702,5.872673,6.441269,6.021527,5.445611,5.314647,4.288473
750,6.010307,6.95044666666667,4.324012,7.18817066666667,4.95382033333333,3.695083,5.376629,4.813826,5.570182,5.98471666666667,6.30518133333333,5.50870733333333,5.19463033333333,7.225236,6.72531033333333,6.74343366666667,7.083647,5.278328,3.891073,3.56498166666667,7.19599466666667,7.15855333333333,5.00685966666667,6.70745266666667,5.82239466666667,7.674375,5.654249,5.26394033333333,6.92454266666667,3.61597166666667,4.14388933333333,6.73471866666667,6.20784466666667,4.28946566666667,6.37980666666667,7.108344,6.213389,6.94931566666667,7.18828433333333,5.81717033333333,6.731855,3.23838666666667,7.02401833333333,4.67224666666667,7.158233,4.164997,3.49152,6.90206033333333,6.51604333333333,6.872413,4.28981833333333,5.908576,7.253153,3.882054,6.23343733333333,4.04134533333333,6.53299266666667,5.84230433333333,6.71640866666667,6.08794966666667,6.57350866666667,6.40525366666667,7.23748533333333,6.48514533333333,6.93180833333333,3.49651633333333,6.14357133333333,4.14411066666667,6.85622466666667,7.02763766666667,3.873565,6.330475,6.091392,5.998393,7.06544366666667,6.709414,3.9318,4.85608366666667,6.73891066666667,4.04947866666667,4.60529966666667,3.70222933333333,6.56403133333333,3.49500633333333,5.189605,6.88225766666667,6.16440666666667,6.059651,6.559869,6.88220566666667,6.13515966666667,7.03562033333333,4.20246466666667,6.10216666666667,6.476041,4.36625666666667,6.84577833333333,4.26012933333333,7.03527266666667,6.215504,4.19973833333333,6.368603,6.836968,5.88627566666667,4.57006366666667,6.63683433333333,6.15827266666667,6.95016833333333,6.97187,6.88741666666667,7.46025866666667,4.50933266666667,7.049982,4.85257566666667,6.71842966666667,6.92123533333333,6.33936566666667,4.47973533333333,6.27604166666667,5.984009,5.46004166666667,4.635699,3.16489566666667,6.67015166666667,6.57715266666667,6.284617,6.57663866666667,7.03506433333333,6.924381,6.681109,5.646067,6.74113466666667,6.46228833333333,4.07866666666667,4.42179633333333,6.46271933333333,5.48531633333333,6.30222866666667,6.26344933333333,6.177818,4.05342666666667,7.131341,6.076833,6.398099,5.39549666666667,3.64445733333333,6.77118766666667,3.73888266666667,3.74014433333333,6.86093333333333,5.968242,6.15877266666667,3.68444333333333,6.55602333333333,3.79839933333333,6.489322,4.05306466666667,6.16066433333333,6.556483,5.70641433333333,6.54114533333333,6.03710966666667,6.154158
1250,3.235609,3.129587,3.00357,3.516267,4.010535,3.244285,3.668258,3.646572,3.98087,3.031534,2.823076,3.319092,3.381158,3.181685,3.872606,3.056778,2.946285,2.83662,2.951244,3.302573,3.081178,3.450874,3.345664,2.886617,3.218264,2.92093,2.737722,2.749757,3.012489,3.141115,2.912824,2.928681,2.959376,2.58954,4.198834,3.113318,3.302332,2.937186,3.203312,2.823738,2.93774,2.945425,3.664981,3.002533,3.887871,2.851055,3.264782,3.152827,3.196637,3.373707,3.318242,2.869162,3.580666,2.640666,2.996004,2.817257,3.412129,2.941665,3.19362,3.46164,3.781388,2.887188,2.66666,3.152706,3.143061,3.037728,2.976818,2.908882,3.998714,3.180442,3.055666,3.240707,3.787728,2.883219,3.078562,3.000621,3.203264,2.74848,2.972717,3.146396,2.887873,2.952787,2.931597,2.883262,3.299016,3.547099,3.039668,2.898804,3.566515,3.28528,2.701696,3.067393,2.866094,3.146132,3.043404,2.739121,3.172338,2.648823,3.534249,2.968793,2.907136,3.000542,3.051352,3.221677,3.226243,3.092198,2.886187,3.082364,3.126606,3.171946,4.216495,3.115166,2.960231,2.910038,3.088302,3.051683,3.692704,3.252429,3.279837,3.195684,3.076743,3.021917,2.628103,3.638804,3.182023,2.967684,3.425487,2.802172,3.764794,3.00273,2.703327,3.808902,2.838618,3.072878,2.841579,3.193346,3.03122,3.313027,2.806556,3.197603,3.121562,3.377343,3.319581,3.080774,3.064801,3.130543,3.017804,3.176112,2.554364,3.101152,3.196628,2.607872,3.053828,3.233097,2.627896,2.784893,2.813627,2.620603,3.942558,3.634344,3.319375,2.829193,2.757806
1417,5.770905,5.0841635,4.7510785,5.2947915,5.5314785,5.35009,6.537543,3.6431805,6.6760775,4.463763,5.2508515,4.8134735,3.979787,3.6277515,6.083663,6.223511,5.005324,5.2324515,5.1376755,4.3545515,5.257664,3.954866,4.1648595,4.6009335,4.231419,4.639509,4.735131,6.6387945,4.399961,4.671254,5.153277,4.94329,5.545574,4.8584625,5.3342025,4.7844115,4.7633995,5.9920155,5.773203,6.417907,5.312076,5.1019955,4.7908255,6.2546865,3.6543395,4.511966,3.4867995,6.557363,6.5509555,4.344656,5.2088595,4.500524,4.214903,5.0390855,6.384097,4.6355845,6.6670535,5.9730515,5.004469,3.99492,5.552498,5.3945885,5.2775225,7.747065,5.605533,3.7702035,4.0173215,4.8553915,3.9311185,4.3101295,4.090017,5.5711085,5.7311055,3.723566,4.477989,4.974929,4.678606,4.821658,6.088362,4.8457425,4.7526285,4.9915635,4.890031,5.9638615,5.4077635,6.2676435,4.8251115,5.5577705,5.1473545,6.699781,5.1259155,5.169823,4.483549,4.6308155,5.107376,4.8439155,6.3422115,4.579428,4.0754595,4.9558095,4.7226565,4.6107165,4.520987,5.549634,4.64034,4.6299045,4.573667,5.260955,6.2389425,6.2652945,5.256093,4.9358425,5.826332,4.5539185,4.4379615,5.091976,4.8387785,3.652245,3.9469845,5.217311,4.651368,5.0674915,6.0966075,4.743437,4.60968,5.2025545,3.8406355,4.929868,4.541417,5.056118,5.103616,6.353533,6.3638985,3.6024015,5.193938,4.118806,4.9643395,4.5167975,5.9877925,4.9887945,5.0478075,5.6497475,5.8227255,4.273608,5.651523,4.9968745,4.9353485,3.545934,4.190951,5.4026075,5.068123,5.7450285,6.4846545,6.589285,4.2119755,5.947584,4.833029,4.8662885,4.2730175,4.7615315,4.1788925,4.8857895,7.0994785
1500,5.971146,4.67322,4.33395,5.168097,5.449665,4.719487,6.765011,3.930421,5.841049,4.778616,4.505782,5.601685,4.231987,5.380848,5.761843,4.930283,5.936871,5.493699,4.380594,6.046978,6.588142,5.245299,5.15954,5.022355,5.968519,5.712986,4.844116,5.754543,5.659516,5.951694,5.417081,5.35205,5.324497,4.239867,5.190667,5.320001,5.025944,5.330102,5.737777,4.994802,4.953476,4.774178,5.201429,5.547054,5.015073,4.814452,4.918045,4.982754,5.831688,5.334108,5.242779,5.39221,5.302384,4.984091,5.089927,4.46238,6.093528,5.787268,7.250443,4.324254,6.925292,7.076912,5.428754,5.994792,4.748854,4.508914,5.617752,5.528611,5.497454,4.850137,4.941169,5.60958,5.586294,4.379594,5.215963,5.467708,4.743695,4.667899,5.49098,4.698653,4.023237,5.442771,5.269212,5.317407,6.531297,5.093243,6.350573,5.688936,4.400907,5.739146,4.975241,5.332354,5.592936,4.915595,5.734623,4.905767,5.708219,5.809121,5.253216,5.955096,4.008267,5.518546,5.303446,6.599597,5.221134,5.354626,4.495071,5.264797,5.838733,5.220991,6.507846,5.705264,5.168546,5.773908,5.521936,6.075105,5.621181,4.45618,5.903313,5.626181,5.477429,5.394311,6.32263,5.860748,5.311912,6.235844,5.697095,5.837554,3.743552,4.455515,4.976095,6.995923,6.76211,3.423775,5.113128,4.79856,6.770026,5.434141,6.309115,4.853619,5.231434,6.94871,6.529192,6.205834,5.784489,5.801036,5.997262,4.640656,4.839771,6.20043,5.046022,5.528291,5.778993,6.755636,4.895189,6.158897,5.913805,5.6362,6.230956,5.115112,5.699559,4.328274,5.75739
2229,4.451632,4.992353,4.35205,4.711108,3.906224,5.228073,3.33191,4.379513,4.945175,3.589421,5.909289,5.417007,4.16331,4.183026,5.445729,5.984541,5.971068,4.069987,4.25236,3.404951,5.582367,4.095918,4.965677,3.961822,3.658186,3.765402,4.024445,3.774768,4.325913,3.759904,5.148604,4.253525,4.315247,5.208867,4.212837,4.253155,6.252649,4.882907,3.044152,4.899742,6.091683,4.761369,3.46542,4.0495,4.977081,4.318411,4.271676,4.072009,5.258497,4.54671,4.163167,4.356472,4.58698,4.856293,4.919466,3.692911,3.958641,3.9168,4.180901,4.374274,4.698436,5.134638,4.376166,4.463449,4.292844,4.462116,4.508576,4.351402,4.711458,4.731764,4.336489,3.47945,4.506116,3.103725,4.000235,4.372448,5.194738,4.495141,4.792662,4.607261,4.117139,3.184415,4.119503,4.691743,4.867688,5.82816,4.35621,4.404662,4.861338,5.609435,4.936612,5.73591,5.075918,3.600013,4.780664,4.300644,5.224386,4.56205,4.432867,5.671001,3.459214,4.162603,6.194777,5.087619,4.373725,4.483697,4.222774,4.757786,4.96368,4.411306,4.263118,4.121972,4.675119,4.770541,4.956896,4.627437,4.255204,3.480761,3.377695,4.098801,5.590357,3.805818,3.688341,4.397836,3.94244,4.92798,4.087238,4.821828,5.784509,3.867273,4.060461,3.591044,4.384035,6.914056,4.296977,4.685431,4.66946,4.051363,4.558746,4.447308,4.42235,3.903511,3.658869,3.870934,4.65331,4.833951,3.449602,3.897918,5.10626,4.661665,3.803571,4.37417,5.079933,4.617185,4.861654,3.861336,4.015484,3.840222,4.863313,4.27262,3.83911,4.755895,5.035975
2234,8.719323,8.950384,9.361612,8.368783,7.174967,10.016,7.625921,9.196507,8.135676,8.047873,9.314238,9.172009,8.569849,6.065315,9.710416,8.62567,8.186379,10.404215,10.442303,7.332041,7.685351,8.842297,8.872878,8.043809,8.203679,8.985535,8.212416,8.483053,9.14144,8.453355,9.361082,8.617378,8.924458,8.905137,9.694652,8.64738,9.722298,6.321748,8.260435,8.707442,9.541331,8.423759,9.333434,9.19232,8.979733,8.100556,8.200232,10.267885,8.749525,8.21509,7.921774,8.588366,8.390683,7.920417,8.641511,8.406705,9.875064,7.751688,8.85434,7.747169,6.569505,8.921197,9.315811,8.58576,8.949337,7.244402,9.783372,8.463653,8.917767,9.458532,9.246196,7.513227,8.392535,9.418427,6.811691,9.155038,8.913527,9.79277,8.654698,9.520088,9.090133,8.313309,8.429332,7.758234,8.308948,9.966686,8.190404,8.752535,9.182083,8.419055,8.576856,9.333435,8.632596,8.433615,8.651371,7.854821,7.773119,8.085437,7.091069,8.790788,8.240467,8.013892,8.911336,8.646479,8.96452,9.034621,7.535311,9.538135,8.848174,7.556433,9.131517,7.871247,8.051999,8.846111,8.917659,8.074702,8.506757,9.406914,8.879782,8.198621,9.190697,8.438198,9.221477,7.467685,8.03513,8.532317,9.437682,7.632554,9.865768,9.045003,7.911558,8.187481,6.622568,7.439056,8.25417,8.293769,7.564271,8.534896,7.586034,8.653505,8.780768,8.071341,9.018482,7.946209,9.048716,8.682484,9.449052,8.611651,8.896742,8.392093,8.371954,10.424538,8.285569,8.0847,8.856001,8.453341,8.745995,8.711124,9.81452,10.045829,7.93124,9.026424,9.078398
