IDENTIFIER,Entrez Gene,,,,,,,,,,,,,,,,,,,,,
MIR4640,780,100616237,,,,,,,,,,,,,,,,,,,,
RFC2,5982,,,,,,,,,,,,,,,,,,,,,
HSPA6,3310,,,,,,,,,,,,,,,,,,,,,
PAX8,7849,,,,,,,,,,,,,,,,,,,,,
GUCA1A,2978,,,,,,,,,,,,,,,,,,,,,
MIR5193,7318,100847079,,,,,,,,,,,,,,,,,,,,
THRA,7067,,,,,,,,,,,,,,,,,,,,,
PTPN21,11099,,,,,,,,,,,,,,,,,,,,,
CCL5,6352,,,,,,,,,,,,,,,,,,,,,
CYP2E1,1571,,,,,,,,,,,,,,,,,,,,,
EPHB3,2049,,,,,,,,,,,,,,,,,,,,,
ESRRA,2101,,,,,,,,,,,,,,,,,,,,,
CYP2A6,1548,,,,,,,,,,,,,,,,,,,,,
GAS6,2621,,,,,,,,,,,,,,,,,,,,,
MMP14,4323,,,,,,,,,,,,,,,,,,,,,
TRADD,8717,,,,,,,,,,,,,,,,,,,,,
CHURC1-FNTB,2342,100529261,,,,,,,,,,,,,,,,,,,,
PLD1,5337,,,,,,,,,,,,,,,,,,,,,
DTX2P1-UPK3BP1-PMS2P11,441263,,,,,,,,,,,,,,,,,,,,,
BAD,572,,,,,,,,,,,,,,,,,,,,,
PRPF8,10594,,,,,,,,,,,,,,,,,,,,,
CAPNS1,826,,,,,,,,,,,,,,,,,,,,,
RPL35,11224,,,,,,,,,,,,,,,,,,,,,
MIR6805,6158,,,,,,,,,,,,,,,,,,,,,
EIF4G2,1982,,,,,,,,,,,,,,,,,,,,,
EIF3D,8664,,,,,,,,,,,,,,,,,,,,,
PARK7,11315,,,,,,,,,,,,,,,,,,,,,
SRP14,6727,,,,,,,,,,,,,,,,,,,,,
GDI2,2665,,,,,,,,,,,,,,,,,,,,,
GDI2,2665,,,,,,,,,,,,,,,,,,,,,
RPL11,6135,,,,,,,,,,,,,,,,,,,,,
ARF3,377,,,,,,,,,,,,,,,,,,,,,
RPL21P28,6144,26771,619499,100131205,,,,,,,,,,,,,,,,,,
RPL24,6152,,,,,,,,,,,,,,,,,,,,,
HNRNPC,3183,,,,,,,,,,,,,,,,,,,,,
2-Sep,4735,,,,,,,,,,,,,,,,,,,,,
HNRNPA1P10,3178,,,,,,,,,,,,,,,,,,,,,
RPS27A,6233,,,,,,,,,,,,,,,,,,,,,
LOC100508408,6207,85388,100508408,,,,,,,,,,,,,,,,,,,
FAU,2197,,,,,,,,,,,,,,,,,,,,,
TARDBP,23435,,,,,,,,,,,,,,,,,,,,,
CFL1,1072,,,,,,,,,,,,,,,,,,,,,
RPL18,6141,,,,,,,,,,,,,,,,,,,,,
EIF3F,8665,,,,,,,,,,,,,,,,,,,,,
RPS5,6193,,,,,,,,,,,,,,,,,,,,,
RPL27,6155,,,,,,,,,,,,,,,,,,,,,
RPL34,6164,,,,,,,,,,,,,,,,,,,,,
NARS,4677,,,,,,,,,,,,,,,,,,,,,
STARD7,56910,,,,,,,,,,,,,,,,,,,,,
RPL19,6143,,,,,,,,,,,,,,,,,,,,,
SLC25A3,5250,,,,,,,,,,,,,,,,,,,,,
