Probe Set ID,Gene Symbol G,Entrez Gene,IDENTIFIER
1007_s_at,DDR1 /// MIR4640,780 /// 100616237,MIR4640
1053_at,RFC2,5982,RFC2
117_at,HSPA6,3310,HSPA6
121_at,PAX8,7849,PAX8
1255_g_at,GUCA1A,2978,GUCA1A
1294_at,MIR5193 /// UBA7,7318 /// 100847079,MIR5193
1316_at,THRA,7067,THRA
1320_at,PTPN21,11099,PTPN21
1405_i_at,CCL5,6352,CCL5
1431_at,CYP2E1,1571,CYP2E1
1438_at,EPHB3,2049,EPHB3
1487_at,ESRRA,2101,ESRRA
1494_f_at,CYP2A6,1548,CYP2A6
1598_g_at,GAS6,2621,GAS6
160020_at,MMP14,4323,MMP14
1729_at,TRADD,8717,TRADD
1773_at,CHURC1-FNTB /// FNTB,2342 /// 100529261,CHURC1-FNTB
177_at,PLD1,5337,PLD1
179_at,DTX2P1-UPK3BP1-PMS2P11,441263,DTX2P1-UPK3BP1-PMS2P11
1861_at,BAD,572,BAD
200000_s_at,PRPF8,10594,PRPF8
200001_at,CAPNS1,826,CAPNS1
200002_at,RPL35,11224,RPL35
200003_s_at,RPL28,6158,MIR6805
200004_at,EIF4G2,1982,EIF4G2
200005_at,EIF3D,8664,EIF3D
200006_at,PARK7,11315,PARK7
200007_at,SRP14,6727,SRP14
200008_s_at,GDI2,2665,GDI2
200009_at,GDI2,2665,GDI2
200010_at,RPL11,6135,RPL11
200011_s_at,ARF3,377,ARF3
200012_x_at,RPL21 /// RPL21P28 /// SNORA27 /// SNORD102,6144 /// 26771 /// 619499 /// 100131205,RPL21P28
200013_at,RPL24,6152,RPL24
200014_s_at,HNRNPC,3183,HNRNPC
200015_s_at,/SEPT2,4735,2-Sep
200016_x_at,HNRNPA1,3178,HNRNPA1P10
200017_at,RPS27A,6233,RPS27A
200018_at,LOC100508408 /// RPS13 /// SNORD14B,6207 /// 85388 /// 100508408,LOC100508408
200019_s_at,FAU,2197,FAU
200020_at,TARDBP,23435,TARDBP
200021_at,CFL1,1072,CFL1
200022_at,RPL18,6141,RPL18
200023_s_at,EIF3F,8665,EIF3F
200024_at,RPS5,6193,RPS5
200025_s_at,RPL27,6155,RPL27
200026_at,RPL34,6164,RPL34
200027_at,NARS,4677,NARS
200028_s_at,STARD7,56910,STARD7
200029_at,RPL19,6143,RPL19
200030_s_at,SLC25A3,5250,SLC25A3
200031_s_at,RPS11 /// SNORD35B,6205 /// 84546,SNORD35B
200032_s_at,RPL9,6133,RPL9
200033_at,DDX5 /// MIR3064 /// MIR5047,1655 /// 100616387 /// 100616408,MIR5047
200034_s_at,RPL6,6128,RPL6
200035_at,CTDNEP1,23399,CTDNEP1
200036_s_at,RPL10A,4736,RPL10A
200037_s_at,CBX3,11335,CBX3
200038_s_at,RPL17 /// RPL17-C18orf32 /// SNORD58A /// SNORD58B /// SNORD58C,6139 /// 26790 /// 26791 /// 100124516 /// 100526842,RPL17-C18orf32
200039_s_at,PSMB2,5690,PSMB2
200040_at,KHDRBS1,10657,KHDRBS1
200041_s_at,ATP6V1G2-DDX39B /// DDX39B /// SNORD84,7919 /// 692199 /// 100532737,ATP6V1G2-DDX39B
200042_at,RTCB,51493,RTCB
200043_at,ERH,2079,ERH
200044_at,GATC /// SRSF9,8683 /// 283459,GATC
200045_at,ABCF1,23,ABCF1
200046_at,DAD1,1603,DAD1
200047_s_at,YY1,7528,YY1
200048_s_at,JTB,10899,JTB
200049_at,KAT7,11143,KAT7
200050_at,ZNF146,7705,ZNF146
200051_at,SART1,9092,SART1
200052_s_at,ILF2,3608,ILF2
200053_at,SPAG7,9552,SPAG7
200054_at,ZNF259,8882,ZPR1
200055_at,TAF10,6881,TAF10
200056_s_at,C1D,10438,C1D
200057_s_at,NONO,4841,NONO
200058_s_at,SNRNP200,23020,LOC101929240
200059_s_at,RHOA,387,RHOA
200060_s_at,RNPS1,10921,RNPS1
200061_s_at,RPS24,6229,RPS24
200062_s_at,RPL30,6156,RPL30
200063_s_at,NPM1,4869,NPM1
200064_at,HSP90AB1,3326,HSP90AB1
200065_s_at,ARF1 /// MIR3620,375 /// 100500810,MIR3620
200066_at,IK,3550,IK
200067_x_at,SNX3,8724,SNX3
200068_s_at,CANX,821,CANX
200069_at,SART3,9733,SART3
200070_at,CNPPD1,27013,CNPPD1
200071_at,SMNDC1,10285,SMNDC1
200072_s_at,HNRNPM,4670,HNRNPM
200073_s_at,HNRNPD,3184,HNRNPD
200074_s_at,RPL14,9045,RPL14
200075_s_at,GUK1,2987,GUK1
200076_s_at,KXD1,79036,KXD1
200077_s_at,OAZ1,4946,OAZ1
200078_s_at,ATP6V0B,533,ATP6V0B
200079_s_at,KARS,3735,KARS
200080_s_at,H3F3A /// H3F3AP4 /// H3F3B,3020 /// 3021 /// 440926,H3F3AP4
200081_s_at,RPS6,6194,RPS6
200082_s_at,RPS7,6201,RPS7
200083_at,USP22,23326,USP22
200084_at,C11orf58,10944,C11orf58
200085_s_at,TCEB2,6923,TCEB2
200086_s_at,COX4I1,1327,COX4I1
200087_s_at,TMED2,10959,TMED2
200088_x_at,NBEAL1 /// RPL12,6136 /// 65065,NBEAL1
200089_s_at,RPL4 /// SNORD16 /// SNORD18A /// SNORD18B /// SNORD18C,6124 /// 595097 /// 595098 /// 595099 /// 595100,SNORD18C
200090_at,FNTA,2339,FNTA
200091_s_at,RPS25,6230,RPS25
200092_s_at,RPL37,6167,RPL37
200093_s_at,HINT1,3094,HINT1
200094_s_at,EEF2,1938,EEF2
200095_x_at,RPS10,6204,RPS10
200096_s_at,ATP6V0E1,8992,ATP6V0E1
200097_s_at,HNRNPK /// MIR7-1,3190 /// 407043,HNRNPK
200098_s_at,ANAPC5,51433,ANAPC5
200099_s_at,RPS3A /// SNORD73A,6189 /// 8944,SNORD73A
200593_s_at,HNRNPU,3192,HNRNPU
200594_x_at,HNRNPU,3192,HNRNPU
200595_s_at,EIF3A,8661,EIF3A
200596_s_at,EIF3A,8661,EIF3A
200597_at,EIF3A,8661,EIF3A
200598_s_at,HSP90B1 /// MIR3652,7184 /// 100500842,MIR3652
200599_s_at,HSP90B1 /// MIR3652,7184 /// 100500842,MIR3652
200600_at,MSN,4478,MSN
200601_at,ACTN4,81,ACTN4
200602_at,APP,351,APP
200603_at,PRKAR1A,5573,PRKAR1A
200604_s_at,PRKAR1A,5573,PRKAR1A
200605_s_at,PRKAR1A,5573,PRKAR1A
200606_at,DSP,1832,DSP
200607_s_at,RAD21,5885,RAD21
200608_s_at,RAD21,5885,RAD21
200609_s_at,WDR1,9948,WDR1
200610_s_at,LOC100996253 /// NCL,4691 /// 100996253,NCL
200611_s_at,WDR1,9948,WDR1
200612_s_at,AP2B1,163,AP2B1
200613_at,AP2M1,1173,AP2M1
200614_at,CLTC,1213,CLTC
200615_s_at,AP2B1,163,AP2B1
200616_s_at,MLEC,9761,MLEC
200617_at,MLEC,9761,MLEC
200618_at,LASP1,3927,LASP1
200619_at,SF3B2,10992,SF3B2
200620_at,TMEM59,9528,TMEM59
200621_at,CSRP1,1465,CSRP1
200622_x_at,CALM1 /// CALM2 /// CALM3,801 /// 805 /// 808,CALM3
200623_s_at,CALM1 /// CALM2 /// CALM3,801 /// 805 /// 808,CALM3
200624_s_at,MATR3 /// SNHG4,9782 /// 724102,SNHG4
200625_s_at,CAP1,10487,CAP1
200626_s_at,MATR3 /// SNHG4,9782 /// 724102,SNHG4
200627_at,PTGES3,10728,PTGES3
200628_s_at,WARS,7453,WARS
200629_at,WARS,7453,WARS
200630_x_at,SET,6418,SETSIP
200631_s_at,SET,6418,SETSIP
200632_s_at,NDRG1,10397,NDRG1
200633_at,UBB,7314,UBB
200634_at,PFN1,5216,PFN1
200635_s_at,PTPRF,5792,PTPRF
200636_s_at,PTPRF,5792,PTPRF
200637_s_at,PTPRF,5792,PTPRF
200638_s_at,YWHAZ,7534,YWHAZ
200639_s_at,YWHAZ,7534,YWHAZ
200640_at,YWHAZ,7534,YWHAZ
200641_s_at,YWHAZ,7534,YWHAZ
200642_at,SOD1,6647,SOD1
200643_at,HDLBP,3069,HDLBP
200644_at,MARCKSL1,65108,MARCKSL1
200645_at,GABARAP,11337,GABARAP
200646_s_at,NUCB1,4924,NUCB1
200647_x_at,EIF3C /// EIF3CL,8663 /// 728689,EIF3CL
200648_s_at,GLUL,2752,GLUL
200649_at,NUCB1,4924,NUCB1
200650_s_at,LDHA,3939,LDHA
200651_at,GNB2L1 /// SNORD95 /// SNORD96A,10399 /// 619570 /// 619571,SNORD96A
200652_at,SSR2,6746,SSR2
200653_s_at,CALM1 /// CALM2 /// CALM3,801 /// 805 /// 808,CALM3
200654_at,P4HB,5034,P4HB
200655_s_at,CALM1 /// CALM2 /// CALM3,801 /// 805 /// 808,CALM3
200656_s_at,P4HB,5034,P4HB
200657_at,SLC25A5,292,SLC25A5
200658_s_at,PHB,5245,PHB
200659_s_at,PHB,5245,PHB
200660_at,S100A11,6282,S100A11
200661_at,CTSA,5476,CTSA
200662_s_at,TOMM20,9804,TOMM20
200663_at,CD63,967,CD63
200664_s_at,DNAJB1,3337,DNAJB1
200665_s_at,SPARC,6678,SPARC
200666_s_at,DNAJB1,3337,DNAJB1
200667_at,UBE2D3,7323,UBE2D3
200668_s_at,UBE2D3,7323,UBE2D3
200669_s_at,UBE2D3,7323,UBE2D3
200670_at,XBP1,7494,XBP1
200671_s_at,SPTBN1,6711,SPTBN1
200672_x_at,SPTBN1,6711,SPTBN1
200673_at,LAPTM4A,9741,LAPTM4A
200674_s_at,RPL32,6161,RPL32
200675_at,CD81,975,CD81
200676_s_at,UBE2L3,7332,UBE2L3
200677_at,PTTG1IP,754,PTTG1IP
200678_x_at,GRN,2896,GRN
200679_x_at,HMGB1,3146,HMGB1
200680_x_at,HMGB1,3146,HMGB1
200681_at,GLO1,2739,GLO1
200682_s_at,UBE2L3,7332,UBE2L3
200683_s_at,UBE2L3,7332,UBE2L3
200684_s_at,UBE2L3,7332,UBE2L3
200685_at,SRSF11,9295,SRSF11
200686_s_at,SRSF11,9295,SRSF11
200687_s_at,SF3B3,23450,SF3B3
200688_at,SF3B3,23450,SF3B3
200689_x_at,EEF1G /// MIR3654,1937 /// 100500804,MIR3654
200690_at,HSPA9,3313,HSPA9
200691_s_at,HSPA9,3313,HSPA9
200692_s_at,HSPA9,3313,HSPA9
200693_at,YWHAQ,10971,YWHAQ
200694_s_at,DDX24,57062,DDX24
200695_at,PPP2R1A,5518,PPP2R1A
200696_s_at,GSN,2934,GSN
200697_at,HK1,3098,HK1
200698_at,KDELR2,11014,KDELR2
200699_at,KDELR2,11014,KDELR2
200700_s_at,KDELR2,11014,KDELR2
200701_at,NPC2,10577,NPC2
200702_s_at,DDX24,57062,DDX24
200703_at,DYNLL1,8655,DYNLL1
200704_at,LITAF,9516,LITAF
200705_s_at,EEF1B2 /// SNORA41,1933 /// 619569,SNORA41
200706_s_at,LITAF,9516,LITAF
200707_at,PRKCSH,5589,PRKCSH
200708_at,GOT2,2806,GOT2
200709_at,FKBP1A,2280,LOC101929368
200710_at,ACADVL,37,ACADVL
200711_s_at,SKP1,6500,SKP1
200712_s_at,MAPRE1,22919,MAPRE1
200713_s_at,MAPRE1,22919,MAPRE1
200714_x_at,OS9,10956,OS9
200715_x_at,RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A,23521 /// 26816 /// 26817 /// 26818 /// 26819,SNORD32A
200716_x_at,RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A,23521 /// 26816 /// 26817 /// 26818 /// 26819 /// 728658,RPL13AP5
200717_x_at,RPL7,6129,RPL7
200718_s_at,SKP1,6500,SKP1
200719_at,SKP1,6500,SKP1
200720_s_at,ACTR1A,10121,ACTR1A
200721_s_at,ACTR1A,10121,ACTR1A
200722_s_at,CAPRIN1,4076,CAPRIN1
