"","countH_Pseudo_Perm","countG","countG_Perm","countGlobalAncova","countN_Perm","countN2_Perm","countGSEA_Category"
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:26,difference(0.1, 0.3, 0.5):8 5 17 ",0,0,0,0,0.196,0.257,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:26,difference(0.1, 0.3, 0.5):8 17 5 ",0,0,0,0,0.127,0.159,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:26,difference(0.1, 0.3, 0.5):17 8 5 ",0,0,0,0,0.095,0.123,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:26,difference(0.1, 0.3, 0.5):10 11 9 ",0,0,0,0,0.133,0.171,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference(0.1, 0.3, 0.5):8 5 17 ",0,0,0,0,0.385,0.417,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference(0.1, 0.3, 0.5):8 17 5 ",0,0,0,0,0.248,0.277,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference(0.1, 0.3, 0.5):17 8 5 ",0,0,0,0,0.164,0.189,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:50,difference(0.1, 0.3, 0.5):10 11 9 ",0,0,0,0,0.273,0.297,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference(0.1, 0.3, 0.5):8 5 17 ",0,0,0,0,0.514,0.531,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference(0.1, 0.3, 0.5):8 17 5 ",0,0,0,0,0.352,0.374,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference(0.1, 0.3, 0.5):17 8 5 ",0,0,0,0,0.226,0.241,0
"composition:0.5 0.5 ,rho:0.1 0.9 ,probes:30,size:70,difference(0.1, 0.3, 0.5):10 11 9 ",0,0,0,0,0.377,0.398,0
