"","countH_Pseudo_Perm","countG","countG_Perm","countGlobalAncova","countN_Perm","countN2_Perm","countGSEA_Category"
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0",0,0,0,0,0.015,0.057,0
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.1",0,0,0,0,0.092,0.175,0
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.3",0,0,0,0,0.763,0.859,0
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.5",0,0,0,0,0.997,0.999,0
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.7",0,0,0,0,1,1,0
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.9",0,0,0,0,1,1,0
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:1",0,0,0,0,1,1,0
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:2",0,0,0,0,1,1,0
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0",0,0,0,0,0.052,0.048,0
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.1",0,0,0,0,0.067,0.069,0
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.3",0,0,0,0,0.249,0.248,0
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.5",0,0,0,0,0.542,0.545,0
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.7",0,0,0,0,0.837,0.842,0
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.9",0,0,0,0,0.965,0.962,0
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:1",0,0,0,0,0.991,0.99,0
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:2",0,0,0,0,1,1,0
