"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"ColorectalB_p53_CN",0.038,0.03,0.064,0.048,0.002,0.028,0.01,0.036,0.002
"ColorectalB_PI3K_Akt_CN",0.066,0.044,0.12,0.07,0.01,0.038,0.018,0.046,0.01
"ColorectalB_Ras_CN",0.066,0.048,0.158,0.102,0.016,0.048,0.042,0.074,0.016
"ColorectalB_TGF_beta_CN",0.08,0.062,0.138,0.094,0.03,0.06,0.04,0.07,0.03
"ColorectalB_Wnt_CN",0.06,0.056,0.09,0.08,0.018,0.052,0.02,0.058,0.016
"ColorectalB_p53_unique_CN",0.042,0.034,0.058,0.066,0.008,0.03,0.01,0.036,0.006
"ColorectalB_PI3K_Akt_unique_CN",0.04,0.066,0.15,0.086,0.026,0.062,0.038,0.074,0.026
"ColorectalB_Ras_unique_CN",0.07,0.036,0.11,0.08,0.006,0.036,0.022,0.052,0.006
"ColorectalB_TGF_beta_unique_CN",0.078,0.07,0.128,0.104,0.024,0.064,0.042,0.082,0.024
"ColorectalB_Wnt_unique_CN",0.072,0.07,0.114,0.104,0.028,0.062,0.048,0.082,0.028
"ColorectalB_p53_NC",0.066,0.064,0.096,0.09,0.026,0.056,0.028,0.058,0.026
"ColorectalB_PI3K_Akt_NC",0.044,0.052,0.14,0.088,0.02,0.044,0.04,0.068,0.018
"ColorectalB_Ras_NC",0.054,0.07,0.154,0.1,0.034,0.068,0.046,0.084,0.032
"ColorectalB_TGF_beta_NC",0.038,0.032,0.082,0.054,0.006,0.032,0.016,0.042,0.006
"ColorectalB_Wnt_NC",0.056,0.05,0.13,0.084,0.012,0.04,0.028,0.056,0.012
"ColorectalB_p53_unique_NC",0.04,0.056,0.148,0.078,0.028,0.054,0.036,0.062,0.028
"ColorectalB_PI3K_Akt_unique_NC",0.054,0.044,0.156,0.084,0.022,0.038,0.052,0.072,0.02
"ColorectalB_Ras_unique_NC",0.062,0.054,0.17,0.074,0.024,0.042,0.04,0.062,0.022
"ColorectalB_TGF_beta_unique_NC",0.038,0.046,0.056,0.066,0.012,0.04,0.012,0.044,0.01
"ColorectalB_Wnt_unique_NC",0.072,0.054,0.162,0.1,0.026,0.05,0.046,0.07,0.026
