MVT rho 0.9,countH_Pseudo_Perm,countG,countG_Perm,countGlobalAncova,countN_Perm,countGSEA_Category
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0.1 0.3 0.5)15 7 8 ",0.994,0.301,0.308,0.298,0.571,0.249
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0.1 0.3 0.5)15 8 7 ",0.993,0.284,0.289,0.284,0.535,0.242
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0.1 0.3 0.5)7 15 8 ",0.992,0.376,0.384,0.365,0.607,0.333
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0.1 0.3 0.5)8 15 7 ",0.991,0.354,0.363,0.348,0.578,0.31
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0.1 0.3 0.5)7 8 15 ",0.994,0.474,0.48,0.464,0.746,0.422
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0.1 0.3 0.5)8 7 15 ",0.994,0.468,0.473,0.467,0.748,0.414
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0.1 0.3 0.5)10 10 10 ",0.994,0.385,0.39,0.375,0.652,0.319
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0 0.5)12 18 ",0.995,0.478,0.487,0.476,0.93,0.323
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0 3)27 3 ",1,0.995,0.998,0.998,1,0.348
"composition:1 ,rho:0.9 ,probes:30,size:70,difference(0.3)30 ",0.215,0.311,0.317,0.306,0.425,0.32
