"","countH_Pseudo_Perm","countG","countG_Perm","countGlobalAncova","countN_Perm","countGSEA_Category"
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0.1 0.3 0.5)15 7 8 ",0.891,0.915,0.911,0.91,0.909,0.811
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0.1 0.3 0.5)15 8 7 ",0.865,0.891,0.888,0.888,0.891,0.801
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0.1 0.3 0.5)7 15 8 ",0.913,0.95,0.948,0.939,0.946,0.939
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0.1 0.3 0.5)8 15 7 ",0.896,0.931,0.929,0.927,0.933,0.913
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0.1 0.3 0.5)7 8 15 ",0.982,0.994,0.994,0.992,0.992,0.982
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0.1 0.3 0.5)8 7 15 ",0.981,0.993,0.993,0.992,0.992,0.976
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0.1 0.3 0.5)10 10 10 ",0.941,0.962,0.962,0.958,0.961,0.927
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0 0.5)12 18 ",0.996,0.995,0.995,0.995,0.994,0.927
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0 3)27 3 ",1,1,1,1,1,0.937
"composition:0.5 0.5 ,rho:0.1 0.1 ,probes:30,size:70,difference(0.3)30 ",0.746,0.868,0.864,0.856,0.86,0.925
