"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"LungA_Cell_cycle_CN",0.356,0.526,0.738,0.638,0.47,0.522,0.562,0.618,0.468
"LungA_EGFR_CN",0.374,0.51,0.694,0.602,0.454,0.498,0.53,0.582,0.45
"LungA_Jak_STAT_CN",0.366,0.4,0.702,0.548,0.368,0.396,0.494,0.522,0.368
"LungA_mapk_CN",0.35,0.444,0.708,0.568,0.402,0.444,0.502,0.544,0.402
"LungA_mTOR_CN",0.262,0.374,0.594,0.458,0.326,0.358,0.388,0.448,0.312
"LungA_p53_CN",0.276,0.46,0.652,0.556,0.406,0.442,0.488,0.532,0.402
"LungA_Wnt_CN",0.26,0.446,0.682,0.526,0.388,0.432,0.458,0.526,0.376
"LungA_Cell_cycle_unique_CN",0.378,0.58,0.75,0.698,0.526,0.57,0.626,0.682,0.52
"LungA_EGFR_unique_CN",0.266,0.314,0.534,0.454,0.268,0.308,0.366,0.41,0.266
"LungA_Jak_STAT_unique_CN",0.354,0.482,0.728,0.6,0.452,0.48,0.544,0.572,0.452
"LungA_mapk_unique_CN",0.346,0.468,0.69,0.566,0.424,0.454,0.514,0.556,0.418
"LungA_mTOR_unique_CN",0.182,0.316,0.568,0.422,0.262,0.304,0.34,0.394,0.256
"LungA_p53_unique_CN",0.37,0.538,0.69,0.61,0.482,0.514,0.536,0.596,0.468
"LungA_Wnt_unique_CN",0.196,0.4,0.7,0.452,0.358,0.372,0.406,0.464,0.336
"LungA_Cell_cycle_NC",0.18,0.174,0.442,0.3,0.114,0.162,0.224,0.28,0.11
"LungA_EGFR_NC",0.222,0.194,0.394,0.322,0.148,0.188,0.242,0.282,0.148
"LungA_Jak_STAT_NC",0.148,0.178,0.44,0.244,0.13,0.152,0.186,0.228,0.12
"LungA_mapk_NC",0.118,0.156,0.326,0.232,0.106,0.144,0.164,0.21,0.102
"LungA_mTOR_NC",0.218,0.194,0.428,0.312,0.124,0.186,0.222,0.288,0.122
"LungA_p53_NC",0.19,0.196,0.484,0.324,0.142,0.192,0.254,0.304,0.142
"LungA_Wnt_NC",0.148,0.138,0.37,0.248,0.092,0.134,0.166,0.212,0.09
"LungA_Cell_cycle_unique_NC",0.174,0.222,0.43,0.348,0.144,0.212,0.244,0.316,0.142
"LungA_EGFR_unique_NC",0.228,0.262,0.438,0.358,0.176,0.248,0.258,0.334,0.174
"LungA_Jak_STAT_unique_NC",0.172,0.164,0.396,0.248,0.128,0.146,0.206,0.232,0.124
"LungA_mapk_unique_NC",0.186,0.216,0.414,0.298,0.158,0.202,0.226,0.282,0.152
"LungA_mTOR_unique_NC",0.228,0.208,0.428,0.328,0.156,0.2,0.244,0.288,0.156
"LungA_p53_unique_NC",0.182,0.172,0.45,0.256,0.13,0.156,0.214,0.24,0.13
"LungA_Wnt_unique_NC",0.196,0.16,0.378,0.264,0.122,0.152,0.214,0.244,0.122
