"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"LungB_Cell_cycle_CN",0.8,0.64,0.872,0.822,0.622,0.64,0.782,0.8,0.622
"LungB_EGFR_CN",0.68,0.484,0.788,0.662,0.452,0.478,0.612,0.646,0.448
"LungB_Jak_STAT_CN",0.652,0.514,0.782,0.668,0.476,0.51,0.618,0.656,0.474
"LungB_mapk_CN",0.744,0.558,0.844,0.742,0.526,0.556,0.7,0.734,0.524
"LungB_mTOR_CN",0.688,0.54,0.806,0.696,0.508,0.532,0.662,0.686,0.508
"LungB_p53_CN",0.812,0.63,0.89,0.754,0.616,0.626,0.73,0.744,0.614
"LungB_Wnt_CN",0.728,0.63,0.82,0.748,0.592,0.624,0.688,0.724,0.59
"LungB_Cell_cycle_unique_CN",0.83,0.742,0.918,0.862,0.728,0.74,0.836,0.848,0.728
"LungB_EGFR_unique_CN",0.786,0.628,0.8,0.784,0.588,0.626,0.718,0.756,0.588
"LungB_Jak_STAT_unique_CN",0.776,0.632,0.88,0.788,0.616,0.628,0.76,0.776,0.614
"LungB_mapk_unique_CN",0.788,0.7,0.87,0.826,0.668,0.696,0.782,0.81,0.668
"LungB_mTOR_unique_CN",0.726,0.638,0.832,0.764,0.604,0.63,0.72,0.754,0.6
"LungB_p53_unique_CN",0.794,0.704,0.894,0.814,0.686,0.698,0.796,0.812,0.684
"LungB_Wnt_unique_CN",0.782,0.656,0.878,0.792,0.63,0.654,0.76,0.788,0.628
"LungB_Cell_cycle_NC",0.802,0.746,0.87,0.846,0.71,0.736,0.802,0.844,0.702
"LungB_EGFR_NC",0.88,0.754,0.91,0.856,0.734,0.752,0.824,0.842,0.734
"LungB_Jak_STAT_NC",0.802,0.708,0.902,0.844,0.69,0.706,0.816,0.836,0.688
"LungB_mapk_NC",0.82,0.732,0.896,0.85,0.698,0.73,0.808,0.844,0.696
"LungB_mTOR_NC",0.864,0.75,0.908,0.892,0.73,0.742,0.856,0.88,0.724
"LungB_p53_NC",0.818,0.768,0.886,0.85,0.738,0.764,0.814,0.844,0.736
"LungB_Wnt_NC",0.864,0.766,0.894,0.88,0.744,0.764,0.848,0.868,0.744
"LungB_Cell_cycle_unique_NC",0.868,0.838,0.916,0.89,0.808,0.834,0.856,0.882,0.808
"LungB_EGFR_unique_NC",0.902,0.872,0.928,0.93,0.832,0.866,0.89,0.932,0.828
"LungB_Jak_STAT_unique_NC",0.844,0.796,0.956,0.88,0.786,0.794,0.87,0.882,0.784
"LungB_mapk_unique_NC",0.862,0.818,0.91,0.888,0.786,0.816,0.852,0.882,0.786
"LungB_mTOR_unique_NC",0.908,0.854,0.932,0.942,0.822,0.848,0.904,0.93,0.822
"LungB_p53_unique_NC",0.818,0.802,0.92,0.89,0.768,0.792,0.854,0.886,0.764
"LungB_Wnt_unique_NC",0.904,0.84,0.912,0.908,0.814,0.836,0.87,0.896,0.812
