"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"BreastA_PI3K_Akt_CN",0.082,0.044,0.128,0.068,0.026,0.034,0.036,0.052,0.022
"BreastA_Wnt_CN",0.102,0.088,0.204,0.11,0.046,0.074,0.072,0.104,0.044
"ColorectalB_p53_CN",0.038,0.03,0.064,0.048,0.002,0.028,0.01,0.036,0.002
"ColorectalB_PI3K_Akt_CN",0.066,0.044,0.12,0.07,0.01,0.038,0.018,0.046,0.01
"ColorectalB_Ras_CN",0.066,0.048,0.156,0.102,0.016,0.048,0.042,0.074,0.016
"ColorectalB_TGF_beta_CN",0.08,0.062,0.136,0.094,0.03,0.06,0.04,0.07,0.03
"ColorectalB_Wnt_CN",0.058,0.056,0.09,0.078,0.018,0.052,0.02,0.058,0.016
"LungA_Cell_cycle_CN",0.358,0.524,0.74,0.638,0.47,0.52,0.564,0.618,0.468
"LungA_EGFR_CN",0.374,0.508,0.696,0.6,0.454,0.496,0.53,0.58,0.45
"LungA_Jak_STAT_CN",0.364,0.4,0.7,0.548,0.368,0.396,0.494,0.522,0.368
"LungA_mapk_CN",0.352,0.446,0.708,0.57,0.404,0.446,0.504,0.546,0.404
"LungA_mTOR_CN",0.262,0.374,0.594,0.458,0.326,0.358,0.388,0.448,0.312
"LungA_p53_CN",0.276,0.458,0.652,0.554,0.406,0.44,0.488,0.53,0.402
"LungA_Wnt_CN",0.262,0.448,0.68,0.528,0.388,0.434,0.458,0.528,0.376
"LungB_Cell_cycle_CN",0.802,0.642,0.872,0.822,0.624,0.642,0.782,0.8,0.624
"LungB_EGFR_CN",0.678,0.482,0.788,0.66,0.45,0.476,0.61,0.644,0.446
"LungB_Jak_STAT_CN",0.656,0.512,0.782,0.666,0.476,0.508,0.618,0.654,0.474
"LungB_mapk_CN",0.744,0.558,0.844,0.742,0.526,0.556,0.7,0.734,0.524
"LungB_mTOR_CN",0.688,0.542,0.806,0.696,0.51,0.534,0.662,0.686,0.51
"LungB_p53_CN",0.812,0.63,0.89,0.754,0.616,0.626,0.73,0.744,0.614
"LungB_Wnt_CN",0.73,0.63,0.82,0.748,0.592,0.624,0.688,0.724,0.59
"BreastA_PI3K_Akt_NC",0.162,0.088,0.23,0.138,0.054,0.078,0.098,0.126,0.052
"BreastA_Wnt_NC",0.166,0.094,0.288,0.152,0.07,0.088,0.118,0.14,0.068
"ColorectalB_p53_NC",0.066,0.064,0.096,0.09,0.026,0.056,0.028,0.058,0.026
"ColorectalB_PI3K_Akt_NC",0.044,0.052,0.14,0.088,0.02,0.044,0.04,0.068,0.018
"ColorectalB_Ras_NC",0.054,0.07,0.154,0.1,0.034,0.068,0.046,0.084,0.032
"ColorectalB_TGF_beta_NC",0.038,0.032,0.082,0.054,0.006,0.032,0.016,0.042,0.006
"ColorectalB_Wnt_NC",0.056,0.05,0.128,0.084,0.012,0.04,0.028,0.056,0.012
"LungA_Cell_cycle_NC",0.178,0.172,0.442,0.298,0.112,0.16,0.222,0.278,0.108
"LungA_EGFR_NC",0.22,0.194,0.394,0.32,0.148,0.188,0.24,0.28,0.148
"LungA_Jak_STAT_NC",0.148,0.178,0.44,0.244,0.13,0.152,0.186,0.228,0.12
"LungA_mapk_NC",0.118,0.156,0.326,0.232,0.106,0.144,0.164,0.21,0.102
"LungA_mTOR_NC",0.218,0.194,0.43,0.312,0.124,0.186,0.222,0.288,0.122
"LungA_p53_NC",0.19,0.196,0.486,0.326,0.142,0.192,0.256,0.306,0.142
"LungA_Wnt_NC",0.15,0.138,0.372,0.25,0.092,0.134,0.168,0.214,0.09
"LungB_Cell_cycle_NC",0.804,0.746,0.87,0.848,0.71,0.736,0.802,0.844,0.702
"LungB_EGFR_NC",0.882,0.754,0.91,0.856,0.734,0.752,0.824,0.842,0.734
"LungB_Jak_STAT_NC",0.802,0.708,0.902,0.844,0.69,0.706,0.816,0.836,0.688
"LungB_mapk_NC",0.82,0.732,0.896,0.85,0.698,0.73,0.808,0.844,0.696
"LungB_mTOR_NC",0.862,0.75,0.908,0.892,0.73,0.742,0.856,0.88,0.724
"LungB_p53_NC",0.816,0.766,0.884,0.848,0.736,0.762,0.812,0.842,0.734
"LungB_Wnt_NC",0.866,0.768,0.896,0.882,0.746,0.766,0.85,0.87,0.746
