"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"composition:0.5 0.5 ,rho:0 0.9 ,probes:2,size:10",0.106,0.058,0.046,0.096,0.016,0.054,0.03,0.068,0.016
"composition:0.5 0.5 ,rho:0 0.9 ,probes:2,size:30",0.158,0.176,0.066,0.208,0.044,0.164,0.048,0.172,0.042
"composition:0.5 0.5 ,rho:0 0.9 ,probes:2,size:50",0.24,0.284,0.068,0.312,0.052,0.26,0.058,0.266,0.052
"composition:0.5 0.5 ,rho:0 0.9 ,probes:2,size:100",0.43,0.622,0.06,0.636,0.05,0.598,0.054,0.602,0.05
"composition:0.5 0.5 ,rho:0 0.9 ,probes:4,size:10",0.152,0.154,0.052,0.22,0.014,0.146,0.02,0.156,0.012
"composition:0.5 0.5 ,rho:0 0.9 ,probes:4,size:30",0.434,0.63,0.098,0.698,0.082,0.616,0.082,0.62,0.08
"composition:0.5 0.5 ,rho:0 0.9 ,probes:4,size:50",0.714,0.906,0.088,0.914,0.082,0.892,0.082,0.892,0.082
"composition:0.5 0.5 ,rho:0 0.9 ,probes:4,size:100",0.968,1,0.082,1,0.082,1,0.082,1,0.082
"composition:0.5 0.5 ,rho:0 0.9 ,probes:8,size:10",0,0.168,0.078,0.144,0.012,0.122,0.008,0.134,0.004
"composition:0.5 0.5 ,rho:0 0.9 ,probes:8,size:30",0.898,0.966,0.096,0.982,0.094,0.962,0.096,0.964,0.094
"composition:0.5 0.5 ,rho:0 0.9 ,probes:8,size:50",0.994,1,0.102,1,0.102,1,0.102,1,0.102
"composition:0.5 0.5 ,rho:0 0.9 ,probes:8,size:100",1,1,0.114,1,0.114,1,0.114,1,0.114
"composition:0.5 0.5 ,rho:0 0.9 ,probes:9,size:10",1,1,0.094,0.084,0.094,0.084,0.004,0.174,0.004
"composition:0.5 0.5 ,rho:0 0.9 ,probes:9,size:30",0.936,0.976,0.116,0.988,0.112,0.976,0.116,0.98,0.112
"composition:0.5 0.5 ,rho:0 0.9 ,probes:9,size:50",0.996,1,0.114,0.998,0.114,0.998,0.114,0.998,0.114
"composition:0.5 0.5 ,rho:0 0.9 ,probes:9,size:100",1,1,0.098,1,0.098,1,0.098,1,0.098
"composition:0.5 0.5 ,rho:0 0.5 ,probes:2,size:10",0.046,0.038,0.04,0.054,0.012,0.036,0.02,0.044,0.012
"composition:0.5 0.5 ,rho:0 0.5 ,probes:2,size:30",0.052,0.052,0.062,0.06,0.026,0.044,0.034,0.056,0.024
"composition:0.5 0.5 ,rho:0 0.5 ,probes:2,size:50",0.064,0.038,0.066,0.052,0.022,0.032,0.026,0.036,0.022
"composition:0.5 0.5 ,rho:0 0.5 ,probes:2,size:100",0.128,0.044,0.06,0.054,0.016,0.034,0.014,0.04,0.012
"composition:0.5 0.5 ,rho:0 0.5 ,probes:4,size:10",0.032,0.034,0.06,0.048,0.004,0.03,0.008,0.034,0.004
"composition:0.5 0.5 ,rho:0 0.5 ,probes:4,size:30",0.056,0.078,0.076,0.088,0.026,0.062,0.034,0.07,0.026
"composition:0.5 0.5 ,rho:0 0.5 ,probes:4,size:50",0.1,0.058,0.058,0.086,0.01,0.052,0.016,0.058,0.01
"composition:0.5 0.5 ,rho:0 0.5 ,probes:4,size:100",0.14,0.084,0.056,0.098,0.012,0.06,0.01,0.07,0.006
"composition:0.5 0.5 ,rho:0 0.5 ,probes:8,size:10",0,0.066,0.064,0.054,0.006,0.042,0.008,0.044,0.006
"composition:0.5 0.5 ,rho:0 0.5 ,probes:8,size:30",0.058,0.076,0.08,0.108,0.012,0.046,0.018,0.06,0.008
"composition:0.5 0.5 ,rho:0 0.5 ,probes:8,size:50",0.158,0.092,0.094,0.17,0.012,0.064,0.026,0.086,0.008
"composition:0.5 0.5 ,rho:0 0.5 ,probes:8,size:100",0.33,0.098,0.08,0.278,0.014,0.078,0.038,0.106,0.012
"composition:0.5 0.5 ,rho:0 0.5 ,probes:9,size:10",1,1,0.052,0.044,0.052,0.044,0.002,0.094,0.002
"composition:0.5 0.5 ,rho:0 0.5 ,probes:9,size:30",0.056,0.086,0.08,0.126,0.014,0.056,0.022,0.068,0.012
"composition:0.5 0.5 ,rho:0 0.5 ,probes:9,size:50",0.134,0.098,0.076,0.182,0.006,0.064,0.024,0.086,0.004
"composition:0.5 0.5 ,rho:0 0.5 ,probes:9,size:100",0.364,0.106,0.06,0.298,0.014,0.094,0.03,0.114,0.012
"composition:0.1 0.9 ,rho:0 0.9 ,probes:2,size:10",0.124,0.09,0.036,0.114,0.012,0.086,0.018,0.096,0.01
"composition:0.1 0.9 ,rho:0 0.9 ,probes:2,size:30",0.31,0.218,0.068,0.274,0.038,0.212,0.046,0.224,0.036
"composition:0.1 0.9 ,rho:0 0.9 ,probes:2,size:50",0.474,0.248,0.062,0.336,0.04,0.248,0.044,0.252,0.04
"composition:0.1 0.9 ,rho:0 0.9 ,probes:2,size:100",0.8,0.458,0.062,0.592,0.034,0.458,0.042,0.466,0.034
"composition:0.1 0.9 ,rho:0 0.9 ,probes:4,size:10",0.114,0.082,0.066,0.132,0.008,0.078,0.014,0.088,0.006
"composition:0.1 0.9 ,rho:0 0.9 ,probes:4,size:30",0.672,0.422,0.074,0.618,0.046,0.418,0.058,0.43,0.046
"composition:0.1 0.9 ,rho:0 0.9 ,probes:4,size:50",0.86,0.61,0.08,0.79,0.06,0.608,0.074,0.626,0.058
"composition:0.1 0.9 ,rho:0 0.9 ,probes:4,size:100",0.986,0.85,0.086,0.966,0.082,0.85,0.084,0.852,0.082
"composition:0.1 0.9 ,rho:0 0.9 ,probes:8,size:10",0.006,0.088,0.042,0.072,0.006,0.062,0.004,0.064,0.004
"composition:0.1 0.9 ,rho:0 0.9 ,probes:8,size:30",0.808,0.426,0.098,0.808,0.046,0.42,0.082,0.46,0.044
"composition:0.1 0.9 ,rho:0 0.9 ,probes:8,size:50",0.968,0.692,0.102,0.946,0.076,0.692,0.1,0.716,0.076
"composition:0.1 0.9 ,rho:0 0.9 ,probes:8,size:100",1,0.954,0.096,0.998,0.09,0.954,0.096,0.96,0.09
"composition:0.1 0.9 ,rho:0 0.9 ,probes:9,size:10",1,1,0.07,0.14,0.07,0.14,0.006,0.204,0.006
"composition:0.1 0.9 ,rho:0 0.9 ,probes:9,size:30",0.778,0.386,0.094,0.8,0.046,0.378,0.08,0.412,0.046
"composition:0.1 0.9 ,rho:0 0.9 ,probes:9,size:50",0.972,0.696,0.06,0.956,0.048,0.696,0.056,0.704,0.048
"composition:0.1 0.9 ,rho:0 0.9 ,probes:9,size:100",1,0.956,0.108,1,0.106,0.956,0.108,0.958,0.106
"composition:0.1 0.9 ,rho:0 0.5 ,probes:2,size:10",0.036,0.022,0.036,0.036,0.01,0.016,0.016,0.026,0.008
"composition:0.1 0.9 ,rho:0 0.5 ,probes:2,size:30",0.038,0.046,0.056,0.046,0.022,0.036,0.024,0.042,0.02
"composition:0.1 0.9 ,rho:0 0.5 ,probes:2,size:50",0.054,0.048,0.072,0.056,0.022,0.042,0.024,0.044,0.022
"composition:0.1 0.9 ,rho:0 0.5 ,probes:2,size:100",0.102,0.04,0.048,0.048,0.008,0.038,0.008,0.038,0.008
"composition:0.1 0.9 ,rho:0 0.5 ,probes:4,size:10",0.028,0.032,0.052,0.046,0.006,0.03,0.006,0.03,0.006
"composition:0.1 0.9 ,rho:0 0.5 ,probes:4,size:30",0.042,0.058,0.06,0.082,0.012,0.042,0.016,0.05,0.01
"composition:0.1 0.9 ,rho:0 0.5 ,probes:4,size:50",0.078,0.048,0.07,0.074,0.008,0.036,0.014,0.046,0.006
"composition:0.1 0.9 ,rho:0 0.5 ,probes:4,size:100",0.136,0.07,0.06,0.074,0.012,0.046,0.016,0.054,0.01
"composition:0.1 0.9 ,rho:0 0.5 ,probes:8,size:10",0.008,0.074,0.038,0.064,0.002,0.054,0.002,0.054,0.002
"composition:0.1 0.9 ,rho:0 0.5 ,probes:8,size:30",0.06,0.046,0.11,0.076,0.014,0.022,0.028,0.04,0.012
"composition:0.1 0.9 ,rho:0 0.5 ,probes:8,size:50",0.134,0.058,0.092,0.11,0.006,0.034,0.01,0.038,0.006
"composition:0.1 0.9 ,rho:0 0.5 ,probes:8,size:100",0.234,0.078,0.076,0.164,0.004,0.05,0.022,0.068,0.004
"composition:0.1 0.9 ,rho:0 0.5 ,probes:9,size:10",1,1,0.062,0.076,0.062,0.076,0,0.138,0
"composition:0.1 0.9 ,rho:0 0.5 ,probes:9,size:30",0.068,0.062,0.078,0.076,0.01,0.024,0.014,0.036,0.006
"composition:0.1 0.9 ,rho:0 0.5 ,probes:9,size:50",0.138,0.072,0.104,0.126,0.01,0.04,0.016,0.054,0.006
"composition:0.1 0.9 ,rho:0 0.5 ,probes:9,size:100",0.254,0.066,0.09,0.164,0.01,0.052,0.03,0.072,0.01
