"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"composition:1,rho:0.9,df:3,probes:2,size:10",0.278,0.196,0.224,0.238,0.12,0.192,0.146,0.222,0.118
"composition:1,rho:0.9,df:3,probes:2,size:30",0.718,0.602,0.572,0.656,0.47,0.594,0.506,0.634,0.468
"composition:1,rho:0.9,df:3,probes:2,size:50",0.872,0.804,0.772,0.844,0.706,0.802,0.738,0.834,0.706
"composition:1,rho:0.9,df:3,probes:2,size:100",0.996,0.962,0.924,0.968,0.908,0.944,0.902,0.974,0.89
"composition:1,rho:0.9,df:3,probes:4,size:10",0.242,0.172,0.266,0.252,0.09,0.168,0.118,0.196,0.09
"composition:1,rho:0.9,df:3,probes:4,size:30",0.874,0.78,0.614,0.884,0.558,0.778,0.592,0.816,0.556
"composition:1,rho:0.9,df:3,probes:4,size:50",0.99,0.952,0.812,0.98,0.792,0.952,0.806,0.966,0.792
"composition:1,rho:0.9,df:3,probes:4,size:100",1,0.998,0.972,1,0.972,0.998,0.972,0.998,0.972
"composition:1,rho:0.9,df:3,probes:8,size:10",0.002,0.13,0.262,0.116,0.042,0.1,0.044,0.11,0.038
"composition:1,rho:0.9,df:3,probes:8,size:30",0.97,0.864,0.638,0.976,0.596,0.864,0.632,0.9,0.596
"composition:1,rho:0.9,df:3,probes:8,size:50",1,0.99,0.824,1,0.818,0.99,0.824,0.996,0.818
"composition:1,rho:0.9,df:3,probes:8,size:100",1,1,0.978,1,0.978,1,0.978,1,0.978
"composition:1,rho:0.9,df:3,probes:9,size:10",1,1,0.25,0.216,0.25,0.216,0.058,0.408,0.058
"composition:1,rho:0.9,df:3,probes:9,size:30",0.968,0.864,0.67,0.982,0.604,0.862,0.666,0.928,0.602
"composition:1,rho:0.9,df:3,probes:9,size:50",1,0.998,0.85,1,0.85,0.998,0.85,0.998,0.85
"composition:1,rho:0.9,df:3,probes:9,size:100",1,1,0.972,1,0.972,1,0.972,1,0.972
"composition:1,rho:0.9,df:9,probes:2,size:10",0.104,0.064,0.074,0.082,0.024,0.06,0.032,0.068,0.024
"composition:1,rho:0.9,df:9,probes:2,size:30",0.192,0.112,0.18,0.158,0.066,0.104,0.082,0.132,0.06
"composition:1,rho:0.9,df:9,probes:2,size:50",0.322,0.158,0.232,0.212,0.09,0.15,0.116,0.18,0.088
"composition:1,rho:0.9,df:9,probes:2,size:100",0.562,0.27,0.38,0.356,0.166,0.258,0.23,0.322,0.166
"composition:1,rho:0.9,df:9,probes:4,size:10",0.068,0.052,0.102,0.108,0.016,0.048,0.03,0.062,0.016
"composition:1,rho:0.9,df:9,probes:4,size:30",0.31,0.172,0.22,0.302,0.07,0.168,0.118,0.216,0.07
"composition:1,rho:0.9,df:9,probes:4,size:50",0.524,0.24,0.27,0.396,0.118,0.234,0.172,0.292,0.116
"composition:1,rho:0.9,df:9,probes:4,size:100",0.862,0.44,0.414,0.666,0.246,0.436,0.34,0.53,0.246
"composition:1,rho:0.9,df:9,probes:8,size:10",0.002,0.098,0.102,0.086,0.014,0.076,0.012,0.082,0.01
"composition:1,rho:0.9,df:9,probes:8,size:30",0.364,0.186,0.184,0.482,0.038,0.182,0.12,0.264,0.038
