"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"BreastA_PI3K_Akt_unique_CN",0.146,0.088,0.134,0.112,0.052,0.084,0.072,0.104,0.052
"BreastA_Wnt_unique_CN",0.07,0.066,0.062,0.08,0.032,0.06,0.034,0.062,0.032
"ColorectalB_p53_unique_CN",0.074,0.05,0.07,0.074,0.018,0.048,0.022,0.052,0.018
"ColorectalB_PI3K_Akt_unique_CN",0.112,0.066,0.102,0.094,0.04,0.062,0.052,0.078,0.038
"ColorectalB_Ras_unique_CN",0.102,0.064,0.108,0.094,0.048,0.062,0.062,0.076,0.048
"ColorectalB_TGF_beta_unique_CN",0.1,0.08,0.072,0.118,0.046,0.08,0.054,0.088,0.046
"ColorectalB_Wnt_unique_CN",0.096,0.074,0.104,0.086,0.044,0.07,0.048,0.078,0.042
"LungA_Cell_cycle_unique_CN",0.314,0.464,0.548,0.49,0.406,0.46,0.426,0.488,0.402
"LungA_EGFR_unique_CN",0.246,0.288,0.358,0.32,0.242,0.28,0.264,0.31,0.238
"LungA_Jak_STAT_unique_CN",0.362,0.436,0.532,0.464,0.4,0.426,0.422,0.456,0.396
"LungA_mapk_unique_CN",0.292,0.394,0.488,0.428,0.352,0.386,0.386,0.424,0.35
"LungA_mTOR_unique_CN",0.192,0.32,0.412,0.35,0.288,0.308,0.304,0.34,0.28
"LungA_p53_unique_CN",0.294,0.468,0.49,0.484,0.418,0.464,0.426,0.48,0.414
"LungA_Wnt_unique_CN",0.202,0.384,0.468,0.418,0.326,0.372,0.344,0.41,0.316
"LungB_Cell_cycle_unique_CN",0.69,0.63,0.736,0.682,0.604,0.63,0.648,0.674,0.604
"LungB_EGFR_unique_CN",0.55,0.532,0.582,0.56,0.492,0.522,0.518,0.556,0.488
"LungB_Jak_STAT_unique_CN",0.58,0.534,0.632,0.574,0.49,0.522,0.526,0.57,0.484
"LungB_mapk_unique_CN",0.6,0.58,0.656,0.622,0.512,0.568,0.554,0.614,0.51
"LungB_mTOR_unique_CN",0.582,0.51,0.63,0.56,0.474,0.504,0.516,0.55,0.472
"LungB_p53_unique_CN",0.642,0.58,0.68,0.616,0.538,0.562,0.584,0.608,0.538
"LungB_Wnt_unique_CN",0.598,0.548,0.68,0.612,0.514,0.542,0.566,0.598,0.512
"OvarianA_mTOR_mean_unique_CN",0.768,0.606,0.796,0.678,0.594,0.584,0.662,0.692,0.574
"OvarianA_Jak_STAT_mean_unique_CN",0.92,0.812,0.926,0.84,0.808,0.772,0.83,0.874,0.768
"OvarianA_p53_mean_unique_CN",0.796,0.666,0.84,0.742,0.65,0.66,0.728,0.742,0.648
"OvarianA_PI3K_Akt_mean_unique_CN",0.854,0.744,0.884,0.778,0.736,0.724,0.77,0.798,0.716
"BreastA_PI3K_Akt_unique_NC",0.114,0.072,0.112,0.09,0.046,0.064,0.06,0.078,0.046
"BreastA_Wnt_unique_NC",0.152,0.11,0.134,0.118,0.088,0.106,0.092,0.11,0.088
"ColorectalB_p53_unique_NC",0.082,0.082,0.098,0.096,0.058,0.08,0.066,0.092,0.056
"ColorectalB_PI3K_Akt_unique_NC",0.11,0.076,0.134,0.096,0.05,0.074,0.06,0.088,0.048
"ColorectalB_Ras_unique_NC",0.118,0.06,0.134,0.092,0.038,0.056,0.06,0.078,0.038
"ColorectalB_TGF_beta_unique_NC",0.078,0.036,0.076,0.046,0.024,0.034,0.028,0.038,0.024
"ColorectalB_Wnt_unique_NC",0.104,0.092,0.134,0.128,0.056,0.09,0.068,0.102,0.056
"LungA_Cell_cycle_unique_NC",0.188,0.214,0.336,0.25,0.166,0.204,0.2,0.246,0.162
"LungA_EGFR_unique_NC",0.21,0.214,0.304,0.25,0.174,0.202,0.208,0.248,0.168
"LungA_Jak_STAT_unique_NC",0.154,0.176,0.278,0.206,0.136,0.168,0.16,0.2,0.132
"LungA_mapk_unique_NC",0.214,0.174,0.292,0.222,0.136,0.16,0.166,0.202,0.13
"LungA_mTOR_unique_NC",0.214,0.188,0.304,0.234,0.13,0.18,0.166,0.216,0.13
"LungA_p53_unique_NC",0.192,0.164,0.294,0.222,0.128,0.158,0.176,0.206,0.128
"LungA_Wnt_unique_NC",0.166,0.168,0.252,0.224,0.124,0.164,0.164,0.204,0.124
"LungB_Cell_cycle_unique_NC",0.648,0.642,0.696,0.678,0.586,0.626,0.624,0.676,0.58
"LungB_EGFR_unique_NC",0.684,0.694,0.766,0.746,0.644,0.684,0.696,0.74,0.642
"LungB_Jak_STAT_unique_NC",0.702,0.652,0.786,0.706,0.624,0.644,0.674,0.706,0.618
"LungB_mapk_unique_NC",0.652,0.63,0.718,0.668,0.586,0.618,0.632,0.668,0.584
"LungB_mTOR_unique_NC",0.726,0.646,0.764,0.716,0.6,0.638,0.662,0.708,0.596
"LungB_p53_unique_NC",0.656,0.666,0.742,0.698,0.62,0.656,0.648,0.696,0.614
"LungB_Wnt_unique_NC",0.724,0.694,0.76,0.734,0.652,0.692,0.69,0.73,0.652
"OvarianA_mTOR_mean_unique_NC",0.746,0.554,0.756,0.652,0.536,0.544,0.626,0.646,0.53
"OvarianA_Jak_STAT_mean_unique_NC",0.908,0.814,0.918,0.844,0.802,0.786,0.832,0.864,0.778
"OvarianA_p53_mean_unique_NC",0.798,0.632,0.832,0.694,0.624,0.626,0.684,0.69,0.622
"OvarianA_PI3K_Akt_mean_unique_NC",0.862,0.758,0.886,0.82,0.75,0.75,0.804,0.82,0.742
