,countM,countH,countR,countN,countHR,countHN,countRN,count2,countHRN
BreastA_PI3K_Akt_unique_CN,0.12,0.094,0.19,0.118,0.044,0.086,0.062,0.104,0.044
BreastA_Wnt_unique_CN,0.068,0.066,0.092,0.086,0.024,0.052,0.036,0.072,0.02
ColorectalB_p53_unique_CN,0.042,0.034,0.058,0.066,0.008,0.03,0.01,0.036,0.006
ColorectalB_PI3K_Akt_unique_CN,0.04,0.066,0.15,0.086,0.026,0.062,0.038,0.074,0.026
ColorectalB_Ras_unique_CN,0.07,0.036,0.11,0.08,0.006,0.036,0.022,0.052,0.006
ColorectalB_TGF_beta_unique_CN,0.078,0.07,0.128,0.104,0.024,0.064,0.042,0.082,0.024
ColorectalB_Wnt_unique_CN,0.07,0.068,0.112,0.102,0.026,0.06,0.046,0.08,0.026
LungA_Cell_cycle_unique_CN,0.38,0.582,0.752,0.7,0.528,0.572,0.628,0.684,0.522
LungA_EGFR_unique_CN,0.266,0.316,0.534,0.456,0.268,0.31,0.366,0.412,0.266
LungA_Jak_STAT_unique_CN,0.354,0.482,0.728,0.598,0.452,0.48,0.542,0.57,0.452
LungA_mapk_unique_CN,0.348,0.47,0.692,0.568,0.426,0.456,0.516,0.558,0.42
LungA_mTOR_unique_CN,0.184,0.316,0.568,0.422,0.262,0.304,0.34,0.394,0.256
LungA_p53_unique_CN,0.37,0.538,0.69,0.61,0.482,0.514,0.536,0.596,0.468
LungA_Wnt_unique_CN,0.194,0.4,0.7,0.452,0.358,0.372,0.406,0.464,0.336
LungB_Cell_cycle_unique_CN,0.83,0.742,0.916,0.862,0.728,0.74,0.836,0.848,0.728
LungB_EGFR_unique_CN,0.786,0.628,0.8,0.784,0.588,0.626,0.718,0.756,0.588
LungB_Jak_STAT_unique_CN,0.778,0.632,0.88,0.788,0.616,0.628,0.76,0.776,0.614
LungB_mapk_unique_CN,0.788,0.7,0.872,0.826,0.67,0.696,0.784,0.81,0.67
LungB_mTOR_unique_CN,0.726,0.638,0.832,0.764,0.604,0.63,0.72,0.754,0.6
LungB_p53_unique_CN,0.792,0.702,0.894,0.812,0.684,0.696,0.794,0.81,0.682
LungB_Wnt_unique_CN,0.782,0.654,0.878,0.792,0.628,0.652,0.76,0.788,0.626
OvarianA_mTOR_mean_unique_CN,0.508,0.388,0.698,0.536,0.342,0.372,0.482,0.532,0.332
OvarianA_Jak_STAT_mean_unique_CN,0.648,0.528,0.826,0.666,0.516,0.52,0.652,0.66,0.514
OvarianA_p53_mean_unique_CN,0.516,0.472,0.716,0.606,0.426,0.45,0.552,0.596,0.416
OvarianA_PI3K_Akt_mean_unique_CN,0.558,0.472,0.784,0.586,0.454,0.464,0.564,0.582,0.45
BreastA_PI3K_Akt_unique_NC,0.142,0.058,0.182,0.118,0.036,0.05,0.068,0.086,0.034
BreastA_Wnt_unique_NC,0.18,0.08,0.24,0.136,0.046,0.072,0.092,0.118,0.046
ColorectalB_p53_unique_NC,0.04,0.056,0.148,0.078,0.028,0.054,0.036,0.062,0.028
ColorectalB_PI3K_Akt_unique_NC,0.054,0.044,0.156,0.084,0.022,0.038,0.052,0.072,0.02
ColorectalB_Ras_unique_NC,0.062,0.054,0.17,0.074,0.024,0.042,0.04,0.062,0.022
ColorectalB_TGF_beta_unique_NC,0.038,0.046,0.056,0.066,0.012,0.04,0.012,0.044,0.01
ColorectalB_Wnt_unique_NC,0.072,0.054,0.16,0.1,0.026,0.05,0.046,0.07,0.026
LungA_Cell_cycle_unique_NC,0.174,0.22,0.428,0.346,0.142,0.21,0.242,0.314,0.14
LungA_EGFR_unique_NC,0.228,0.262,0.436,0.358,0.176,0.248,0.258,0.334,0.174
LungA_Jak_STAT_unique_NC,0.172,0.162,0.394,0.246,0.126,0.144,0.204,0.23,0.122
LungA_mapk_unique_NC,0.186,0.216,0.414,0.298,0.158,0.202,0.226,0.282,0.152
LungA_mTOR_unique_NC,0.23,0.208,0.43,0.33,0.156,0.2,0.246,0.29,0.156
LungA_p53_unique_NC,0.182,0.172,0.45,0.256,0.13,0.156,0.214,0.24,0.13
LungA_Wnt_unique_NC,0.196,0.16,0.376,0.264,0.122,0.152,0.212,0.242,0.122
LungB_Cell_cycle_unique_NC,0.87,0.838,0.918,0.892,0.808,0.834,0.858,0.884,0.808
LungB_EGFR_unique_NC,0.904,0.872,0.928,0.93,0.832,0.866,0.89,0.932,0.828
LungB_Jak_STAT_unique_NC,0.844,0.796,0.956,0.88,0.786,0.794,0.87,0.882,0.784
LungB_mapk_unique_NC,0.862,0.818,0.91,0.888,0.786,0.816,0.852,0.882,0.786
LungB_mTOR_unique_NC,0.908,0.854,0.932,0.942,0.822,0.848,0.904,0.93,0.822
LungB_p53_unique_NC,0.818,0.802,0.92,0.89,0.768,0.792,0.854,0.886,0.764
LungB_Wnt_unique_NC,0.906,0.842,0.912,0.908,0.816,0.838,0.87,0.896,0.814
OvarianA_mTOR_mean_unique_NC,0.828,0.654,0.888,0.826,0.644,0.654,0.8,0.81,0.644
OvarianA_Jak_STAT_mean_unique_NC,0.948,0.846,0.984,0.928,0.844,0.846,0.926,0.928,0.844
OvarianA_p53_mean_unique_NC,0.748,0.594,0.87,0.732,0.59,0.58,0.722,0.732,0.58
OvarianA_PI3K_Akt_mean_unique_NC,0.932,0.804,0.966,0.92,0.802,0.804,0.912,0.914,0.802
