"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"BreastA_PI3K_Akt_CN",0.08,0.046,0.128,0.068,0.03,0.038,0.034,0.05,0.026
"BreastA_Wnt_CN",0.094,0.086,0.2,0.11,0.044,0.074,0.074,0.104,0.044
"ColorectalB_p53_CN",0.034,0.028,0.072,0.042,0,0.022,0.006,0.028,0
"ColorectalB_PI3K_Akt_CN",0.068,0.04,0.104,0.062,0.008,0.034,0.016,0.042,0.008
"ColorectalB_Ras_CN",0.068,0.046,0.136,0.092,0.01,0.046,0.026,0.062,0.01
"ColorectalB_TGF_beta_CN",0.076,0.064,0.142,0.096,0.028,0.062,0.042,0.08,0.026
"ColorectalB_Wnt_CN",0.058,0.054,0.092,0.078,0.014,0.048,0.02,0.058,0.012
"LungA_Cell_cycle_CN",0.272,0.486,0.66,0.604,0.412,0.478,0.496,0.574,0.406
"LungA_EGFR_CN",0.322,0.472,0.636,0.578,0.402,0.466,0.474,0.55,0.396
"LungA_Jak_STAT_CN",0.31,0.354,0.634,0.494,0.31,0.35,0.416,0.46,0.308
"LungA_mapk_CN",0.296,0.394,0.65,0.512,0.346,0.392,0.436,0.486,0.344
"LungA_mTOR_CN",0.218,0.34,0.532,0.434,0.268,0.326,0.336,0.41,0.26
"LungA_p53_CN",0.212,0.382,0.564,0.474,0.312,0.364,0.388,0.456,0.304
"LungA_Wnt_CN",0.2,0.434,0.638,0.514,0.358,0.414,0.418,0.506,0.342
"LungB_Cell_cycle_CN",0.754,0.578,0.832,0.756,0.558,0.574,0.71,0.734,0.554
"LungB_EGFR_CN",0.668,0.486,0.79,0.654,0.468,0.484,0.622,0.642,0.466
"LungB_Jak_STAT_CN",0.62,0.492,0.762,0.638,0.46,0.484,0.592,0.62,0.458
"LungB_mapk_CN",0.692,0.552,0.798,0.684,0.514,0.548,0.632,0.67,0.512
"LungB_mTOR_CN",0.688,0.54,0.778,0.694,0.496,0.522,0.654,0.692,0.49
"LungB_p53_CN",0.722,0.586,0.838,0.696,0.566,0.58,0.664,0.682,0.564
"LungB_Wnt_CN",0.708,0.596,0.806,0.732,0.55,0.59,0.666,0.714,0.546
"BreastA_PI3K_Akt_NC",0.162,0.092,0.228,0.136,0.056,0.084,0.096,0.128,0.054
"BreastA_Wnt_NC",0.164,0.098,0.292,0.154,0.072,0.088,0.116,0.14,0.068
"ColorectalB_p53_NC",0.06,0.06,0.102,0.092,0.026,0.056,0.03,0.06,0.026
"ColorectalB_PI3K_Akt_NC",0.044,0.054,0.144,0.084,0.02,0.044,0.036,0.068,0.016
"ColorectalB_Ras_NC",0.052,0.07,0.142,0.098,0.032,0.066,0.04,0.074,0.032
"ColorectalB_TGF_beta_NC",0.036,0.03,0.074,0.056,0.006,0.028,0.018,0.04,0.006
"ColorectalB_Wnt_NC",0.062,0.052,0.136,0.082,0.018,0.042,0.03,0.054,0.018
"LungA_Cell_cycle_NC",0.17,0.196,0.464,0.306,0.132,0.18,0.222,0.278,0.128
"LungA_EGFR_NC",0.224,0.186,0.362,0.322,0.13,0.174,0.232,0.284,0.126
"LungA_Jak_STAT_NC",0.144,0.16,0.41,0.228,0.12,0.138,0.176,0.21,0.112
"LungA_mapk_NC",0.098,0.142,0.296,0.214,0.088,0.132,0.136,0.188,0.084
"LungA_mTOR_NC",0.198,0.188,0.404,0.306,0.12,0.176,0.202,0.266,0.116
"LungA_p53_NC",0.16,0.174,0.436,0.274,0.116,0.172,0.19,0.246,0.116
"LungA_Wnt_NC",0.134,0.144,0.332,0.25,0.084,0.134,0.154,0.208,0.082
"LungB_Cell_cycle_NC",0.818,0.754,0.864,0.854,0.718,0.746,0.81,0.85,0.712
"LungB_EGFR_NC",0.858,0.77,0.906,0.866,0.744,0.768,0.832,0.856,0.744
"LungB_Jak_STAT_NC",0.764,0.696,0.862,0.802,0.674,0.684,0.77,0.796,0.666
"LungB_mapk_NC",0.804,0.736,0.876,0.836,0.696,0.736,0.78,0.82,0.696
"LungB_mTOR_NC",0.862,0.766,0.904,0.882,0.744,0.754,0.854,0.872,0.74
"LungB_p53_NC",0.802,0.752,0.872,0.846,0.718,0.752,0.804,0.838,0.718
"LungB_Wnt_NC",0.856,0.774,0.888,0.872,0.744,0.774,0.832,0.862,0.744
